/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年03月16日 20時53分 ～ 2018年03月30日 01時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

吉川ちなつ> こんばんは～   (2018/3/16 20:53:37)

歳納京子> こんばんは！ちなつちゃん♪   (2018/3/16 20:56:36)

吉川ちなつ> 風邪ほとんど治りました～   (2018/3/16 20:58:01)

歳納京子> 良かった♪ 元気なちなつちゃんが見れて嬉しいよ。   (2018/3/16 20:59:04)

吉川ちなつ> 私も良かったです   (2018/3/16 21:00:24)

歳納京子> また具合悪くならないように気をつけなよ？今夜はすぐ寝ちゃうのかな？   (2018/3/16 21:01:14)

吉川ちなつ> んー。少しはいれますよ   (2018/3/16 21:02:24)

歳納京子> そう？あんまり無理はしないで欲しいかな？(ちゅっ) お顔見れただけでも嬉しいし♪   (2018/3/16 21:03:33)

吉川ちなつ> はぅ…///ありがとうございます   (2018/3/16 21:04:50)

歳納京子> もう、可愛いなぁ♪ そんなのだと襲っちゃうぞ？(ぎゅっ)   (2018/3/16 21:06:10)

吉川ちなつ> 今はダメですぅよぉ…///   (2018/3/16 21:07:55)

歳納京子> ちぇ〜仕方ないなぁ♪(パクリと首筋を咥えて) はむはむ…♪(吸い付いてキスマークを残す)   (2018/3/16 21:09:54)

吉川ちなつ> あううう…///京子先輩のエッチ///   (2018/3/16 21:11:57)

歳納京子> ふふん、ちなつちゃんが可愛すぎる所為でエッチになっちゃうんだよ…？(耳元で囁き) ほらほら、早く逃げないと襲っちゃうよ？(そーっと腰を撫でて)   (2018/3/16 21:13:26)

吉川ちなつ> 逃げたら京子先輩泣いちゃいますから…///逃げませんよ…   (2018/3/16 21:14:47)

歳納京子> あ、酷いなぁ…でも、ホントに泣いちゃうかも…。それくらい愛してるよ、ちなつちゃん♪(少し熱いキスをして) ちゃんと逃さないようにギュッてしてるね♪   (2018/3/16 21:16:37)

吉川ちなつ> んん…///ありがとうございます…///   (2018/3/16 21:18:40)

歳納京子> ふふ、逃げようとしたら逆に私燃えちゃうから♪(ちゅっ) 覚悟しててね、ちなちゅ？(キスマークを指でなぞって)   (2018/3/16 21:20:48)

吉川ちなつ> は、はいぃ…///   (2018/3/16 21:23:32)

歳納京子> ふふ、お顔真っ赤だね♪ これ以上は別の意味で熱が上がっちゃうね///   (2018/3/16 21:24:26)

吉川ちなつ> そ。そうですね…///   (2018/3/16 21:25:42)

歳納京子> これ以上はもっと時間のある時に…ね？ 愛しのちなつちゃん♪   (2018/3/16 21:27:24)

吉川ちなつ> は、はい…///京子先輩   (2018/3/16 21:28:29)

歳納京子> ふふ、デレデレちなつちゃんだね。(ほっぺつんつん) じゃあ、一緒におやすみする？   (2018/3/16 21:29:27)

吉川ちなつ> はい、おやすみしましょう？…///   (2018/3/16 21:31:08)

歳納京子> やった♪ ちなつちゃんのお顔見ながら寝られるなんて幸せだなぁ///   (2018/3/16 21:31:53)

吉川ちなつ> 私もです♪【返信遅れてすみません】   (2018/3/16 21:36:08)

歳納京子> えへへ/// じぁあおやすみなさい、ちなつちゃん♪【いえいえ】   (2018/3/16 21:42:34)

吉川ちなつ> おやすみなさい…///   (2018/3/16 21:43:16)

歳納京子> おやすみのチューね♪(ちゅっ) 【お疲れ様です♪】   (2018/3/16 21:44:06)

吉川ちなつ> んっ…///ありがとうございます…///【こちらこそです】   (2018/3/16 21:44:29)

おしらせ> 歳納京子さんが退室しました。  (2018/3/16 21:45:52)

おしらせ> 吉川ちなつさんが退室しました。  (2018/3/16 21:46:07)

おしらせ> 吉川ちなつさんが入室しました♪  (2018/3/17 05:51:32)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/17 06:05:28)

歳納京子> おはよー、ちなつちゃん。   (2018/3/17 06:05:39)

吉川ちなつ> おはようございますっ   (2018/3/17 06:06:04)

歳納京子> ちなつちゃんの寝顔可愛かったよ♪   (2018/3/17 06:06:59)

吉川ちなつ> ふぇぇ…///ありがとうございます…///   (2018/3/17 06:07:47)

歳納京子> んふふ、おはようのチュー…ちなつちゃんからして欲しいなぁ？///   (2018/3/17 06:09:34)

吉川ちなつ> いいですよ…///……ちゅっ…///(唇にキスをして)   (2018/3/17 06:12:00)

歳納京子> んーっ//.(キスしてきた所を抱きしめて) ちゅ…あむっ…///(舌を這わせて熱いキスに)   (2018/3/17 06:13:39)

吉川ちなつ> んんーっ…///～んむっ…///   (2018/3/17 06:14:35)

歳納京子> ふふっ/// ごちそうさまでした♪(ペロリ)   (2018/3/17 06:15:15)

吉川ちなつ> …お粗末さまでした…//   (2018/3/17 06:17:11)

歳納京子> 隙だらけだぞ〜。ちなちゅ♪(抱きしめたままそっとお尻を撫でて)   (2018/3/17 06:18:38)

吉川ちなつ> ひゃん！？…///(お尻をピクンとさせて)   (2018/3/17 06:20:33)

吉川ちなつ> 【京子先輩？】   (2018/3/17 06:30:15)

おしらせ> 無言時間が20分を超えたため、歳納京子さんが自動退室しました。  (2018/3/17 06:38:39)

吉川ちなつ> 【お疲れ様です】   (2018/3/17 06:38:51)

おしらせ> 吉川ちなつさんが退室しました。  (2018/3/17 06:38:56)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/17 06:43:44)

歳納京子> 【すいませんっ、油断してウトウトしてました…】   (2018/3/17 06:44:20)

