/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月05日 23時19分 ～ 2018年06月06日 18時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子 ◆> 私も・・・あと少しだけ・・・   (2018/6/5 23:19:20)

九条カレン> そうデスね～(ニコリと)   (2018/6/5 23:20:53)

渋谷凛> 楓さんもあっさりと奈緒を生け贄に出しちゃった気がするけれど（みんなの所に改めてもどってきて）   (2018/6/5 23:21:00)

白金燐子 ◆> な・・なるほど・・・   (2018/6/5 23:21:35)

九条カレン> 確かにデース(うんうんとうなづいて)   (2018/6/5 23:21:53)

高垣 楓> 若い子たちの成り行きを見守るのが先達の役目ですから。それ以上の深い理由はありませんよ。（再び雑誌に視線を落としながら、変わらぬ口調でそう答え。）   (2018/6/5 23:24:26)

九条カレン> 楓は大人の女性デース！   (2018/6/5 23:25:08)

白金燐子 ◆> そうですね・・・（クスリと笑みを浮かべて   (2018/6/5 23:26:56)

九条カレン> 燐も大人っぽいデース…！   (2018/6/5 23:27:59)

渋谷凛> 楓さんも自分だけは関係ないって雰囲気を出してますけど……ずうっと見てるだけのつもりだったのかな（お腹をぎゅっと抱えて雑誌を覗き込み）そこまで大人っぽいって気はしないけどね私の方は   (2018/6/5 23:29:12)

九条カレン> みんな大人っぽいデース…(時間があれば綾に変えられるけどねと)   (2018/6/5 23:30:16)

白金燐子 ◆> そう・・・ですか・・？（燐子はふと考えこみ   (2018/6/5 23:32:03)

九条カレン> 大人ぽくて綺麗デース…(さりげなく燐ちゃんに近寄り)   (2018/6/5 23:33:02)

白金燐子 ◆> んんぅ・・・カレン・・さん・・（燐子はさりげなく近づくカレンに気が付いて   (2018/6/5 23:34:51)

高垣 楓> 勿論。大人が子供の遊びに口を出すのは無粋でしょう？ それに
───（手にしていた雑誌で覗き込んでいる凛の顔を遮って。）無理に背伸びをしても、おでこをぶつけるだけのオチになるのが世の常なんですよ、渋谷さん。（遮ったまま、子供を茶化す様に愉快げな微笑を浮かべ。）   (2018/6/5 23:36:15)

九条カレン> こうして並ぶと金髪と黒髪の対比が綺麗デース…////(軽く抱きついてみる)   (2018/6/5 23:36:28)

白金燐子 ◆> あっ・・・ほんとだ・・・。（抱き着かれるとびくりとするも自分の髪にカレンの髪が絡みつくように触れるとそれを見ては上記を告げて）   (2018/6/5 23:39:27)

渋谷凛> 楓さんの遊びはお酒が飲めるかどうかなのかな？（遮られた雑誌をひょいとそのまま手で取って。見るわけでもなく、彼女の膝に下ろして）そうだね色々とぶつかって……痛いこともあるかもね（くすっと微笑みを返して見つめ返し）   (2018/6/5
23:40:25)

九条カレン> 燐の黒髪綺麗デース…///(髪を触れさせながら髪を撫でて)   (2018/6/5 23:42:25)

白金燐子 ◆> カレンちゃんの金髪も凄く・・綺麗・・・（優しくカレンの髪に撫でるように触れて   (2018/6/5 23:46:02)

高垣
楓> どうでしょう。子供の想像する大人の遊びの範疇では、そうなのかもしれませんが。（明確に答えることはなく、ただ飄々とした態度と微笑を浮かべるのみで。）そのうち見ますよ、絶対。必要なことなので。（此方はその視線に応じることなく、膝の上に置かれた雑誌をまたまた開き直し。）
  (2018/6/5 23:46:29)

九条カレン> ありがとうデース…///(お礼に頬にちょっと)sorryもう寝ないデース   (2018/6/5 23:46:30)

白金燐子 ◆> んんぅ・・・（ピクリと身体が震えて（了解です）   (2018/6/5 23:47:25)

九条カレン> またねデース！(ウィンク)【また会えたらよろしくお願いしますねー！】   (2018/6/5 23:48:15)

九条カレン> 楓と凛もお疲れ様デース！(手を振って帰宅する)   (2018/6/5 23:48:36)

おしらせ> 九条カレンさんが退室しました。  (2018/6/5 23:48:39)

白金燐子 ◆> はい・・・（優しく微笑み上記を告げて）   (2018/6/5 23:48:50)

渋谷凛> はいカレンはお疲れ様（手を振って見送り）   (2018/6/5 23:49:00)

高垣 楓> お疲れ様です。   (2018/6/5 23:49:35)

渋谷凛> まるでお酒以外の遊びがありそうだけれど？（すっと小首を傾げて見つめ返して）……必要な事は自分で決めていきたいかな（落ちて外れていく視線に指をかけては顔を持ち上げて撫でて）   (2018/6/5 23:50:53)

高垣 楓> ありそうですけど、あるんですかね。（さて、と首を横に振り。）それでは神様と相談しなくては、そればかりは一人の問題ではないですし。（顔を持ち上げられると同時に雑誌も移動。相手の顔との間を雑誌で仕切り。）   (2018/6/5 23:55:30)

白金燐子 ◆> あ、そろそろ抜けますね・・。   (2018/6/5 23:56:44)

おしらせ> 白金燐子 ◆7vf5eHDwX2さんが退室しました。  (2018/6/5 23:57:15)

渋谷凛> 燐子もおやすみだね   (2018/6/5 23:57:26)

高垣 楓> お休みなさい。（ひらり。）   (2018/6/5 23:58:23)

渋谷凛> それは楓さんの答えだとは思うよ？（振られた首に首を傾げて）　そう？　ただの失敗をそのまま受け止めるかどうかは自分次第だとおもうけれど（仕切りを見つめては横から覗いて）   (2018/6/5 23:59:24)

高垣 楓>  そうですか、それならやっぱり曖昧にしておくのが正解の様ですね。（バラエティ番組のチャンネルから、落ち着いた深夜のニュース番組へと変え。）自分を形作るのが自分だけだー、なんてことは中々。
先ほどからどれだけ見詰められても何も起こりませんよ。青春小説じゃないんですから。 （雑誌を下ろせば、こつんと相手の額をつつき。）   (2018/6/6 00:04:54)

渋谷凛> それが大人ってことにしておくのかな？（さらっと肩を竦めては雑誌でつつかれて、その手に手をかさねておろす）少なくとも雑誌に意識を取られちゃうよりはね？   (2018/6/6 00:07:31)

高垣 楓> 大人になれば分かります。 （下になった己の手を引き、捕まえられるものではないと言うのか。長い指先を揺らしつつ。）ちゃんと話は聞いてますよ、そんなにアピールしなくても。 （元の姿勢になおって。）   (2018/6/6 00:12:45)

渋谷凛> それは狡い言い方だと思うよ（そっと座り直して脚を緩く組んで見返して）むしろ楓さんの方が一人になりたさそうなアピールにも見えてたからね　   (2018/6/6 00:16:20)

高垣 楓> 狡いって？ … ふふ、それが大人の特権なので。（数ページ雑誌を捲り、その文字を指でなぞりながら。）じっと見られるのが苦手なんです、じっと見るのは好きなんですけど。（ふふ。）   (2018/6/6 00:20:01)

渋谷凛> 大人を振りかざされると子供には何もできないからね。それこそ狡いというものだよ（はあっと溜息を零して）まるで人見知りだね…楓さんはそんな風だったかな？　見られるのも仕事のうちだったと思うけれど……   (2018/6/6 00:23:53)

高垣 楓> 今の大人もそうされて育ってきてるんです、歴史は繰り返しますよ。（ぴんっ、と人差し指を立てて。）勿論、仕事は仕事ですよ。元はモデルをやっていましたし。 （一通り読み終えたのか雑誌を閉じると、次にその視線は何気なくテレビの方へ。）  
(2018/6/6 00:29:08)

渋谷凛> いつだって今時の若い者はってやつだね……結局は変わってないことになると思うけれど　結局はアイドルであることに代わりはないし。誰か出てくるのを待ってるの？（テレビに視線を移して）   (2018/6/6 00:33:42)

高垣 楓> んー …、そろそろ美優さんや早苗さんたちのロケ番組が放送される予定なんです。（頬杖をつきつつ、じっとテレビの画面を見詰め。）   (2018/6/6 00:36:31)

渋谷凛> やっぱりそれはグルメみたいなものかな（ぼんやりとテレビを眺めたままで）   (2018/6/6 00:38:15)

高垣 楓> 温泉旅館を巡ったり、地酒を頂いたりして地方を活性化させるロケらしいですね。 私もこっそりとついていきたかったものです。（それを想像すれば、自然と綻んだ笑みが溢れて。）   (2018/6/6 00:40:31)

渋谷凛> それはやっぱりお酒が楓さんの遊びの中心だと思うけれどな……居酒屋にでもいくくらいの流れでってね   (2018/6/6 00:44:39)

高垣 楓> 確かに気の会う仲間と飲むお酒は格別です、一人もまあ悪くはないですけど。 難しい事を考えなくても、そんなに私の趣味が気になります？ （んー。）   (2018/6/6 00:48:57)

渋谷凛> そうだね、こんなところにまで来るくらいだからかな……？　どうしてるのかは気になるよ…（お酒かぁと雑誌に視線を落として）   (2018/6/6 00:51:53)

高垣 楓> お酒を飲んだり、あと纏まった休日には温泉なんかも。大抵は美優さん達を誘って、が多いですね。（ふーむ。）   (2018/6/6 00:55:01)

渋谷凛> それで潰れていくのが美優さんだったりもしてるしね……？（ぱらぱらと雑誌を捲って）   (2018/6/6 00:57:20)

高垣 楓> あの人は進められたら断れないタイプなので、大抵は最初に潰れちゃいますよね。一体誰が飲ませてるんだか。（我に罪なしと言わんばかりに無関係な口振りで。）   (2018/6/6 00:58:57)

渋谷凛> 一番の容疑者が何か言ってる気がするのはどうしてだろうね……（無責任だなぁと）   (2018/6/6 00:59:46)

高垣 楓> まだ容疑者です、確信犯ではありませんから。もしあれだったら本人に聞いてみてください。 （自信ありげな語り口。）   (2018/6/6 01:02:20)

渋谷凛> 本人に聞いたら多分楓さんの事が出てくると思うけど…あとはなんか聞いたら可哀想な気もするね……（忘れたい過去になりそうだしねと）   (2018/6/6 01:05:57)

高垣 楓> まあまあ、聞いてみるまで分かりませんよ。もしかしたら逆転サヨナラホームラン、なんてことがあるかも。   (2018/6/6 01:07:27)

渋谷凛> その逆転ホームランは他の人の名前が出てきて…みんなでたらい回す感じの気がするかな   (2018/6/6 01:10:16)

高垣 楓> まさか、それでは殆どイジメみたいじゃないですか。そんな酷いことはしてませんよ、精々少し意地悪する程度です。（）   (2018/6/6 01:13:09)

渋谷凛> 美優さんは流されやすいんだから……そういう押しがあると…ね？（反省会でもしていそうだけれど）   (2018/6/6 01:14:15)

高垣 楓> 酔ったあの人は中々面白いですよ。酔いは人を変えますから、それも大きく真反対に。（ふふ。）   (2018/6/6 01:21:01)

おしらせ> ♀さんが入室しました♪  (2018/6/6 01:22:43)

渋谷凛> そうやって酔わせて遊んでると認めているようなものだけど…楓さんこそ酔うとどうなるのかわからないけど（ふぅんと見つめ直して）   (2018/6/6 01:24:11)

♀> (2人が会話している中、突如床から突き出る謎の棒(意味深))   (2018/6/6 01:24:17)

おしらせ> ♀さんが部屋から追い出されました。  (2018/6/6 01:24:27)

高垣 楓> 私は…うーん、比較的お酒に強い方なのであまり自覚できる大きな変化はないですけど。 （んー。）   (2018/6/6 01:26:54)

渋谷凛> ほら、それこそ付き合ったら他の人が潰れるだけで終わるんじゃないかな？   (2018/6/6 01:29:49)

高垣 楓> 流石にそこは配慮しますよ、二日酔いで苦しい姿を見るのは中々心苦しいですから。（ふる。）   (2018/6/6 01:34:06)

渋谷凛> ……楓さんがこう我を忘れる姿が見たくなってくるかもね……？　そういって前後不覚なのをおもしろがるなら…って   (2018/6/6 01:37:46)

おしらせ> ナズーリン♀さんが入室しました♪  (2018/6/6 01:38:56)

ナズーリン♀> (ﾄﾞｺﾞｫｯ！と床を破り登場。)ごほっ…ごほっ…。危ない危ない。生き埋めになるところだった･･･こんばんは。   (2018/6/6 01:39:50)

おしらせ> ナズーリン♀さんが部屋から追い出されました。  (2018/6/6 01:40:40)

おしらせ> 無言時間が20分を超えたため、高垣 楓さんが自動退室しました。  (2018/6/6 01:54:15)

おしらせ> 無言時間が20分を超えたため、渋谷凛さんが自動退室しました。  (2018/6/6 01:57:47)

おしらせ> マシュ・キリエライトさんが入室しました♪  (2018/6/6 02:12:50)

マシュ・キリエライト> （環境を通常のリビングに設定します。最近寝はぐれることの多い私です）   (2018/6/6 02:13:15)

おしらせ> 未定さんが入室しました♪  (2018/6/6 02:19:00)

マシュ・キリエライト> ？？？　どちら様でしょう、こんばんは   (2018/6/6 02:19:17)

未定> こんばんは   (2018/6/6 02:19:33)

未定> 前別部屋でお会いして2ショットに移動したマシュさんですか？   (2018/6/6 02:19:50)

おしらせ> 弦巻マキ＠リボンさんが入室しました♪  (2018/6/6 02:20:02)

マシュ・キリエライト> そちらのわたしは、恐らくほかのわたしと推定します   (2018/6/6 02:20:23)

弦巻マキ＠リボン> こんば……と、とりこみちゅう？（扉から顔だして、あ、まずかったかなって動揺中）   (2018/6/6 02:20:32)

マシュ・キリエライト> ここにいるわたし、木幡茜、魔人アーチャーその他は、ここにしかいませんから。   (2018/6/6 02:20:40)

マシュ・キリエライト> あ、マキさん、こんばんは。   (2018/6/6 02:20:50)

おしらせ> 渋谷凛さんが入室しました♪  (2018/6/6 02:21:21)

未定> そうでしたか、失礼いたしました   (2018/6/6 02:21:28)

未定> では失礼いたします   (2018/6/6 02:21:40)

マシュ・キリエライト> いいえ、どういたしまして。   (2018/6/6 02:21:47)

おしらせ> 未定さんが退室しました。  (2018/6/6 02:21:49)

渋谷凛> こんばんわかな？　   (2018/6/6 02:22:01)

マシュ・キリエライト> 凛さん、こんばんは。マシュ・キリエライトといいます   (2018/6/6 02:22:19)

弦巻マキ＠リボン> 安心（ほっ）　と。ともあれ凛ちゃんもこんばんは。良い時間なのに皆元気だねえ……ってブーメランじゃんっ（がーん   (2018/6/6 02:22:45)

マシュ・キリエライト> わたしならざるわたしの出現です。多重次元わたし現象です。ルブルは広いです   (2018/6/6 02:23:05)

渋谷凛> 渋谷凛だよよろしくね。　キャラだけでいうなら…同じキャラは一杯色んな部屋にいるしね……イメージカラーが付いてると名前色も似るし   (2018/6/6 02:23:52)

弦巻マキ＠リボン> 多分わたしみたいにマークついてる方が珍しいよね（こんなふーに、ってリボンでポニテに縛ってるのを見せながら）   (2018/6/6 02:25:43)

マシュ・キリエライト> そうですね、凛さんやマキさんもほかのお部屋に他の方がいらっしゃるかもです。不思議です   (2018/6/6 02:25:44)

弦巻マキ＠リボン> ほら、わたしはソフトとマスターの数だけいるから（そっと視線をそらす。ここにも別のわたしきてたりしたから識別子をつけたっていうのもあるんだけどね）   (2018/6/6 02:26:43)

マシュ・キリエライト> わたしもわたしの識別符号を考えるべきでしょうか……シャルロットさんのように一人用キャップを採用すべきかもしれません。検討課題です   (2018/6/6 02:26:58)

渋谷凛> 別の私がいたからキャラを変えたこともあるしね……備考でも識別ついたりはするし   (2018/6/6 02:28:42)

マシュ・キリエライト> 備考ですか、参考になります。わたしの場合は、茜さん……ふらいんぐうぃっちの茜さんなどに交代する事になるのでしょうか。あまり人員を増やすと、わたしの無意識（なかのひと）が混乱する可能性もあるのですが   (2018/6/6
02:31:01)

弦巻マキ＠リボン> 同作縛りだとすると重複も結構ありうるしねえ……ああ、うん、備考で変える事もあるある。　わたしも変えるほうがいいかなあ（誰か候補いるかなあ、ってぽちぽち）   (2018/6/6 02:31:40)

渋谷凛> 出身モバデレ表記なのは一応私だけだしね…　まぁわかればいいんじゃないかな？   (2018/6/6 02:33:09)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/6/6 02:33:43)

マシュ・キリエライト> こんばんは、リグルさん。……丑三つ時なのに、なんだか頭数が揃ってきてしまいました   (2018/6/6 02:34:17)

リグル・ナイトバグ> 時間が時間だからそんなには長く居るかは判らないけれど(扉を開けつつ、割と被りは無い私なのは幸いなのかなぁって)こんばんはだね。(妖怪の時間って訳じゃ無いけど)   (2018/6/6 02:34:33)

弦巻マキ＠リボン> 成る程なあ……おぼえとこう（めもめもしておく）　　おや、リグルちゃんもこんばんはー。   (2018/6/6 02:34:58)

渋谷凛> はいこんばんわ…逆に言えばリグルさん自体が珍しいのかな？　   (2018/6/6 02:36:30)

