/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月09日 13時36分 ～ 2018年06月11日 09時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

フカ次郎> いや、大丈夫……14時からちょっと野暮用だから   (2018/6/9 13:36:14)

大宮勇> あらそう、分かったわ、もう解散しとく？   (2018/6/9 13:36:41)

フカ次郎> ん、勇に任せるよー   (2018/6/9 13:37:02)

大宮勇> まだいるわ…   (2018/6/9 13:37:27)

フカ次郎> あいさ。じゃあ私も居るよ(隣に座りつつ   (2018/6/9 13:37:51)

大宮勇> ふふ…(ニコリと笑い)そうね   (2018/6/9 13:38:29)

フカ次郎> 勇もアイス食べる？そういえば（すっかり溶けた奴を飲みつつ。出しっぱなしだった   (2018/6/9 13:43:56)

大宮勇> ええ…お願いするわ…(うんと)   (2018/6/9 13:44:37)

フカ次郎> りょーかい……（のそのそ、と冷蔵庫の前に。少しして、スプーンとチョコ味のレディボーデンをどんっと   (2018/6/9 13:45:58)

大宮勇> ありがとうね…(食べながらお礼)   (2018/6/9 13:46:42)

フカ次郎> いえいえ。にしてもほんと熱いな今日   (2018/6/9 13:49:28)

大宮勇> そうね…家から出たくないわ…   (2018/6/9 13:49:51)

フカ次郎> おまけにこれ、夜は降るんでしょー？もうたまんないや……(ぐったり   (2018/6/9 13:51:18)

大宮勇> そうね…(ヨシヨシと撫でて)   (2018/6/9 13:51:43)

フカ次郎> せーがさんといい、甘やかされてばっかだな私は（今更。でも撫でられるのも嫌いではないのでそのまんま。   (2018/6/9 13:52:42)

大宮勇> 私は姉だからね…(撫でつつ)   (2018/6/9 13:53:13)

フカ次郎> 成る程、甘やかし慣れてるのか(こくこく。理解した   (2018/6/9 13:54:38)

大宮勇> ええ…(撫でつつも)可愛いわね   (2018/6/9 13:55:37)

フカ次郎> む……こう、若干照れるなー。アバターの時もリアルの時もよく言われるけど、なんかこう……(頬をかきつつ。   (2018/6/9 13:56:37)

大宮勇> アバター？リアル？あ、ゲームの話ね…(撫でつつも)   (2018/6/9 13:57:45)

フカ次郎> ゲームっていうか……なんていうか。話せば長い(んん   (2018/6/9 14:00:19)

フカ次郎> っと。もう時間だし、私はこれで。またね(ひょこ。すすす、っと出て行く   (2018/6/9 14:00:56)

おしらせ> フカ次郎さんが退室しました。  (2018/6/9 14:01:00)

大宮勇> ええ…   (2018/6/9 14:01:36)

おしらせ> 大宮勇さんが退室しました。  (2018/6/9 14:01:39)

おしらせ> 九条カレンさんが入室しました♪  (2018/6/9 14:01:46)

九条カレン> キャラ変更デース   (2018/6/9 14:02:02)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/6/9 14:22:10)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/9 17:17:13)

霍青娥> こんばんは（ご挨拶しながら部屋の中に入ると温泉にして脱衣所でゆっくりと服を脱いでいき   (2018/6/9 17:17:40)

おしらせ> 大宮忍さんが入室しました♪  (2018/6/9 17:20:48)

大宮忍> 失礼しますね？(お風呂場なのでドアを開けて脱衣場で)   (2018/6/9 17:21:15)

霍青娥> こんばんは、えーと（初めて会うので首を傾げつつ下着を脱ぐ前だったのでブラのホックに手をかけつつ   (2018/6/9 17:22:10)

大宮忍> あ、えっと大宮忍です(ぺこりと)勇お姉ちゃんの妹なんですが…ご存知ですか？   (2018/6/9 17:23:23)

霍青娥> ああ、勇ちゃんの言ってた、青娥よ…よろしくね（そう言いながら微笑みながらご挨拶して   (2018/6/9 17:24:06)

大宮忍> 貴方が青娥さんでしたか(ニコリと笑いつつ)お姉ちゃんから話は聞いてますよ♪えっと…エロい仙人だと…   (2018/6/9 17:25:08)

霍青娥> ふふ、恥ずかしいわね（クスクス微笑みながらそう言いつつ、あなたのお姉さんもエッチよと言いながら裸になるといきましょうかと伝えて   (2018/6/9 17:26:20)

大宮忍> お姉ちゃんもエッチでしたか…(家だとあんなにかっこいいのになって、とりあえず忍も服を脱いで着いて行き)   (2018/6/9 17:28:56)

霍青娥> ふふ…（優しく相手を連れて温泉に来るととりあえず身体を洗い始めて泡まみれになる青娥の身体   (2018/6/9 17:30:25)

大宮忍> 私も洗わないと…///(シャンプーをかけて髪を洗い)   (2018/6/9 17:31:23)

霍青娥> ふふ…洗ってあげましょうか？（泡まみれの姿で聞きながら相手を見つめて、たぶん温泉と言われなければ風俗街のところにいる嬢で   (2018/6/9 17:32:36)

大宮忍> え？お願いします…///(恥ずかしげにそうお願いする、青娥さんすごいと思い)   (2018/6/9 17:34:05)

霍青娥> ん…はぁい♥（相手に言われると後ろにきてタオルと手…どっちがいいかしら？と耳元で囁いて肩に手を乗せて見つめていて   (2018/6/9 17:35:46)

大宮忍> 手でお願いします…///(恥ずかしげにそう伝える忍)   (2018/6/9 17:37:36)

霍青娥> いいわよ…（耳元で言うと優しくまずは相手の首あたりを優しく洗い始めて   (2018/6/9 17:39:32)

大宮忍> …/////(恥ずかしそうにしつつつも楽しそう)   (2018/6/9 17:40:32)

霍青娥> どんなことお姉さんから聞いてるの？（自分のことを聞きながらゆっくりと腕を手で洗っていき   (2018/6/9 17:41:26)

大宮忍> え？凄いだらけてるお方だと…///(悪意はないがそんなこと言ってたと)   (2018/6/9 17:43:08)

霍青娥> ふふ…合ってるわね（そう言いつつ優しく腕からゆっくりと相手の胸とお腹に手を回して洗って   (2018/6/9 17:44:35)

大宮忍> んん…///そうでしたか…///(照れつつもそう伝えて擽ったそうに)   (2018/6/9 17:45:40)

霍青娥> ええ…堕落してるから（そう言いつつ優しく胸を掴み優しく揉んでいきつつ後ろからふーっと息を吹きかけて   (2018/6/9 17:46:17)

大宮忍> それはそれで心配ですぅ…///(身体を震わせて恥ずかしそうに)   (2018/6/9 17:48:21)

霍青娥> いいわよぉ…堕ちるのも（そう言いながらそのまま手を下に腰を通過しながら相手の太ももに手を這わせて優しく洗って   (2018/6/9 17:49:37)

大宮忍> そ、そうですか？…///(照れながらも身体を震わせて)   (2018/6/9 17:51:50)

霍青娥> んふふ…（そのまま洗って片足を片手で洗いつつもう片方の手を相手の股間に持ってくると優しく撫でるように洗って   (2018/6/9 17:52:38)

大宮忍> ひゃん…///(流れてくる快感に目を閉じて)   (2018/6/9 17:54:12)

霍青娥> んふふ…姉と同じで反応がいいわ♥（耳元で囁きつつ優しく股間を撫で回しつつ後ろから密着して背中に大きな胸を押し付けて   (2018/6/9 17:55:07)

大宮忍> あ、ありがとうございます…////(照れながらもお礼を言うと)   (2018/6/9 17:57:00)

霍青娥> んっ…（そのまま優しく股間を撫で回しつつもう片方の足も洗い終わると手を離してあげて   (2018/6/9 17:57:33)

大宮忍> はわ…///ありがとうございます…///(腰をガクガクさせつつお礼を行って)   (2018/6/9 17:58:40)

霍青娥> んふふ…感じちゃった？（そう言いながら相手に聞きつつゆっくりと泡を流すようにシャワーをかけていき   (2018/6/9 17:59:29)

大宮忍> は、はいぃ…///(なれない感覚のため気持ちよさそうに)   (2018/6/9 18:00:20)

霍青娥> ん…（相手を見つめながら優しく頭を撫でつつ洗い終わるとエッチなこと好き？と聞きつつ後ろから抱きしめてあげて   (2018/6/9 18:01:04)

大宮忍> はい…///まだ慣れてないため(そう伝えて)   (2018/6/9 18:01:40)

霍青娥> そう…かわいい（そう言いながら後ろから頬にキスをして   (2018/6/9 18:02:05)

霍青娥> ん、ごめんね…ちょっと呼ばれちゃったわ（そう言いながら相手を離して   (2018/6/9 18:02:30)

大宮忍> お疲れ様です…///お相手ありがとうございます…////   (2018/6/9 18:03:17)

霍青娥> ごめんね…（優しく撫でて、いなくなり   (2018/6/9 18:03:45)

おしらせ> 霍青娥さんが退室しました。  (2018/6/9 18:03:50)

大宮忍> はい…///   (2018/6/9 18:04:56)

おしらせ> 大宮忍さんが退室しました。  (2018/6/9 18:04:58)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/9 19:02:26)

霍青娥> ふぅ、ただいま（そう言いながら戻って来ると先ほど入らなかった温泉にザブーンと入って   (2018/6/9 19:02:53)

霍青娥> はふぅ…（温泉の暖かさを堪能しながらゆったりしつつ   (2018/6/9 19:08:27)

霍青娥> やっぱり温泉はいいもの（そう言いながらゆったりとしながらお酒を用意しつつゆったりと飲みながら温泉に浸かっていて   (2018/6/9 19:17:47)

おしらせ> 大宮忍さんが入室しました♪  (2018/6/9 19:18:58)

大宮忍> 【ただいまです】   (2018/6/9 19:19:05)

霍青娥> 【おかえりなさい、さっきはごめんなさいね   (2018/6/9 19:19:15)

大宮忍> 【大丈夫ですよ】   (2018/6/9 19:19:46)

霍青娥> 【ありがとう   (2018/6/9 19:20:31)

大宮忍> ただいまです～(手を振りながらお風呂へ)   (2018/6/9 19:20:54)

霍青娥> おかえりなさい（微笑みながらゆったりとお酒を飲みつつ温泉に入っていて   (2018/6/9 19:22:08)

大宮忍> はい～(お風呂に浸かり)   (2018/6/9 19:22:47)

霍青娥> ん…（相手も入ってくるとゆったりとしつつお酒を堪能していて   (2018/6/9 19:24:19)

大宮忍> お酒ですか？(眺めつつ)   (2018/6/9 19:25:19)

霍青娥> そうよ、飲んでみる？（クスクス微笑みながら聞いてみて悪い笑みを見せつつ   (2018/6/9 19:25:55)

大宮忍> わ、私は高校2年ですから…お縄にかかってしまいますよ…   (2018/6/9 19:26:39)

霍青娥> 大丈夫、本当に飲んで捕まったりはしないわよ（クスクス微笑みながらそう言いつつ、相手にはずっと冷えたままの炭酸ジュースを渡してあげて   (2018/6/9 19:28:39)

大宮忍> そうですか？(とりあえずうけって飲んでみて)ありがとうございますね   (2018/6/9 19:29:22)

霍青娥> それなら大丈夫よ、サイダーだから（そう言いながらこちらはゆったりとお酒を飲みつつ   (2018/6/9 19:31:35)

大宮忍> なるほど…(飲んでみつつ)   (2018/6/9 19:32:01)

霍青娥> んん〜（ゆったりとしながら気持ちよさそうに飲んでいて   (2018/6/9 19:34:46)

大宮忍> ～(ご機嫌そうにお湯に浸かり)   (2018/6/9 19:36:04)

霍青娥> 【また呼ばれた…行ってくるわ…ゆっくりできるようになったらくるわ…本当にごめんなさいね…   (2018/6/9 19:40:15)

おしらせ> 霍青娥さんが退室しました。  (2018/6/9 19:40:19)

大宮忍> はーい   (2018/6/9 19:41:26)

おしらせ> 大宮忍さんが退室しました。  (2018/6/9 19:51:23)

おしらせ> 大宮忍さんが入室しました♪  (2018/6/9 23:02:53)

大宮忍> 【今日は寝ないとなのでまた明日】   (2018/6/9 23:03:14)

おしらせ> 大宮忍さんが退室しました。  (2018/6/9 23:03:16)

おしらせ> 京町セイカさんが入室しました♪  (2018/6/10 02:59:52)

京町セイカ> あふ……うう、夏に近付いたのをこんなことで実感するなんて……（一度は眠りに就いたものの、蚊の羽音と痒みで起こされてしまいました。寝直すにも少し喉の渇き潤しておこうと思いまして、リビングへと来てみました。寝ぼけ眼こすりつつ、冷蔵庫に何か無いか物色してみましょう）
  (2018/6/10 03:06:39)

