/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月26日 15時18分 ～ 2018年06月27日 09時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

田井中律> まだこんにちはじゃね？(笑いながら背泳ぎぷかぷか～)   (2018/6/26 15:18:42)

弱音ハク> えっとCPってなんでしょう   (2018/6/26 15:18:46)

田井中律> ああ、カップリングの事な？   (2018/6/26 15:19:22)

弱音ハク> なるほです   (2018/6/26 15:19:33)

弱音ハク> 大丈夫、私ギャグ枠で、相手もいませんから（相手されてないとも言う）   (2018/6/26 15:20:11)

田井中律> ハク水着は？(きょと)ここはプールだぞ？(笑)   (2018/6/26 15:21:03)

弱音ハク> 勿論お相手してくださる方が居たら別ですけど、そんな奇特な人いませんしね   (2018/6/26 15:21:16)

弱音ハク> こんな格好ですよ―？   (2018/6/26 15:22:34)

田井中律> そういうのは雰囲気で良いんじゃね？   (2018/6/26 15:22:43)

弱音ハク> 色は虹色です   (2018/6/26 15:22:48)

弱音ハク> （虹色は同性愛者の証）   (2018/6/26 15:23:11)

田井中律> 麦わら帽子って泳がない気満々かよ？(笑)   (2018/6/26 15:23:44)

弱音ハク> 泳ぐのも好きですけど、ちょっと安kもうかなと（一升瓶から喇叭で）   (2018/6/26 15:24:10)

田井中律> (Σマジか？！)   (2018/6/26 15:24:14)

田井中律> お酒ばっかりだとアルコール中毒になるぞ？(心配しながら)   (2018/6/26 15:25:02)

弱音ハク> （歌以外に定評が有るとは伊達じゃなく、泳ぎどころか踊れもする。水中で）   (2018/6/26 15:25:26)

弱音ハク> はっはっは、あるちゅーですか？とっくになってますよー   (2018/6/26 15:25:49)

田井中律> とっくかよ！ダメな大人だなぁ(笑)   (2018/6/26 15:26:30)

弱音ハク> 酒が無き人生とか歌えないボカロか無いですか！すなわち私です！！   (2018/6/26 15:26:50)

弱音ハク> でも、すこしおよごうかなぁ……   (2018/6/26 15:27:16)

弱音ハク> （防止とパレオを外し椅子においてまずは準備体操から）   (2018/6/26 15:28:00)

田井中律> ちょっと運動がてらに泳ごうよ？(プールサイドに身を乗り出して)   (2018/6/26 15:28:20)

弱音ハク> ちょっと待ってくださいね（じっくりと準備運動を、酔ってるくせにそれはまるで格闘技者のように）   (2018/6/26 15:29:07)

田井中律> (準備運動するハク見て)まじめかよ？私は体操しないで泳いじゃったよ(笑)   (2018/6/26 15:29:19)

弱音ハク> そう言うのは心臓に負担をかけますし筋肉も痛めますよ？　準備運動は甘く見ないほうがいいです   (2018/6/26 15:30:13)

弱音ハク> （10分近く体を動かし、柔軟（やたら柔らかい、と以下どこまで曲がるの？って感じで）も済まし   (2018/6/26 15:31:20)

田井中律> 優等生発言！あいたたた～私にゃ無理だわ。和みたいだな(笑)   (2018/6/26 15:31:32)

弱音ハク> それでは入りますね（飛び込んだりせず、ゆっくり脚から水に使って）   (2018/6/26 15:32:02)

田井中律> いやいや、風呂かよ！(笑)   (2018/6/26 15:32:31)

弱音ハク> す、涼しい……これはいいかも　……（すいーーーーっと律さんのそばに寄り）   (2018/6/26 15:33:06)

弱音ハク> お風呂も一緒ですよ？一気に入れば体に悪いですし   (2018/6/26 15:34:08)

田井中律> だろ？プールは結構良いもんだよな？(ハクが泳ぎながら寄ってくるのを見ながら)　   (2018/6/26 15:34:23)

田井中律> お風呂は先にシャワーあびるじゃん？   (2018/6/26 15:34:57)

弱音ハク> （なお泳いでるように見えず。魚のようにスーッと近づきました）   (2018/6/26 15:34:57)

弱音ハク> それでｋｍこ、ですよ？   (2018/6/26 15:35:20)

弱音ハク> それでも、ですよ？   (2018/6/26 15:35:29)

