/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年07月03日 02時21分 ～ 2018年07月09日 19時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アティ> （おうちがありました。そのままひきづらーれー。（未来予測。））   (2018/7/3 02:21:10)

結月ゆかり> ん…分かりました。お家、開けておいたので行きましょうか。(絡めた指を握りつつくい、くい。もうお家は立ててあるので、入るだけです。なんて…)   (2018/7/3 02:21:12)

おしらせ> アティさんが退室しました。  (2018/7/3 02:21:13)

結月ゆかり> (ずーりずーり。先生を引きずるゆかりんの図)   (2018/7/3 02:21:35)

おしらせ> 結月ゆかりさんが退室しました。  (2018/7/3 02:21:38)

おしらせ> 竹井 久さんが入室しました♪  (2018/7/3 09:39:59)

竹井 久> 【おはよう♪】   (2018/7/3 09:40:23)

竹井 久> 　   (2018/7/3 09:40:25)

竹井 久> (部屋に入ると腕を組んで麻雀の部室にしようと思って)今日のお部屋は麻雀部室よ！   (2018/7/3 09:43:59)

竹井 久> 【麻雀部室の概要は中央に雀卓があります。横に保健室に有るような簡易ベットがあり、窓の外にも出れて海辺に使う様なビーチチェアーが有ります】   (2018/7/3 09:48:50)

竹井 久> 【追記。ベットの横に本棚があって割りと小説が置いてあります】   (2018/7/3 09:49:49)

竹井 久> 誰か来るまで本でも読んでましょう。(本を適当に選ぶと椅子に座って読み始めて)   (2018/7/3 09:51:18)

竹井 久> 暑いわね～(本を読んで居ると暑さに読む気を失せて立つと窓を開けて風を取り入れて)   (2018/7/3 10:09:35)

竹井 久> 【この時間じゃ人居ないかな～】   (2018/7/3 10:16:11)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/7/3 10:36:24)

おしらせ> 竹井 久さんが入室しました♪  (2018/7/3 13:04:33)

竹井 久> 【こんにちは♪午後も閑散と…一応待機します♪】   (2018/7/3 13:05:26)

竹井 久> やけに静かね。(部屋に入ると呟いてからソファに座って人が来るまでと読書始めて)   (2018/7/3 13:19:35)

竹井 久> (窓が開いていて風が入り込むとその風を心地よく感じながら本を読み進めながら)フフ、何時もならここで優希辺りが麻雀を誘いにくるのにね。(流石に無いなと思いながら軽く笑っていて)   (2018/7/3 13:34:16)

竹井 久> 【ROMさん一緒に遊びませんか？】　   (2018/7/3 13:43:42)

竹井 久> (窓際に凭れながら風を受けていて暇そうに)誰か話し相手でも欲しい所ね…   (2018/7/3 13:55:16)

竹井 久> 【来ないか…残念。】   (2018/7/3 14:14:56)

おしらせ> 竹井 久さんが退室しました。  (2018/7/3 14:15:28)

おしらせ> 大宮忍さんが入室しました♪  (2018/7/3 18:07:13)

おしらせ> 無言時間が20分を超えたため、大宮忍さんが自動退室しました。  (2018/7/3 18:27:28)

おしらせ> セリカさんが入室しました♪  (2018/7/3 18:33:02)

セリカ> 【こんにちは♪】   (2018/7/3 18:33:25)

セリカ> 誰も居ないのね…(リビングに入ると人が居ない様子にとりあえずと椅子に座って)誰か来るまで待ちましょう。   (2018/7/3 18:37:53)

おしらせ> 九条カレンさんが入室しました♪  (2018/7/3 18:41:10)

