/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月08日 22時27分 ～ 2018年08月11日 01時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そっか、時雨ちゃんも寝てる？】   (2018/8/8 22:27:27)

竹井 久> 【時雨も危なそうね？】   (2018/8/8 22:27:58)

九条カレン> 【お疲れ様デース？】   (2018/8/8 22:28:07)

おしらせ> 無言時間が20分を超えたため、時雨さんが自動退室しました。  (2018/8/8 22:28:49)

竹井 久> 【美穂子も戻って来なさそう】   (2018/8/8 22:28:50)

九条カレン> 【だね】   (2018/8/8 22:29:23)

竹井 久> 【うん、そろそろ眠くて…寝るわね？おやすみカレン(額にキス)】   (2018/8/8 22:32:58)

九条カレン> 【お疲れ様デース…///(にこり)】   (2018/8/8 22:33:33)

竹井 久> 【おやすみなさい】   (2018/8/8 22:33:52)

おしらせ> 竹井 久さんが退室しました。  (2018/8/8 22:33:56)

九条カレン> 【はーい！】   (2018/8/8 22:34:06)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/8/8 22:54:17)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/8 22:54:36)

九条カレン> 【ん、もう少し待とう…】   (2018/8/8 22:54:50)

おしらせ> 九条カレンさんが退室しました。  (2018/8/8 23:09:37)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/8/9 00:57:02)

ウオッカ♀ ◆> こんばんは   (2018/8/9 00:59:02)

ウオッカ♀ ◆> 【練れないから来たぜ   (2018/8/9 01:01:25)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが退室しました。  (2018/8/9 01:15:07)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/8/9 01:18:29)

ウオッカ♀ ◆> 【待機   (2018/8/9 01:18:42)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/8/9 01:38:56)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/8/9 01:39:25)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/8/9 01:59:31)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/9 06:46:27)

竹井 久> 【こんな時間だし…待機で】   (2018/8/9 06:47:16)

おしらせ> 桂ヒナギクさんが入室しました♪  (2018/8/9 07:02:37)

桂ヒナギク> どうも～♪   (2018/8/9 07:02:48)

竹井 久> こんにちは。まさかのヒナギクなのね？(笑)   (2018/8/9 07:03:13)

竹井 久> おはようだったわ。(ミス)   (2018/8/9 07:03:36)

桂ヒナギク> 中の人がぽんぽん変えるから…カレンちゃんとか呼んできましょうか？   (2018/8/9 07:04:33)

竹井 久> 構わないわ。同じ声優で遊びたいんでしょ？付き合うわよ(フフ…)   (2018/8/9 07:05:32)

桂ヒナギク> そうですね、声が似ていたからちょっと興味があってね(くすくす)   (2018/8/9 07:07:37)

竹井 久> ハヤテは知ってるから問題無いわよ。他の作品だったらぼんやりになるわね。   (2018/8/9 07:08:31)

桂ヒナギク> 私もですね…まあ中の人が私のことを好きなのもありますね   (2018/8/9 07:09:46)

竹井 久> そうなの？私もハヤテならヒナギクが一番好きね   (2018/8/9 07:10:58)

桂ヒナギク> そうでしたか？なら嬉しいですね…(にこりと)   (2018/8/9 07:12:30)

竹井 久> それじゃあ、このまましちゃいましょうか？(ヒナギクに壁に押し付けるわ。壁ドンね)   (2018/8/9 07:13:45)

桂ヒナギク> っ…////するというのはいわゆる…レズプレイというやつですか…///   (2018/8/9 07:15:15)

竹井 久> それ以外あるかしら？(制服の中に手を入れてブラも外して直に胸を揉むわ)   (2018/8/9 07:16:16)

桂ヒナギク> それ以外にはないですが…//んっ…////積極的な人ですね…///(胸を揉まれて恥ずかしげに)   (2018/8/9 07:19:02)

竹井 久> フフ…私は決めたら即行動なのよ？(胸を揉みながら指で乳首を撫で回してみるわ)   (2018/8/9 07:20:42)

桂ヒナギク> それ言われるといい響きですが…悪くいうとエロい人になりますね…///んっ…///(乳首を撫で回されるとそこが固くなり)   (2018/8/9 07:22:48)

竹井 久> あら、私はこの部屋に入ったらエロくいくって決めてるもの。(乳首を撫で回しながら言うと乳首が堅いわ、ヒナギクの耳元で囁くわ)   (2018/8/9 07:27:00)

桂ヒナギク> こんなすぐに出会った女の子でいいんですっ…///んんっ…///か？   (2018/8/9 07:29:53)

桂ヒナギク> (言わないでくださいと言いつつも乳首は硬くて)   (2018/8/9 07:30:17)

竹井 久> あら、ここはそこ気にする部屋かしら？それにヒナギクの事好きって言ったわよ？(乳首を両方同じように撫で回して堅くしていって)   (2018/8/9 07:31:40)

桂ヒナギク> そうでしたねっ…///分かったわ…////んっ…///(胸の先端が硬くなるのを感じて)   (2018/8/9 07:34:40)

竹井 久> いい感じに乳首が堅いわ(耳元で囁いてからヒナギクの服を捲って胸を露にさせて顔埋めると乳首に吸い付くわ)   (2018/8/9 07:35:58)

桂ヒナギク> 久さんがそんなに弄るからでしょっ…////あっ……///(口調を砕けさせつつ乳首に吸い付いてくるのを見て優しく撫でて)   (2018/8/9 07:37:58)

竹井 久> フフ…感じてるから堅くなるんでしょ？(ヒナギクを見上げて言うと目の前で舌をねっとり絡ませて舐めあげるわ)   (2018/8/9 07:39:23)

桂ヒナギク> あんなに触られればそうもなるわ…////っ…///(胸を舐められながら乳首が唾液まみれになり)   (2018/8/9 07:42:12)

竹井 久> あら、私は乳首を撫でてただけよ？貴女にはそれが厭らしく感じたのなら身体はエッチよ？(そんな事言いながら乳首を舐めあげては強く吸って乳首の先を舌で舐め回すわ)   (2018/8/9 07:44:06)

桂ヒナギク> むっ…////エッチなんてあなたに言われたくないわ……///私は普通の身体よ…///(などと言いつつも吸われる感覚が癖になりもっとして欲しいと)   (2018/8/9 07:47:24)

竹井 久> 本当に？(試すように舌の先で乳首の先をちょっと舐めては放して様子を伺うわ)   (2018/8/9 07:49:09)

桂ヒナギク> っ…///(舌が離されて少し物足りなそうに体をもじもじさせて)   (2018/8/9 07:50:30)

竹井 久> ほら～どうなの？エッチな身体じゃなかったら疼かないわよね？(なんてちょっと舐めては離すのを繰り返してヒナギクの言葉を待つわ)   (2018/8/9 07:51:39)

桂ヒナギク> っ…////ずるいわよ…////(少し舐めて離されての繰り返しで)そ、そうよ…私はえっちいわよ…//   (2018/8/9 07:55:00)

桂ヒナギク> 【少し落ちるわね】   (2018/8/9 08:01:05)

竹井 久> フフ…舐めて欲しかしら？(聞きながら舌を乳首に当てて舐める準備をしてみせるわ)【遅れちゃったわ   (2018/8/9 08:02:37)

桂ヒナギク> 【ただいまー】   (2018/8/9 08:15:34)

