/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月17日 17時11分 ～ 2018年08月20日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 【ちなみに部屋は継続して露天風呂のままよ】   (2018/8/17 17:11:26)

おしらせ> ウオッカ ◆yBxYs5wJysさんが入室しました♪  (2018/8/17 18:08:59)

竹井 久> 【魚、おかえりなさい】   (2018/8/17 18:09:44)

ウオッカ ◆> 【ただいま】   (2018/8/17 18:10:36)

竹井 久> 【残念ながら誰も来なかったわ(苦笑)】   (2018/8/17 18:11:26)

おしらせ> 無言時間が20分を超えたため、ウオッカ ◆yBxYs5wJysさんが自動退室しました。  (2018/8/17 18:31:02)

竹井 久> 【あら？】   (2018/8/17 18:31:42)

おしらせ> 竹井 久さんが退室しました。  (2018/8/17 18:35:07)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/17 18:35:11)

竹井 久> 【そろそろ自動退室対策しとかないとね】   (2018/8/17 18:35:41)

竹井 久> 【白露も時雨も美穂子も急がしいみたいね…】   (2018/8/17 19:53:13)

おしらせ> ハルファスさんが入室しました♪  (2018/8/17 20:13:01)

ハルファス> （こんばんは、伝言だけ置いていくね。明日は21時くらいになりそう。それからあとは、9月になってしまうかも）   (2018/8/17 20:13:36)

竹井 久> 【こんばんは。魚は見てるかもね】   (2018/8/17 20:18:02)

ハルファス> （うん、そうだろうと思う。だからウォッカたちに伝言。ログは見るようにするから、何か残してくれると嬉しい。茜とマシュからのおつかいはそれだけ。落ち着いたらまた来るね）   (2018/8/17 20:20:04)

おしらせ> フランさんが入室しました♪  (2018/8/17 20:20:18)

フラン> こんばーんはぁ   (2018/8/17 20:20:28)

竹井 久> 【フランこんばんは】   (2018/8/17 20:20:30)

ハルファス> ……？　こんばんは。   (2018/8/17 20:20:43)

竹井 久> 【魚が入って来れば話は早いのだけどね…】   (2018/8/17 20:21:22)

ハルファス> わたしのおつかいは終わりだから、もう行くね。久と、それから耳が生えてる人、またいつかどこかで   (2018/8/17 20:22:03)

竹井 久> ええ、またね。   (2018/8/17 20:22:23)

ハルファス> （ぺこり、とお辞儀をするよ。一足早いけれど、おやすみなさい）   (2018/8/17 20:22:48)

おしらせ> ハルファスさんが退室しました。  (2018/8/17 20:22:51)

竹井 久> フラン？   (2018/8/17 20:25:55)

フラン> ん…ｋだｋｍんｌｊ   (2018/8/17 20:28:57)

竹井 久> んん？   (2018/8/17 20:29:23)

フラン> 大丈夫　【背後でちょっとごちゃごちゃしてる】   (2018/8/17 20:29:23)

竹井 久> 大丈夫なの？【忙しいなら無理しなくて良いのよ？】   (2018/8/17 20:30:35)

フラン> うん   (2018/8/17 20:38:23)

フラン> ご飯の用意をしながら　ちょこちょこっと　　だから、雑談くらいしかできないけど   (2018/8/17 20:38:35)

竹井 久> そうなのね。暇してたから大丈夫よ。   (2018/8/17 20:39:05)

フラン> うん♪   (2018/8/17 20:40:10)

竹井 久> でもあまりログ流したら魚への伝言が流れちゃうわね…   (2018/8/17 20:44:09)

フラン> 魚？　　あぁ　ウオッカか……   (2018/8/17 20:48:08)

竹井 久> そう魚。今日に限ってさっきまで居たのにね。   (2018/8/17 20:52:23)

フラン> ん　久。私そろそろ落ちるね　　ごあんたべてくる   (2018/8/17 20:54:29)

おしらせ> フランさんが退室しました。  (2018/8/17 20:56:54)

竹井 久> 【フラン、お疲れ様】   (2018/8/17 21:02:50)

竹井 久> 【私もそろそろ寝る時間だわ】   (2018/8/17 21:03:11)

おしらせ> 竹井 久さんが退室しました。  (2018/8/17 21:03:14)

おしらせ> ディアヴロさんが入室しました♪  (2018/8/17 21:31:45)

おしらせ> ディアヴロさんが退室しました。  (2018/8/17 21:31:58)

おしらせ> ウオッカさんが入室しました♪  (2018/8/17 21:32:13)

おしらせ> ウオッカさんが退室しました。  (2018/8/17 21:33:41)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが入室しました♪  (2018/8/17 21:34:00)

レム・ガレウ ◆> 【21時くらいの件、９月】≫ハルファス   (2018/8/17 21:35:08)

レム・ガレウ ◆> 【21時くらいの件、９月の件了解】≫ハルファス   (2018/8/17 21:35:38)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/17 21:49:50)

竹井 久> 【魚が居たわ。すれ違いだったわね。】   (2018/8/17 21:50:33)

竹井 久> 【個室に部屋を作ってみたわ。お暇な人遊びましょう？】   (2018/8/17 21:51:17)

竹井 久> 【それじゃまたね】   (2018/8/17 21:51:35)

おしらせ> 竹井 久さんが退室しました。  (2018/8/17 21:51:39)

レム・ガレウ ◆> 私も   (2018/8/17 21:51:43)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが退室しました。  (2018/8/17 22:06:57)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/17 22:15:30)

竹井 久> 【寝付くまで来たわ】   (2018/8/17 22:15:49)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが入室しました♪  (2018/8/17 22:30:33)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/8/17 22:36:08)

レム・ガレウ ◆> ・・・   (2018/8/17 22:39:13)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが退室しました。  (2018/8/17 22:53:07)

おしらせ> モードレッドさんが入室しました♪  (2018/8/17 23:19:22)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが入室しました♪  (2018/8/17 23:22:04)

モードレッド> うーっす入るぜ   (2018/8/17 23:23:19)

レム・ガレウ ◆> いらしゃい   (2018/8/17 23:24:55)

モードレッド> んネコかマスターが見てた小説のキャラに似てるな   (2018/8/17 23:25:35)

レム・ガレウ ◆> 異世界魔王と召喚少女の奴隷魔術っていう   (2018/8/17 23:27:11)

モードレッド> 【一応中の人は小説の頃からのファンなのでキャラは知ってます】   (2018/8/17 23:28:00)

モードレッド> 奴隷？お前さん奴隷なのかそれは災難だな   (2018/8/17 23:28:21)

レム・ガレウ ◆> 【アニメ見始めたばかりで、下手かもしれませんが】   (2018/8/17 23:28:44)

モードレッド> 【面白い作品なのでおすすめです、下手でも気にしませんよ】   (2018/8/17 23:31:21)

レム・ガレウ ◆> レベル40召還術師です、そしてあの魔王に触られました   (2018/8/17 23:32:12)

モードレッド> 魔王？よくわからないが最近の奴隷は魔法も使えるのか、名乗り遅れた俺はモードレット以後よろしく頼む   (2018/8/17 23:33:48)

レム・ガレウ ◆> ええ、以後久しく   (2018/8/17 23:44:09)

モードレッド> （ジーと尻尾と耳を見て）そういえば前、耳と尻尾が極端に弱いやつにあったな（ゆっくり手を伸ばす）   (2018/8/17 23:46:34)

レム・ガレウ ◆> シェラですか？   (2018/8/17 23:48:20)

モードレッド> いいや、別作品のやつだ（耳を触ってみる）   (2018/8/17 23:51:30)

レム・ガレウ ◆> ン（気持ちよさそうに）   (2018/8/17 23:52:32)

モードレッド> そのがな耳触ってるだけで発情しちまってな（手を引いてソファーのほうに歩いていき）お前もその口かな？（耳を再度触り始める）   (2018/8/17 23:54:31)

レム・ガレウ ◆> そんな事は   (2018/8/17 23:57:24)

