/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年10月07日 10時11分 ～ 2018年10月19日 17時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そうでしたか…お疲れ様です？】   (2018/10/7 10:11:49)

渋谷凛> 【ん、朝ご飯にはちょっと遅くてお昼ご飯には早い感じなんだけれどね（起きたの遅めと】   (2018/10/7 10:13:33)

九条カレン> 【なるほど…】   (2018/10/7 10:13:51)

渋谷凛> 【ん、私も何か食べに動いてくるね（お疲れ様かな）】   (2018/10/7 10:15:27)

九条カレン> 【はーい】   (2018/10/7 10:16:20)

おしらせ> 渋谷凛さんが退室しました。  (2018/10/7 10:16:35)

おしらせ> 九条カレンさんが退室しました。  (2018/10/7 10:17:40)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/7 18:16:45)

ウオッカ♀ ◆> 【待機します】   (2018/10/7 18:23:25)

ウオッカ♀ ◆> 今日もレース終わったぜ///(汗を拭いて、ソファーでゆっくりくつろいで)   (2018/10/7 19:04:51)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/7 19:25:29)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/7 19:34:32)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/7 19:56:13)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/7 21:06:15)

ウオッカ♀ ◆> 【待機します】   (2018/10/7 21:25:09)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/7 21:45:21)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/7 22:53:54)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/7 23:14:01)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/8 00:48:56)

ウオッカ♀ ◆> 【待機するぜ】   (2018/10/8 00:51:59)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/8 01:12:09)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/8 02:04:59)

ウオッカ♀ ◆> 【待機します】   (2018/10/8 02:13:27)

ウオッカ♀ ◆> 【ROMさん待ってるぜ   (2018/10/8 02:30:44)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/8 02:51:08)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/8 02:52:01)

ウオッカ♀ ◆> 【待機だぜ】   (2018/10/8 02:59:19)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/8 03:20:40)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/8 06:19:36)

おしらせ> ジブリールさんが入室しました♪  (2018/10/8 06:34:37)

ジブリール> 【おはようございます。   (2018/10/8 06:34:52)

ジブリール> 【カレンさん起きてますか？   (2018/10/8 06:35:23)

九条カレン> 【はい】   (2018/10/8 06:35:40)

九条カレン> 【意識飛びかけですいませんっ】   (2018/10/8 06:35:55)

ジブリール> 【よかったです。   (2018/10/8 06:36:00)

ジブリール> (部屋に入るとカレンさんを見つける)おや、人類種ですか…珍しい………   (2018/10/8 06:36:30)

九条カレン> Good morning!デース～(眠たそうにしつつも珍しいと言うのに反応する)あなたは人間じゃないデスか？   (2018/10/8 06:37:50)

ジブリール> 私は位階序列第6位，天翼種のジブリールと言います。   (2018/10/8 06:38:45)

