/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2019年02月14日 16時37分 ～ 2019年03月08日 00時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 誰か居るかしら？   (2019/2/14 16:37:34)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/14 19:26:26)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/14 22:10:58)

竹井 久> 寝るまでちょっと待機してみるわね…   (2019/2/14 22:11:35)

竹井 久> やっぱり来ないわね…時雨達は…   (2019/2/14 22:43:08)

おしらせ> 竹井 久さんが退室しました。  (2019/2/14 23:36:28)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/14 23:38:15)

竹井 久> 寝付けないのはどうしたらいいかしらね…(苦笑)   (2019/2/14 23:38:50)

竹井 久> 話し相手でも居れば良いけど…一人じゃね～   (2019/2/14 23:43:15)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/15 00:19:12)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/15 03:10:27)

竹井 久> おはよう…こんな朝早く居ないわよね…   (2019/2/15 03:13:10)

竹井 久> 目が覚めてしまったわ…(苦笑)   (2019/2/15 03:30:17)

おしらせ> 竹井 久さんが退室しました。  (2019/2/15 03:58:07)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/15 03:58:11)

竹井 久> 出かけるまでお喋り出きる子居ないかしら？   (2019/2/15 03:59:09)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/15 07:42:26)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/15 12:52:49)

竹井 久> こんにちは…誰か居るかしら？   (2019/2/15 12:52:58)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/15 13:45:14)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/15 15:33:58)

竹井 久> また待機してみるわ…   (2019/2/15 15:34:16)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/15 19:00:39)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/16 20:49:43)

竹井 久> こんばんは…誰か居るかしら？   (2019/2/16 20:50:01)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/16 22:30:30)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/16 23:25:13)

竹井 久> そうね…もう会えないのかしらね。ちょっと淋しいわね…   (2019/2/16 23:26:59)

おしらせ> 猪熊陽子さんが入室しました♪  (2019/2/16 23:39:52)

猪熊陽子> こんばんは！   (2019/2/16 23:40:02)

竹井 久> あら、こんばんは…   (2019/2/16 23:40:17)

猪熊陽子> この間は、すみませんでした…途中で寝ちゃってたです…   (2019/2/16 23:40:47)

竹井 久> 時間も遅かったし気にしてないわよ？   (2019/2/16 23:41:12)

猪熊陽子> それなら良かったぁ   (2019/2/16 23:41:46)

竹井 久> 今日は私の方が寝落ちそうだわ…   (2019/2/16 23:42:29)

猪熊陽子> 眠たいんですかぁ？   (2019/2/16 23:43:43)

猪熊陽子> お疲れ様です！   (2019/2/16 23:47:44)

竹井 久> ん…ちょっとね…   (2019/2/16 23:48:01)

猪熊陽子> 時間も時間ですしね…   (2019/2/16 23:49:10)

竹井 久> 明日も仕事だしね…明後日は休みよ…   (2019/2/16 23:49:39)

猪熊陽子> 明日も仕事なんだぁ…ホントにお疲れ様です！   (2019/2/16 23:50:37)

猪熊陽子> 私は今日が仕事だったから、明日は休み   (2019/2/16 23:51:22)

竹井 久> 平日休みなのよねぇ…   (2019/2/16 23:51:48)

竹井 久> 今日は…まあひと肌恋しいってとこかしらね？   (2019/2/16 23:52:23)

猪熊陽子> おんなじですね！私も基本平日休みです 人肌//   (2019/2/16 23:53:04)

竹井 久> あら、そうなの？でも明日は日曜よ？   (2019/2/16 23:53:38)

猪熊陽子> 今日は、夜勤明けなので、そういう時は休みです！   (2019/2/16 23:54:29)

竹井 久> 夜勤…女の子が夜勤とか心配だわ～   (2019/2/16 23:55:15)

猪熊陽子> ありがとうございます//   (2019/2/16 23:56:27)

猪熊陽子> 慣れれば全然大丈夫ですよぉ   (2019/2/16 23:56:44)

竹井 久> そう？何かあったら助けてと叫ぶより火事だって叫べば人は集まるわよ？   (2019/2/16 23:57:36)

猪熊陽子> ありがとうございます// 使う場面があったら…使うです！   (2019/2/16 23:58:36)

竹井 久> 寝るまで部屋でお話でもするかしら？(奥部屋チラッ)   (2019/2/17 00:00:04)

猪熊陽子> 奥部屋…行く！ (同じくチラリと覗き込んで)   (2019/2/17 00:01:01)

竹井 久> できたわ…寝ちゃうかもだけど良いわよね？   (2019/2/17 00:02:28)

猪熊陽子> 全然大丈夫です！   (2019/2/17 00:03:03)

竹井 久> じゃあ行きましょう。   (2019/2/17 00:03:31)

竹井 久> 確認したわ…   (2019/2/17 00:04:50)

猪熊陽子> ありがとうございます！   (2019/2/17 00:05:26)

おしらせ> 猪熊陽子さんが退室しました。  (2019/2/17 00:05:31)

おしらせ> 猪熊陽子さんが入室しました♪  (2019/2/17 00:07:10)

おしらせ> 猪熊陽子さんが退室しました。  (2019/2/17 00:13:12)

おしらせ> 猪熊陽子さんが入室しました♪  (2019/2/17 00:18:10)

猪熊陽子> お疲れ様です！ゆっくり休んでくださいね   (2019/2/17 00:18:34)

おしらせ> 猪熊陽子さんが退室しました。  (2019/2/17 00:18:37)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/17 00:24:58)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/17 04:52:44)

竹井 久> おはよう…陽子ごめんなさいね、寝てしまってたわ…   (2019/2/17 04:53:47)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/17 05:14:47)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/17 15:48:33)

竹井 久> こんにちは…誰か居るかしら？   (2019/2/17 15:55:56)

おしらせ> 竹井 久さんが退室しました。  (2019/2/17 17:31:22)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/17 19:12:15)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/17 20:23:44)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/17 20:27:23)

竹井 久> 再び待機してみるわ…   (2019/2/17 20:28:37)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2019/2/17 21:43:47)

おしらせ> 竹井 久さんが入室しました♪  (2019/2/17 21:46:59)

竹井 久> 来ないわね……   (2019/2/17 22:13:31)

