/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2019年04月28日 14時19分 ～ 2019年04月30日 15時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星井美希> 謝らなくて良いのに…今のうちにってこと？   (2019/4/28 14:19:42)

九条カレン> ハイ...(ここに居ると迷惑かもなのでと)優しくて嬉しいデス！   (2019/4/28 14:20:40)

星井美希> 今から行くとヤりたくなるけど、それでも？…優しいっていうか、ミキが気にしないで済むようにが理由だから違うと思うよ？   (2019/4/28 14:22:50)

九条カレン> なるほどデス...んー。大丈夫デスよ！(ニッコリ)   (2019/4/28 14:24:20)

星井美希> そうそう(ｺｸﾘ…本当に大丈夫？ご飯の邪魔にならない？(首を傾げ   (2019/4/28 14:25:59)

九条カレン> だ、大丈夫デスよ...////(気にしないでもデスって)   (2019/4/28 14:27:50)

星井美希> そっかぁ…そこまで…なら、部屋用意しようかなぁ…(ふむ   (2019/4/28 14:29:56)

九条カレン> お願いしてもいいデース？   (2019/4/28 14:30:34)

星井美希> お願いされたの♪   (2019/4/28 14:30:52)

星井美希> チャHに…ね？//   (2019/4/28 14:32:57)

九条カレン> ハーイ...////(こっちは抜けますねと)   (2019/4/28 14:33:43)

星井美希> 了解なの🎵   (2019/4/28 14:34:03)

おしらせ> 九条カレンさんが退室しました。  (2019/4/28 14:34:09)

おしらせ> 星井美希さんが退室しました。  (2019/4/28 14:34:20)

おしらせ> 藤原妹紅 ◆lxd9gSfG6Aさんが入室しました♪  (2019/4/28 21:43:37)

藤原妹紅 ◆> ...だれ、も...居ないかな...（とゆっくり部屋に入ってはソファに腰を下ろしてくつろぐ）   (2019/4/28 21:44:12)

おしらせ> 泉鏡花さんが入室しました♪  (2019/4/28 21:56:03)

泉鏡花> ……こんばんは。(キョロキョロと辺りを見渡してから口に出す)   (2019/4/28 21:56:38)

藤原妹紅 ◆> ...ん、こんばんは。ようこそいらっしゃい（軽く声を返しては手を振る）   (2019/4/28 21:59:04)

泉鏡花> 妹紅……さん？隣、失礼します。(無表情で相手の顔を見つめ、整った顔立ちだなぁなんて思いながらソファーに腰を下ろし)   (2019/4/28 22:01:12)

藤原妹紅 ◆> おぅ、...（隣に座った相手の顔を静かに眺めて...）あ、私は妹紅、藤原妹紅...アンタは？（手短に自己紹介して相手の名前を聞こうとして）   (2019/4/28 22:07:27)

泉鏡花> 良い名前。私は鏡花。6ヶ月で35人殺し……なんでもない。泉鏡花、です。(微かに口元に笑みを浮かべて)   (2019/4/28 22:09:56)

