/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年08月22日 23時57分 ～ 2020年08月30日 20時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北きりたん> サービス業……ああぁ。世間は欲しすぎてますよ……   (2020/8/22 23:57:23)

琴葉葵> 寝てる間とかいーよねー？   (2020/8/22 23:58:02)

琴葉茜> ……ん、久しぶりに葵ちゃんに会えたからもっといろいろお話とかしたかったねんけどなぁ……。……ここはうちが寝てる間に葵ちゃんが何してくれるか期待して…///(なんて。)ねてるあいだもええし、寝起きでってのもいいなぁ。愛されてるきーする）  
(2020/8/22 23:58:52)

東北きりたん> 葵さんの責任重大かも……(なんてくすくす。って小さく笑みを零しながら葵さん見つめて、自分もちょっとちょっかい出そうかな。なんて   (2020/8/23 00:00:03)

琴葉葵> ほんじゃ、おやすみかな。(ねーちゃんのお股を指先でピンピンっろ軽く弾きながら、明日もお仕事頑張ってね、とニッコリ笑って)   (2020/8/23 00:00:48)

琴葉茜> とくになつやすみ期間やから定休日なしとかいうきちくなところやから…んっ、そんならそろそろうちは寝るで…？ひゃう…///寝るんだからムラムラさせんでーな…?(なんて、触られると顔を赤らめてちょっとはんのうしちゃうで。)   (2020/8/23
00:02:05)

琴葉茜> ん、ふたりともおやすみなー？…今度はゆっくりおはなししよな？   (2020/8/23 00:02:40)

おしらせ> 琴葉茜さんが退室しました。  (2020/8/23 00:02:42)

琴葉葵> あー。おやすみー！   (2020/8/23 00:02:51)

東北きりたん> 茜さんおやすみなさいっ   (2020/8/23 00:03:30)

東北きりたん> ムラムラさせないでとか言いつつ、寝てる間に。とか言ってましたよね、茜さん(なんか言ってたこととされたいことのベクトル逆じゃない？って考えていて   (2020/8/23 00:04:47)

琴葉葵> 疲れてるなら寝るのが一番だし、そこで矛盾してても返してくれるだけで嬉しいなあって思うけどね。(クスクスっと笑いながら「ヤリチン姉貴」と下腹部に書いて)   (2020/8/23 00:07:02)

東北きりたん> この間私も二連続で食べられましたし……ねぇ。、そう書くのは間違いないかと(下腹部に書いた言葉を見つつ、   (2020/8/23 00:08:20)

琴葉葵> えーーそうなんだ。へー。(と言いつつ、茜の服を元に戻してやりながら、なんで食べられてんのwと笑ってみたり)   (2020/8/23 00:10:05)

東北きりたん> えー。だって、茜さんがテイクアウトしたい。って言ったから、ついて行ったら、ズッコンバッコンですよ？(それに茜さん、病みつきになっちゃったとかいってますし。なんてくすくす笑い返しつつ   (2020/8/23 00:11:19)

琴葉葵> ……それは興味あるかも。   (2020/8/23 00:14:23)

東北きりたん> 姉妹揃って……テイクアウトなら対応してますよ……(じぃ。っと見つめながら   (2020/8/23 00:15:00)

東北きりたん> ありゃ、、寝ちゃいましたかね(そっとブランケットかけてあげつつ   (2020/8/23 00:25:03)

おしらせ> 無言時間が20分を超えたため、琴葉葵さんが自動退室しました。  (2020/8/23 00:35:43)

東北きりたん> おやすみなさぁい   (2020/8/23 00:35:50)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/23 00:35:52)

おしらせ> 東北イタコさんが入室しました♪  (2020/8/23 14:03:17)

東北イタコ> ちゅわ～……　急なお仕事が入るだなんて嫌ん嫌んですわ…   (2020/8/23 14:03:50)

東北イタコ> 取りあえず『は』終わった…と思いたいですわー…やれやれですわ…   (2020/8/23 14:07:07)

東北イタコ> 物が片付かない事にはおちおちゆっくりご飯も食べられませんわ。気分的に   (2020/8/23 14:09:49)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/23 14:12:07)

東北きりたん> ふわわぁ……(目を擦りつつあくびをひとつ漏らし)あ、イタコ姉様…おはようございます   (2020/8/23 14:12:39)

東北イタコ> おはようですわきりちゃん。今まで寝てましたの？　寝坊助さんですわね(頭なでなで)   (2020/8/23 14:14:13)

東北きりたん> きりたんは夜勤明けですぅ。今まで寝てました(すりすりってしながらふわわ   (2020/8/23 14:14:49)

東北イタコ> あらぁ～　それは大変ですわねぇ…お互いに　(お疲れ様、ってほっぺたにチュッとキスして)   (2020/8/23 14:18:43)

東北きりたん> イタコ姉様もお疲れ様ですよ……夜のお仕事疲れました(キス受けて嬉しそうにしながらにへぇ、と   (2020/8/23 14:19:54)

東北イタコ> 生活リズムが狂うから大変ですわね…　(おねーちゃんも一時夜のお仕事してて体が参りましたわぁ)   (2020/8/23 14:22:18)

東北きりたん> 夜のお仕事はからだにきますぅ(ぐでぇん。姉様にだるだる。と   (2020/8/23 14:27:42)

東北イタコ> よし、よし。(頭撫でて優しく抱き止めて)   (2020/8/23 14:28:28)

東北きりたん> はぅ〜♪(すりすり。お腹に手を当ててずりぃ   (2020/8/23 14:33:06)

東北イタコ> やんっ。きりちゃんのえっち   (2020/8/23 14:33:27)

東北きりたん> ほぇ？(下腹に手を当ててずりずりぃ。首傾げてるけど確信犯   (2020/8/23 14:34:47)

東北イタコ> んもー、悪いお手々ですわ(お痛してる手を軽く掴んで)   (2020/8/23 14:35:34)

東北きりたん> 柔らかいお腹ですよぉ？姉様(手を掴まれながらグリグリって押し付けて   (2020/8/23 14:37:52)

東北イタコ> 聞く耳持たない悪い子ですわねぇ(両耳の耳たぶを摘まむと、左右にうりうり引っ張りながらむにむに、くすぐり)   (2020/8/23 14:40:06)

東北きりたん> 悪い子なのは前回知れたでしょう？姉様(耳引っ張られてうがうがってしながら、指の腹でズリぃ。と撫で上げて   (2020/8/23 14:40:52)

東北イタコ> そうですわねぇ。　もうちょっと反省しないとまたお仕置きしちゃいますわよー(耳の穴も指先でコショコショ)   (2020/8/23 14:42:08)

東北きりたん> またおしおきされるんですかぁ？(すすす。ともう少し下へと指を動かして、にひひ。と   (2020/8/23 14:44:29)

東北イタコ> こーら。おねーちゃんお痛が過ぎますと怒っちゃいますわよ？(きりちゃんを背中からだっこして、お腹に手を重ねてむぎゅ。と拘束　ぉ)   (2020/8/23 14:45:44)

東北きりたん> 怒っちゃっても、そんなところも可愛いですよ姉様(後ろから拘束されながらにへら。と笑いかけて。そのままお手手をずりずり動かして   (2020/8/23 14:49:27)

東北イタコ> ちゅわー…   (2020/8/23 14:50:37)

東北きりたん> んふふぅ(もそもそ   (2020/8/23 14:51:31)

東北イタコ> …ちゅわわわぁぁぁ…(お昼も食べたし一応仕事も片が付いたしで安心したのか欠伸が出ちゃう)   (2020/8/23 14:53:51)

東北きりたん> ……(はぁぁ、かわぃ。ってかなり小さい声で呟きつつ、ぎゅむぅ。って抱きしめていて   (2020/8/23 14:54:29)

東北イタコ> …ちゅわ…？　(何か言ったのは聞こえて)   (2020/8/23 14:55:08)

東北きりたん> んぅ……？(もしかして聞かれたかな。って内心焦りつつ誤魔化すように下腹部こすこす   (2020/8/23 14:56:18)

東北イタコ> んもう。きりちゃん背中から抱っこしてるのに撫でてくるなんて、器用なことしますわねぇ   (2020/8/23 14:57:09)

東北きりたん> 拘束されててもおてては少し動かせるので(スカート越しにふとももすりすりぃ   (2020/8/23 14:58:02)

東北イタコ> お手々も拘束しなきゃ、かしら？(こんな風に。って、お手々ぱちぱち。するみたいに優しく手を取って)   (2020/8/23 14:59:34)

東北きりたん> それならこうします……♪(拘束されたまま後ろへ。背後にあるソファに2人で寝転がって   (2020/8/23 15:00:24)

東北イタコ> あらあらあら。(ソファーにぽてん)   (2020/8/23 15:02:09)

東北きりたん> そしてからのこうです(膝を曲げると、足の親指をもっとピンポイントに当ててぐにぐに   (2020/8/23 15:02:40)

東北イタコ> ちゅわあっ！？　きりちゃん、トリッキー過ぎませんこと！？　(其処まで執拗にお腹グニグニしたいの？　って)   (2020/8/23 15:04:13)

東北きりたん> 手が使えないなら足を使いますよ？(ってお腹から太もも。下着の方へと、指を動かしつつ   (2020/8/23 15:05:02)

東北イタコ> あーもー、変に関節曲げて痛めたら見てるこっちが怖いですわ(お腹にぽふっと抱きしめて)   (2020/8/23 15:05:59)

東北きりたん> 大丈夫ですよー？(そのまま敏感なとこをぐにぃ。って足で押し付けて刺激していきながら   (2020/8/23 15:07:09)

東北イタコ> でーすーかーらーにゃー。おねーちゃんのお腹イジイジしたいなら可愛いお手々で、正直にやりなさい、ですにゃ   (2020/8/23 15:08:18)

東北きりたん> おててでですか？((そのまま簡単に拘束から抜けて向かい合うように向きを変えて   (2020/8/23 15:09:00)

東北イタコ> ちゅわ。　お腹ナデナデ位ならおねーちゃんも文句言いませんわよ。お痛したら、お仕置きですわ(良い笑顔)   (2020/8/23 15:12:40)

東北きりたん> じゃあおててでマッサージしてあげますね(完全に悪い顔しつつ、スカートにもそ。と手を入れ込んでしまって   (2020/8/23 15:13:27)

東北イタコ> きりちゃん何処にお手々突っ込んでますの！？   (2020/8/23 15:14:48)

東北きりたん> え？ここですけど？(下着に指を這わせてにひひ。   (2020/8/23 15:15:13)

東北イタコ> セクハラ！　セクハラですわ！　(ぶぶー！　って駄目マークが出て、きりちゃんのお手々ボッシュート。　ぉ)   (2020/8/23 15:18:03)

東北きりたん> あららぁ……姉様。いまそうしたら、こうなっちゃいます(お手手ボッシュートされてお胸に顔がぽふん。と。ふぅ、ふぅ。と息ふきかけて   (2020/8/23 15:19:21)

東北イタコ> もー…　きりちゃんはセクハラ魔神さんですわね。(胸に顔が埋まるのは良しとしましょう)   (2020/8/23 15:20:24)

東北きりたん> はむ……♪(そのままはむ。と唇で挟むように甘噛みしてイタズラ猫の本領発揮   (2020/8/23 15:21:00)

東北イタコ> んもうっ   (2020/8/23 15:24:07)

東北きりたん> れへへ……♪(服に唾液着いちゃいました。ってちょっとエッチに笑って   (2020/8/23 15:24:32)

東北イタコ> スケベさん、ですわ　(頭を軽くぺちんと)   (2020/8/23 15:25:27)

東北きりたん> 姉様の方がもっとスケベさんですぅ(妹に襲いかかるんですから。って言い返して   (2020/8/23 15:26:02)

東北イタコ> あれはお仕置きですわー   (2020/8/23 15:26:18)

東北きりたん> おしおきという名の欲求を満たす行為なのでは？(腰を擦り付けてみたり   (2020/8/23 15:26:59)

東北イタコ> そう言う割りにはきりちゃんもかなり悦と快楽に浸ってましたわよ？   (2020/8/23 15:27:32)

東北きりたん> よるこのお仕事をしてるきりたんなのですから、ねぇ(当たり前ですし。なんて   (2020/8/23 15:28:11)

東北イタコ> やれやれ…ですわー   (2020/8/23 15:28:41)

東北きりたん> うにゃふぅ(もそもそ   (2020/8/23 15:28:59)

東北イタコ> (頭なでなで…　…話題が尽きましたわー…　ぉ)   (2020/8/23 15:33:04)

東北きりたん> (話題が尽きたのであれば熟したきりたんという果実を冷やしてあるのでお昼のおやつにどうですか？   (2020/8/23 15:33:41)

東北イタコ> (ちゅわ～…お仕事の疲れが抜けきってませんのよね…肩こりが…)   (2020/8/23 15:36:23)

東北きりたん> (それなら、きりたんがしっかりマッサージを   (2020/8/23 15:36:44)

東北イタコ> ちゅわー(お願い良いのかしら)   (2020/8/23 15:37:43)

東北きりたん> んぅ(もちらん、いいですよ〜？肩からとんとん。ってロリっ子がマッサージ致しますよ   (2020/8/23 15:38:19)

東北イタコ> お願いしますわぁ…　(はふん…)   (2020/8/23 15:39:04)

東北きりたん> はぁ〜い(うつ伏せに寝れる形にしてあげて、上から乗っかって、肩甲骨から押してマッサージ開始。   (2020/8/23 15:39:57)

東北イタコ> んちゅぅ～…   (2020/8/23 15:40:32)

東北きりたん> んふぅ〜♪(耳たぶ甘噛みしてとんとん。と肩を優しく叩いていき   (2020/8/23 15:41:53)

東北イタコ> ちゅわっ　(不意の甘噛みにびくっとして)   (2020/8/23 15:42:28)

東北きりたん> ふぅ、ふぅ……(力込めて体力使っているのか、ふう、と甘い息漏らしながら肩のマッサージ続けて   (2020/8/23 15:43:04)

東北イタコ> ちゅわわ…耳が擽ったいけど気持ちいいですわ…   (2020/8/23 15:51:51)

東北きりたん> 気持ちよかったなら良かったですぅ(疲れを取るなら。という馬鹿な思考でまた足の方へお手手スリスリ   (2020/8/23 15:53:51)

東北イタコ> 脹ら脛、揉んでくださる？　きりちゃん(うっとりリラックスモード)   (2020/8/23 15:54:44)

東北きりたん> わかりましたぁ〜。♪(ゆっくり脹ら脛に手を這わせてもみもみ。腰擦り付けてもみもみと   (2020/8/23 15:56:03)

おしらせ> Michelleさんが入室しました♪  (2020/8/23 15:56:23)

Michelle> 邪魔してごめんなさい 一晩だけ男の人を探してて... 助けてもらえますか？私の連絡先はこちら - adultlovex.com   (2020/8/23 15:56:25)

おしらせ> Michelleさんが部屋から追い出されました。  (2020/8/23 15:56:28)

東北イタコ> あふぅ…//　(まったり)   (2020/8/23 15:56:48)

東北きりたん> 姉様のこえ……(ボソボソ。って呟きながらふくらはぎふにふに。ズリ。って腰腰つけて   (2020/8/23 15:57:30)

東北イタコ> …んぅ。きりちゃん、なんだか腰つきがエッチではなくて？(擦りつけられる感覚がなんだかえっちだなー、と)   (2020/8/23 15:58:39)

東北きりたん> そ、そんなことないですよ(プラグイン入って興奮してきた。なんての隠しつつふくらはぎのほうへ意識持っていかせようと   (2020/8/23 15:59:28)

東北イタコ> なら構いませんけれども…　ちゅわわわぁぁぁ…(眠たげに)   (2020/8/23 16:00:05)

東北きりたん> 姉様眠そう……(ちょっと固くなっちゃったそれを押し付けちゃいながら耳たぶあむ。って   (2020/8/23 16:00:51)

東北イタコ> ちゅうわぁ…　きりちゃん、えっち。(堅い物感じて、耳の甘噛みから察して)   (2020/8/23 16:01:47)

東北きりたん> えへへ……(姉様が興奮させるから……って耳元に小さく囁きつつ   (2020/8/23 16:02:10)

東北イタコ> マッサージお願いしただけですわぁ…   (2020/8/23 16:02:31)

東北きりたん> ちゃんとマッサージの一環です(グリグリ。って押し付けて   (2020/8/23 16:03:39)

東北イタコ> おちんちん押し付けるのはセクハラですわ…　ふぁ…　お昼寝しますわ…　きりちゃん、またねぇ、ですわ   (2020/8/23 16:04:30)

おしらせ> 東北イタコさんが退室しました。  (2020/8/23 16:04:36)

東北きりたん> イタコ姉様おやすみなさいませぇ   (2020/8/23 16:04:51)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/23 16:04:56)

おしらせ> 琴葉葵さんが入室しました♪  (2020/8/23 21:37:19)

琴葉葵> あああああーーーーらぐらぐらぐ！！(バンバンっと机を叩きながら机に突っ伏して)   (2020/8/23 21:38:00)

琴葉葵> あのラグさえなければーーーうばあああ。(本気で悔しいようで、机に突っ伏したままスマホの画面を見つめ続けて)   (2020/8/23 21:42:52)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/23 21:43:21)

東北きりたん> んやぁ、なにか騒いでるボイスロイドさんが一人、。こんばんはです   (2020/8/23 21:43:44)

琴葉葵> あ。やほやほ。(げっそりとした顔を上に向けて)   (2020/8/23 21:44:20)

東北きりたん> あはは、なにかあったんですか？(クスクスと笑いつつ首傾げt   (2020/8/23 21:45:06)

琴葉葵> 勝ち確定なのに、ゲームがクラッシュして負けたんよお……(ゔぉいゔぉい)   (2020/8/23 21:52:39)

東北きりたん> ゲームが……   (2020/8/23 21:53:24)

東北きりたん> クラッシュなんて(一番ダメなやつ   (2020/8/23 21:53:34)

琴葉葵> そーでしょー？どんだけ運ないんだよって話だよね。(バンバン)   (2020/8/23 21:54:52)

東北きりたん> ゲームがクラッシュは、気分的にも嫌になっちゃうやーつですよ   (2020/8/23 21:55:22)

琴葉葵> せっかく今日はガッツリしよーと思ったのにい。(むうっとむくれながら、不満顔)   (2020/8/23 21:58:12)

東北きりたん> 萎えちゃいました？   (2020/8/23 21:58:41)

琴葉葵> げき萎えー。   (2020/8/23 22:03:28)

東北きりたん> まぁ、わからんでもにゃい   (2020/8/23 22:05:11)

琴葉葵> んーー。まあ他人に話すようなことじゃなかったね。今日もお疲れ様。   (2020/8/23 22:08:41)

東北きりたん> ん、でもその気持ちはわかりますよ？っと、お疲れ様ですね   (2020/8/23 22:09:23)

琴葉葵> 回線弱者って言われたらそれまでなんだけどさあ……   (2020/8/23 22:14:58)

東北きりたん> まぁ、そうですねぇ   (2020/8/23 22:16:10)

琴葉葵> ところで、きりたんは御目当ての人とかいるん？(スマホの画面に顔を埋めて)   (2020/8/23 22:18:03)

東北きりたん> お目当ての人？？いや、皆さんと絡みたいので特にそういうひとは。強いて言うならズン姉様ですかね   (2020/8/23 22:18:35)

琴葉葵> なるほどねえ。私は言うまでもなくおねーちゃんなんだよねー。最近忙しかったり暑かったりで性欲湧かないけどさ。(ふーんと反応しながら、来るといいね、と)   (2020/8/23 22:21:30)

東北きりたん> んふふ、それはみてとれますね〜。まぁ、ずん姉様もランダムエンカウントなので(くす   (2020/8/23 22:23:00)

琴葉葵> っと。そろそろ寝よっかな。ありがとね。   (2020/8/23 22:25:14)

おしらせ> 琴葉葵さんが退室しました。  (2020/8/23 22:25:17)

東北きりたん> ん、おやすみなさい   (2020/8/23 22:26:23)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/23 22:26:27)

おしらせ> 東北イタコさんが入室しました♪  (2020/8/23 22:46:23)

東北イタコ> すこーし、お邪魔いたしますわ(ちゅわ、ちゅわ)   (2020/8/23 22:46:50)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/23 22:50:29)

東北きりたん> 姉様確保っ！(後をつけて部屋へと入ってきて   (2020/8/23 22:50:44)

東北イタコ> ちゅわー。きりちゃん、ソリッドスネークの真似っこですの？(びっくり。)   (2020/8/23 22:51:45)

