/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年09月19日 17時59分 ～ 2020年10月09日 00時39分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北イタコ> むむむむ…(何かお悩みなイタコちゃんですわ)   (2020/9/19 17:59:58)

おしらせ> 東北ずん子さんが入室しました♪  (2020/9/19 18:02:18)

東北ずん子> こんばんはー。お悩み中ですか(ぐったりぎみにゆっくりお邪魔して)   (2020/9/19 18:02:56)

東北イタコ> あらあら、ずんちゃんいらっしゃいまし。　お疲れ様みたいですわね   (2020/9/19 18:05:33)

東北ずん子> なんだか最近動くのがおっくうになってまして。何とも言えない感じなのですよー　このまま亀になりたいです   (2020/9/19 18:07:23)

東北イタコ> あらあら。ずんちゃんがずん亀ちゃんになってしまいますわ　でも、辛い時に無理に動く必要は無いと思いますわ。ゆっくり致しましょう？   (2020/9/19 18:09:14)

東北ずん子> んー、そうなんですけどねー。でもこう夏場も終わるのに動く気がないとそのまま冬になりそうで。体力がおちたんですかねぇ(うーん   (2020/9/19 18:12:08)

東北イタコ> 体力が落ちたならおせっくｓ……げふんげふん、有酸素運動したら良いと思うのですわー   (2020/9/19 18:13:09)

東北ずん子> そういえば最近してないですね。こう、性欲もあるようなないような。いや、エッチテンションはあるんですけど。エロスの化身ずんだが衰えてる！？   (2020/9/19 18:15:58)

東北イタコ> あー、アンニュイモード入っちゃってますわねぇ。(ちゅわ～)お姉ちゃんもそーゆーのありましたですわ   (2020/9/19 18:18:06)

東北ずん子> 何もやりたくなることありませんかー？こう、自分に自信がなくなったりとかしたり   (2020/9/19 18:20:09)

東北イタコ> とぉってもありますわ！　何もかも投げ出してくずきり餅みたいにくてーん…　って成りたくなりますわ！(お目目くわっ)   (2020/9/19 18:21:29)

東北ずん子> そこはずんだ餅でしょうイタコねえさん！だめですよ、わかってませんねっ　それはそうと結局イタコ姉さんは時間をもてあましてたん、ですか？   (2020/9/19 18:23:59)

東北イタコ> だってくずきり餅とかわらび餅ってくてーん…ってしてますでしょう！？　東北ジョークですわ！　そして残念ながら『夕方の』時間はそろそろ終わりが近付いて来ましたわ。　『夜の時間』に成ればまた顔を出せますわ。９時過ぎくらいでしょうけど  
(2020/9/19 18:26:46)

東北ずん子> つまりきりたん？(よくわかってないこの感じ)それなら私もちょっと仮眠しようかなー。夜になったら本気出しますっ　夜のずんだー   (2020/9/19 18:28:45)

