/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年11月22日 21時58分 ～ 2020年12月19日 21時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アツコ・カガリ> こんばんはっ！！   (2020/11/22 21:58:52)

おしらせ> 無言時間が20分を超えたため、アツコ・カガリさんが自動退室しました。  (2020/11/22 22:21:38)

おしらせ> アツコ・カガリさんが入室しました♪  (2020/11/22 22:21:40)

おしらせ> 安心院なじみさんが入室しました♪  (2020/11/22 22:26:43)

安心院なじみ> ヤッフー！（Nのマークが入ったオレンジの帽子をかぶって、緑色の土管から飛び出してきて）　イッツミー・ナージミー！   (2020/11/22 22:26:49)

安心院なじみ> ……あれ、誰もいない？   (2020/11/22 22:32:58)

アツコ・カガリ> あっ、なじみ！昨日ぶり〜♪   (2020/11/22 22:33:16)

安心院なじみ> おっ、いたいた、アツコちゃんだ。昨日はごめんね、睡魔には勝てなかったぜ   (2020/11/22 22:34:00)

アツコ・カガリ> 大丈夫大丈夫〜、気にしないでいいよっ！(ぐっと親指立てて)   (2020/11/22 22:35:45)

安心院なじみ> ふふ、安心したぜ。僕だけに   (2020/11/22 22:38:27)

アツコ・カガリ> あ、ダジャレだっ！私も何か無いかな〜…(うーん)…まぁ、いっか♪(何も思いつかず諦め)   (2020/11/22 22:45:49)

安心院なじみ> ふふふ、僕専用だぜ（自慢げに胸張って）   (2020/11/22 22:48:23)

アツコ・カガリ> むぅ、ずるい！私にもなんかあったらいいのに〜…(何かをもぐもぐ)   (2020/11/22 22:52:04)

安心院なじみ> まぁまぁ、そう簡単にできることじゃないからね。って、何食べてるんだい……？（じぃーっと見つめて）   (2020/11/22 22:52:50)

アツコ・カガリ> ん、これ？梅干しだよっ、なじみも食べる？(小さい壺の中を見せて)   (2020/11/22 22:57:25)

安心院なじみ> 梅干しか。しかし、こんな時間に食べて大丈夫だろうか（そういえば昨日もおかし食べてたような……。っていいつつも、梅干し受け取ろうと）   (2020/11/22 22:59:30)

アツコ・カガリ> 大丈夫！梅干しは酸っぱくて美味しくて健康にいいからっ！！ほらほら食べてっ！(ニコニコ笑いながら勧めて)   (2020/11/22 23:01:00)

安心院なじみ> いやぁ、たしかに健康にいいかもしれないが（苦笑いしながら仕方なく受け取って。ぱく）   (2020/11/22 23:02:25)

アツコ・カガリ> どうどう？美味しいでしょ！こんなに美味しくて健康にいいんだよ！   (2020/11/22 23:04:41)

安心院なじみ> 確かにおいしいね、あ、あはは（アツコちゃんの勢いに押されて）   (2020/11/22 23:06:04)

アツコ・カガリ> ふふふ、みんな梅干しを食べれば元気になれる…よしっ、みんなに配ろうっ♪(一人で話を進めていき)   (2020/11/22 23:13:06)

安心院なじみ> あぁ～。食事の時のほうがいいんじゃないかな？   (2020/11/22 23:14:01)

アツコ・カガリ> 食事…ご飯にも合うしね、そうする！(またひとつ摘み口に運んで蓋を閉めて)   (2020/11/22 23:15:35)

安心院なじみ> ふふ、それにしてもアツコちゃん元気いいねぇ（なんとか誘導できて安心する安心院さん）   (2020/11/22 23:16:34)

アツコ・カガリ> え？うん、元気だよ、元気がないと何も出来ないからっ！(ぴょんぴょん飛び跳ね)   (2020/11/22 23:21:49)

安心院なじみ> あはは、いいね、僕そういう人好きだぜ（うんうんってうなづいて）   (2020/11/22 23:22:38)

アツコ・カガリ> ほんと？えへへ、嬉しいけど照れるな〜♪(照れくさそうに頬を掻き)   (2020/11/22 23:26:38)

安心院なじみ> ふふふ、よしよし（なでなで）   (2020/11/22 23:27:09)

アツコ・カガリ> ん、なんか落ち着くな〜♪(にこにこ笑いながら撫で受け)   (2020/11/22 23:30:14)

安心院なじみ> そうかい？（なでなで）   (2020/11/22 23:31:53)

アツコ・カガリ> うんっ、なんかこう、暖かい感じがするなーって♪   (2020/11/22 23:34:06)

安心院なじみ> そっか。撫でられるのは好きかな？（なーでなーで）   (2020/11/22 23:34:52)

アツコ・カガリ> あんまり撫でられる事は無いけど、嫌いじゃない！(にーこにこ)   (2020/11/22 23:37:47)

安心院なじみ> そっか。僕も好きだぜ（ほっぺむにむに）   (2020/11/22 23:38:09)

アツコ・カガリ> んわっ、今度はほっぺた？ふふふ、柔らかいでしょっ！（自慢げに笑い）   (2020/11/22 23:44:01)

安心院なじみ> おぉ～。もちもちだぜ（むにむにつんつん）   (2020/11/22 23:44:27)

アツコ・カガリ> ふっふーん！さてさてっ、なじみのほっぺたは〜♪(両手で頬を挟み)   (2020/11/22 23:49:39)

