/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2021年07月17日 02時54分 ～ 2021年08月14日 07時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> マヤさんが入室しました♪  (2021/7/17 02:54:49)

マヤ> こんばんは。お邪魔してもいいかな？(部屋の明かりに気付いて、同じくパジャマ姿のまま部屋の中へと入って)   (2021/7/17 02:56:04)

吉田優子> あ、こんばんは。もちろんですっ。(ぎゅっとクッションを抱いていたら、入ってきてくれた方にこくりとお辞儀をして)…あ、あの…はじめましてっ…。私、シャドウミストレス優子っていいますっ…   (2021/7/17 02:57:48)

おしらせ> 松本さんが入室しました♪  (2021/7/17 02:57:54)

松本> セブンイレブン世田谷松原店の松本は女子大生を強姦しました 0 3 3 3 2 1 5 8 1 8 松本の家の住所 世田谷区松原3-38-16 松原三田コーポ105号室   (2021/7/17 02:57:58)

おしらせ> 松本さんが部屋から追い出されました。  (2021/7/17 02:59:12)

マヤ> ありがとう♪私はマヤ、こう見えてマジックアカデミーの生徒なの(こちらも軽くお辞儀して自己紹介すると、対面のソファへと腰掛けて)   (2021/7/17 03:00:05)

吉田優子> マジックアカデミー？へぇ、魔法とか、使えるんですか？(ぱちくりと瞬きして、興味深そうにマヤさんを見つめます)   (2021/7/17 03:01:07)

マヤ> もちろん使えるわよ。主に学問を修めるのが主だけど、魔法もよく日常的に使うしね(差し出した手のひらに光を軽く出してみて)   (2021/7/17 03:02:59)

吉田優子> わぁ…っ。凄いっ！私、そんなキラキラ光るの、つかえません！(目を輝かせ、嬉しそうに尻尾を揺すり)   (2021/7/17 03:03:52)

マヤ> 魔法は誰もが使えるわけじゃないから…ね。元々私は異世界側の人間だし。そういう貴女は…魔界の人だったりするの？(頭の角と揺れてる尻尾が気になって)   (2021/7/17 03:06:31)

吉田優子> いえ、私は普通に人の世界にすんでますよ？ちょっと、家庭の事情でまぞくだったみたいですがっ…。(角を触ってみたり、尻尾をそちらによせてみたり)   (2021/7/17 03:08:22)

マヤ> なるほど…それで角や尻尾があるわけね。名前もこちらの国の名前みたいだし(寄せてきた尻尾をきゅっと握ってみて)   (2021/7/17 03:10:46)

吉田優子> ぁっ……そう、ですね…。普通の人と違うのは、角と尻尾があるのと…あとは、夢の中にはいれること、です…(尻尾を握られたら、ぴくっと震えて)   (2021/7/17 03:14:45)

マヤ> それでシャドウミストレス…影の女マスターってわけね。なんだか夢魔みたいな能力がある…ってどうしたの？(握ってる尻尾を擦りながらも不思議そうな顔で)   (2021/7/17 03:17:35)

吉田優子> そういう意味だったんですね…。あ、シャドウミストレスってまぞくとしての活動名で…っ。…ん、その、くすぐったくて…(尻尾を擦られたら、ぞわぞわって身震いして)   (2021/7/17 03:19:02)

マヤ> え？活動名って…本名じゃないの？あっ、ごめんなさい…つい触り過ぎちゃったよね(慌てて尻尾から手を離して)   (2021/7/17 03:21:23)

吉田優子> 本名は吉田優子っていいます。…仲のいい人からは、シャミ子って呼ばれてますが。…は、ふっ…い、いえ…大丈夫、です…(尻尾から手が離れたら、くたって…)   (2021/7/17 03:24:29)

マヤ> そっか、本名の方が良い名前ね。シャミ子も可愛い愛称だし。本当に…大丈夫？(身を乗り出して、間近で顔を近付けて顔色を見て)   (2021/7/17 03:27:14)

吉田優子> えへへ…ありがとうございます。全部、気に入ってますっ。…あ、はいっ…大丈夫、ですけど…(顔を寄せられたら、ほんのり頬を染めて目をそらして)   (2021/7/17 03:30:21)

マヤ> でも、ちょっと顔が赤いような……熱はないみたいね(おでこ同士をくっつけて熱をたしかめてみたら、不意に手が尻尾に触れてしまって)   (2021/7/17 03:33:15)

吉田優子> ん…。あ、あの…かおが、ちかっ…っ、ひ、ぅっ…(額をくっつけたら、ぷしゅう…と湯気が出て。尻尾を不意にさわられ、思わず声がもれて)   (2021/7/17 03:34:23)

マヤ> えっ！？あっ…ど、どうしたの？(慌ててソファの貴女の隣に座ると、心配そうな顔を向けては尻尾を撫でて)   (2021/7/17 03:37:20)

吉田優子> あ、あの…尻尾、敏感でっ…(真っ赤になりながら、涙目で貴女を見上げて。尻尾を撫でられ続けたらびく、びくっと)   (2021/7/17 03:38:29)

マヤ> そっか…尻尾が性感帯だったりするのね、ごめんね(人差し指で涙を拭ってあげると、安心させるようにそっと腕をまわして肩を抱いてあげて)   (2021/7/17 03:41:05)

吉田優子> うぅ～…せい、かんたい…かは、わかりませんけど…ゆっくり、(肩を抱かれたら身を預け、安心したように力を抜いて)   (2021/7/17 03:42:40)

マヤ> でも、かなり敏感みたいだけど…。つい反応が可愛いって思っちゃった…(肩を抱いたまま、もう片方の手で優しく頭を撫でてあげて)   (2021/7/17 03:44:39)

吉田優子> ぅ…マヤさん、意地悪ですね…。(頭を撫でてもらい、ふわっと目を細めて)   (2021/7/17 03:45:51)

マヤ> えっ？そう？だとしたら…優子ちゃんが可愛いせいね(頭を撫でまわしては、時折貴女の耳たぶを軽く摘まんでふにふに触って)   (2021/7/17 03:47:57)

吉田優子> ん、ひぅ…っ…。も、ぉ…かまいません、けどっ…(耳を撫でられたら、ぴく、ぴく…。マヤさんに軽く抱きついて…しらずしらずのうちに尻尾を腰に巻き付けていたり)   (2021/7/17 03:49:35)

マヤ> 優子ちゃんはちっちゃくて…反応も分かりやすくて…可愛くて仕方ないのよね(耳元で囁いては、抱いてる肩を抱き寄せてお互いの身体をより密着させて)   (2021/7/17 03:52:12)

