/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月15日 00時27分 ～ 2022年11月18日 19時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> また二人でお話もさせてくださいね(ぎゅ　はふー   (2022/11/15 00:27:29)

クレー> ずん子お姉ちゃんもうおやすみする？   (2022/11/15 00:27:54)

東北ずん子> ん－、もう少しは起きてますけど(悩み中   (2022/11/15 00:28:13)

クレー> クレーはまだ大丈夫なんだぁ、夜ふかしはジン団長に怒られちゃうから内緒だけど…、クレー今週はのんびりできるんだぁ   (2022/11/15 00:29:18)

東北ずん子> 夜更かしさんですかー、悪い子は悪戯しちゃいますよー(ふふ   (2022/11/15 00:29:40)

クレー> ずん子お姉ちゃんはクレーにどんないたずらしたいのかなぁ？♡   (2022/11/15 00:31:13)

東北ずん子> それはあんなことやこんなことを(わきわき　ま、寝る前にクレーが良ければ、ですね(ほっぺふにふに   (2022/11/15 00:32:06)

クレー> クレー今週はのんびりできるの。でも、また土日はちょっと時間かぎられちゃうから…   (2022/11/15 00:33:07)

東北ずん子> 大変そうですねぇ、無理しちゃだめですよ(なでなで   (2022/11/15 00:33:36)

クレー> 今日はまだ寝ないよっ♡   (2022/11/15 00:33:51)

東北ずん子> クレーはねかせないですよぉってやつですね   (2022/11/15 00:34:08)

クレー> ずん子お姉ちゃんが時間大丈夫ならクレーもっとお話できるからねっ   (2022/11/15 00:36:08)

東北ずん子> 二人っきりでお話しできればもう少し悪戯できればなぁ。ですかね。私はやっぱりお話好きですがスキンシップすきですからねぇ(悪戯したいこ   (2022/11/15 00:36:59)

クレー> クレーとまた奥のお部屋いっしょに行きたいってお願いしてくれないと、クレー寝ちゃおうかなぁ…？(チラっとずん子お姉ちゃんを見てにやっと笑って)   (2022/11/15 00:38:43)

東北ずん子> …むー、クレーと奥の部屋、いきたいなぁ(じーっと顔をよせみつめて   (2022/11/15 00:39:23)

クレー> ふふっ♡いいよっ   (2022/11/15 00:40:11)

東北ずん子> ありがとうございます(ぎゅ、一緒にお部屋に   (2022/11/15 00:40:37)

クレー> お部屋の用意お願いっ   (2022/11/15 00:41:38)

東北ずん子> つくりましたよぉ   (2022/11/15 00:41:58)

おしらせ> 東北ずん子さんが退室しました。  (2022/11/15 00:43:40)

クレー> ありがとう！じゃあ…いこっ♡   (2022/11/15 00:43:46)

おしらせ> クレーさんが退室しました。  (2022/11/15 00:43:49)

おしらせ> 小春六花さんが入室しました♪  (2022/11/15 21:39:17)

小春六花> 動画のネタが舞い降りると嬉しいけどイメージとのギャップが云々、ゴッドハンドこはるです。   (2022/11/15 21:39:51)

おしらせ> アリアルさんが入室しました♪  (2022/11/15 21:47:48)

アリアル> やぁ、アリアルさんだよ。初めましてだ、創作の難しいところだね   (2022/11/15 21:48:19)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/11/15 22:05:00)

おしらせ> 無言時間が25分を超えたため、アリアルさんが自動退室しました。  (2022/11/15 22:13:24)

おしらせ> 小春六花さんが入室しました♪  (2022/11/15 22:38:03)

小春六花> すーぐ放置しちゃう！   (2022/11/15 22:38:11)

