/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月24日 02時40分 ～ 2022年11月26日 01時16分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

渋谷凛 ◆> やっぱり…クレーの頭の中はまだまだピンク色そうだけど……？   (2022/11/24 02:40:31)

ナンジャモ> 流石の可愛いナンジャモちゃんでも下は…それ以外ならなんっでもお任せあれ〜☆だけど！   (2022/11/24 02:41:13)

クレー> 色んな人えいきょーうけてるだけだから大丈夫//   (2022/11/24 02:41:18)

クレー> あと今日はもうおなかいっぱいなの…♡えへへ   (2022/11/24 02:42:02)

ナンジャモ> 互いに話題が見つけられるのはいい事だと思うし、望めばボクも希望のキャラに変更できるし…王選に無理矢理着いていったスバルと〜、スバルに危険な思いをして欲しくないエミリアのあそこのすれ違い…あのシーンの二人の心理を誰よりも理解してるのは個人的にボクかなーって思ってる!!!()
  (2022/11/24 02:42:05)

クレー> みんな大丈夫…？無理しないでねっ   (2022/11/24 02:50:24)

渋谷凛 ◆> お腹いっぱいすぎてみんなが静かな雰囲気に……と　   (2022/11/24 02:50:27)

クレー> クレーもあいさつだけきたんだけど、まさかこんな時間にこんなに人集まるとおもわなかったよあ   (2022/11/24 02:51:02)

クレー> (よな←ミス)   (2022/11/24 02:51:41)

クレー> クレーも今日誤字ひどくて…ちょっとかなしい   (2022/11/24 02:52:09)

渋谷凛 ◆> 深夜だから結構みんな静かな感じで寝ちゃってそうだしね…私はまったりしてるけれど……   (2022/11/24 02:52:09)

ナンジャモ> 確かに…？（）   (2022/11/24 02:52:13)

後藤ひとり> 寝ますか……？   (2022/11/24 02:52:30)

渋谷凛 ◆> ひとりちゃんは普通に起きてるね（なで   (2022/11/24 02:53:07)

クレー> うん、すごい   (2022/11/24 02:53:20)

後藤ひとり> いやウトウトしてますよ……(撫で受け)   (2022/11/24 02:54:13)

クレー> クレーぎゅっとしとく？(両手をひろげて)あったかいよ♡   (2022/11/24 02:55:15)

後藤ひとり> ならギューして寝ませんか？……♡(むぎゅ)   (2022/11/24 02:56:09)

クレー> クレーもそろそろ寝るからこのまま寝ていいよっ♡   (2022/11/24 02:57:03)

おしらせ> 無言時間が25分を超えたため、レムさんが自動退室しました。  (2022/11/24 02:57:20)

クレー> 凛お姉ちゃん、ナンジャモちゃん、レムお姉ちゃんも来てくれてありがとうっ   (2022/11/24 02:57:30)

渋谷凛 ◆> ん、おつかれさま…（落ちたねむ見送りつつ）   (2022/11/24 02:57:48)

後藤ひとり> わかりました……おやすみなさいクレーさん……♡(ぎゅうう)他の人も失礼しますっ   (2022/11/24 02:57:59)

おしらせ> 後藤ひとりさんが退室しました。  (2022/11/24 02:58:01)

クレー> それじゃ、クレーもおやすみするねっ   (2022/11/24 02:58:49)

クレー> またお時間空いたら来てねっ、おやすみっ   (2022/11/24 02:59:08)

おしらせ> クレーさんが退室しました。  (2022/11/24 02:59:22)

