/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2022年11月26日 10時53分 ～ 2022年11月27日 04時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> はーい、お話してくてありがとう♡   (2022/11/26 10:53:41)

クレー> またきてねっ！   (2022/11/26 10:53:52)

小春六花> でかけてらー。   (2022/11/26 10:54:09)

後藤ひとり> はーいではまた……♪   (2022/11/26 10:54:30)

おしらせ> 後藤ひとりさんが退室しました。  (2022/11/26 10:54:31)

クレー> クレーは電車でことこと…   (2022/11/26 10:55:02)

クレー> 最近、目的の駅の1個むこうまで乗り過ごしちゃうんだ…えへへ   (2022/11/26 10:56:10)

小春六花> あー…まぁ、乗る方向があってるならいずれたどり着くよ。向かってるんだからさ   (2022/11/26 10:56:38)

クレー> まだ近くて、幸い早めに着くようにしてるから間に合うんだけど…前にね、朝の電車で寝過ごしたら2つ向こうまで乗り過ごしたことがあるの…   (2022/11/26 11:00:34)

クレー> でもその駅が目的の駅よりもだいぶ遠くでね…目を覚ました時の車窓から広がる景色にとってもびっくりしたよね…あはは…   (2022/11/26 11:01:23)

小春六花> 稀によくある（知らない駅）   (2022/11/26 11:02:22)

クレー> 昨日も夜更かししちゃったから、寝過ごさないように気をつけなくちゃ   (2022/11/26 11:04:11)

小春六花> ほどほどにねー。バランス崩れるとしんどいよ。   (2022/11/26 11:05:05)

クレー> うん…最近色んな人たち来てくれてるからお話したくなっちゃって…えへへ。でも、小春お姉ちゃんとこういう風にのんびりお話できるのもクレー好きだよっ   (2022/11/26 11:08:02)

小春六花> んー、そう？まぁそういうふうに言ってもらえるならのこってるかいがあるかな？   (2022/11/26 11:09:23)

クレー> 逆にクレーとふたりっきりになって小春お姉ちゃんがどうなのかなって思っちゃうよ…   (2022/11/26 11:11:04)

クレー> (しゅんとしながらチラッとみて)   (2022/11/26 11:11:19)

小春六花> え、別にどうも思わないケド……   (2022/11/26 11:12:31)

クレー> 嫌じゃなければだいじょうぶっ   (2022/11/26 11:13:14)

小春六花> うん、まぁ……それくらいではあるかなぁ。   (2022/11/26 11:13:45)

クレー> 電車でちょっとおやすみして反応できなそうだから、１回お部屋出るね   (2022/11/26 11:18:31)

小春六花> ほーい。またねー。   (2022/11/26 11:18:54)

クレー> お話してくてれてありがとう小春お姉ちゃん、またねっ   (2022/11/26 11:19:03)

おしらせ> クレーさんが退室しました。  (2022/11/26 11:19:14)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/26 11:33:29)

桜衣乃> 戻りましたよ♪ …んー、よくない…。あんまりよくないですね…。   (2022/11/26 11:34:11)

小春六花> んー？なにがどしたの？   (2022/11/26 11:36:46)

桜衣乃> 六花ちゃん、お部屋行きませんか？　久々にふたりになりましょうよ。   (2022/11/26 11:38:01)

小春六花> ふぇい？ん、べつにいいよー？   (2022/11/26 11:38:19)

桜衣乃> じゃあ、待ち合わせにお部屋作りましたので… こちらへどうぞ♪   (2022/11/26 11:39:21)

小春六花> はいったよー。   (2022/11/26 11:40:10)

桜衣乃> ありがとうございます〜♪   (2022/11/26 11:40:25)

