/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月04日 07時46分 ～ 2022年12月06日 13時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雷電将軍さんが入室しました♪  (2022/12/4 07:46:39)

八重神子 ◆> 強いて言うならば他の者と休みが合わぬせいでなかなかのぅ……まぁ平日でも居る者は多少いはするが   (2022/12/4 07:47:06)

雷電将軍> おはようございます、見事に寝落ちかました将軍です(欠伸と共に入室)   (2022/12/4 07:47:11)

八重神子 ◆> おはようじゃな、寝落ちするなぞ甘味でも食べすぎて満腹にでもなっておったのかのぅ？   (2022/12/4 07:48:11)

雷電将軍> 単純に睡魔にやられましたね…あなたはあなたで大変そうじゃないですか…。   (2022/12/4 07:48:58)

八重神子 ◆> まぁ、今日終われば明日は休みじゃ、社も八重堂もどちらものぅ   (2022/12/4 07:50:13)

雷電将軍> 先程も平日休みが云々言ってましたが…中々休みが合わないのは少し残念ですね(頑張ってください、とプチ応援)   (2022/12/4 07:51:44)

八重神子 ◆> 休みが合わぬせいで影を啼かせることができぬのが唯一の心残りじゃ.....   (2022/12/4 07:52:25)

小春六花> おー、電ちゃんもいらっしゃー。サービス業って大変っすねぇ……   (2022/12/4 07:52:50)

雷電将軍> は、はい！？何を言ってるんですか貴方は…ま、まあわたしも平日がたまーに休みな時もありますから、ね？(ごほんごほん！、咳払い)   (2022/12/4 07:53:27)

雷電将軍> おはようございます、六花。あの後すやすやと眠りについてしまいました…(ごめんなさい、と頭を下げて)   (2022/12/4 07:54:03)

小春六花> いやー、眠いって言ってたしセーフセーフ。　単純に寝起きでローなだけよ   (2022/12/4 07:54:47)

八重神子 ◆> ふむ…ならば平日の休みに遭遇できればお主の啼き声を楽しめるわけじゃな   (2022/12/4 07:55:35)

雷電将軍> 夜は大抵眠いせいで寝落ちしてしまうことがしばしばあるせいで長居が出来ないのが…悔しいです(寝起きは頭がぼんやり。)   (2022/12/4 07:56:50)

雷電将軍> それはその、確かにそういう事にはなるんでしょうけどなんで私が啼かされる前提なんですかね？？？？   (2022/12/4 07:57:35)

小春六花> ちなみにどっちなの？なくほうか、なかされるほうか   (2022/12/4 07:59:05)

八重神子 ◆> 人形の方ならまだしも影ではのぅ……もし啼かせる方じゃったらと思うとある意味愉しみではあるが   (2022/12/4 07:59:55)

雷電将軍> ……メタ的に考えると神子がどー見ても啼かせる方です(遠い目t   (2022/12/4 08:01:23)

雷電将軍> な、なるほど言いますね神子。私の事を侮ったことを後悔させてあげますから…でも、その前にお仕事を頑張ってください。景気良く一太刀したいくらいですが…ええ。   (2022/12/4 08:02:26)

小春六花> メタ的にとかはいいんだけど、ただの電ちゃんとしておしえて？（にこー   (2022/12/4 08:03:08)

八重神子 ◆> 影よ、安心せい……斯様なお主でも受け入れてやろう、妾は……どちらでもいけるからのぅ   (2022/12/4 08:04:03)

雷電将軍> ………啼かされるほうですかね(ぼそぼそ)   (2022/12/4 08:04:38)

八重神子 ◆> ......知っておった   (2022/12/4 08:05:06)

雷電将軍> もう朝から恥ずかしいですね貴方は…！ちょっと動揺してしまうではありませんか！(うぁうあ)   (2022/12/4 08:05:32)

八重神子 ◆> さて、途中ではあるがそろそろ行かねば間に合わぬ……忌々しい休日もこれにて終いじゃ   (2022/12/4 08:06:44)

雷電将軍> む、そろそろ出立なのですね？気をつけていってらっしゃい、神子。甘味をまた大社に届けておきますね(ﾋﾗﾋﾗ~)   (2022/12/4 08:07:38)

小春六花> 適当に頑張ってきてきて。　じゃあ、電ちゃんとは私も相性バッチリね！   (2022/12/4 08:08:44)

雷電将軍> 相性バッチリ…(嬉しいものだけど内容が内容なのでほんのり赤面)   (2022/12/4 08:09:49)

八重神子 ◆> お主らが乳繰り合っておる間に仕事の妾は……適当流してくるとするのじゃ....それではまたのぅ   (2022/12/4 08:10:29)

おしらせ> 八重神子 ◆zj4nGVXxckさんが退室しました。  (2022/12/4 08:10:38)

雷電将軍> 早く行きなさい神子！もうっ！(最後の最後まで揶揄う彼女を見送るのでした、いってらっしゃい！)   (2022/12/4 08:11:13)

小春六花> ながしていこいこー。（おててぶんぶん   (2022/12/4 08:14:14)

雷電将軍> ふぅ…朝からちょっと気が動転してしまいました…(深呼吸将軍、コタツに入って)   (2022/12/4 08:15:43)

小春六花> 意外と初っていうか、あれなんですねぇ……（おちゃずずー…   (2022/12/4 08:18:02)

雷電将軍> なんですか六花…貴方まで揶揄うんですか？(む、としながら炬燵でぬくぬく。気が抜けそう)   (2022/12/4 08:20:17)

