/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月07日 09時26分 ～ 2022年12月09日 01時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾も昼間は暇なことが多い故客が来ぬ時はだらだらしておるしのぅ   (2022/12/7 09:26:27)

雷電将軍> やる事はやって手を抜くところはちゃんと抜いて上手くやってくしかないんですねー…(コタツにダイブ！)…おや、今日は二人でお楽しみって感じですかね？(目キラキラリ！)   (2022/12/7 09:26:58)

八重神子 ◆> この後仕事じゃからすぐに、というわけではないぞ？そういう相談をしておった、というだけじゃ……そろそろ風呂にも入らねばならん……絶対に寒いじゃろうし憂鬱じゃのぅ   (2022/12/7 09:28:24)

雷電将軍> 分かってますよ！お昼後におしまい…なんでしたっけ？(うろ覚えの記憶、ぼんやり)私もやる事やらなきゃですね…でも、楽しい事が後に控えてるってなると少しは元気になりません？   (2022/12/7 09:29:34)

小春六花> 電ちゃんイケイケだったらしいじゃないの。（素敵だね）私と楽しむってことは時間差の塔を処理するようなものかもしれない……（？）   (2022/12/7 09:30:04)

八重神子 ◆> まぁ、そりゃ何もないよりは仕事もやる気にはなるがのぅ？……昨夜の影はそれはもう、のぅ？   (2022/12/7 09:31:23)

雷電将軍> …ﾅﾝﾉﾊﾅｼﾃﾞｼｮｳｶ？(目逸らし目逸らし)やはり朝から皆さんと話すと活力がじんわり溜まりますね、ええ！   (2022/12/7 09:31:56)

小春六花> じんわり……こかんに……なるほど。（なるほど）   (2022/12/7 09:32:35)

雷電将軍> 待ってください六花はなぜ…そっちの方向に解釈するんですか！？(ぐぁーっ)   (2022/12/7 09:34:26)

八重神子 ◆> 昨日あれほど出したというのにお主は……っと、そろそろ本当に行かねばならぬから朝のところかこれまでじゃのぅ   (2022/12/7 09:34:49)

雷電将軍> あーもう！はいはいさっさと行ってください！(しっしっ！、とあっちいけのジェスチャー)気をつけてくださいね！   (2022/12/7 09:35:47)

小春六花> はーい、頑張ってら～。（おててふりふり   (2022/12/7 09:36:46)

八重神子 ◆> 将軍様からそれほど邪険にされるとは……妾はもう生きて行けぬのぅ（よよよ、ってわざとらしく顔伏せ）冗談はここまでにして妾は行ってくるとするかのぅ……【ひとまずここはｻﾗﾀﾞﾊﾞｰ】   (2022/12/7 09:37:07)

おしらせ> 八重神子 ◆zj4nGVXxckさんが退室しました。  (2022/12/7 09:37:20)

雷電将軍> 全く神子と六花は私を揶揄ってばかりで…(ジトー)   (2022/12/7 09:38:14)

小春六花> 誂えるところに手が届いちゃうから…？（しれ   (2022/12/7 09:38:47)

雷電将軍> 失礼ですねあなた達…(コタツからモゾモゾ抜け出してソファへ)   (2022/12/7 09:40:28)

小春六花> 愛情表現だから……好きなのよ、電ちゃん。（うんうん   (2022/12/7 09:41:55)

雷電将軍> ……まあ、良いでしょう。今回だけは目を瞑りますから(呆れた顔を見せながら体を伸ばし「仕事嫌ですねえ」と弱音)   (2022/12/7 09:43:18)

小春六花> 毎回瞑らなくていいから受け止めてほしいなァ…って。（にこー、って笑いながら。あいしてるぜべいべーってせなかがわはぐーっと。仕事はサボってなんぼだよねぇって）   (2022/12/7 09:45:11)

雷電将軍> わ、分かりましたから…(ストレートに好きって言葉はもちろん嬉しいけどやっぱり照れくさくもある…でも彼女の気持ちには素直に応じて。ハグされればそのままずるずるー、と歩いて)もう少しお喋りしてないですがそろそろ…ですかね(ゆううつ)  
(2022/12/7 09:48:42)

小春六花> あー……電ちゃんももうお時間かぁ……残念……（むむ、ってしつつも仕事なら仕方無い……ってせなかにくっついたままずるずるー…って   (2022/12/7 09:52:39)

雷電将軍> 一人は寂しいかもしれませんが、ほら、神子が来るでしょう？(ずるずるしてる彼女を離しつつせめてもの気持ちで頭を撫でて)   (2022/12/7 09:55:52)

雷電将軍> では私はそろそろ…(パタン、と静かに去っていきました。) 【ありがとうございました！】   (2022/12/7 10:10:17)

おしらせ> 雷電将軍さんが退室しました。  (2022/12/7 10:10:20)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/12/7 10:18:06)

おしらせ> 小春六花さんが入室しました♪  (2022/12/7 15:04:45)

小春六花> 一応……一応ね…（のそのそ   (2022/12/7 15:05:10)

おしらせ> 八重神子 ◆zj4nGVXxckさんが入室しました♪  (2022/12/7 15:13:58)

八重神子 ◆> (扉からこっそり覗き神子、急いでいたのか息は上がってて）   (2022/12/7 15:14:33)

小春六花> あ、おかえりー。だいじょぶー？ウーロン茶と飲むヨーグルトならあるよ？（なんて手をのんびり振りながら。視線の方にﾊｯと振り返っては）   (2022/12/7 15:15:15)

八重神子 ◆> そうじゃな……烏龍茶で頼む、のじゃ……（上がった息を整えるように深呼吸しながら入ってソファーにすとん）   (2022/12/7 15:16:23)

