/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月20日 06時41分 ～ 2022年12月20日 12時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> 話は聞かせてもらいました！ヨーグルト食べましょう！（バ　ァ　ン   (2022/12/20 06:41:24)

結月ゆかり> 自分もわからないのにやるんですか…。まぁ最悪逃げれば良いですからね、適当な事言って！   (2022/12/20 06:41:27)

結月ゆかり> おや、お早いですね、おはようございます♪   (2022/12/20 06:41:44)

桜衣乃> ずん子さんは突発の化身みたいなところありますけどね…。六花ちゃんともども、おはようございます♡   (2022/12/20 06:41:47)

東北ずん子> ずんだもいいですよー(すっとさしだして   (2022/12/20 06:41:50)

桜衣乃> もっと普通に入って…   (2022/12/20 06:42:07)

小春六花> ドアから入ってるだけ普通ですよね？（ずんだ餅1個モグモグ）   (2022/12/20 06:42:50)

桜衣乃> えぇ、実はあれは原作で自分と違う色のジュースを飲んだら入れ替わるというお話があって、私以外が入れ替わりしてたんですが…… 決してグリーンイノになってたわけではないんですよ…。   (2022/12/20 06:43:33)

結月ゆかり> なんだ、ずんだに汚染されたのかと思いましたよ、はい   (2022/12/20 06:44:17)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/20 06:44:34)

後藤ひとり> 色が完璧にずんだカラーでしたよね……   (2022/12/20 06:44:45)

小春六花> ずんだこわ……とづまりしとこ……   (2022/12/20 06:45:06)

東北ずん子> ずんだになるといいー(うねうね   (2022/12/20 06:45:20)

桜衣乃> 朝から密度高いですね… これもずんだってお餅の仕業なんです…   (2022/12/20 06:45:24)

後藤ひとり> まぁ途中から何となくは察してましたけど飲み物飲むだけで入れ替わるとは……   (2022/12/20 06:46:07)

小春六花> 過剰な原作ネタが通じるような部屋じゃないといういい教訓になったね   (2022/12/20 06:47:13)

おしらせ> 秋山澪さんが入室しました♪  (2022/12/20 06:47:48)

後藤ひとり> 原作は見ておらず…きらファンでキャラしか……   (2022/12/20 06:47:50)

後藤ひとり> 埋まった……   (2022/12/20 06:47:57)

小春六花> いらさーい、おはよーす   (2022/12/20 06:48:04)

秋山澪> 【こんばんわ　お邪魔しても良い？』   (2022/12/20 06:48:06)

小春六花> 【へーきへーき混ざろー   (2022/12/20 06:48:44)

東北ずん子> 貴女もずんだになりませんか(某鬼のなにか   (2022/12/20 06:48:58)

結月ゆかり> 衣乃さーん、ひとりさんがスジばっか見てるって昨日言ってましたー   (2022/12/20 06:48:58)

結月ゆかり> (脱兎)   (2022/12/20 06:49:03)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/20 06:49:07)

桜衣乃> えぇ、だからあの後反省会して、そういうアレは打ち合わせしますよってすることにしました♪クレーちゃんにも納得してもらってます♪   (2022/12/20 06:49:09)

桜衣乃> …すじ？   (2022/12/20 06:49:20)

小春六花> いやだ、わたしはずんだにはならない。私と君とでは価値観が違う   (2022/12/20 06:49:24)

秋山澪> 【桜さん、小春さんは始めまして』   (2022/12/20 06:49:30)

桜衣乃> あ、おはようございます♪ どうぞどうぞ、いらっしゃいませ♪   (2022/12/20 06:49:40)

後藤ひとり> きらファンのイノさんの衣装ですね……   (2022/12/20 06:49:51)

後藤ひとり> 澪さんは昨日？今日ぶりです   (2022/12/20 06:50:20)

桜衣乃> あぁ、アレですか♪ ひとりちゃん……目の付け所が違いますね♡   (2022/12/20 06:50:21)

東北ずん子> 六花さん、ずんだになれ。ずんだになればずんだるのにっ(続かない   (2022/12/20 06:51:03)

秋山澪> （ふと近くを通るとずん子さんとゆかりさんの声が聞こえ、中に）　こんばｎ……ってゆかりさんとは入れ違いになっちゃったか   (2022/12/20 06:51:08)

後藤ひとり> 多分みんなそこにしか目がいかないかと……！   (2022/12/20 06:51:10)

小春六花> ずんだるってなんなんですか……（震え声   (2022/12/20 06:51:52)

桜衣乃> やん♪ひとりちゃんのエッチー♡   (2022/12/20 06:52:17)

後藤ひとり> あんな際どい衣装なのが悪いです……！   (2022/12/20 06:52:41)

秋山澪> ずんだれば　ずんだに染まり　ずんだがずんだ……（意味の分からない５７５をぼそっと口に）   (2022/12/20 06:53:15)

小春六花> なるほど……対魔忍…？（調べてきた）   (2022/12/20 06:53:18)

小春六花> 575ですらねぇ！！！   (2022/12/20 06:53:28)

東北ずん子> 感度三千ばいになりそう   (2022/12/20 06:53:37)

秋山澪> ぁ、字余りってことで＞小春さん　（感度３千倍……頭対魔忍……）   (2022/12/20 06:54:14)

桜衣乃> あはは……、はい、おはようございます♪ はじめまして、ですよね？今をときめく私はグループアイドル、フルーツタルトの桜衣乃と申しますっ♪高一です♪よろしくお願いしますね♪   (2022/12/20 06:55:17)

秋山澪> （やばいぞ私　本気で最近色々染まってきた……　律とかに毒されすぎだろ……）　ぁ、桜さんか、始めまして　私は秋山律　大学１年でベースを担当してたよ   (2022/12/20 06:56:40)

後藤ひとり> 後藤ひとりです………結束バンドのギターしてます……   (2022/12/20 06:57:06)

小春六花> 小春六花でーす。　高校2年生です。私もそしたら結束バンドでギターしてます。（そしたら？）   (2022/12/20 06:57:46)

秋山澪> ！　結束バンドってあの新鋭のっ！　って箱見に行ったけど、後藤さん居たっけ……？   (2022/12/20 06:57:54)

後藤ひとり> えっと……多分ダンボールに隠れてたかも……   (2022/12/20 06:58:43)

秋山澪> 小春さんもGtか…　本当に最近の高校生は凄いよね　プロ顔負けの演奏でさ　小春さんのは聞いたことあるかもしれないな   (2022/12/20 06:59:15)

後藤ひとり> そしたらとは！？   (2022/12/20 06:59:41)

秋山澪> （そしたらってなんだろう？　あとダンボール……？）   (2022/12/20 07:00:03)

小春六花> 私はないかもしれないですけど花梨先輩は大きなフェスでベースボーカルしたりしてたんで面識あるかも？   (2022/12/20 07:00:39)

桜衣乃> きららの名誉不健全枠、淫乱ピンク、変態ツインテール、と公式で散々な扱いを受けている私なので、あぁいう格好をやっても違和感がないといいますか…   (2022/12/20 07:01:00)

後藤ひとり> ダンボールに隠れてたので……   (2022/12/20 07:01:11)

後藤ひとり> 確かに他に際どいのないですよね   (2022/12/20 07:01:43)

小春六花> 声質似てるので……（あと全員悪ノリできるかな…って）   (2022/12/20 07:01:46)

秋山澪> 名前まではおぼえてないけど、もしかしたら見たことがあるかもしれないね　私たちは演奏側じゃなくてあくまで客だったから＞小春さん　　それとずん子さん？　ずんだ餅を箱で買いたいと頼んだんだけど……　元メンバーからせっつかれててさ   (2022/12/20
07:03:06)

桜衣乃> 私は楽器できませんね…。   (2022/12/20 07:03:11)

小春六花> あれ、ボイチェビ空間からきらら空間……あれ…？   (2022/12/20 07:03:23)

後藤ひとり> 過半数が……   (2022/12/20 07:03:38)

秋山澪> 楽器ができなくてもアイドルなんだろう？　それはそれで凄いし愛されてるんじゃない？   (2022/12/20 07:04:17)

桜衣乃> 偏ってますねぇ、原神枠も朝はいませんし…   (2022/12/20 07:04:23)

東北ずん子> ずんだもいますよー(はいって秋山さんにずんだ渡しつつ   (2022/12/20 07:04:49)

小春六花> たいまずんいたー！   (2022/12/20 07:05:39)

後藤ひとり> 朝から人いますよね…   (2022/12/20 07:05:53)

秋山澪> ん、ありがとう　（そう言って５千円札を出し、ブツを受け取り）　これでようやく彼奴等にも面目が経つよ＞ずん子   (2022/12/20 07:06:05)

桜衣乃> アイドルって言っても、結束から一年足らずの新人で底辺で、借金一億円の売れないアイドルですけどね…。   (2022/12/20 07:06:06)

秋山澪> い、一億円っ！？　アイドルデビューってそんなにお金かかるのか！？   (2022/12/20 07:06:57)

小春六花> 実のところ借金一億って何しでかしたの？きららのイメージ毀損による賠償とか？   (2022/12/20 07:07:17)

桜衣乃> えーっと、それはですね……私が所属してるラットプロが、フルーツタルトの4人を抱えての経営が難しくなったそうで… 一億円達成しないと、私達の住んでるネズミ荘が取り壊しになってしまうんです…！   (2022/12/20 07:10:57)

桜衣乃> 今はへもちゃんも入れて5人ですが…… 目標金額は遥か先ですね……   (2022/12/20 07:11:32)

おしらせ> 結月ゆかりさんが入室しました♪  (2022/12/20 07:11:46)

秋山澪> （普通に引っ越せばいいだけじゃ……？）   (2022/12/20 07:11:57)

小春六花> 対魔忍っぽい大先輩だーーー！！！   (2022/12/20 07:12:05)

後藤ひとり> 別のお家で活動すれば…   (2022/12/20 07:12:27)

結月ゆかり> ノノミさんの学校は確か9億くらいありましたよ！…と、枠を食うゆかりさんはここまでです(無念)   (2022/12/20 07:12:32)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/20 07:12:34)

小春六花> （そもそもそんな経営能力のない事務所とは早く分かれたほうが良くない？）   (2022/12/20 07:12:37)

小春六花> 堕ちた……   (2022/12/20 07:12:53)

秋山澪> （そも、１億円の借金って経営プロダクションに有るだけで、本人たちには関係ないんじゃ……？）   (2022/12/20 07:13:31)

桜衣乃> 散々言いますけど、その他の住まいを買うお金が今ない状況ですからね？？？フルーツタルトのメンバーのほぼ全員関東のから集まっておうちありませんからね？？？ネズミ荘の取り壊しは、フルーツタルト解散の危機なんです…！アイドルオーディション補欠合格の私が他に行くアテなんてありませんから…！！
  (2022/12/20 07:15:49)

桜衣乃> 【関東の外から】   (2022/12/20 07:16:21)

小春六花> （アイドルオーディション補欠からのAV堕ちの流れが鉄板だよね）   (2022/12/20 07:17:04)

後藤ひとり> なんというか……大変なんですね…   (2022/12/20 07:17:06)

桜衣乃> (っていうかやってる番組がもはやAVなんですけどね…深夜枠の…)   (2022/12/20 07:17:38)

秋山澪> ん～　やっぱり東京って活動はしやすい分大変なことも多いんだな　私は滋賀（公式）だからそこらは解らないけど……　   (2022/12/20 07:18:20)

小春六花> （その点AVのノリも健全なノリも思いのまま！CevioAI小春六花はDLsiteで好評発売中！）   (2022/12/20 07:18:42)

後藤ひとり> わ、私のは売ってません！   (2022/12/20 07:19:24)

秋山澪> ぼっちちゃんも確か東京じゃなかったっけ？　下北沢を中心に活動してるとか   (2022/12/20 07:19:39)

後藤ひとり> よく知ってますね……   (2022/12/20 07:20:00)

秋山澪> （AV、か……実は誘い来てるんだよね私も……）   (2022/12/20 07:20:27)

桜衣乃> あ……っと、もうこんな時間…！みなさんとお話をしているとすぐに時間が経ってしまいます…。私はそろそろ学校に行かないといけないので、また夜に会えたらお話しましょうね！   (2022/12/20 07:20:33)

桜衣乃> それでは今日もみなさん、頑張っていきましょう♪ いってきます…！   (2022/12/20 07:21:05)

東北ずん子> いってらっしゃいませー(ひらひら   (2022/12/20 07:21:14)

小春六花> はーい。じゃあ秋山さんのAVシチュについては一人ちゃんが決めていってくれます。   (2022/12/20 07:21:22)

秋山澪> そりゃね、結束バンドは有名だから＞ボッチちゃん　　　（お疲れ様、桜さん）   (2022/12/20 07:21:23)

おしらせ> 桜衣乃さんが退室しました。  (2022/12/20 07:21:42)

後藤ひとり> お疲れ様です…(私も通学しながら返信してますが)   (2022/12/20 07:22:18)

後藤ひとり> そ、そんな有名だなんて……！   (2022/12/20 07:22:33)

秋山澪> ……バンド辞めたの、下の世代……特に結束バンドには到底敵わないって思い知らされたからだよ   (2022/12/20 07:23:40)

小春六花> なんか急に重くなった？展開。   (2022/12/20 07:24:11)

秋山澪> 【ざ・悪ノリ』   (2022/12/20 07:24:25)

後藤ひとり> えっ……私のせい！？………(顔面崩壊)   (2022/12/20 07:24:50)

秋山澪> 【実際ボッチザ・ロックのアニメ見たら心折れるよ……？　楽器やってる人間として』   (2022/12/20 07:25:01)

小春六花> せーきにん、せーきにん、せーきにん。   (2022/12/20 07:25:08)

秋山澪> そのまま大学もやめてね、そうしたら将来不安で　ベースの腕は完全に負けてるけど、プロポーションだけは一応認められてたから、AVに出ないかって   (2022/12/20 07:26:30)

後藤ひとり> え……じゃあ私バンド抜けます……(ぐにゃぁ)   (2022/12/20 07:26:37)

秋山澪> ぼっちちゃんに辞められたら諦めた私の立場がーーーー！！！　（方をつかんでガクガク）   (2022/12/20 07:27:20)

東北ずん子> ひとりさんとえっちすればいいと(ふむ？   (2022/12/20 07:28:13)

秋山澪> 小春さんも引き止めてー！　仲間なんでしょ！！　ずん子さん……はおいといてー！（酷い）   (2022/12/20 07:28:23)

秋山澪> もうそれでもいい！　ずん子さん！　エッチしてでも引き止めてー！！（混乱）   (2022/12/20 07:28:59)

後藤ひとり> えいや私が抜ければ自信も取り戻せるのでは……(ガクガク…)   (2022/12/20 07:29:05)

小春六花> いや私声が同じだけだし……（裏切り）むしろ仲間はずんちゃんだし……北海道東北地方だし……   (2022/12/20 07:29:38)

小春六花> じゃあ私が秋山さんとえっちすればよい？   (2022/12/20 07:30:27)

秋山澪> あんたギターでしょっ！　私ベースだから！　そもそもバンドとしての完成度の話っ！！　うちのバンドで通用するの結衣と憂だかえだしっ！！   (2022/12/20 07:30:27)

秋山澪> 何でそうなるのっ！？＞小春さん　（……結衣たちの影響で興味があるだなんて言えないけど……）   (2022/12/20 07:31:20)

後藤ひとり> 結束バンド解散しないと………(あわあわ…)   (2022/12/20 07:31:37)

小春六花> ずんちゃんがひとりさんを食べるから……？   (2022/12/20 07:32:15)

秋山澪> 夢を託したんだから、そんな事言わないでよ……　結束バンド、凄いじゃん……　だからずん子さんに食べられて？   (2022/12/20 07:32:41)

後藤ひとり> そもそも朝なのでそんな時間ないです！   (2022/12/20 07:32:51)

後藤ひとり> 託された覚えないしなんでずん子さんと！？   (2022/12/20 07:33:07)

秋山澪> ずんこさんと小春さんが言ってたから？   (2022/12/20 07:33:30)

小春六花> 重いなー。一世を風靡した秋山さんたちから託されるのまじで普通にゲロ重いのよ。   (2022/12/20 07:33:53)

東北ずん子> 時間内ならしかたないです(ひらびさにひとりさんといちゃいちゃしたかっただけともいう   (2022/12/20 07:34:11)

後藤ひとり> そうですよね………重いです………   (2022/12/20 07:34:34)

後藤ひとり> いやまあ一応あと2時間はいようと思えば入れるんですけど……眠っちゃいそうで   (2022/12/20 07:34:58)

秋山澪> ぇ？　一世を風靡した？　あと重すぎたらごめんなさい　あれなら出ますし   (2022/12/20 07:35:18)

小春六花> 私と出る？（？）   (2022/12/20 07:35:30)

後藤ひとり> 魂でも出します？   (2022/12/20 07:36:57)

秋山澪> （ボッチちゃん得意そう……）   (2022/12/20 07:37:19)

後藤ひとり> 得意ですよ………   (2022/12/20 07:38:37)

秋山澪> （ゲロとまで言われたら流石に、ね……）   (2022/12/20 07:38:45)

小春六花> （ごめんて。）   (2022/12/20 07:39:07)

後藤ひとり> (魂を出して……)   (2022/12/20 07:40:45)

秋山澪> （ぶっちゃ　「けいおん！」　の曲って不可能あのばっかりでね　指が６本必要なベース、３人居ないと引けないギター、ｋｂ二人必要（打ち込み？）とかばっかりでデタラメなんだよ……　そう云うのを加味すると絶対プロでやっていけないんだ……　結衣、憂は兎も角　だから結束バンド見たら凄すぎって想ってしまう訳で　全部ぼっちざろっくが惡い）
  (2022/12/20 07:42:45)

東北ずん子> よし、ともあれひとりさんは今度あそびましょうねー(ひらひら   (2022/12/20 07:42:59)

後藤ひとり> あ、はいまた今度ぜひ……   (2022/12/20 07:44:21)

後藤ひとり> いや私たちなんて全然メジャーでもないですし……   (2022/12/20 07:44:36)

東北ずん子> ということで、にどねします！   (2022/12/20 07:44:43)

おしらせ> 東北ずん子さんが退室しました。  (2022/12/20 07:44:47)

小春六花> おやすみ！！！   (2022/12/20 07:44:54)

秋山澪> ずん子さん、おやすみ　二度寝は良いよね   (2022/12/20 07:45:36)

秋山澪> いや、私も最近二度寝の快楽を覚えてしまって……駄目なのは解ってるんだけど、どうしても抗えなく   (2022/12/20 07:46:35)

小春六花> わかりみ……わたしも二度寝したい……   (2022/12/20 07:46:49)

後藤ひとり> 私は電車なのでやろうにも……   (2022/12/20 07:47:07)

小春六花> 二度寝もしたいし誰かと寝たい   (2022/12/20 07:48:05)

秋山澪> 大学辞めた翌日さ、二度寝してみたら余りの心地よさに……　やめられない   (2022/12/20 07:48:14)

秋山澪> そこに結束バンドの娘がいるでしょ（）   (2022/12/20 07:48:44)

後藤ひとり> 早起きしたあとの二度寝できる幸せ……   (2022/12/20 07:48:58)

後藤ひとり> えっ！？   (2022/12/20 07:49:01)

小春六花> 結束バンドの娘はなんかこう、時間なさそうだし……   (2022/12/20 07:49:16)

秋山澪> ま、高校生だから仕方ないよねその辺　って」小春さんも高校生だろっ   (2022/12/20 07:49:46)

後藤ひとり> あるにはあるけど……多分バスの中で寝ちゃいそう……   (2022/12/20 07:50:20)

秋山澪> （バスで眠れるってある意味才能だよな……私は無理だ）   (2022/12/20 07:50:53)

小春六花> 私今日リモートだからサボってもバレない！(キリッ   (2022/12/20 07:51:39)

秋山澪> 私は大学辞めてバイトも決まってないので問題ないっ！（意味もなく張り合った）   (2022/12/20 07:52:19)

小春六花> じゃあ、フケっちゃう（不良)   (2022/12/20 07:52:38)

後藤ひとり> ずるい………！   (2022/12/20 07:52:54)

秋山澪> お前は律かっ！（←サボったことはない　ただ大学辞めたけど）   (2022/12/20 07:53:17)

小春六花> おしい、私は六花だよ！   (2022/12/20 07:54:44)

秋山澪> （律かっ！　と六花って似てると思ったら先に言われた……）   (2022/12/20 07:55:33)

後藤ひとり> やめてないです……   (2022/12/20 07:55:44)

秋山澪> とりあえずだ、ぼっちちゃんの時間がなくなるまではここに居たいと思う　一応バンドという繋がりもあるし？　小春さんとはその後話し合うということでだめ？   (2022/12/20 07:57:44)

小春六花> （どやあ）   (2022/12/20 07:57:48)

小春六花> 全然オッケーだと思うし、私もぼっちちゃん眺めてるのは賛成です   (2022/12/20 07:58:19)

秋山澪> でもあれなんだよね……　公式上私達けいおん！って……　全然メジャーじゃないんだよね……結束バンドに比べて（実は箱にすら出てない　ロンドンのあれは別として）   (2022/12/20 07:59:31)

後藤ひとり> 私の通学を眺めるだけ！？   (2022/12/20 07:59:33)

後藤ひとり> いやでも私にとっては先輩ですから……   (2022/12/20 07:59:55)

秋山澪> ブレイクした後輩バンドを眺めちゃ駄目かな？　こう見えてファンなんだよ、私   (2022/12/20 08:00:23)

おしらせ> フィーさんが入室しました♪  (2022/12/20 08:00:55)

後藤ひとり> ブレイクと言うほどのものでは……   (2022/12/20 08:01:09)

秋山澪> ほら、Tシャツも買ったし！（トートバッグから出して見せ）   (2022/12/20 08:01:12)

後藤ひとり> ほんとだ……   (2022/12/20 08:01:30)

小春六花> フィーちゃんだ   (2022/12/20 08:01:35)

フィー> おふぁようございまふ…（くあぁってあくび）   (2022/12/20 08:01:47)

秋山澪> デザインもいいよね、これ　しっくでさ　ん？　こんばんわ　始めまして＞フィーさん   (2022/12/20 08:02:06)

小春六花> こう……ひとりちゃんの通学眺めているだけで無限に面白そうじゃない？   (2022/12/20 08:02:53)

秋山澪> 同意しか出来ないな＞小春さん   (2022/12/20 08:03:13)

後藤ひとり> フィーさんこんばんは……   (2022/12/20 08:03:17)

後藤ひとり> 何も面白いことないですよ！？ただ歩いたり乗り物乗るだけで………   (2022/12/20 08:03:39)

秋山澪> （そこにふわっと風が吹く　ぼっちちゃんは如何に）   (2022/12/20 08:04:18)

フィー> ひとりさんが電車通学だったらなかなかおもし…大変なことになりそうな   (2022/12/20 08:06:04)

後藤ひとり> ここにいるし面白くなりそうとは！？   (2022/12/20 08:06:18)

フィー> 電車って痴漢とかつきものですよね？（偏見）   (2022/12/20 08:07:18)

秋山澪> （痴漢じゃない？）   (2022/12/20 08:07:25)

小春六花> 自分でバレないようにローターとか起動してそう）   (2022/12/20 08:07:56)

秋山澪> （履いてない、とか……？）   (2022/12/20 08:08:21)

後藤ひとり> じょ、女性専用車なら……！   (2022/12/20 08:08:51)

後藤ひとり> 起動してないし履いてますよ！？   (2022/12/20 08:09:03)

フィー> 百合痴漢ってのもありますよ？   (2022/12/20 08:09:13)

秋山澪> 女性が痴漢しないとか、いつから勘違いしていたのか……   (2022/12/20 08:09:20)

秋山澪> って、さっきからふぃーさんと意見が丸かぶりなのはどういうことなんだ私   (2022/12/20 08:09:56)

小春六花> フィーちゃんドスケベロボだからな……   (2022/12/20 08:10:25)

後藤ひとり> 狙うならもっと可愛い人狙ってますよやる人も……   (2022/12/20 08:11:09)

秋山澪> ぼっちちゃんほど可愛い娘はまず滅多に居ないと思うけど？   (2022/12/20 08:11:51)

後藤ひとり> 澪さんも可愛いですよ！？   (2022/12/20 08:12:58)

フィー> 気が合うんでしょうか？＜澪さん   (2022/12/20 08:13:21)

秋山澪> 高校生に言われても……ね……（そりゃ昔はファンクラブとか訳の分からない物が出来たけど、もうそんな年じゃないし……）   (2022/12/20 08:14:07)

秋山澪> 合うのなら嬉しいですよ、フィーさん   (2022/12/20 08:14:44)

