/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月21日 11時23分 ～ 2022年12月22日 05時41分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

紲星あかり> つまり、ひとりさんはサンドバックと…   (2022/12/21 11:23:31)

小春六花> まぁわたしもそっち系じゃないしね！   (2022/12/21 11:23:50)

後藤ひとり> ボコボコにされちゃう………(顔面崩壊)   (2022/12/21 11:24:02)

結月ゆかり> 腹パンはしないのでご安心を   (2022/12/21 11:24:21)

後藤ひとり> よ、良かった……   (2022/12/21 11:24:58)

紲星あかり> つまりおなか以外にするってことですか…   (2022/12/21 11:25:01)

小春六花> パンパンはするってこと（？）   (2022/12/21 11:25:20)

結月ゆかり> お尻ペンペンとかいかがでしょう   (2022/12/21 11:25:24)

結月ゆかり> いいですねパンパンにしちゃいましょう   (2022/12/21 11:25:59)

後藤ひとり> パンパンとペンペン両方！？   (2022/12/21 11:26:16)

結月ゆかり> …それ、割と好きな人いますよね。ひんひん♡鳴きます   (2022/12/21 11:26:45)

紲星あかり> ぺんぺんされながらパンパンされちゃうのが好きなんですね！   (2022/12/21 11:26:50)

後藤ひとり> そ、そんなっ……こと……   (2022/12/21 11:28:19)

結月ゆかり> …味わってみたくは、あるのでしょう？   (2022/12/21 11:28:50)

結月ゆかり> …でもスパンキングって暴力に入るんでしょうか？   (2022/12/21 11:29:14)

後藤ひとり> やるなら時間がある時に…   (2022/12/21 11:29:43)

紲星あかり> どうなんでしょうか？   (2022/12/21 11:29:46)

結月ゆかり> じゃあ今度パンパンペンペンしましょう   (2022/12/21 11:30:10)

後藤ひとり> 今は眠くて……   (2022/12/21 11:30:30)

結月ゆかり> ゆかりさん的には首締めまでは暴力じゃない感あります   (2022/12/21 11:30:38)

結月ゆかり> 無理せずに、ですよ。今寝ないと夜を楽しめなくなります   (2022/12/21 11:31:06)

後藤ひとり> では少しだけ仮眠を……おやすみなさいみなさん……   (2022/12/21 11:31:24)

小春六花> おやすみひとりちゃん   (2022/12/21 11:31:32)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/21 11:31:36)

紲星あかり> はーいおやすみなさいです   (2022/12/21 11:31:38)

結月ゆかり> 仮眠で足りればいいですね、おやすみなさい   (2022/12/21 11:31:53)

紲星あかり> ・・・さて、Cevioで出てる人だけになっちゃいましたが   (2022/12/21 11:31:54)

結月ゆかり> …なっちゃいましたが？   (2022/12/21 11:32:27)

小春六花> あかりっかもゆづきづも捨てがたい……   (2022/12/21 11:32:57)

結月ゆかり> ずんだを与えてずんだもんに強制進化させますか(進化アイテム)   (2022/12/21 11:33:18)

紲星あかり> ゆづきずよりきずゆか呼び派ですね…   (2022/12/21 11:33:38)

