/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月23日 02時29分 ～ 2022年12月23日 22時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レム> 向かいますね、クレーちゃん♪   (2022/12/23 02:29:37)

おしらせ> レムさんが退室しました。  (2022/12/23 02:29:40)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2022/12/23 02:42:10)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/23 02:53:58)

後藤ひとり> あ、言って、らっしゃいませ   (2022/12/23 02:54:18)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/23 02:54:22)

おしらせ> 伊地知虹夏さんが入室しました♪  (2022/12/23 06:28:21)

伊地知虹夏> おーはよ！　ぼっちちゃんの気配……は真夜中のものかぁ。　うんうん、夜ふかしもまたロックだねぇ！   (2022/12/23 06:30:04)

おしらせ> 東北ずん子さんが入室しました♪  (2022/12/23 06:35:21)

東北ずん子> こんな時間にひとが、おはようございまーす？（そっとのぞきこんで   (2022/12/23 06:36:41)

伊地知虹夏> あ、はじめましてー。私もこんな時間に人が来るとは思わなかったかなあ（振り返る、そしてお辞儀をしながら初対面の挨拶）　   (2022/12/23 06:39:06)

おしらせ> ずんだもんさんが入室しました♪  (2022/12/23 06:41:58)

ずんだもん> おはようなのだ！   (2022/12/23 06:42:07)

東北ずん子> ふふ、人のすがたがみえたのでついつい。お邪魔しますね(ひらひらっとてをふり　はじめまして。東北ずん子ですっ。　あ、ずんだもんもおはようございまーす？   (2022/12/23 06:44:00)

ずんだもん> お返事ありがとうなのだ、ずん子とは初めましてなのだ！よろしく。   (2022/12/23 06:45:05)

伊地知虹夏> うんうん、私のお部屋じゃないけどゆっくりしてってほしいなあ！　あ、私は伊地知虹夏っていうんだ、よろしくね♪　ずんだもんちゃんもおはよ！   (2022/12/23 06:46:19)

ずんだもん> おはようなのだ！虹夏さん？も初めまして、よく勘違いされるけど、公式からの声明ではボクは女の子と発表されているのだ。ぜひ仲良くして欲しいのだ！(片手差し出し)   (2022/12/23 06:48:38)

東北ずん子> ゆっくり……なるほど、つまり虹夏さんに悪戯してもいいと(わきわき　あ、最近なぜか妙にずんだもんのねた多いですけどそうなんですね(なんでなんでしょうね、あれ   (2022/12/23 06:49:19)

伊地知虹夏> あはは……動画はよくみるから知ってる…かなーぁ……（ずんだもんちゃんとも握手握手）急になんでいたずらになるのかなあ！？困るよう！？   (2022/12/23 06:50:41)

おしらせ> 秋山 澪さんが入室しました♪  (2022/12/23 06:51:37)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/23 06:51:56)

後藤ひとり> おはようございます………   (2022/12/23 06:52:02)

秋山 澪> ぁ、ごめん　入室ミス（寝ようと思ってた　ってぼっちちゃん！）   (2022/12/23 06:52:31)

後藤ひとり> あ、おやすみなさい   (2022/12/23 06:52:45)

ずんだもん> 人が多くなってきたから帰るのだ、虹夏レス蹴りごめんなさい。2人は入れ違いでごめんなさいなのだ。   (2022/12/23 06:52:53)

伊地知虹夏> あ、ぼっちちゃんおはよー！昨日も遅かったみたいだけどだいじょーぶ？　もうひとりの方もおはようございまーっす   (2022/12/23 06:53:43)

ずんだもん> ずん子もレス蹴りしてたのだ、ごめん。バイバイ！   (2022/12/23 06:53:45)

秋山 澪> と、ずんだもんさんと一次さんは初めましてだな　宜しくお願いする　もうお休みするみたいだけど   (2022/12/23 06:53:48)

おしらせ> ずんだもんさんが退室しました。  (2022/12/23 06:53:49)

後藤ひとり> だ、大丈夫ですよ……(うとうと)   (2022/12/23 06:54:10)

東北ずん子> そしてミスするのよくある、ひとりさんもねむくないですかー(つんつん   (2022/12/23 06:54:22)

伊地知虹夏> 全然そうは見えないよ…！？   (2022/12/23 06:54:47)

後藤ひとり> 3時間睡眠は慣れてるので……(つんつんされ)   (2022/12/23 06:54:48)

秋山 澪> えと、すごく失礼なお願いなのだけど　ぼっちちゃん……個室に誘っては駄目かな？　時間が取りづらいのと、これからは余りコレない可能性があるから、告白しておきたいんだ　勿論駄目でもお断りでも居   (2022/12/23 06:56:06)

後藤ひとり> す、すいませんそこまで長居する予定はなくて………   (2022/12/23 06:57:06)

伊地知虹夏> そういうのは慣れちゃだめだよお！（私もって反対側からつんつん）   (2022/12/23 06:57:37)

秋山 澪> 解った。諦めるよ　それじゃ私も眠る　それじゃね   (2022/12/23 06:58:00)

後藤ひとり> あわわ………す、すいません……(むにむにされて)   (2022/12/23 06:58:09)

後藤ひとり> す、すいません、私は暫くはいるのでまた会えたらぜひ   (2022/12/23 06:58:20)

おしらせ> 秋山 澪さんが退室しました。  (2022/12/23 06:58:30)

東北ずん子> おやすみなさーい、眠い時はむりはだめですよぉ(こくこく   (2022/12/23 06:58:30)

伊地知虹夏> 嵐みたいだった……（ほけ）   (2022/12/23 07:00:33)

後藤ひとり> ですね……   (2022/12/23 07:01:06)

おしらせ> 結月ゆかりさんが入室しました♪  (2022/12/23 07:03:23)

結月ゆかり> 真の嵐こと結月ゆかりです。では   (2022/12/23 07:03:46)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/23 07:03:48)

伊地知虹夏> なんなの！！？（ぷしゅー   (2022/12/23 07:04:27)

東北ずん子> そんなところで対抗しなくてもいいのでは……(遠い目   (2022/12/23 07:04:30)

後藤ひとり> 嵐沢山来ますね…   (2022/12/23 07:06:41)

東北ずん子> それじゃあわたしも虹夏さんに(ぎゅーっとだきついて   (2022/12/23 07:06:59)

伊地知虹夏> 台風なんてアニメだけで十分だよお！   (2022/12/23 07:07:27)

伊地知虹夏> 一体どこで急にもってなったの！（受け止めた、そして背中をぽんぽん）   (2022/12/23 07:08:08)

後藤ひとり> うう……寒い……(通学中)   (2022/12/23 07:08:19)

伊地知虹夏> ぼっちちゃんちゃんと学校いけてて偉いなあ。   (2022/12/23 07:11:14)

東北ずん子> さむいなか登校するのたいへんですもんねぇ(虹夏さんにもたれて   (2022/12/23 07:11:52)

おしらせ> 結月ゆかりさんが入室しました♪  (2022/12/23 07:11:58)

後藤ひとり> 寒いけど授業でないの内容分からない……友達もいないから聞けないし…   (2022/12/23 07:12:20)

結月ゆかり> ワルプルギスの夜も嵐ですからね、おはようございます(通過してからＵターン)   (2022/12/23 07:12:47)

東北ずん子> ゆかりさんがかえってきた。おかえりなさーい   (2022/12/23 07:13:06)

伊地知虹夏> ぼ、ぼっちちゃん…（ぶわっ）ずん子さんは一層寒そうですね……（よしよしぽんぽん）   (2022/12/23 07:13:31)

伊地知虹夏> おかえりなさーい、やたら小回りの効く嵐だなぁ……   (2022/12/23 07:14:14)

後藤ひとり> な、泣かれてると私も泣きたく……(うるうる)   (2022/12/23 07:14:24)

後藤ひとり> また来た！？   (2022/12/23 07:14:32)

結月ゆかり> ずん子さん、ずんだキメてるのにゆかりさんに正論パンチはどうなんですか！   (2022/12/23 07:15:06)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/23 07:16:42)

後藤ひとり> あ、おはようございます   (2022/12/23 07:17:01)

桜衣乃> おはようございます……夕べはオールナイトするはずが、まさか布団を被った瞬間に寝てしまうなんて……（ず〜ん）   (2022/12/23 07:17:08)

伊地知虹夏> おはようございます、はじめまして。   (2022/12/23 07:17:21)

後藤ひとり> 私も寝ました……   (2022/12/23 07:17:46)

東北ずん子> 正論ぱんちってなんのことだろうって一瞬かんがえちゃいました(愛のあるつっこみだとおもったんですがってぽやり   (2022/12/23 07:17:54)

桜衣乃> ……おやっ、はじめまして〜♪このお部屋のアイドル、桜衣乃です♪どうぞお気軽にイノって呼んでくださいね♪　   (2022/12/23 07:18:12)

結月ゆかり> おはようございます、(がたがた)   (2022/12/23 07:18:33)

結月ゆかり> …ちょ、やっぱ…反応ががが   (2022/12/23 07:18:57)

桜衣乃> ……ゆかりちゃんは何をしてるんです？   (2022/12/23 07:19:04)

伊地知虹夏> あれはおねーちゃんの言ってた！ダイヤルホンせつぞく！   (2022/12/23 07:19:21)

後藤ひとり> 故障ですか………？   (2022/12/23 07:19:28)

伊地知虹夏> えっと、伊地知虹夏っていいます。ぼっちちゃんと同じバンドしてます！   (2022/12/23 07:20:55)

結月ゆかり> 油断してました、落ちます！そちらの金色の方はまた今度、ベロチューしながら自己紹介でもしますので！   (2022/12/23 07:22:38)

結月ゆかり> ではっ   (2022/12/23 07:22:40)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/23 07:22:44)

伊地知虹夏> ベロチューはいらないかなあ！   (2022/12/23 07:23:09)

後藤ひとり> また帰った……   (2022/12/23 07:23:31)

東北ずん子> べろちゅーしながらじこしょうかい……新しい？(うーん。ちょっと魅力的なのかなぁともおもってしまう   (2022/12/23 07:23:57)

桜衣乃> あっ、ひとりちゃんのお友達でしたか〜♡どうも、私がお世話になってます〜♡　虹夏ちゃんですね…♪このお部屋ではひとりちゃん狙いでしょうか？ひとりちゃん、結構人気があるのでちゃんと捕まえてあげてくださいね〜♪   (2022/12/23
07:24:34)

後藤ひとり> そんなにんきないですよ！？   (2022/12/23 07:25:08)

桜衣乃> あら〜……ゆかりちゃんはまた風のように去りぬ……　いつになったらゆっくりお話できるんでしょうか…？   (2022/12/23 07:25:11)

伊地知虹夏> なんだろう、同い年なのにやたらこの人だめな雰囲気するよぼっちちゃん！私はぼっちちゃんや喜多ちゃんやリョウとおしゃべりできるだけでいーよお？   (2022/12/23 07:26:05)

桜衣乃> べろちゅーしながら自己紹介……いいなぁ、私もそれくらいの積極性がほしいです…♡   (2022/12/23 07:26:13)

東北ずん子> 衣乃と表で色々はそのうちやりましょうね？(きょとこ   (2022/12/23 07:27:24)

後藤ひとり> こ、この人は悪い子では無いですよ！はい！えっと……ただ欲望に忠実なだけです！   (2022/12/23 07:27:37)

桜衣乃> ふふ、脈なしでしたか……♪　それもアリです♪特定のお相手だけターゲッティングして、独占欲を剥き出しに…♡それもまた、百合ですね♪   (2022/12/23 07:28:12)

桜衣乃> なんなら今からどうですか、ずん子さん？私、午前はわけあってフリーですから…♪   (2022/12/23 07:28:41)

東北ずん子> 流石にこの二人の前でやるのは難易度高いとおもうんですけど！？（虹夏さんは話好きっぽいふんいきもある   (2022/12/23 07:29:53)

伊地知虹夏> 欲望に忠実なだけっていうんだけどねぼっちちゃん。（肩がしっ）廣井さん（酒）とかリョウ（機材）を見てどう思う？   (2022/12/23 07:30:27)

後藤ひとり> お部屋に誘ってるのでは……   (2022/12/23 07:30:35)

後藤ひとり> えっと……その………は、はい……それは……なんというか……(言葉に詰まり)   (2022/12/23 07:31:03)

桜衣乃> え、表でするって、ずん子さんもそういう気概があったのでは…？   (2022/12/23 07:31:59)

桜衣乃> お部屋じゃないですよぅ、ひとりちゃんだって昨日はみんなの前でされる気持ちよさは十二分に伝わったでしょう？伝わりましたよね？   (2022/12/23 07:33:00)

伊地知虹夏> ぼっちちゃん、そこはちゃんと言おう。（じい）   (2022/12/23 07:33:28)

後藤ひとり> いやそうなんですけど……虹夏ちゃんには刺激が……(あわあわ)   (2022/12/23 07:34:53)

後藤ひとり> あ、あの二人も悪い人では無いですよ……(目逸らし)   (2022/12/23 07:35:07)

桜衣乃> 乃々ちゃん気持ちよさそうでしたよね…♪クレーちゃんの痴態も見てましたよね…♡将軍ちゃんもやったんですよ…♡次はひとりちゃんの番でしょうか…♡♡♡   (2022/12/23 07:35:15)

伊地知虹夏> 寄った勢いで箱に穴開けたり、後輩にお金をタカる人は世間一般的は悪い人なんだよ。（よしよし）   (2022/12/23 07:36:46)

後藤ひとり> え゛っ！？わ、私ですか？そ、その時はぜひ……！   (2022/12/23 07:37:58)

後藤ひとり> そ、そうですね……でも大丈夫ですよこの人はお酒も飲まないし……お金も貸してとか言いませんよ……   (2022/12/23 07:38:37)

東北ずん子> ひとりさんはまぁ、うん、それはそれでいいかなぁってなりますけど。虹夏さんは意外と普通な所もありそうですし(嫌いじゃなさそうだけどってぼんやり   (2022/12/23 07:39:21)

桜衣乃> はぁい♪ひとりちゃんの公開羞恥責めショーの予約確定です…♡虹夏ちゃんもお友達を誘ってぜひご来場ください…♡   (2022/12/23 07:39:26)

後藤ひとり> 遠回しに普通じゃない言われた！？……ていうかそんな恥ずかしい名前を言わないで！？   (2022/12/23 07:40:53)

伊地知虹夏> 今でも、ナチュラルに身体を貸してって言ってない？   (2022/12/23 07:41:06)

おしらせ> 森久保乃々さんが入室しました♪  (2022/12/23 07:42:06)

森久保乃々> ひとりさんの公開ショー…ぜひチケットください…！   (2022/12/23 07:42:42)

後藤ひとり> ま、まあ……拡大解釈すればそれはここに来る人みんなそうですし……何か来た！？   (2022/12/23 07:42:58)

桜衣乃> 乃々ちゃんは昨日ひとりちゃんに散々されちゃいましたからね…♡はい。おはようございます♡チケット価格はプライスレス、お部屋の入場が参加権利ですよ…♡定員は10人までです…♡   (2022/12/23 07:44:10)

桜衣乃> あ、こっちだと4人までですね♡私がひとり確定してますので♪   (2022/12/23 07:44:44)

森久保乃々> というわけでおはようございます…金色の方は初めまして？森久保乃々です…   (2022/12/23 07:44:48)

東北ずん子> 森久保さんが順調にいたずらされている。おはようござーますー   (2022/12/23 07:45:16)

伊地知虹夏> みんな私のこと金色呼ばわりなんだけど！（がん）はじめまして、伊地知虹夏です♪ぼっちちゃんとおなじばんどでどらむやってまーっす。   (2022/12/23 07:46:05)

後藤ひとり> 確かにここは6人でしたね……   (2022/12/23 07:46:47)

森久保乃々> 2階なら11人に責められるひとりさんが見られるということ…？さすがに分裂でもしないと厳しそう…   (2022/12/23 07:48:36)

森久保乃々> ど、どうも虹夏さん…ほら、色で認識しやすいのは悪いことではないと思うんですけど…   (2022/12/23 07:50:16)

おしらせ> 東雲絵名さんが入室しました♪  (2022/12/23 07:50:18)

後藤ひとり> さりげなく恐ろしいこと言ってません！？   (2022/12/23 07:50:24)

東雲絵名> ババババババ(機関銃でひとりを攻撃   (2022/12/23 07:50:34)

おしらせ> 東雲絵名さんが退室しました。  (2022/12/23 07:50:36)

伊地知虹夏> とりあえずぼっちちゃんのお墓は後で立てておくのは任せてね。   (2022/12/23 07:50:42)

後藤ひとり> さようなら……(ちーん)   (2022/12/23 07:50:55)

伊地知虹夏> ほんとにしんだーーーー！！！   (2022/12/23 07:51:05)

東北ずん子> 楽しそうで何よりです(ひとまず衣乃をぎゅうっとだきついといて   (2022/12/23 07:51:23)

後藤ひとり> あ、危ない……危うく魂が出るところでした……   (2022/12/23 07:51:42)

伊地知虹夏> 魂ならいつも回収してるから大丈夫だよお！飛ばないほうが助かるけど！   (2022/12/23 07:53:42)

森久保乃々> ひとりさんの玉がまろび出る…？   (2022/12/23 07:54:03)

後藤ひとり> 蜂の巣にされただけですよ………玉！？私には無いです！   (2022/12/23 07:54:49)

桜衣乃> おっと…♡ずん子さんが一番すきそうなプレイですよ…？また私でもひとりちゃんでも公開羞恥されてたらご参加くださいね♡   (2022/12/23 07:55:46)

森久保乃々> 蜂の巣にされて生還するなんて人間では…いえ、人間ではないと明言されてましたね…では今のひとりさんからは弾が出ると   (2022/12/23 07:56:28)

後藤ひとり> そうですよ……人では無いので…弾は出ませんよ！？   (2022/12/23 07:57:19)

東北ずん子> なににたいしての好きなプレイっていうのか詳しく！？   (2022/12/23 07:57:29)

