/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 01時28分 ～ 2022年12月26日 12時05分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

錦木千束> 平和…ってことだね。少なくとも、今のこの国じゃ（うんうん）   (2022/12/26 01:28:51)

後藤ひとり> わ、私の歌なんて聞いてもみんなつまらないですよ……それに何を歌えば……(音痴だし流行りの曲とか全然分からない………！)   (2022/12/26 01:29:03)

喜多 郁代> あんり意味はないかもだけど、大切やアピールポイントのひとつだからね…！（ぐっ。…一応、人間、のはず？）あ、あれ？何かおかしいこと言ったかしら…？（きょと、と首を傾げて不思議そうに見つめ）>藤原さん   (2022/12/26 01:29:03)

藤原妹紅 ◆> ？！、、、（な、なぜ分かったと言う顔で）...？、、、お前、琴とか弾くのか？...（と、唐突に質問して>後藤   (2022/12/26 01:29:37)

喜多 郁代> ひとりちゃんが好きな曲でいいんじゃないかしら…♪リョウ先輩とか絶対流行りの曲歌わなさそうだし…♪>ひとりちゃん   (2022/12/26 01:30:28)

錦木千束> そろそろ休まないと！おやすみなさい！   (2022/12/26 01:30:36)

藤原妹紅 ◆> そ、そうか、、意味ないの？（？？？）いやいや！なんでも無い、気にしないでくれ（少し罪悪感に苛まれながら誤魔化して>喜多   (2022/12/26 01:30:40)

おしらせ> 錦木千束さんが退室しました。  (2022/12/26 01:30:45)

藤原妹紅 ◆> お疲れ様、ちさと。   (2022/12/26 01:30:51)

後藤ひとり> お疲れ様です……   (2022/12/26 01:31:40)

喜多 郁代> 錦木さんはおやすみなさい…♪今度ゆっくり話しましょうね…♪   (2022/12/26 01:31:47)

後藤ひとり> えっと……好きな曲……わかりました……考えておきます………(むむむ………と頭を悩ませて)   (2022/12/26 01:32:14)

喜多 郁代> えぇ♪ひとりちゃんの曲の趣味とか知りたいし…♪あ、面白いことしよう！とか思わなくて大丈夫だからね…？（ないと思うけど…！って一応釘刺し…）   (2022/12/26 01:33:41)

喜多 郁代> 自慢かも…？（苦笑い…）そ、そう？そう言うならわかったわ…♪（にぱっ）>藤原さん   (2022/12/26 01:34:40)

後藤ひとり> アニソンとか……ですかね………(知らない曲しかないだろうけど………え？大丈夫ですよ！叫んだりして歌わないので……)   (2022/12/26 01:35:20)

後藤ひとり> え？私ですか？ギターは引きますよ？………(驚いてる顔をした妹紅さんにそう言い)   (2022/12/26 01:35:49)

藤原妹紅 ◆> 自慢、、、好きな人ってことか（ほーん？とニヤついて）>喜多   (2022/12/26 01:36:22)

