/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 12時07分 ～ 2022年12月26日 19時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クルル ◆> （やりとりにっこにこでココア啜ってる）   (2022/12/26 12:07:23)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> はっ、はいっ！(ゆっくりと部屋の中を見渡して…)   (2022/12/26 12:08:26)

クレー> (ずずず……)うーん♪美味しい……♡   (2022/12/26 12:08:27)

後藤ひとり> あ、どうも……   (2022/12/26 12:09:14)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> (ちょびっと他人行儀のような感じで、一人一人にペコペコとお辞儀して)   (2022/12/26 12:11:43)

アリス> あのピンクの人が完熟マンゴー、赤い服の少女がクレーさん、黄色いフードの女性がクルルさん、服を着崩しているのが渋谷さんですよ。   (2022/12/26 12:12:14)

後藤ひとり> ご、後藤ひとりです！(ぺこ)   (2022/12/26 12:12:51)

クレー> あっ…クレーそろそろお昼食べてこないと！   (2022/12/26 12:12:56)

渋谷凛 ◆> ひとりが…マンゴーになってる……？   (2022/12/26 12:13:48)

クレー> 良いところなのにごめんね……？ココアは飲みきったら片付けちゃっていいから♪それじゃ…(荷物しまってリュック背負って…)……またねー！(おててふりふり♪)   (2022/12/26 12:13:58)

後藤ひとり> 行ってらっしゃいです♪   (2022/12/26 12:14:04)

クルル ◆> クルル・バルデシオンよ、よろしくね（水星ちゃん、ってうぃんく）クレーちゃんはまた逢いましょ♪   (2022/12/26 12:14:12)

アリス> クレーちゃんはお疲れさまです。   (2022/12/26 12:14:22)

クレー> (クルルちゃん……クレーとココア入れるの手伝ってくれてありがとう♡すっごく楽しかったし嬉しかったよ♪)   (2022/12/26 12:14:38)

おしらせ> クレーさんが退室しました。  (2022/12/26 12:14:44)

後藤ひとり> 誰がマンゴーですか！   (2022/12/26 12:14:47)

渋谷凛 ◆> クレーはいってらっしゃいだね   (2022/12/26 12:14:57)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> か、カンジュ・クマンゴー…さん？(すっごく美味しそうな名前…)くっ、クレーさんはいってらっしゃいっ、ですっ！く、クルルさんと…渋谷さんっ。   (2022/12/26 12:15:59)

後藤ひとり> 後藤ひとりです！！！！！   (2022/12/26 12:16:35)

渋谷凛 ◆> ……（これ着崩したらどうなるんだろう？　https://gbf-wiki.com/index.php?plugin=attach&refer=img&openfile=3030041000_03_full.png
[/JumpUrl2/?url=https%3A%2F%2Fgbf-wiki.com%2Findex.php%3Fplugin%3Dattach%26refer%3Dimg%26openfile%3D3030041000_03_full.png]）  
(2022/12/26 12:16:56)

後藤ひとり> 似合ってますね   (2022/12/26 12:17:21)

クルル ◆> それはもうあられもない姿に……   (2022/12/26 12:17:29)

アリス> よく見たらグラブルでした。ごめんなさい   (2022/12/26 12:17:58)

渋谷凛 ◆> プリコネRにも…テイルズにもなるからね…自分用の機体があったらスパロボでも良かったんだけれど……   (2022/12/26 12:19:32)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> (カンジュ・クマンゴーなのか…それともひとりなのか…心の中で葛藤し始めて)   (2022/12/26 12:22:33)

後藤ひとり> 後藤ひとりです！で、これが完熟マンゴーです！(ダンボール指さし)   (2022/12/26 12:23:02)

アリス> 後藤・マンゴー・ひとり（完熟）ですね   (2022/12/26 12:23:52)

後藤ひとり> ややこしくしないでください！？   (2022/12/26 12:24:07)

クルル ◆> 完熟・後藤・マンゴー・一人ちゃん？   (2022/12/26 12:24:33)

後藤ひとり> スレッタさんが困惑しちゃいます……   (2022/12/26 12:25:52)

アリス> マンゴー党ひとりさんに改名しませんか…？   (2022/12/26 12:29:57)

後藤ひとり> 後藤ひとりのままで……   (2022/12/26 12:31:19)

クルル ◆> あら、もうこんな時間なのね……私も昼と少し処理しないといけないことを終わらせてくるからこの辺りで……また逢いましょう♪   (2022/12/26 12:35:25)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> ま、マンゴーひとりさん！   (2022/12/26 12:35:49)

アリス> 私もそろそろ予約があるのでいってきます。ありがとうございました。   (2022/12/26 12:35:55)

おしらせ> アリスさんが退室しました。  (2022/12/26 12:35:57)

後藤ひとり> ご、後藤ひとりてす！   (2022/12/26 12:35:58)

後藤ひとり> です！   (2022/12/26 12:36:04)

後藤ひとり> あ、お疲れ様です   (2022/12/26 12:36:09)

おしらせ> クルル ◆zj4nGVXxckさんが退室しました。  (2022/12/26 12:36:15)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> あっ…ぃっ、いってらっしゃい！   (2022/12/26 12:37:26)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> ぅ…(ちょっとだけ気まずいような…)   (2022/12/26 12:39:04)

後藤ひとり> (あ、む、むこうが気まずそう……も、申し訳ない……！)   (2022/12/26 12:40:10)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> ひ、ひとりさんは…ギターをしてるんですっ…よね   (2022/12/26 12:41:54)

後藤ひとり> は、はい！結束バンドのギターをた、担当してて……   (2022/12/26 12:42:10)

おしらせ> 無言時間が25分を超えたため、渋谷凛 ◆346.Rf.llEさんが自動退室しました。  (2022/12/26 12:45:02)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> すごいです…私…そういうのは全然できなくて…   (2022/12/26 12:45:04)

後藤ひとり> あ、お疲れ様です……   (2022/12/26 12:45:09)

後藤ひとり> わ、私もパイロットの免許はなくて………操縦できるの凄そうです………   (2022/12/26 12:45:33)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> …私が乗ってるのは…飛行機…じゃなくて…がんだむで…   (2022/12/26 12:50:59)

後藤ひとり> が、がんだむ……あ！ロボットですか？   (2022/12/26 12:51:44)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> (ぶんぶんっ。と強めに首を縦に振って)   (2022/12/26 12:54:55)

後藤ひとり> え？……ロボットじゃないんですか……(難しい……)   (2022/12/26 12:57:45)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> 【縦ですっ…正解ですぅ…】   (2022/12/26 13:06:52)

後藤ひとり> あ、すいません間違えてた……ロボットなんですね……ロボット動かせるんですか！？   (2022/12/26 13:09:26)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> …うっ、動かせます…！はいっ！   (2022/12/26 13:10:53)

後藤ひとり> その方が凄くないですか？………私にはできない……   (2022/12/26 13:12:40)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> でも…それ以外何もできないので…   (2022/12/26 13:13:45)

後藤ひとり> わ、私もギター以外得意なことは……   (2022/12/26 13:18:17)

