/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月02日 00時22分 ～ 2023年01月03日 01時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花> おっぱい同盟…   (2023/1/2 00:22:22)

後藤ひとり> すごい同盟……   (2023/1/2 00:22:35)

巴マミ> 仕方無いわね……物量で押し付けるのが一番効きそうだもの…   (2023/1/2 00:25:09)

巴マミ> …その前に沈んでしまったのかしら？(つんつん   (2023/1/2 00:30:51)

後藤ひとり> 起きてます……   (2023/1/2 00:31:13)

喜多 郁代> （寝てた…）   (2023/1/2 00:31:16)

巴マミ> 無理すると何処かの誰かみたいになるわよ……？(じー…   (2023/1/2 00:31:38)

中野一花> 元気ー！   (2023/1/2 00:31:39)

喜多 郁代> あはは…それもそうね…？変に寝落ちする前に寝ておこうかしら…（苦笑い…）   (2023/1/2 00:33:28)

喜多 郁代> もう少しお話していたかった気もするけど…おやすみなさい♪またお話しましょ？   (2023/1/2 00:34:01)

おしらせ> 喜多 郁代さんが退室しました。  (2023/1/2 00:34:07)

巴マミ> はいお休みなさい…(ひらひらと手を振りながら)   (2023/1/2 00:34:44)

花隈千冬> おやすみなさい。   (2023/1/2 00:35:04)

後藤ひとり> あ、お疲れ様です……   (2023/1/2 00:36:32)

中野一花> お疲れ様だよ   (2023/1/2 00:38:29)

巴マミ> ロックって本当にあんなに過激な物なのかしら……   (2023/1/2 00:39:15)

後藤ひとり> そんな過激では無いですよ！   (2023/1/2 00:39:52)

巴マミ> まさか胸部だけであんな敵視されるとは思わなかったわ……   (2023/1/2 00:43:02)

後藤ひとり> いやまあ中学生でその胸は羨ましいですよ……   (2023/1/2 00:44:21)

巴マミ> な、なんで皆そうやって其処を強調するのよっ……(ジトー……   (2023/1/2 00:44:50)

花隈千冬> そこでご自身でマウント取ったからでは？   (2023/1/2 00:47:03)

中野一花> ふぁぁ…お姉さんもそろそろ寝ちゃうね？おやすみぃ…   (2023/1/2 00:47:48)

おしらせ> 中野一花さんが退室しました。  (2023/1/2 00:47:52)

花隈千冬> お疲れさまです。   (2023/1/2 00:48:04)

巴マミ> あ、お休みなさい……(ふりふりと手を振って)と、取りたくて取った訳じゃっ……   (2023/1/2 00:48:51)

後藤ひとり> お疲れ様です……   (2023/1/2 00:50:08)

花隈千冬> その割にはノリノリだったような……まぁ、どっちでもいいですけど。   (2023/1/2 00:50:45)

巴マミ> む、ぅ…あれはそもそも喜多さんが先に……   (2023/1/2 00:51:17)

花隈千冬> 便乗したなら同罪です。   (2023/1/2 00:53:31)

巴マミ> 理不尽だわ……(ﾊﾞﾝﾊﾞﾝ   (2023/1/2 00:54:20)

