/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月03日 20時29分 ～ 2023年01月04日 21時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> ふにゃあ………流石衣乃お姉ちゃんにライネスお姉ちゃんだ…♡   (2023/1/3 20:29:03)

桜衣乃> 今までできなかったぶんを取り戻すみたいに求めあっちゃいましたから……   (2023/1/3 20:30:59)

クレー> いいなーいいなー…♡♡   (2023/1/3 20:31:40)

桜衣乃> 昨日までえっちらしいこと一個もしてあげられなかったんですよ、知ってました？知ってますよね……   (2023/1/3 20:31:52)

クレー> あぁ…意外と絡み少なかったもんね…   (2023/1/3 20:32:59)

桜衣乃> 不仲説を払拭したかったわけではありませんが、これで私とライネスちゃんが仲良しになれたという証明になればと思いますよ、安心してください！   (2023/1/3 20:33:50)

おしらせ> 小春六花さんが入室しました♪  (2023/1/3 20:34:02)

小春六花> 別に不仲だとか思ってないけど、今年は清廉潔白お淑やかな淑女として、性に溺れない予定の小春六花のリングインだーーーーー！！！！！（ひゅーひゅーーー）（3秒で乗り越える淑女の矛盾）   (2023/1/3 20:35:07)

クレー> 衣乃お姉ちゃんとライネスお姉ちゃんが不仲じゃないか…って思わないと思うよ…   (2023/1/3 20:35:20)

クレー> 小春お姉ちゃんこんばんは♪   (2023/1/3 20:35:55)

桜衣乃> あけましておめでとうございます、六花ちゃん♪……六花ちゃんがそうなっちゃっているのはお熱でみなさん遠慮しているからでは……   (2023/1/3 20:36:06)

小春六花> とりあえずなので今年の362日はそういう感じで遠慮してもらおうかな…みたいな……   (2023/1/3 20:36:41)

桜衣乃> そうですか……　ところで六花ちゃん、姫はじめしますか？   (2023/1/3 20:37:17)

小春六花> んー……この子日本語通じてないのかなぁ……（？）   (2023/1/3 20:38:52)

桜衣乃> ここ数日できてない六花ちゃんのことですし、六花ちゃんで来ているということはつまり〜みたいな認識なので……クレーちゃんも六花ちゃんの姫はじめしてあげたいですよね？   (2023/1/3 20:41:06)

クレー> 衣乃お姉ちゃんも7回もした後なのに…すごい…//   (2023/1/3 20:41:06)

おしらせ> 井ノ上たきなさんが入室しました♪  (2023/1/3 20:41:33)

井ノ上たきな> 2階からすごい雰囲気を感じ取りました…(すた。やけに荒い息。どうやら2階まで行って降りてきた様子。)   (2023/1/3 20:42:07)

小春六花> いらっしゃー。（おててぶんぶんね   (2023/1/3 20:42:38)

クレー> たきなお姉ちゃん♪お昼ぶり！   (2023/1/3 20:43:21)

桜衣乃> あ、たきなちゃん！（…どのたきなちゃんだろう…？）こんばんは〜♪あけおめ…ですかね？　…それにしても上のペコリーヌちゃんってほんとにあのペコリーヌちゃんですか？　まるで普段とのギャップが……   (2023/1/3 20:43:30)

クレー> 2階すごいよね……♡広いお部屋で2人であんなに長文で愛し合ってるのクレーどきどきしちゃう//   (2023/1/3 20:44:01)

小春六花> まぁー…そうね？私もマイハニーがそろそろ帰省から帰ってくる頃なのであわよくばーみたいな気持ちはある。でも済ませ終わってる人にもらわれたいほど私の始めては安くなーいぞぅ♡   (2023/1/3 20:44:57)

桜衣乃> あの量を5分で打つとかペコリーヌちゃん本気も本気出してますね……   (2023/1/3 20:45:03)

桜衣乃> ですって、クレーちゃん。私もクレーちゃんも早速フられちゃいましたねー。（およよ…）   (2023/1/3 20:45:51)

小春六花> 後最近普通に誘い方が強引すぎて怖いのでちょっと……（まがお）   (2023/1/3 20:46:52)

クレー> クレーまでフラれたことになってる…、いや、小春お姉ちゃん病み上がりなんだし、好きなタイミングと相手くらい選んでいいと思うの…♪   (2023/1/3 20:47:10)

井ノ上たきな> すごいです…完全にふたりの空気、というか(一瞬おめめちらりしてきた。のおめめ。そのままソファに横になって、くたん。と)   (2023/1/3 20:47:38)

桜衣乃> ぶり返すのも怖いですからね〜。……私くらい強引な子がいないと、六花ちゃん昨日の夜みたいなことになっちゃいますよ？   (2023/1/3 20:48:05)

小春六花> ぶり返した結果が多分今回だからねー。昨日の夜は日本語が通じないバグだからノーカン。   (2023/1/3 20:49:58)

桜衣乃> あー……じゃあまだお誘いはしないでおいたほうがいいんですねー……。それに姫はじめの相手はハニーさんがいらっしゃるようですし、それまでは私はおあずけみたいですねー。あー、ｻﾞﾝﾈﾝﾀﾞﾅｰ   (2023/1/3 20:51:08)

クレー> クレーも上手に百合のお誘いしてできたらいいんだけどね…(はわぁ…とほおづえ)   (2023/1/3 20:51:09)

桜衣乃> 流石に上の部屋レベルのには入っちゃいけない空気出てますよね〜。入る余地ナッシングです。   (2023/1/3 20:51:56)

桜衣乃> クレーちゃんならお誘いも自然にできるんですけどねぇ……。（おいでおいで〜、とクレーちゃんをお膝の上に手招き…）   (2023/1/3 20:52:41)

小春六花> そのハニーさん、なんなら1月いっぱいくらいなんなら会えない可能性もあるのでどうなることやらやら。   (2023/1/3 20:53:08)

井ノ上たきな> そんな感じですね…下で響いてくる声を聞いて、楽しむのみ。(ソファに腰かけたまんま。   (2023/1/3 20:53:48)

井ノ上たきな> …姫初め、ですか(ぼう。っとそうぞうしつつ。)   (2023/1/3 20:54:07)

桜衣乃> じゃあ一ヶ月姫はじめはおあずけです   (2023/1/3 20:54:09)

桜衣乃> ……ってコト……！？   (2023/1/3 20:54:19)

クレー> 難しいね～(呼ばれるなりとことこ…と衣乃お姉ちゃんのところに寄っておひざにぽふり…)   (2023/1/3 20:54:33)

小春六花> いえーす、いえーす。（てをふりふり）   (2023/1/3 20:54:43)

小春六花> なので今年は清廉潔白純情乙女を目指していこうかな……って。   (2023/1/3 20:55:14)

桜衣乃> はぁ……六花ちゃんの心のおちんぽが爆発しないことをイノってますね？　（あぁ言ってますけどいつまで続くと思いますクレーちゃん？）   (2023/1/3 20:56:17)

桜衣乃> たきなちゃんは千束ちゃんと姫はじめ済ませました？昨日たきなちゃん待ち千束ちゃんが来たので、タイミングが会合えばきっとしてあげてほしいと思ってるんですが……   (2023/1/3 20:57:38)

クレー> せいれんけっぱくじゅんじょーおとめ？頑張って…！>小春お姉ちゃん   (2023/1/3 20:58:02)

小春六花> ほら、クレーちゃんは味方してくれてるよ。（にこー）   (2023/1/3 20:58:15)

井ノ上たきな> 昨日、お部屋までは言って、お話しやら諸々…。ふふ。お互い早めにダウンしてしまったので、今夜会えたらと言うような形で…？(実はまだ姫始め終わってなかった人)   (2023/1/3 20:58:56)

桜衣乃> 六花ちゃんに頭おっつかなくて混乱してるだけだと思いますけど……（よしよし、と座るクレーちゃんなでくり）   (2023/1/3 20:59:08)

クレー> あにゃ……そうなんだっ…！>たきなお姉ちゃん   (2023/1/3 20:59:27)

桜衣乃> まぁ……お正月疲れでしょうか？残念でしたね……次は姫はじめできるといいですね♡   (2023/1/3 21:00:27)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/3 21:01:13)

後藤ひとり> こ、こんばんは   (2023/1/3 21:01:15)

クレー> ひとりお姉ちゃんこんばんは♪   (2023/1/3 21:01:28)

小春六花> ちゃおー。   (2023/1/3 21:01:33)

井ノ上たきな> まぁ、お互いそんな気がします。私は千束に。って、思ってますから…ね。   (2023/1/3 21:01:35)

桜衣乃> あ、ひとりちゃん♪こんばんは〜♡朝はおたのしみでしたね♪   (2023/1/3 21:01:38)

井ノ上たきな> こんばんは。   (2023/1/3 21:01:40)

後藤ひとり> あ、はい……///ま、まあ楽しみでした……あ、こ、こんばんは………   (2023/1/3 21:01:57)

小春六花> イノちゃん私のこと勘違いしてる節あるけど、そもそも相手がいないなら付き合うけど相手がいるならそっちと遊びなよ、ってスタンスなんだから……   (2023/1/3 21:02:11)

おしらせ> 中野一花さんが入室しました♪  (2023/1/3 21:04:31)

後藤ひとり> おはようございます……   (2023/1/3 21:04:41)

小春六花> らっしゃーい   (2023/1/3 21:04:44)

クレー> こんばんは♪   (2023/1/3 21:04:55)

桜衣乃> えー、でもそんな私とバーバラちゃんの間に入ってふたりともNTRをかました初期六花ちゃんのほうが私にとっての六花ちゃんですから……   (2023/1/3 21:05:15)

小春六花> もうそんなことしなくても他の人がおんなじことしてくれるでしょ！！   (2023/1/3 21:06:06)

桜衣乃> あ、一花ちゃんこんばんは〜♡   (2023/1/3 21:06:18)

クレー> クレーは特に相手とかいないよ。クレーとしたいと思ってくれた人やクレーのお誘いを受けてくれる優しい人がその時の相手かな♡   (2023/1/3 21:07:14)

井ノ上たきな> こんばんは。一花さん   (2023/1/3 21:07:26)

桜衣乃> えー？でも私は六花ちゃんにされたいし、なんならまたあぁいうのされたいですよぅ……♡六花ちゃんからでしかもらえない栄養素があるんです！   (2023/1/3 21:07:29)

桜衣乃> ねぇ、クレーちゃん？クレーちゃんも六花ちゃんとまたお部屋えっちしたいですよね〜？   (2023/1/3 21:07:45)

中野一花> (ふぁぁ…)   (2023/1/3 21:11:12)

後藤ひとり> 眠そう……   (2023/1/3 21:12:22)

桜衣乃> 眠たそうです……   (2023/1/3 21:12:33)

クレー> それは……うん…//小春お姉ちゃん上手な文でクレーどきどきできるし♡小春お姉ちゃんにされるのクレー好きだけど、ちゃんとタイミングと小春お姉ちゃんのその時の気分におまかせなの♪   (2023/1/3 21:12:33)

クレー> お部屋いっぱいになったね…！   (2023/1/3 21:13:07)

後藤ひとり> ですね……いつの間に   (2023/1/3 21:13:24)

小春六花> でも一花さんって好きな人がいないときはこんなもんでは…？   (2023/1/3 21:13:35)

桜衣乃> とはいえ…（ちら）上はもうちょっとかかりそうですね♡   (2023/1/3 21:13:37)

井ノ上たきな> あ、満員…(ソワソワ。落ち着かない様子で回りみ私。   (2023/1/3 21:14:02)

小春六花> 人いっぱいなら私は自分の部屋にでも帰っとくねー。   (2023/1/3 21:14:17)

小春六花> あでぃおーっす   (2023/1/3 21:14:25)

桜衣乃> じゃあ私もご一緒に〜♪   (2023/1/3 21:14:31)

おしらせ> 小春六花さんが退室しました。  (2023/1/3 21:14:31)

後藤ひとり> (陰キャ仲間がいる………！)   (2023/1/3 21:14:32)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/3 21:14:46)

後藤ひとり> あ、お疲れ様です   (2023/1/3 21:15:58)

中野一花> なにおーう？お姉さんは好きな人いるんだからなー？   (2023/1/3 21:17:52)

後藤ひとり> 誰ですか？   (2023/1/3 21:19:09)

クレー> 今度はクレーがそわそわしちゃうよ……   (2023/1/3 21:22:10)

後藤ひとり> 私も……   (2023/1/3 21:22:36)

中野一花> ひとりちゃんとライネスちゃん   (2023/1/3 21:22:38)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/3 21:22:52)

中野一花> もちろんクレーちゃんもみんなも大好きだぞっ♪   (2023/1/3 21:23:06)

後藤ひとり> あ、おかえりなさい   (2023/1/3 21:23:20)

後藤ひとり> 嬉しいこと言いますね……///   (2023/1/3 21:23:24)

クレー> あ、ありがとう…//>一花お姉ちゃん   (2023/1/3 21:23:27)

桜衣乃> ただいまです♪クレーちゃんいきなりほっぽってごめんなさいね〜？あっちはなんとかなりそうですから、戻ってきましたよ♪   (2023/1/3 21:23:31)

おしらせ> 錦木千束さんが入室しました♪  (2023/1/3 21:24:38)

クレー> あ、おかえりなさいっ>衣乃お姉ちゃん   (2023/1/3 21:24:40)

後藤ひとり> あ、良かったですねたきなさん戻ってきましたよ   (2023/1/3 21:24:51)

桜衣乃> おや…♪これはこれは……♡   (2023/1/3 21:25:07)

錦木千束> んっふ〜！さぁ、って。私はどの千束でしょ〜かぁ〜？（によによ。）   (2023/1/3 21:25:12)

後藤ひとり> 去年から来てる千束さんですね   (2023/1/3 21:25:34)

クレー> 千束お姉ちゃんこんばんは♪、今年もよろしくね！   (2023/1/3 21:25:46)

錦木千束> こんばんは！あけましておめでとう〜！今年もよろしくね！そーそー、去年から来てて、ぇ…？   (2023/1/3 21:26:33)

桜衣乃> そのテンションの高さ、いたずら好きの千束ちゃんですね！   (2023/1/3 21:26:51)

後藤ひとり> 色合いで何となく分かります……   (2023/1/3 21:26:59)

桜衣乃> あけましておめでとうございます♪   (2023/1/3 21:27:04)

中野一花> イタズラ好きでお姉さんに背中を取られた千束ちゃんだな〜♪   (2023/1/3 21:27:31)

井ノ上たきな> こんばんは。千束。覚えてくれて……(ンツ。そろそろとお口閉じて。ソファでだんまり。   (2023/1/3 21:27:44)

錦木千束> イタズラ好きじゃない私なんて居るの……？あ。た〜き〜な〜！何黙りこくってんだよぉ！ほら、ちゃんと挨拶したかぁ？……な、部屋満員だし、セーフハウスに行かなきゃなー？（だんまり決め込んでるたきなを、がばっと抱き締めてにんまり。）   (2023/1/3
21:29:51)

桜衣乃> ……どうでしょう。少なくとも昨日の千束ちゃんは千束ちゃんより大人びてましたよ…♪   (2023/1/3 21:31:05)

井ノ上たきな> 私はもう、昨日のうちに皆さんに挨拶は済ませています。…よく覚えていますね。私か言ったその言葉。(視界に入った途端にロックオン。そのまま抱きしめられてしまえば、こちらからも抱き返して背中をとんとん。よしよし。って落ち着かせるように)  
(2023/1/3 21:31:36)

後藤ひとり> 今度からid控えときますね……   (2023/1/3 21:32:23)

クレー> クレーもちょっとお２階みてくるねっ   (2023/1/3 21:33:37)

おしらせ> クレーさんが退室しました。  (2023/1/3 21:33:40)

錦木千束> ちょいちょい！それってどーいう意味！？まるで私が子供っぽいみたいな言い方じゃん！……んぉ…ちょ、たきな…あのぉ……ほら、違うでしょ…？表でその感じは…さ…？（意外にも抵抗なく抱かれるどころか、抱き返されて背中まで叩かれるとすっかり大人しく…）  
(2023/1/3 21:33:48)

桜衣乃> ふふ、では私も上に…♪   (2023/1/3 21:34:34)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/3 21:34:47)

中野一花> わ〜…あの千束ちゃんがこんな風になるなんて…面白いなぁ〜♪   (2023/1/3 21:35:18)

錦木千束> 二人共いってらっしゃーい。え、私のことなんだと思ってんの…？   (2023/1/3 21:36:10)

井ノ上たきな> 偶には…。(くす。なんとはなしな優越感。背中を擦りながら。「どうしますか…もう、行きます？」と。様子伺うように尋ねてみて   (2023/1/3 21:36:12)

井ノ上たきな> 行ってらっしゃい。   (2023/1/3 21:36:22)

錦木千束> んぁ、ぁ〜。そうだね。今日は約束がなかったら来る予定はなかったし…？（こく、と頷き、相手の袖を指先で摘んで）   (2023/1/3 21:38:18)

後藤ひとり> 行ってらっしゃいです   (2023/1/3 21:39:02)

井ノ上たきな> じゃあ、千束のこと、お借りしますね…。(すと。立ち上がれば。袖を握っていない方のお手手を繋ぎ合わせて。「セーフハウスに行きましょう。」って。苦笑いして   (2023/1/3 21:40:03)

錦木千束> んじゃ、失礼しま〜す！またね！（「セーフハウスって大袈裟だね〜」だとかなんとか。手をしっかり繋ぎ、今日は連れてかれる側！）   (2023/1/3 21:40:53)

おしらせ> 錦木千束さんが退室しました。  (2023/1/3 21:40:57)

おしらせ> 井ノ上たきなさんが退室しました。  (2023/1/3 21:41:11)

中野一花> 私たちはどうしよっか？   (2023/1/3 21:42:56)

後藤ひとり> 個別でも上行くでもなんでもいいですよ……   (2023/1/3 21:45:01)

中野一花> じゃあ2階行こっか♪   (2023/1/3 21:51:42)

おしらせ> 中野一花さんが退室しました。  (2023/1/3 21:51:50)

おしらせ> 後藤ひとりさんが退室しました。  (2023/1/3 21:52:17)

おしらせ> 八重神子 ◆zj4nGVXxckさんが入室しました♪  (2023/1/3 23:01:07)

八重神子 ◆> はぁ、年末年始の修羅場は終わったがまだ明日も仕事なんじゃよな……（現れてそうそうソファーに倒れ込みぐったり神子、このまま寝てしまおうかなんて考えながら）   (2023/1/3 23:02:05)

おしらせ> ケオベさんが入室しました♪  (2023/1/3 23:05:46)

ケオベ> こん…ばんわ！　あれ、どうしたの？ねむいの？（元気よく入室、したところソファちゃんに倒れこんでいる誰か。傍にしゃがみこんで、じーっ）   (2023/1/3 23:07:56)

ケオベ> んー…ん？（寝てる？寝てるね。ぐーぐーは言ってないけど。じゃあうるさくしたら悪いよね？）　…そーっと、そーっと（すこーしずつ距離とって。）   (2023/1/3 23:26:56)

