/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月08日 15時11分 ～ 2023年01月09日 10時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> ですよね……油断してたら寝そう……   (2023/1/8 15:11:45)

喜多 郁代> でも、今夜伊地知先輩と色々するんでしょ…？それなら寝ておくのもあり、かも…   (2023/1/8 15:13:51)

井ノ上たきな> 今日はたらこパスタで…ささっと   (2023/1/8 15:13:58)

後藤ひとり> 色々……添い寝ですよ！？あ、いいですねパスタ   (2023/1/8 15:14:15)

喜多 郁代> みんな麺類多め…！まぁ、簡単だしね……♪   (2023/1/8 15:15:38)

喜多 郁代> あ、添い寝だけなんだ…？てっきりもっとすると思ってた…♪（くす）   (2023/1/8 15:16:22)

後藤ひとり> そ、それはその時の流れによりますね……///   (2023/1/8 15:16:57)

喜多 郁代> （最後までする流れだなぁって顔でにっこり。）   (2023/1/8 15:17:36)

井ノ上たきな> 麺類の備蓄だけは負けません…   (2023/1/8 15:19:30)

喜多 郁代> 井ノ上さんはどこで張り合おうとしてるの！？…そんなに好きなのね？（くす）   (2023/1/8 15:20:05)

後藤ひとり> ら、ラーメンの愛情なら私も……   (2023/1/8 15:20:29)

井ノ上たきな> 何で張り合おうとしてたか、忘れました。   (2023/1/8 15:20:30)

井ノ上たきな> パスタなら、負けませんよ。(ふんす   (2023/1/8 15:20:47)

喜多 郁代> あはは…謎の食べ物に対する愛情マウントが…好きな食べ物は多いけど、負けない！って程なのはあんまりないかな…   (2023/1/8 15:22:16)

後藤ひとり> そもそもなんでこんな争い(？)に   (2023/1/8 15:23:59)

喜多 郁代> 争いなのかしら、これ……   (2023/1/8 15:24:38)

井ノ上たきな> ふぅ……(けふ。   (2023/1/8 15:25:08)

後藤ひとり> ねむねむ……   (2023/1/8 15:25:59)

喜多 郁代> すっかりのんびりした雰囲気に…私も釣られて眠気きちゃったかも……？   (2023/1/8 15:34:50)

おしらせ> 滞在時間が360分を超えたため、井ノ上たきなさんが自動退室しました。  (2023/1/8 15:35:41)

後藤ひとり> あ……   (2023/1/8 15:36:28)

後藤ひとり> 私も寝ようかと……   (2023/1/8 15:36:34)

おしらせ> 井ノ上たきなさんが入室しました♪  (2023/1/8 15:36:42)

井ノ上たきな> 皆さん、寝ます……？   (2023/1/8 15:36:51)

おしらせ> 中野一花さんが入室しました♪  (2023/1/8 15:37:10)

中野一花> ふっか〜つ♪   (2023/1/8 15:37:15)

喜多 郁代> おかえりなさい…♪   (2023/1/8 15:38:25)

後藤ひとり> 私は少し寝ようかと……   (2023/1/8 15:38:57)

中野一花> 寝た方がいいよぉ…？   (2023/1/8 15:40:32)

井ノ上たきな> 私はもう少しで行きますし、ね   (2023/1/8 15:41:18)

後藤ひとり> なら寝ますね……(布団かけて)   (2023/1/8 15:43:31)

中野一花> ひとりちゃんはおやすみ〜   (2023/1/8 15:44:39)

おしらせ> 後藤ひとりさんが退室しました。  (2023/1/8 15:45:20)

井ノ上たきな> おやすみなさい、っ   (2023/1/8 15:51:20)

おしらせ> 無言時間が25分を超えたため、喜多 郁代さんが自動退室しました。  (2023/1/8 16:03:31)

