/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月22日 16時02分 ～ 2023年01月23日 22時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> クレー栄養ドリンク飲めないや…。   (2023/1/22 16:02:46)

結月ゆかり> 飲まなくていいんですよ！…小さい子が飲みすぎると命に関わりますからね   (2023/1/22 16:03:32)

森久保乃々> でも子供用のありますよね、多分おいしいですよ   (2023/1/22 16:04:22)

結月ゆかり> おいしくて飲むものじゃないんですよ。美味しいのでしたらほら、マッチで我慢してください。味似てますし   (2023/1/22 16:04:57)

クレー> ハルヒお姉ちゃんもいるみたいだけど…落ちちゃったのかな？そのまま寝たら風邪ひいちゃうよー…(とてとて、ハルヒお姉ちゃんの服装直してあげて毛布持ってきてあげるの)   (2023/1/22 16:05:52)

森久保乃々> えー…じゃあオロナミンでいいですよ   (2023/1/22 16:06:14)

結月ゆかり> 多分、寝ちゃってますね。また今度恥ずかしいことしましょうね♡(なで)   (2023/1/22 16:06:44)

おしらせ> 無言時間が25分を超えたため、藤岡ハルヒさんが自動退室しました。  (2023/1/22 16:06:53)

森久保乃々> ハルヒさん、お疲れ様です   (2023/1/22 16:07:04)

結月ゆかり> あれも栄養ドリンクの類になるので、ドデカミンにしておきましょうね   (2023/1/22 16:07:09)

クレー> CCレモンってまだあるよね…？   (2023/1/22 16:09:12)

結月ゆかり> ありますよ、今でも売ってますね   (2023/1/22 16:09:23)

森久保乃々> ドデカミンも一応栄養ドリンクとしてアピールしてるんですね…（調べた顔）   (2023/1/22 16:09:31)

森久保乃々> 大定番なのでどこにでもありますよね   (2023/1/22 16:10:00)

クレー> そ、そうだよね！びっくりしたー(ほっ)、最近飲んでないなぁと思ったら、あれ見てないな…と思って…9   (2023/1/22 16:10:02)

結月ゆかり> 一応、ですね。ただ、ZONEとかモンスターとかあの辺よりは全然弱いですが   (2023/1/22 16:10:16)

結月ゆかり> 昔よりは売ってるお店減ったかもしれませんね、いろんな飲み物増えましたし   (2023/1/22 16:10:44)

森久保乃々> そうでしょうか、確かにエナドリ置く数は増えたなあとは感じますけど…   (2023/1/22 16:11:57)

クレー> 炭酸きらいじゃないし、よく飲むけど、クレー飲むとけぷ…って//   (2023/1/22 16:12:14)

結月ゆかり> 昔、エナジードリンクとかそんなになかったですよね。最近急に増えた気が…   (2023/1/22 16:12:34)

おしらせ> 五十鈴れんさんが入室しました♪  (2023/1/22 16:12:50)

