/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月26日 19時37分 ～ 2023年01月27日 18時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾もそんなに深く考えておらんのぅ（火サスにつられただけ）   (2023/1/26 19:37:12)

桜衣乃> まぁ確かにそろそろごはんの時間でしょうか……　私もおなかがぐうぐうです。   (2023/1/26 19:37:36)

小春六花> 誰も突っ込んでくれなくて普通に悲しい……やっぱり私の味方は茜ちゃんなのでは…？   (2023/1/26 19:38:14)

八重神子 ◆> 分かっておるがあえて突っ込まなかった（素）   (2023/1/26 19:39:38)

桜衣乃> ……？（素でツッコミどころがわからなそうなかお。）   (2023/1/26 19:40:12)

小春六花> ひどい！！！.wav   (2023/1/26 19:40:28)

八重神子 ◆> 真顔でなんてこと言うの六花ちゃん   (2023/1/26 19:41:03)

小春六花> わぁい！   (2023/1/26 19:41:17)

桜衣乃> ……あぁ！   (2023/1/26 19:41:20)

小春六花> 八重ちゃんは友だった   (2023/1/26 19:41:27)

八重神子 ◆> まぁよくコラに使っておったからのぅ   (2023/1/26 19:42:50)

桜衣乃> こまったこまった、なかなかパーフェクトコミュニケーションができないですね……   (2023/1/26 19:44:25)

小春六花> 流石にナイトと忍者の話とかまで遡ってはあんまりふらないから…、   (2023/1/26 19:44:28)

桜衣乃> むしろそっちのほうがまだわかるまでありますかね、私は……やったことないですけど   (2023/1/26 19:46:57)

八重神子 ◆> 汚いなさすが忍者きたない   (2023/1/26 19:47:53)

小春六花> 私との会話は一瞬の油断が命取り   (2023/1/26 19:48:15)

八重神子 ◆> まぁ妾も11はやっておらぬがのぅ   (2023/1/26 19:48:18)

桜衣乃> 私は6のあとは飛んで12なので……   (2023/1/26 19:48:45)

八重神子 ◆> そんな貴方に、『ファイナルファンタジーXIVフリートライアル』というものが存在する   (2023/1/26 19:50:04)

小春六花> でもお高いんでしょう？   (2023/1/26 19:50:49)

八重神子 ◆> フリートライアル、つまり無料である。パッケージ料金も必要なければ、プレイ料金も必要ない。強くなるためには、単にストーリーを追いかけるだけでよく、ガチャもないので（略）   (2023/1/26 19:51:15)

桜衣乃> まぁすごい！　プレイステーションもスイッチもゲーミングPCも持ってない私でもできるでしょうか！？   (2023/1/26 19:52:46)

