/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月13日 13時17分 ～ 2023年02月13日 19時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

結月ゆかり> 錬金術じゃないですか   (2023/2/13 13:17:33)

中野三玖> 等価交換なのかな…   (2023/2/13 13:18:23)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> え、こういうのは先に出した方がよいかなって…？…え、それだけなの…？(目の前でヒラヒラさせながらひとりをじぃっと   (2023/2/13 13:19:11)

後藤ひとり> 言われると思ってました………じゃあ……(ヒラヒラされたらズボンとシャツも脱いで………)   (2023/2/13 13:19:52)

結月ゆかり> …脱ぐ行為に価値を付けるのは買う側ですから(ひそひそ)   (2023/2/13 13:20:04)

中野三玖> …(あのお金って円価値に直せるのかな…)   (2023/2/13 13:20:37)

結月ゆかり> まぁ金貨とかにしてもらえれば金として売れるのではないのでしょうか…架空の通貨でも金は金です(こく)   (2023/2/13 13:21:36)

後藤ひとり> ……(忘れてた……)   (2023/2/13 13:21:56)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> ……ホントなんでひとりそんな凄いんだか…唯このままだと色気薄そう…？二人とも如何思…あ…(しまったバレたかって顔して   (2023/2/13 13:22:25)

おしらせ> 井ノ上たきなさんが入室しました♪  (2023/2/13 13:22:27)

中野三玖> 江戸時代の金と銀の総価値の比較差を思い出した…   (2023/2/13 13:22:39)

井ノ上たきな> こんにちは……平日のお昼なのに、盛況ですね(ゆらゆら。ふらり   (2023/2/13 13:22:55)

中野三玖> …働いてる子   (2023/2/13 13:23:11)

結月ゆかり> はい、いらっしゃいませ！もうそろそろゆかりさんは寝ますけどね！   (2023/2/13 13:23:13)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> やほ…今からひとりの公開…が始まるとこだけど追加料金払う？(ひらひらと   (2023/2/13 13:23:40)

後藤ひとり> 私は普通なんですけどね……もしかしてそのお金日本円じゃないんですか……(色々脱いだ状態で暗い顔をして)あ、こんばんは   (2023/2/13 13:23:48)

結月ゆかり> リアルスパチャですね…！   (2023/2/13 13:24:02)

結月ゆかり> (アニスさんのお札をゆかりさんの諭吉さんに差し替えておきますか…ささっ)   (2023/2/13 13:24:31)

井ノ上たきな> 私は、見ておくだけにしておきましょう(すとん。とその場待機   (2023/2/13 13:25:20)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> そもそも通貨単位とか気にした事ないなー……魔物狩れば素材とか買える収入は有るし…んー…   (2023/2/13 13:25:32)

後藤ひとり> それならいいんです………いやというか……チョコに万札は要ります！？……あ、はい…見るだけなら……   (2023/2/13 13:25:57)

中野三玖> (くぁぁ…)ねむい   (2023/2/13 13:26:25)

結月ゆかり> やっぱりレアメタルですよ！半導体はもちろんPCパーツでも使いますし、価値が変わらないですし！   (2023/2/13 13:27:02)

後藤ひとり> 寝ます？……(なでなで)   (2023/2/13 13:27:12)

結月ゆかり> 寝てないみたいですしねぇ…   (2023/2/13 13:27:24)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …あれ何か有る……まぁいーや改めてこれで(ぴらりと手にした日ノ本通貨ぴらぴら)そもそレアメタルとか何処掘れば…？   (2023/2/13 13:27:33)

中野三玖> …やっぱり石炭と石油。いつの時代もエネルギー…(なんの会話だろう…)   (2023/2/13 13:28:41)

結月ゆかり> …んー。そちらの世界ではその辺に落ちてるものがこっちではレア物なんて可能性もありそうですよね。ファンタジーとリアルの境界線と言いますか、混ぜたら危険と言いますか…。   (2023/2/13 13:28:48)

後藤ひとり> 11時間寝たはずなのに私も眠いですからね………あ、はい日本円ならいいんですけど…………   (2023/2/13 13:28:56)

結月ゆかり> マイクラですかね…   (2023/2/13 13:29:03)

後藤ひとり> 社会のお話になりましたね   (2023/2/13 13:29:04)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> まーもう地球は滅びの一途だよねー残念だけど…(それがどれだけ先になるかは一旦置いといて)そもそも帰られるか解んないし帰る気も無いけどまだ………   (2023/2/13 13:30:44)

後藤ひとり> 私が生きてる間に滅びなければそれでいいです………(どうせ子供もできませんし……)   (2023/2/13 13:31:21)

中野三玖> …あれ…そもそも私って何時に寝たっけ   (2023/2/13 13:31:21)

結月ゆかり> ん？ひとりちゃん子供仕込まれたいと   (2023/2/13 13:31:40)

結月ゆかり> 言いましたね   (2023/2/13 13:31:43)

中野三玖> 私が仕込む   (2023/2/13 13:31:48)

結月ゆかり> はい   (2023/2/13 13:31:59)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> こうして二人三人睡魔の闇に落ちてくのかなー…(眺めつつ   (2023/2/13 13:32:04)

後藤ひとり> 勝手に決められた！？   (2023/2/13 13:32:40)

井ノ上たきな> みるみるうちに話がうつり変わって…入り込む隙が(ぽわり   (2023/2/13 13:32:53)

結月ゆかり> ゆかりさんは徹夜したあとなので、落ちないと夜からのお仕事がやばいです   (2023/2/13 13:32:55)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> ……その割にはひとりを買うのに消極的だよねー…？(剥き出しのひとりの肩をﾎﾟﾝﾎﾟﾝ所有権主張   (2023/2/13 13:32:56)

結月ゆかり> ふふ、ゆかりさんに仕切らせるとまずいですよ？ついてこられますか、たきなさんは♪   (2023/2/13 13:33:24)

井ノ上たきな> ついて行こうと思ってないので…。ほんとに見ておくだけになりそうですね   (2023/2/13 13:33:44)

中野三玖> ……オークションは最後の最後に1番高い金額を出せば勝ち   (2023/2/13 13:33:54)

