/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月19日 11時23分 ～ 2023年02月20日 08時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱさんが退室しました。  (2023/2/19 11:23:04)

犬走椛> お疲れ様です   (2023/2/19 11:23:36)

後藤ひとり> ね、寝かけました……   (2023/2/19 11:29:18)

犬走椛> 眠いんですかー？（ソファ空けましょうか、なんてソファの上からゴロリと床へ転がって）   (2023/2/19 11:30:20)

後藤ひとり> 少しだけ……(目をゴシゴシしながらソファの上へ)   (2023/2/19 11:31:24)

後藤ひとり> も、もう少しだけ寝てもいいですか？   (2023/2/19 11:31:33)

絹川みちほ> 私も少しうとうと……   (2023/2/19 11:32:23)

後藤ひとり> 30分くらい寝ようかと……   (2023/2/19 11:33:18)

絹川みちほ> ひとりちゃんおやすみかな？   (2023/2/19 11:33:45)

犬走椛> 寝て大丈夫ですよー（私も眠いですし…）   (2023/2/19 11:33:46)

絹川みちほ> じゃあ、皆一旦寝る？   (2023/2/19 11:34:22)

後藤ひとり> じゃあ少しだけ……またお昼に来ますね……   (2023/2/19 11:34:31)

絹川みちほ> うん、眠い時は無理せずに、ね？   (2023/2/19 11:36:31)

犬走椛> ん…私は起きてないと不味いので…（誰かと会話しつつ、起きてましょうか、と）ひとりさんはおやすみなさいですね   (2023/2/19 11:37:04)

後藤ひとり> すぐ戻りますので……では   (2023/2/19 11:37:29)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/19 11:37:31)

絹川みちほ> おやすみ、ひとりちゃん。椛ちゃんは起きてないとなのかな？   (2023/2/19 11:38:13)

犬走椛> 私は起きてないとです…（はふ…と自分の尻尾をダキ抱きえるようにしながら）   (2023/2/19 11:39:21)

絹川みちほ> そうなんだね、背後でなにかあるんだね   (2023/2/19 11:40:42)

犬走椛> そういうことです…（みちほさんに近寄ると、そのまま擦り寄って）   (2023/2/19 11:41:58)

絹川みちほ> よしよし、椛ちゃん   (2023/2/19 11:42:53)

犬走椛> わふぅ…♡（嬉しそうに目を細めて…パタパタと耳と尻尾を揺らして）   (2023/2/19 11:43:36)

絹川みちほ> よしよーし（パタパタ揺れる耳と尻尾を見ると、なんだか嬉しくなってきて、撫でるのを続けてみる）   (2023/2/19 11:56:05)

犬走椛> はふ…わぅ…♡（撫でられれば心地よさげに耳と尻尾を動かして…トロンとした目で撫でられて。次第にみちほさんにもたれかかりながら…）   (2023/2/19 11:58:14)

絹川みちほ> ふふっ……（もたれかかってくる椛ちゃんの肩に手を回してそっと抱き寄せようとして）   (2023/2/19 11:59:27)

犬走椛> んぅ…♡（簡単に抱き寄せられると、フニャリとそのまま抱きついて…スリスリと顔を擦りつけつつ…）   (2023/2/19 12:01:53)

絹川みちほ> ふふっ…椛ちゃんは可愛いね（むぎゅっとしっかり抱きしめると、スリスリしてくる椛ちゃんの頭をそっともう一度撫で始めて）   (2023/2/19 12:04:09)

犬走椛> そう、ですか？（嬉しげに笑って…少し赤くなった顔を隠すように擦りつけて、尻尾はパタパタと…。だんだんと身体が弛緩して全身をクタリとみちほさんに倒しながら）   (2023/2/19 12:06:27)

絹川みちほ> そうだよ椛ちゃん…（少しずつこちらに身体を預けてくる椛ちゃんを両手でしっかり抱きしめて、そのまま肩に手を回す形を取って、軽く肩をポンポンと叩いてリラックスしてもらおうと）   (2023/2/19 12:11:02)

犬走椛> は、ふぅ…（ゆっくりとリラックスして…緩みきった身体をみちほさんに預けながら…）   (2023/2/19 12:14:25)

絹川みちほ> 大変そうだったし、少しさ落ち着いたかな？（肩を軽く叩きながら、そっと頭も撫でてみて）   (2023/2/19 12:17:10)

犬走椛> えへへ…落ち着きましたよぉ…（フニャと表情を崩しながら、トロンとした目で…。）   (2023/2/19 12:19:16)

絹川みちほ> それなら良かった…心配してたからね…（そっとふふっ、と微笑みを向けて、よかった、と呟いて）   (2023/2/19 12:21:18)

犬走椛> ちゃんと休憩は取ってますし、遊びたいときに遊んでますよー（ギューと抱きつきつつ、昨日はひとりさんとしましたし、と）   (2023/2/19 12:23:30)

絹川みちほ> そっか、夜にまた来なきゃ、って言ってたもんね。私も安心したよ（こっちもギュッと抱きしめて）   (2023/2/19 12:30:46)

犬走椛> 六花さんにも会いたかったのに、会えませんでした…（ホワイトチョコレートをぶっかけてもらう予定だったのに私のせいで先送りに……。）今夜当りに合えれば良いんですけどね…   (2023/2/19 12:32:46)

絹川みちほ> そうだったんだ…よしよし。また会えたらいいね……（撫で続けて）   (2023/2/19 12:41:36)

犬走椛> 上手く会えると良いです（ホニャと表情を崩しつつ、撫でられて）   (2023/2/19 12:43:18)

絹川みちほ> そうだね、上手く会えますように。（表情を崩す椛ちゃんを見るとこちらも表情が綻んでいく）   (2023/2/19 12:44:58)

犬走椛> はふ…セックスも良いけど、こういう時間も良いですねぇ…（撫でられるたびに心地良さが…）   (2023/2/19 12:46:37)

絹川みちほ> ふふ、そうだね。こうやってギュッてしてるのもいいよねぇ……   (2023/2/19 12:48:54)

犬走椛> ハメてハメられて腰を振るのとは、また別の快感ですね…♡（ギューと）   (2023/2/19 12:50:49)

絹川みちほ> そうだね、静かにギュッとしてる快感？かな？   (2023/2/19 12:52:27)

犬走椛> はい、そんな感じの…温かい目快感です…（リラックスしたような吐息と共に、ギュと）   (2023/2/19 12:53:58)

絹川みちほ> そうだね……これもいいね……（むぎゅ）   (2023/2/19 12:57:46)

犬走椛> はぁ…寝てしまいそうです…   (2023/2/19 13:00:49)

絹川みちほ> ……ごめん、ほんとに寝ちゃってた…   (2023/2/19 13:12:08)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/19 13:14:48)

後藤ひとり> 戻りました……   (2023/2/19 13:14:55)

絹川みちほ> おかえり、ひとりちゃん   (2023/2/19 13:16:53)

後藤ひとり> おはようございます椛さんは落ちてそうですね   (2023/2/19 13:18:15)

絹川みちほ> 私がうつらうつらしちゃったからね……ごめんね椛ちゃん……   (2023/2/19 13:20:12)

後藤ひとり> 寝落ちはお互い様ですよ………むしろ起きてないとまずい状況って言ってたから大丈夫かな……   (2023/2/19 13:21:12)

絹川みちほ> そうだね……起きてないとって言ってたからね……   (2023/2/19 13:22:26)

後藤ひとり> 起きてると信じましょう……(つんつん)   (2023/2/19 13:23:01)
