/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月20日 09時18分 ～ 2023年02月21日 08時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/2/20 09:18:33)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふぁ……ふぁ〜ぁ。   (2023/2/20 09:18:44)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/20 09:24:23)

後藤ひとり> おはようございます……   (2023/2/20 09:24:29)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おはよ〜っ   (2023/2/20 09:32:27)

後藤ひとり> 眠いですね……(うとうと)   (2023/2/20 09:34:33)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 確かに、かなり眠い〜……   (2023/2/20 09:40:24)

後藤ひとり> ねます？……(むぎゅ)   (2023/2/20 09:41:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 寝てもいいけど、どうしようかなぁ   (2023/2/20 09:50:31)

後藤ひとり> 私は眠くて…   (2023/2/20 09:53:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 寝てもいいぞ〜？(ぽんぽん。お膝叩いて   (2023/2/20 09:57:23)

後藤ひとり> なら……(おひざにぽふ)   (2023/2/20 10:00:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おやすみ……？(そのままなでなで   (2023/2/20 10:06:56)

後藤ひとり> おやすみなさいです……(ぎゅ)   (2023/2/20 10:10:45)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おやすみぃ(とんとん。さすり。さすり   (2023/2/20 10:13:49)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/2/20 10:36:04)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お疲れ様…？   (2023/2/20 10:36:23)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/2/20 11:01:59)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/2/20 17:44:32)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ほんとに外寒すぎるんだけど……   (2023/2/20 17:45:10)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/2/20 18:11:35)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが入室しました♪  (2023/2/20 19:24:05)

羽鳥智世 ◆> こんばんは…無理するとすぐ寝落ちちゃって申し訳ないな…。   (2023/2/20 19:24:21)

おしらせ> ペコリーヌさんが入室しました♪  (2023/2/20 19:43:06)

