/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月22日 19時50分 ～ 2023年02月23日 09時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> ふたりに添い寝してもらえるときいて！(ぎゅ、ぎゅ   (2023/2/22 19:50:56)

羽鳥智世 ◆> 私で良ければ……いつでも…いいよ？（ふたりとおしくらまんじゅうをしながら…いつでもくれて構わない、と。）   (2023/2/22 19:52:10)

森久保乃々> …予想以上の回答をいただきましたね（甘えるようにすりすりと頬を擦りつけては…少し照れたように顔を赤くして）   (2023/2/22 19:55:09)

羽鳥智世 ◆> 私そんなに断ってるかな…   (2023/2/22 19:55:38)

森久保乃々> 断っているというか……オープンな感じで来たので…ちょっと、どきっとしましたね？   (2023/2/22 19:56:58)

羽鳥智世 ◆> みなさんに合わせてるだけ…ですね…。（頷き）   (2023/2/22 19:58:40)

東北ずん子> わたしはいつでも添い寝したいです(はいはいはい   (2023/2/22 19:59:25)

羽鳥智世 ◆> 誘ってもらえれば…？（首傾げ)   (2023/2/22 20:01:22)

森久保乃々> 誘ってますよ…！（じっと智世さんの目を見つめ…）   (2023/2/22 20:02:19)

東北ずん子> 私とも添い寝はしてくださいねー   (2023/2/22 20:03:13)

羽鳥智世 ◆> えっと…そしたら…行きますか…？（見つめ返して、私は一人しかいないけれど、今日は乃々でいいのかな。）   (2023/2/22 20:04:00)

森久保乃々> まあ……ずん子さんはいつでもいる気がしますから…   (2023/2/22 20:04:47)

羽鳥智世 ◆> ……東北さんの扱い大丈夫なのかな…   (2023/2/22 20:06:30)

森久保乃々> もちろん……智世さんと一緒に行きたいです…っ（ぎゅっと手を握って……えへへと笑みをこぼし）   (2023/2/22 20:06:34)

東北ずん子> わかってますね！？で、でもだからこそですよ(きたいしてますってひたりにいってらっしゃーい   (2023/2/22 20:06:58)

おしらせ> クレーさんが入室しました♪  (2023/2/22 20:07:31)

クレー> こんばんは♪(玄関のとびらがちゃこんっ)   (2023/2/22 20:08:14)

森久保乃々> ふふ、また今度ずん子さんと添い寝、ですね…（くす）   (2023/2/22 20:08:52)

