/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月24日 03時12分 ～ 2023年02月25日 13時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

犬走椛> 他の人にはお尻を…   (2023/2/24 03:12:01)

結月ゆかり> ホントすけべ脳ですねぇ   (2023/2/24 03:15:10)

犬走椛> 調教されたくて仕方ないですし、ヤリたいって体が疼くので…♡   (2023/2/24 03:16:57)

結月ゆかり> 疼くのはいいんですけど、そろそろ寝落ちの時間じゃないですか？(くす)   (2023/2/24 03:17:36)

犬走椛> 確かに……でもムラムラはしてるんです…   (2023/2/24 03:18:02)

結月ゆかり> いつでも、じゃないですか？   (2023/2/24 03:19:03)

犬走椛> そこは突っ込んでは行けません。そうなのですが   (2023/2/24 03:19:35)

結月ゆかり> ふふ。でもなんでこの時間なんです？そういえば   (2023/2/24 03:20:02)

犬走椛> わふ…単純に、ゲームで時間が取られただけなのです…（時間制限のあるあっちが優先ですし……今日は1時頃でしたから…）   (2023/2/24 03:21:08)

結月ゆかり> なるほど…で、終わっても眠くはなかった、と   (2023/2/24 03:22:29)

犬走椛> そういう事です（ギューとゆかりさんに抱きつき…）ですからこうやってここを訪れるのです   (2023/2/24 03:23:07)

結月ゆかり> ん、よしよし(頭なでなで)ふふ、ここに来ても余計にムラムラして苦しくなったりしないんです？   (2023/2/24 03:28:31)

犬走椛> 既に苦しいですからねー。余計苦しくなっても、ここなら発散出来そうですし   (2023/2/24 03:29:10)

おしらせ> 森久保乃々さんが入室しました♪  (2023/2/24 03:29:46)

結月ゆかり> …で、寝落ちしてしまって無限ループ、と   (2023/2/24 03:29:58)

森久保乃々> おはようございま   (2023/2/24 03:30:02)

結月ゆかり> おはようございます、今日は早かったですね   (2023/2/24 03:30:08)

森久保乃々> あとで二度寝するかもですけどね…   (2023/2/24 03:30:39)

犬走椛> おはようございます。そうなんですよねぇ…寝落ちは天敵…   (2023/2/24 03:30:49)

森久保乃々> 直接お会いするのは初めてでしたっけ、もりくぼが起きてくるころには寝落ちしている様子をよくお見掛けするのですけど…   (2023/2/24 03:33:35)

犬走椛> 情けない姿ばかり見られてる…！？   (2023/2/24 03:36:57)

森久保乃々> どすけべなのもよく知っていますしね…（くす）ということで森久保乃々です、よろしくお願いします   (2023/2/24 03:39:09)

犬走椛> わふ…犬走椛です。よろしくお願いたます   (2023/2/24 03:42:06)

森久保乃々> 椛さんには少し興味はあったのですけどね、まったく時間が合わないもので……とりあえず面通しだけでもできてよかったです   (2023/2/24 03:45:43)

結月ゆかり> さすが金曜日   (2023/2/24 03:46:10)

結月ゆかり> 睡魔が半端じゃないです   (2023/2/24 03:46:21)

森久保乃々> 昨日たっぷり寝たんじゃないんですか？   (2023/2/24 03:46:41)

結月ゆかり> いえ、何度かおきましたよ、途中で   (2023/2/24 03:51:18)

結月ゆかり> 結果寝坊しかけました   (2023/2/24 03:51:30)

森久保乃々> そんなことに……   (2023/2/24 03:52:23)

結月ゆかり> まぁ、毎週金曜日は眠気強いので仕方ないですね   (2023/2/24 03:53:10)

森久保乃々> でも今日さえ終わればお休みですよね？   (2023/2/24 03:53:28)

結月ゆかり> 今日は仕事終わったら友達に連れ回されます   (2023/2/24 03:53:57)

結月ゆかり> その後開放ですね   (2023/2/24 03:54:06)

森久保乃々> うーん大変そう……   (2023/2/24 03:54:48)

森久保乃々> ……これは落ちましたかね？   (2023/2/24 03:55:08)

結月ゆかり> そうですね、寝ちゃいましたね   (2023/2/24 03:55:34)

森久保乃々> この時間ですしね……他に来る人いなさそうですし、朝ごはんらしきものでも少し詰めてきますか   (2023/2/24 03:57:38)

結月ゆかり> そうですね、いってきてください   (2023/2/24 03:58:49)

おしらせ> 無言時間が25分を超えたため、犬走椛さんが自動退室しました。  (2023/2/24 04:07:27)

森久保乃々> ふう、椛さんはおやすみなさい…   (2023/2/24 04:14:55)

森久保乃々> ん…ゆかりさんはお仕事、ですかね……一人になってしまいそうですけど…   (2023/2/24 04:21:52)

