/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月26日 19時47分 ～ 2023年02月27日 07時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おきたう！   (2023/2/26 19:47:04)

山田リョウ> おぉ…恋人ムーブだ…（むふふ、と三玖さん眺めつつ←）   (2023/2/26 19:47:22)

後藤ひとり> 起きてた……   (2023/2/26 19:49:24)

中野三玖 ◆> ……(ひとりちゃんの背後で背後霊ムーブ)   (2023/2/26 19:49:52)

山田リョウ> おはよう。   (2023/2/26 19:50:01)

後藤ひとり> なんな気配が…   (2023/2/26 19:50:45)

山田リョウ> ぼっちはモテる。（うんうん）   (2023/2/26 19:51:53)

後藤ひとり> 持てません…   (2023/2/26 19:52:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おかてるぅーぞー   (2023/2/26 19:53:08)

山田リョウ> …なんで？　こんな面白いのに。（首を傾げつつ、お風呂場で服を脱ぎ始め）   (2023/2/26 19:54:03)

後藤ひとり> お、おもしろくないです……！   (2023/2/26 19:54:41)

おしらせ> 絹川みちほさんが入室しました♪  (2023/2/26 19:55:00)

中野三玖 ◆> ……(自分も服を脱いで…)   (2023/2/26 19:55:11)

絹川みちほ> あう……こんばんは（急な背後でした）   (2023/2/26 19:55:24)

山田リョウ> それに可愛い。虹夏と郁代も言ってた。   (2023/2/26 19:56:04)

山田リョウ> こんばんは。…一緒にお風呂入る？（バスタオル1枚で←）   (2023/2/26 19:56:42)

後藤ひとり> とりあえず入りますか……【リアルでも入ってきますね】   (2023/2/26 19:57:38)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/26 19:57:39)

山田リョウ> ん、行ってらっしゃい。   (2023/2/26 19:58:29)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 行ってらっしゃーい   (2023/2/26 20:00:21)

中野三玖 ◆> (この後、お風呂に上がったひとりちゃんは汗だくになりましたとさ…)   (2023/2/26 20:00:29)

絹川みちほ> いってらっしゃい   (2023/2/26 20:00:32)

山田リョウ> …じゃあ、私はお先に。（バスタオルをはらりと脱衣所に掛けると、お風呂場の中へ）   (2023/2/26 20:03:23)

中野三玖 ◆> (胸元を隠すように両手で胸を寄せてゆっくりとお風呂場に。)   (2023/2/26 20:04:17)

絹川みちほ> いってらっしゃい、かな？   (2023/2/26 20:04:52)

山田リョウ> おお…寄せるほどある……（湯船の中から、三玖さんの胸元見つつ）   (2023/2/26 20:08:50)

中野三玖 ◆> …ぅ…(視線を感じながら、さらに胸を寄せて)   (2023/2/26 20:11:17)

絹川みちほ> 三玖ちゃんもおっきいね   (2023/2/26 20:11:54)

山田リョウ> なにこの体型…超羨ましい…（ざば、と湯船から上がって横からまじまじと←）   (2023/2/26 20:13:40)

山田リョウ> みちほさんも大きい…巨乳が2人…   (2023/2/26 20:16:48)

中野三玖 ◆> (ぶくぶく…)   (2023/2/26 20:17:25)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/26 20:17:55)

後藤ひとり> 戻りました……(そのまま風呂場にだいぶ)   (2023/2/26 20:18:08)

絹川みちほ> ふふっ、そうだよ。私は絹川みちほ。遅れたけどよろしくね   (2023/2/26 20:18:21)

絹川みちほ> おかえりなさい、ここでもみんなで入る？   (2023/2/26 20:18:55)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おかえり〜   (2023/2/26 20:19:36)

中野三玖 ◆> ………(湯船の隅っこの方で…)   (2023/2/26 20:19:57)

山田リョウ> おかえり。　…私は山田リョウ。よろしく。   (2023/2/26 20:20:13)

後藤ひとり> 入りますか……(同じく隅へ)   (2023/2/26 20:20:25)

絹川みちほ> リョウちゃん、だね。よろしくね。ひとりちゃんと同じバンドグループなんだね   (2023/2/26 20:20:38)

絹川みちほ> じゃ、私もお風呂にお邪魔しようかな……？（そっと服を脱いでいって）   (2023/2/26 20:22:40)

山田リョウ> はい。同じバンドで……おい、そこのグラビア体型ども。なんで隅っこなんだ。（逆に堂々としているスレンダーな人←）   (2023/2/26 20:23:01)

中野三玖 ◆> (ひとりちゃんを抱きしめながら、背中にふにふに…)   (2023/2/26 20:23:34)

