/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月01日 20時37分 ～ 2023年03月02日 10時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

森久保乃々> ひとりさんを好きにして…？！   (2023/3/1 20:37:11)

後藤ひとり> 最近はアベマとかでも見れますよ？   (2023/3/1 20:38:28)

後藤ひとり> ののさんを好きにして？   (2023/3/1 20:38:42)

森久保乃々> 好きにされたらもりくぼは大変でしょうね…   (2023/3/1 20:39:29)

桜花あさひ ◆> あべま……ってリアルタイムで見れるの…っ？   (2023/3/1 20:39:51)

後藤ひとり> 今はしないですが……   (2023/3/1 20:41:57)

後藤ひとり> 見れますよ？   (2023/3/1 20:41:59)

森久保乃々> ひとりさんとは、いつか遊びますから……   (2023/3/1 20:42:35)

後藤ひとり> なんやかんやで遊べてないですよね……2人きりでは   (2023/3/1 20:44:06)

桜花あさひ ◆> そうだったのか……最速配信みたいなのを後から見てた…っ、えへへ、じゃあ今度リアルタイムで見てみるぞ〜♪   (2023/3/1 20:45:35)

後藤ひとり> 私も今日は転生王女をリアタイで……   (2023/3/1 20:47:37)

桜花あさひ ◆> てんせい…あんまりそういうの見た事ないけど、面白そうだな〜♪   (2023/3/1 20:53:42)

後藤ひとり> 私は基本百合物を見るので……   (2023/3/1 20:54:03)

桜花あさひ ◆> 異世界のお話って悲しい話とか闘うの多いイメージなんだ〜…でもこのすばって言うのは面白かったな〜♪   (2023/3/1 20:57:38)

後藤ひとり> まあ悲しいというか……今までは比較的穏やかだったのにいきなりシリアスとかありますし……このすばはギャグですからね……   (2023/3/1 20:58:31)

おしらせ> 支援さんが入室しました♪  (2023/3/1 20:59:13)

おしらせ> 支援さんが退室しました。  (2023/3/1 20:59:25)

桜花あさひ ◆> あさひは楽しいのが好きだっ♪   (2023/3/1 21:03:18)

