/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月02日 10時38分 ～ 2023年03月02日 23時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子> そ、そんなことは…   (2023/3/2 10:38:44)

白金燐子> どういたしまして、いえひとりさんのギターは上手ですよ（こくっ）ひとりさんもいつか立てますよ…   (2023/3/2 10:40:07)

後藤ひとり> あ、ど、どうも………ありがとうございます……そ、その時まで頑張ります……(ふへ……)   (2023/3/2 10:41:31)

白金燐子> ひとりさんならがんばれると思います…応援してます…（あたまなでなで）   (2023/3/2 10:43:39)

後藤ひとり> ん……なでなで気持ちいいですね……(撫でられると嬉しそうに目を細め)   (2023/3/2 10:44:46)

小春六花> （きょにゅうがゆれとる。ゆれとる）   (2023/3/2 10:45:12)

白金燐子> ふふ、きもちいいですか？（頭なでなでしながら見てて）   (2023/3/2 10:46:24)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふぁ……   (2023/3/2 10:46:40)

後藤ひとり> (いやらしい目付きを感じます……)   (2023/3/2 10:46:45)

後藤ひとり> はい……気持ち良いです……(撫でられるとそのままもたれ掛かるように抱きつき)   (2023/3/2 10:46:59)

後藤ひとり> 眠い感じですね……   (2023/3/2 10:47:04)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 朝イチから呼び出されて、絶賛地元からとーこーちゅうだからぁ〜…ねむいのなゆの   (2023/3/2 10:48:19)

白金燐子> それはよかったです…（あたまなでなでしながらだきつきかれながらふにゅ）   (2023/3/2 10:48:24)

小春六花> (いやらしい視線でぢぃー……）   (2023/3/2 10:49:29)

後藤ひとり> ガヴさんいつも忙しいイメージあります……   (2023/3/2 10:49:32)

後藤ひとり> はい……あ、体ポカポカ……何よりふかふかです……(撫でられてほっとしつつ抱きしめて温もりを感じて)   (2023/3/2 10:50:08)

後藤ひとり> (見られてる……)   (2023/3/2 10:50:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 最近忙しいだけだよ〜。新年度になったらケロッと日中も遊べる人になると思うし   (2023/3/2 10:50:25)

白金燐子> ふかふかですか…？（なでなでしながらやわらかい感触が包み込んじゃうかもしれないです）   (2023/3/2 10:51:41)

小春六花> いやだってこんなの見ちゃうじゃん……   (2023/3/2 10:52:04)

後藤ひとり> 真逆だ……新年度はむしろ忙しくて……今は暇……   (2023/3/2 10:52:22)

後藤ひとり> はい……その………ふかふか……柔らかいし……大きいし……(ぼそっといいながらも胸に顔埋め)   (2023/3/2 10:52:47)

後藤ひとり> 開き直った……分かるけど……   (2023/3/2 10:52:56)

小春六花> むしろ飛び込まないメンタルを褒めてほしい…（？）   (2023/3/2 10:53:10)

