/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月04日 21時56分 ～ 2023年03月05日 14時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> えーっと…話題もないし、自己紹介でもする？   (2023/3/4 21:56:01)

ナコルル ◆> ええ、私はナコルル　大自然の巫女を務めているものよ？   (2023/3/4 21:56:53)

京町セイカ> 私はセイカ、精華町のPRがお仕事   (2023/3/4 21:58:22)

ナコルル ◆> ぴーあーる？（自分の世界では聞きなれなず）   (2023/3/4 21:58:59)

京町セイカ> えーっとね、紹介   (2023/3/4 21:59:32)

ナコルル ◆> あ・・・町の紹介を？   (2023/3/4 22:01:50)

京町セイカ> そうそう、そんな感じ   (2023/3/4 22:02:01)

ナコルル ◆> 親切な仕事なのね？あなたもお茶いる？   (2023/3/4 22:03:21)

小春六花> あれ、セイカさんの仕事って時空監視員では…？   (2023/3/4 22:04:17)

京町セイカ> いただくわね、ありがとう   (2023/3/4 22:04:18)

ナコルル ◆> （セイカの分のお茶を用意してあげて）どうぞ♪   (2023/3/4 22:04:42)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/4 22:04:47)

絹川みちほ> こんばんはー   (2023/3/4 22:04:57)

京町セイカ> うわあっいい香り(ずずっ)   (2023/3/4 22:05:04)

ナコルル ◆> こんばんは（ぺこり）   (2023/3/4 22:05:07)

京町セイカ> いらっしゃい   (2023/3/4 22:05:16)

絹川みちほ> 私は絹川みちほ。高校２年生で生徒会副会長です   (2023/3/4 22:06:47)

小春六花> 副会長なんてえらーい   (2023/3/4 22:07:08)

ナコルル ◆> お二方もお茶いかがかしら？みちほさんはまた会ったわね？   (2023/3/4 22:07:27)

絹川みちほ> ふふっ、照れちゃうな   (2023/3/4 22:08:48)

京町セイカ> はぁ、禁酒はじめてからお茶がおいしいわ   (2023/3/4 22:09:18)

絹川みちほ> お茶お願い。それとお昼はごめんねナコルルちゃん、急な背後だったから   (2023/3/4 22:09:32)

絹川みちほ> セイカちゃん大人なんだねー   (2023/3/4 22:10:22)

小春六花> わーいおちゃだー！うれし！   (2023/3/4 22:10:31)

ナコルル ◆> いいえ、気にしなくていいわ。あの時は私もお昼にしようとしてたもの（みちほさんの頭をなでて）ええ、まだまだ寒い時期が続くから用心しないとね？   (2023/3/4 22:10:48)

絹川みちほ> ありがとね、ナコルルちゃん   (2023/3/4 22:13:52)

ナコルル ◆> いいえ♪   (2023/3/4 22:14:43)

絹川みちほ> えへへ♪   (2023/3/4 22:15:05)

ナコルル ◆> 生徒会副会長ってどんなことするの？   (2023/3/4 22:22:22)

絹川みちほ> 基本的には学生生活の中での学校行事……体育祭や文化祭などの行事で挨拶をしたり、入学式や卒業式などの式典で祝辞を述べることが主な活動内容。他にも、生徒総会での司会進行なども行うね。ちょっとした学校生活のルールなどを決める会議みたいなものかな？これが生徒会長の役割。で、副会長である私はそれのサポート。だから活動内容をしっかり把握してる必要もあるし、会長がいなかったら代わりに代行する事もあるよ。ナンバーツーだけど、実は結構忙しかったりするよ(汗)
  (2023/3/4 22:29:07)

小春六花> ナコルルさんだいじょーぶ？（つんつん   (2023/3/4 22:34:03)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/3/4 22:34:39)

おしらせ> 京町セイカさんが入室しました♪  (2023/3/4 22:34:52)

小春六花> おかえりー。   (2023/3/4 22:35:02)

京町セイカ> うお、自動退室になってた   (2023/3/4 22:35:08)

絹川みちほ> ナコルルちゃんつんつん   (2023/3/4 22:35:10)

京町セイカ> ただいまー   (2023/3/4 22:35:12)

絹川みちほ> おかえりなさい、セイカちゃん   (2023/3/4 22:35:27)

小春六花> 居づらかったりした？だいじょぶ？   (2023/3/4 22:35:38)

京町セイカ> ただいまみちほちゃん…あ、いやそこは大丈夫   (2023/3/4 22:35:51)

ナコルル ◆> よくわからないけど・・・相当役割が多いのねみちほさんは・・・ん・・・（頬をつんつんされて）遅くなってごめんなさい   (2023/3/4 22:40:00)

小春六花> とりあえず私はちょっと家のことやってくる！まーたね！   (2023/3/4 22:42:00)

おしらせ> 小春六花さんが退室しました。  (2023/3/4 22:42:01)

ナコルル ◆> お疲れ様（礼を交わして見送って）   (2023/3/4 22:42:18)

京町セイカ> お疲れ様、六花ちゃん   (2023/3/4 22:42:32)

絹川みちほ> お疲れ様だよ   (2023/3/4 22:43:17)

京町セイカ> あ、私も眠気が…ここでおちとくねー   (2023/3/4 22:44:44)

京町セイカ> おやすみなさーい   (2023/3/4 22:44:49)

絹川みちほ> おやすみなさい   (2023/3/4 22:44:52)

おしらせ> 京町セイカさんが退室しました。  (2023/3/4 22:44:59)

ナコルル ◆> お休みなさい   (2023/3/4 22:45:08)

絹川みちほ> うーん、雪崩れたね   (2023/3/4 22:48:18)

ナコルル ◆> あら・・・   (2023/3/4 22:51:16)

絹川みちほ> まあ、所謂イベントや学校生活をスムーズに回す役割…かな？   (2023/3/4 22:51:51)

絹川みちほ> 私達はどうしようかな   (2023/3/4 22:52:37)

ナコルル ◆> そうね・・・どうしたものかしら・・・   (2023/3/4 22:53:02)

絹川みちほ> もう少し話す？   (2023/3/4 22:56:20)

ナコルル ◆> ええ、といっても私の場合はけっこう殺伐としてるけど   (2023/3/4 22:58:28)

絹川みちほ> 殺伐と…？   (2023/3/4 22:59:30)

ナコルル ◆> ええ・・・私も多くの人々の血を流して来てるの   (2023/3/4 23:00:58)

絹川みちほ> ナコルルちゃんの世界はかなり危険だったり？   (2023/3/4 23:01:38)

ナコルル ◆> 私も常に修羅の道を歩んでいるから・・・   (2023/3/4 23:02:32)

絹川みちほ> 世界が違うとこういう感じなんだね…   (2023/3/4 23:06:08)

ナコルル ◆> ええ・・・大自然を守るために私は戦っているわ   (2023/3/4 23:07:15)

絹川みちほ> やっぱりそれを妨害してくる敵みたいなのがいるわけなのかな   (2023/3/4 23:08:09)

ナコルル ◆> そうね、それでも私はそれを乱す者に何度も立ち向かってきたの   (2023/3/4 23:15:06)

絹川みちほ> そっか……ナコルルちゃん強いんだね   (2023/3/4 23:16:38)

ナコルル ◆> 私だけの力じゃないわ、自然に生きる動物たちと一心同体になって戦っているの   (2023/3/4 23:20:39)

絹川みちほ> そっか、動物さん達の力も借りて戦うんだ   (2023/3/4 23:27:21)

ナコルル ◆> ええ、今日は連れてきてないけど   (2023/3/4 23:31:12)

絹川みちほ> いつもは一緒にいたりするのかな？   (2023/3/4 23:33:05)

ナコルル ◆> ええ、鳥の方はママハハっていうの   (2023/3/4 23:35:26)

絹川みちほ> ママハハ……   (2023/3/4 23:37:03)

ナコルル ◆> ええ、本当は血の繋がらない母という意味   (2023/3/4 23:44:38)

絹川みちほ> やっぱり、その継母？   (2023/3/4 23:47:57)

ナコルル ◆> ええ   (2023/3/4 23:51:30)

絹川みちほ> 簡単にしらべてみたけど、狼もいるの？   (2023/3/4 23:54:46)

ナコルル ◆> ええ、名前はシクルゥ・・・紫色の私と一緒にいるわ   (2023/3/4 23:55:33)

絹川みちほ> ママハハとシクルゥは今日はお留守番かな？また見てみたいなあ   (2023/3/4 23:58:08)

ナコルル ◆> 今度連れてくるわね？（にこり）   (2023/3/5 00:00:14)

絹川みちほ> 楽しみにしてるねー（にっこり）   (2023/3/5 00:01:31)

ナコルル ◆> うふふ♪（なでなで）   (2023/3/5 00:02:21)

絹川みちほ> あ、勿論ナコルルちゃんともこれから仲良くしたいな……えへへ   (2023/3/5 00:04:42)

ナコルル ◆> ありがとう♪これからもよろしくね（頬にキスしてあげて）   (2023/3/5 00:05:32)

絹川みちほ> ふふっ、よろしくねナコルルちゃん♪（キスが嬉しくて思わず抱きつこうとして）   (2023/3/5 00:08:22)

ナコルル ◆> あら♪（みちほちゃんに抱きつかれてよしよしと）   (2023/3/5 00:08:57)

絹川みちほ> えへへ、嬉しくてつい   (2023/3/5 00:10:25)

ナコルル ◆> いいのよ？私もみちほちゃんに抱かれて嬉しいわ♪   (2023/3/5 00:11:25)

絹川みちほ> ふふっ、ありがとうございます♪   (2023/3/5 00:11:48)

ナコルル ◆> いいえ♪（なでなで）   (2023/3/5 00:12:44)

絹川みちほ> ふふっ、こうしてると落ち着くな…♪（すりすり）   (2023/3/5 00:14:38)

ナコルル ◆> 私も♪（すりすりされて猫撫で声を上げて）   (2023/3/5 00:16:34)

絹川みちほ> よかった♪（猫なで声を出すナコルルちゃんにもう少し抱きついていたいのか、すり寄るのを続けていて）   (2023/3/5 00:19:01)

ナコルル ◆> あらーみちほちゃんったら甘えん坊ね♪（擦り寄るみちほちゃんをなでなで）   (2023/3/5 00:21:32)

絹川みちほ> ふふっ、いつもこうだと言うわけじゃないけど、なんだかナコルルちゃんにはこうしたくなっちゃって   (2023/3/5 00:24:40)

ナコルル ◆> いいのよ？貴方はとてもいい子だから♪   (2023/3/5 00:25:36)

絹川みちほ> ありがと、ナコルルちゃん♪（嬉しそうにフフッと笑って）   (2023/3/5 00:28:20)

ナコルル ◆> どういたしまして♪（こちらも微笑み）   (2023/3/5 00:32:07)

絹川みちほ> えへへ、出会えてよかったな♪   (2023/3/5 00:32:54)

ナコルル ◆> 私も♪   (2023/3/5 00:35:31)

絹川みちほ> 嬉しいな♪   (2023/3/5 00:36:25)

ナコルル ◆> そうね♪   (2023/3/5 00:39:48)

絹川みちほ> うん、この出会いを大事にしたいな♪   (2023/3/5 00:42:29)

ナコルル ◆> ええ、私も決して忘れないわ音符   (2023/3/5 00:48:54)

絹川みちほ> うん、わたしも絶対に♪   (2023/3/5 00:49:47)

ナコルル ◆> ふふ♪あら・・・もう時間だわ、そろそろ行かなくちゃ。また会いましょ♪（最後にもう一度頬をキスしてここを後にする）   (2023/3/5 01:02:28)

おしらせ> ナコルル ◆i6fJKa45IIさんが退室しました。  (2023/3/5 01:02:32)

絹川みちほ> うん、お疲れ様。また会おうね、ナコルルちゃん♪（キスされて嬉しそうな表情でナコルルちゃんを見送って）   (2023/3/5 01:04:26)

絹川みちほ> それじゃ私も一旦お暇しようかな。ありがとうね   (2023/3/5 01:05:04)

おしらせ> 絹川みちほさんが退室しました。  (2023/3/5 01:05:06)

おしらせ> 白金燐子さんが入室しました♪  (2023/3/5 01:53:19)

白金燐子> ふぅ...頭脳ゲームは本当得意じゃないですねぇ...(ぐったり)   (2023/3/5 01:53:53)

白金燐子> ROMさんがすごいかずいる...入ってきてもいいんですよ脳死会話しかできませんが...   (2023/3/5 02:17:41)

白金燐子> ひとりさんはもうねてそうですもんね...(ふにゅう)   (2023/3/5 02:26:54)

おしらせ> 犬走椛さんが入室しました♪  (2023/3/5 02:36:46)

犬走椛> わふ…さて、一日ぶりです。こんばんはですね   (2023/3/5 02:37:08)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/5 02:37:50)

後藤ひとり> すいません……起きてるけどもう眠くて……(ずーん)   (2023/3/5 02:38:03)

犬走椛> こんばんはですね、ひとりさん。疲れてるときは寝たほうがいいですよ？（人のことを言えませんが…）   (2023/3/5 02:39:52)

後藤ひとり> はい……頭痛くて寝てたらふと目が覚めて   (2023/3/5 02:40:32)

白金燐子> こんばんは...(ぺこっ）　そ、それはねてください...(おろおろ)   (2023/3/5 02:40:33)

後藤ひとり> じゃあ寝ようかな……すいません……(うつらうつら)   (2023/3/5 02:41:42)

犬走椛> 頭が痛くなるのはよく分かります…。私もゲームとかしてると良くなりますね。頭使ってるなぁ…と思いつつ敢行しますが…   (2023/3/5 02:42:03)

犬走椛> 無理は禁物ですよー   (2023/3/5 02:42:21)

白金燐子> はい、ひとりさんとは万全のときにしたいので...(よしよし）   (2023/3/5 02:42:23)

後藤ひとり> ですね……すいません……ではまた……(最後に2人にハグをして)   (2023/3/5 02:43:02)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/5 02:43:05)

白金燐子> 今さっきまでモンストの新しいクエストで頭使って結構脳死んでます...はい...   (2023/3/5 02:43:08)

犬走椛> モンストですか…。私はパズドラですね。同じく脳がかなりやられてますが…   (2023/3/5 02:43:36)

白金燐子> お休みなさい...(ふにゅっ)   (2023/3/5 02:43:37)

犬走椛> おやすみなさいですね。   (2023/3/5 02:43:54)

白金燐子> モンストでまさか頭使うようなやつが来るとは驚きでしたからね...まーそれも結構頭使いますね...   (2023/3/5 02:45:01)

犬走椛> ふぁぁ…ホントに地獄です…。クエストに制限時間を設けるのは辞めてほしい限りです…。コンテ不可で25分ダンジョンとか死んでしまいます…。モンストは普段頭使ってないのですか…   (2023/3/5 02:45:41)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/5 02:46:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おっはおー   (2023/3/5 02:46:28)

犬走椛> おはようございます、ガヴリールさん。   (2023/3/5 02:47:02)

白金燐子> 地獄ですよねあのゲームは...あーそれは頭にしにそうですね...ちょっとくらいは使いますがちょっとだけですね...はい...   (2023/3/5 02:47:10)

白金燐子> おはようございます...   (2023/3/5 02:47:20)

犬走椛> 明日で終わるチャレンジに今日取り組み始めましたが……さて、クリア出来るのやら……。無課金勢はこういうときに力ずくが出来ないので辛いです…。   (2023/3/5 02:48:16)

犬走椛> 少しここで気を紛らわしたら、またチャレンジするか、寝るか、ですね…。明日も部活が……   (2023/3/5 02:48:56)

白金燐子> 頑張ってください...そうですね、もし頑張れたら私のむねをもんでもいいですよ...(たゆん)   (2023/3/5 02:49:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふぁ~……やば。課題、あと作図だけにしてきた。ほんっとねむ……2時間寝たのに。   (2023/3/5 02:49:43)

白金燐子> 頑張れぇ...   (2023/3/5 02:49:56)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 凶兆かぁ……取ったけど、あれは無課金キツいって……。   (2023/3/5 02:50:05)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 作図だけならよゆー。ほんとよゆー。   (2023/3/5 02:50:16)

犬走椛> 魅力的なお誘いが…。2時間じゃ足りませんよ。私は15時間なら余裕で寝れます…   (2023/3/5 02:50:46)

犬走椛> ガヴリールさん凶兆取ったんですねぇ…。おめでとうございます。私はロイヤルノーチだったので死です…。時間切れで25分やり直しが一番キツイ…   (2023/3/5 02:51:54)

白金燐子> 余裕ですか...頑張ってください...(よしよし）   (2023/3/5 02:52:26)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ライトユーザー消し去りにかかってるもん。あのゲーム(テンプレがテンプレじゃない())   (2023/3/5 02:53:06)

白金燐子> 魅力的なお誘いでしょう...?これくらいならしてあげれなくはないです..   (2023/3/5 02:53:18)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしもロイヤルノーチだったけど、金の暴力でウルトナ確保して。サブは代用含めて持ってたからなんとか……。   (2023/3/5 02:53:49)

犬走椛> 長めの睡眠も危ないんですけどね…。寝て、疲れて、疲れたから寝るの繰り返しです…。魅力的なお誘いには乗るのが私ですよ   (2023/3/5 02:53:55)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしの特徴として単調作業苦手ってのはあるんだよね。だから、資料丸写しー。とかそういう作業大っ嫌いでさ。そのせいで今課題溜まってるまでありそう()   (2023/3/5 02:54:42)

