/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月07日 17時28分 ～ 2023年03月08日 22時08分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

倉田ましろ> んむぅー（むすぅっとして）   (2023/3/7 17:28:31)

広町七深> わ〜…しろちゃんご機嫌斜め〜（頬つんつん）   (2023/3/7 17:29:16)

倉田ましろ> いじわる…（むすぅー）   (2023/3/7 17:30:49)

広町七深> ふふっ…また今度、遊ぼう？今からだと途中になっちゃう〜（ぎゅ）   (2023/3/7 17:31:43)

倉田ましろ> んーむぅーわかった、ぜったいだからね？（ぎゅう）   (2023/3/7 17:32:34)

広町七深> うんうん〜♡しろちゃん、このくらいの時間は暇なの〜？（なでなで）   (2023/3/7 17:33:19)

倉田ましろ> ならよし♡うんひまだよぉゲームしたりしてるけど（すりすり）   (2023/3/7 17:35:05)

広町七深> わ〜…ゲームばっかりだめ〜！ならまた遊びにくるね。しろちゃんは個室の鍵とか持ってる〜？   (2023/3/7 17:36:54)

倉田ましろ> だって暇なんだもん…うんありがとう七深ちゃん。もってるよぉ？   (2023/3/7 17:37:46)

広町七深> は〜い、なら個室でい〜ぱい可愛がってあげる〜♡またね、しろちゃん（頬にちゅ）   (2023/3/7 17:38:38)

倉田ましろ> んっわかった♡またねぇ、七深ちゃん（ひらひら）   (2023/3/7 17:39:19)

広町七深> ばいば〜い♪（ひらひら）   (2023/3/7 17:39:29)

おしらせ> 広町七深さんが退室しました。  (2023/3/7 17:39:33)

倉田ましろ> おつかれさまぁ（はふ）   (2023/3/7 17:41:08)

おしらせ> 無言時間が25分を超えたため、倉田ましろさんが自動退室しました。  (2023/3/7 18:27:23)

おしらせ> イリア・コーラルさんが入室しました♪  (2023/3/7 19:24:42)

イリア・コーラル> こんばんは、失礼します。少し久しぶりになりましたね…。   (2023/3/7 19:25:06)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/7 19:26:57)

後藤ひとり> こ、こんばんは……   (2023/3/7 19:27:02)

イリア・コーラル> おや、こんばんはひとりさんお久しぶりですね。   (2023/3/7 19:28:28)

後藤ひとり> はい……イリアさんがここ来るの久しぶりだそうで……確かにお久しぶりですになります…(お風呂上がりのホカホカぼっち)   (2023/3/7 19:29:34)

イリア・コーラル> 来てくれて嬉しいですよ、ひとりさん。お風呂上り良い匂いがしそうですね…。   (2023/3/7 19:31:06)

後藤ひとり> あ、え、えへへ……それほどでもないです……それは多分シャンプーとかの匂いですね……(照れつつもとりあえずおそばに近寄り)   (2023/3/7 19:32:54)

イリア・コーラル> ふふ、良い匂いがしそうです…（傍によってくればひとりの頭にそっと顔を近づけて）   (2023/3/7 19:34:01)

後藤ひとり> それほども……(頭を寄せて匂いを嗅がせてあげようと)   (2023/3/7 19:37:07)

イリア・コーラル> ヌクヌクで…良い匂いですね…ひとりさん。（そっと抱き寄せて、髪の毛に鼻を近づけてすーって…嗅いでみて   (2023/3/7 19:38:44)

後藤ひとり>  それほどでもないです……んっ……(嗅がれるとイリアさんの鼻にシャンプーの良い香りが……)   (2023/3/7 19:42:37)

