チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月12日 00時34分 ～ 2023年03月12日 14時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

モリガン ◆> さあ、二人とも召し上がれ♪（二人に手を差し伸べて）   (2023/3/12 00:34:48)

後藤ひとり> 分かりました……では遠慮なく失礼します……(のそのそとモリガンさんに近寄ってお腹……特におへその方を舐めて)   (2023/3/12 00:35:43)

モリガン ◆> あぁん♪ひとりちゃん結構慣れてるのねん♪（へそのラインを舐められて甘い声を漏らして）   (2023/3/12 00:36:29)

絹川みちほ> ふふっ、それじゃ失礼して……（そっとモリガンさんの胸元に顔を近づけて白い肌についたハチミツを舐めていって）   (2023/3/12 00:37:38)

犬走椛> この、辱められる感じ…♡さいこぉ……♡（鼻先で触れられるたびに、あっ♡ひっ♡と声をあげてよがりながら…皮を向かれれば、ビンビンになったクリと…粘っこい愛液をとめどなく垂らして…）   (2023/3/12 00:38:36)

モリガン ◆> みちほちゃんも積極的ね？あはぁん♪（今度は胸元をなめられていって）いいわぁ・・・二人とも♪   (2023/3/12 00:38:54)

後藤ひとり> そ、そこまででもないですが……///はい……気持ちよくなられたなら何よりです……///(おへそや脇腹をぺろぺろ……)   (2023/3/12 00:39:59)

モリガン ◆> あぁん・・・お上手ね・・・はうぅぅん・・・♪   (2023/3/12 00:41:09)

御魂・アリア> なるほど……。辱められてるも何も、はい。（しっかりと鼻先で押しつぶしながら、刺激を絶え間なく与えつつ。中身を吸いだすようにじゅるるるるる、と吸い上げて）   (2023/3/12 00:41:25)

犬走椛> ぅあ…♡ごめんなさい、アリアさんっ…♡イッちゃ…♡（ビグビグ♡♡と震えれば軽く達して…ほぅ…♡と息を吐きつつ…）アリアさんのも舐めましょうか？♡（トロリと蕩けた顔で…）   (2023/3/12 00:43:46)

御魂・アリア> ……どうしましょうか。私はどちらでも構いませんよ（ふりふりとスカートのすそをたくし上げない程度にツ亜kんで振って見せては。生やしても生やさなくても。舐めても、舐められなくても。もっと気持ちよくなりたいなら、もっと舐めて差し上げても。）  
(2023/3/12 00:44:53)

後藤ひとり> 美味しいです……♪(にへ)   (2023/3/12 00:45:27)

