/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月14日 18時20分 ～ 2023年03月16日 08時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 丸山彩さんが退室しました。  (2023/3/14 18:20:13)

おしらせ> 桐ヶ谷直葉さんが入室しました♪  (2023/3/14 18:34:47)

桐ヶ谷直葉> 入ってよかったかな、邪魔してないかな！？ちょっとだけ、ちょっとだけね！　えへへ、誰かに会えたらいいなー。(きょろきょろと辺りを見渡しては、ぽすりとソファに腰掛けて足をぱたぱた。)   (2023/3/14 18:36:01)

おしらせ> ホウオウ・アルマさんが入室しました♪  (2023/3/14 18:39:57)

ホウオウ・アルマ> こんばんはです！もしよろしければ少々お邪魔させていただいても構わぬでしょうか？   (2023/3/14 18:40:26)

桐ヶ谷直葉> こんばんはでーす！もちろん、全然大丈夫！良かったら隣においでよ、(相手の人影に気が付いては手招きして笑み浮かべ)   (2023/3/14 18:41:10)

ホウオウ・アルマ> それはありがとうございます！（手招きされればそのまま素直に隣のソファに腰を掛けては）ここには初めて来られたのでしょうか？   (2023/3/14 18:42:44)

おしらせ> 中野一花 ◆WY5HuZnICQさんが入室しました♪  (2023/3/14 18:43:29)

桐ヶ谷直葉> うん、初めてなんだ。あなたはもしかして来たことあったりするの？あたしより先輩さん？(ずい、と距離を詰めては興味ありげに相手を見つめ、)   (2023/3/14 18:43:32)

中野一花 ◆> 【あばぁっ…色が…】ふい〜…今日も疲れたぁっ…   (2023/3/14 18:44:00)

桐ヶ谷直葉> わー、こんばんは！えへへ…人に会えて嬉しいな。お邪魔してますっ！　お疲れ様です。(年上らしき相手の姿を見据えては敬語に切り替えて声を掛け、)   (2023/3/14 18:44:21)

ホウオウ・アルマ> そうですね、私は結構これでも……なんと二回目です！（きりっ。ちょっぴり先輩。他の子ではきてるけれど、それはそれ、これはこれ。ずいっとされるとあわわわわ）   (2023/3/14 18:44:50)

ホウオウ・アルマ> おや、お疲れ様です！こんばんは！   (2023/3/14 18:45:02)

中野一花 ◆> よっこいしょ、っと…改めて、やっほ〜♪(ヒラヒラと手を振りつつ、ソファに腰をかけ)   (2023/3/14 18:45:11)

桐ヶ谷直葉> 二回目！ちょっぴり先輩だね。じゃあ色々あたしに教えてほしいな、せーんぱいっ。（あわわわする相手に不思議そうに首を傾げながらも、にこにこ見つめ。)　＞アルマさん   (2023/3/14 18:46:06)

桐ヶ谷直葉> やっほー、です。……これってもしかして……両手に花？(真剣。/ぇ)   (2023/3/14 18:46:43)

ホウオウ・アルマ> あ、私はホウオウで構いません…！というよりもアルマは種族の名前でして……いえ、ホウオウも種族なのですが……。（首を傾げられたら同じように首をかしげて。教えるとなれば何でも教えましょう！とどんと胸を叩いて）   (2023/3/14
18:47:42)

桐ヶ谷直葉> うわわわ、どーせ後半が名前だと思ったらホウオウの方が名前だったパターンだ！恥ずかしいな～、ごめんね…！(恥ずかしそうに頬を赤く染めながらに抑えては、ちらりと。)　なんだろ、…暗黙の了解的なルールとか…？ここ自体全然来ないから……。(むむ。)  
(2023/3/14 18:49:34)

中野一花 ◆> 両手に花なのかな〜…？(ツンツンと隣に座る黒髪の子の頬を突いて)   (2023/3/14 18:50:52)

ホウオウ・アルマ> どっちもどっちですね…！私の名前は…独特と言いますか。（ちらりと見つめられれば笑顔でにこにこーって）暗黙のルール……特にそういったものはないかと…！良識と常識に従って、できるだけいろんな方と仲良くしてもらえると！   (2023/3/14
18:51:45)

桐ヶ谷直葉> 両手に花ですよ～。ホウオウさんはかわいいですし、お姉さんは綺麗ですもん…！(頬突っつかれてはわたわたしながら、一花さんに向き直り)   (2023/3/14 18:51:51)

桐ヶ谷直葉> じゃあ、ニックネーム付けちゃったりしたら丁度いいやつだね！…って流石に初対面でそれはないか…。(んん。と悩んだ様子で。)　ありがとう、そういうのならなんとか頑張ってみるよ！色んな人と仲良くなれたらいいな…！(えへ、)   (2023/3/14
18:53:21)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/14 18:53:53)

後藤ひとり> あ、どうもこんばんは……(いそいそ……ソファにどて)   (2023/3/14 18:54:19)

桐ヶ谷直葉> と、ばたばたしちゃっててごめんね、炊飯器が鳴ったからそろそろお夕飯の準備をしてこないと食べ損ねちゃう…！行ってきます！また会えたら仲良くしてくれたら嬉しいなーっ。(ひらひら。/　わーっ！すれ違っちゃった、ごめん！はいたっちー！(/すな)　また会えたら話そうねー！
  (2023/3/14 18:54:21)

おしらせ> 桐ヶ谷直葉さんが退室しました。  (2023/3/14 18:54:25)

後藤ひとり> あ、お疲れ様です……   (2023/3/14 18:55:24)

ホウオウ・アルマ> あ、はい。おつかれさまでした！   (2023/3/14 18:55:45)

ホウオウ・アルマ> そしてこんばんはです！   (2023/3/14 18:55:52)

おしらせ> 白金燐子さんが入室しました♪  (2023/3/14 18:56:38)

中野一花 ◆> お疲れ様〜♪ゆっくり食べたりしてくるんだよ〜！   (2023/3/14 18:56:41)

白金燐子> 少しだけですがお邪魔します…   (2023/3/14 18:56:51)

中野一花 ◆> ひとりちゃんもこんばんは〜♪   (2023/3/14 18:56:57)

後藤ひとり> こんばんは……あ、燐子さんもどうもです……(お風呂上がり)   (2023/3/14 18:57:12)

白金燐子> ど、どうも…（ぺこっとあたまさげて）   (2023/3/14 18:58:14)

後藤ひとり> 澟子さんとしては久しぶりですね   (2023/3/14 18:59:40)

白金燐子> そうですね、だいぶ久しぶりだと思います…   (2023/3/14 19:00:04)

ホウオウ・アルマ> こんばんは、皆さん初めましてですね！   (2023/3/14 19:01:12)

後藤ひとり> 元気してました？……あ、はじめましてですかよろしくお願いします……後藤です   (2023/3/14 19:01:51)

ホウオウ・アルマ> ホウオウといいます。アルマ化しています、よろしくお願いします…っ！   (2023/3/14 19:03:19)

白金燐子> はじめましてロゼリアのキーボードの白金燐子です…　はい、元気でしたよ…   (2023/3/14 19:03:27)

後藤ひとり> アルマ化……パワーアップですか？……元気ならなによりです   (2023/3/14 19:03:50)

白金燐子> まーそれなりに元気はもらってるので…   (2023/3/14 19:04:49)

ホウオウ・アルマ> ……擬人化？ですか）……？   (2023/3/14 19:04:58)

ホウオウ・アルマ> ですかね……？   (2023/3/14 19:05:01)

白金燐子> 擬人化？   (2023/3/14 19:05:38)

ホウオウ・アルマ> 擬人化です。   (2023/3/14 19:06:02)

