チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月18日 13時09分 ～ 2023年03月19日 01時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花 ◆> 目玉焼きを乗っけます…！   (2023/3/18 13:09:25)

後藤ひとり> おはようございます私は花粉もそうですが喉の痛みが……   (2023/3/18 13:09:29)

後藤ひとり> 卵オン卵！？   (2023/3/18 13:09:42)

絹川みちほ> おはようひとりちゃん、大丈夫…？   (2023/3/18 13:09:57)

絹川みちほ> たまご追加？   (2023/3/18 13:10:34)

後藤ひとり> ほのかに痛いです   (2023/3/18 13:11:09)

中野一花 ◆> ちがーう！生卵の代わりにってこと！   (2023/3/18 13:12:33)

絹川みちほ> よしよし…風邪かな…   (2023/3/18 13:13:35)

絹川みちほ> ああ   (2023/3/18 13:13:38)

絹川みちほ> ああ、卵を焼いてご飯にのっけるんだ   (2023/3/18 13:13:59)

中野一花 ◆> そ〜ゆ〜こと♪   (2023/3/18 13:14:31)

絹川みちほ> おいしそーう   (2023/3/18 13:14:53)

後藤ひとり> 風邪ぽいですね……   (2023/3/18 13:14:53)

絹川みちほ> お大事にね、ひとりちゃん…   (2023/3/18 13:15:10)

後藤ひとり> 熱は無いので……一応   (2023/3/18 13:16:04)

中野一花 ◆> そこに醤油と塩コショウ…！   (2023/3/18 13:17:23)

後藤ひとり> 私は納豆ご飯好きです……   (2023/3/18 13:18:07)

絹川みちほ> 塩コショウに醤油、最高だねー♪   (2023/3/18 13:18:45)

中野一花 ◆> あとは慎重に黄身を崩して…♪   (2023/3/18 13:19:05)

絹川みちほ> 無理はしないでね、ひとりちゃん。納豆ご飯も美味しい   (2023/3/18 13:19:09)

後藤ひとり> はい、無理はしません……体にいいもの納豆くらいしか好きじゃないので……   (2023/3/18 13:20:13)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/18 13:20:41)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ひっひっ、ふ～…   (2023/3/18 13:20:52)

絹川みちほ> 黄身を崩して♪   (2023/3/18 13:21:31)

後藤ひとり> 出産！？   (2023/3/18 13:21:36)

絹川みちほ> なんでラマーズ法？   (2023/3/18 13:21:43)

絹川みちほ> 私も身体にいいもので好きなのはそれくらいだね、ひとりちゃん   (2023/3/18 13:22:08)

後藤ひとり> あとは揚げ物とかそういうのが好きです……   (2023/3/18 13:22:21)

絹川みちほ> 黄身を崩して混ぜ混ぜ、かな？   (2023/3/18 13:22:46)

絹川みちほ> 揚げ物おいしいよね、   (2023/3/18 13:22:54)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> メンタルぶち壊れそうだからとりあえずラマーズ法で()   (2023/3/18 13:23:17)

中野一花 ◆> 豆腐に醤油が個人的にいちばんの手抜きかな…   (2023/3/18 13:23:33)

後藤ひとり> 豆腐も卵も私食べれない……   (2023/3/18 13:24:00)

中野一花 ◆> アレルギー…？   (2023/3/18 13:24:33)

絹川みちほ> よしよし、ガヴリールちゃん   (2023/3/18 13:25:17)

後藤ひとり> 偏食です……   (2023/3/18 13:25:19)

絹川みちほ> 冷奴だね、一花ちゃん   (2023/3/18 13:25:28)

中野一花 ◆> 夏限定なら朝ごはんにきゅうり一本とかしてたなぁ〜…♪   (2023/3/18 13:26:16)

後藤ひとり> カッパだ……   (2023/3/18 13:26:46)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 身体的な疲れじゃなくて、普通にメンタルぶっ壊れそう……。癒しが足りん、癒しが(うがぁ～。ジャージでバタバタ   (2023/3/18 13:27:40)

絹川みちほ> 河童…   (2023/3/18 13:27:42)

絹川みちほ> メンタルのほうなんだね…よしよし   (2023/3/18 13:28:29)

中野一花 ◆> 誰がカッパなのかな〜？(みちほちゃんとひとりちゃんの方にじとりと視線を向けて)   (2023/3/18 13:29:53)

