/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月19日 01時24分 ～ 2023年03月20日 20時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> なら行ってらっしゃいです♪待ってますね   (2023/3/19 01:24:05)

堂領姫子> おやすみなさい、イリアさん   (2023/3/19 01:25:46)

堂領姫子> 私ももう少し起きてます   (2023/3/19 01:26:08)

桜花あさひ ◆> 今映画見てるからもう少ししたら〜…♪   (2023/3/19 01:27:13)

後藤ひとり> なるほど……♪   (2023/3/19 01:28:20)

堂領姫子> 映画終わったらお風呂ですか？   (2023/3/19 01:28:44)

桜花あさひ ◆> そうだぞっ♪映画のあとはお風呂でゆっくりだ♪   (2023/3/19 01:29:34)

後藤ひとり> ごゆっくり……♪   (2023/3/19 01:32:32)

おしらせ> 後藤ひとりさんが部屋から追い出されました。  (2023/3/19 01:33:56)

おしらせ> 後藤 ひとりさんが入室しました♪  (2023/3/19 01:33:56)

後藤 ひとり> 少しエラーしたので…   (2023/3/19 01:34:04)

桜花あさひ ◆> おかえりだっ♪   (2023/3/19 01:34:43)

堂領姫子> おかえりなさい   (2023/3/19 01:36:57)

後藤 ひとり> あさひさんも行ってらっしゃいです   (2023/3/19 01:36:58)

桜花あさひ ◆> ふふ、行ってくるなぁ♪   (2023/3/19 01:37:56)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/3/19 01:38:01)

堂領姫子> いってらっしゃい   (2023/3/19 01:40:46)

後藤 ひとり> 私たちはどうします？   (2023/3/19 01:41:03)

堂領姫子> そうですね、どうしましょうか…   (2023/3/19 01:44:47)

後藤 ひとり> 眠いのなら無理はせずに……   (2023/3/19 01:45:31)

堂領姫子> そうですね…もう少しだけひとりさんと一緒に居ようかとも思いましたが、落ちる前に寝ておきましょうか…   (2023/3/19 01:47:42)

後藤 ひとり> 大丈夫ですよ。お話出来て楽しかったです   (2023/3/19 01:49:08)

堂領姫子> ありがとうございます、ひとりさん。私も楽しかったですよ   (2023/3/19 01:50:33)

後藤 ひとり> ではまた……(手を振り)   (2023/3/19 01:50:57)

堂領姫子> ええ、それではおやすみなさい。みちほと一緒に、これからもよろしくお願いしますね。   (2023/3/19 01:51:34)

堂領姫子> （私も手を振りながらお部屋をあとにして）   (2023/3/19 01:52:36)

おしらせ> 堂領姫子さんが退室しました。  (2023/3/19 01:52:45)

後藤 ひとり> お疲れ様です   (2023/3/19 02:03:59)

おしらせ> 無言時間が25分を超えたため、後藤 ひとりさんが自動退室しました。  (2023/3/19 02:31:02)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/19 02:37:36)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/19 02:54:45)

桜花あさひ ◆> ただいまだぁ…♪   (2023/3/19 02:54:51)

後藤ひとり> おかえりなさいです……♪と言っても眠いですがね……(よしよし)   (2023/3/19 02:58:26)

桜花あさひ ◆> ん、ふふ…ほかほかあさひだぞぉ…♪(すりすりっ)   (2023/3/19 03:00:38)

後藤ひとり> 暖かいですね……♪(むぎゅ)   (2023/3/19 03:00:59)

桜花あさひ ◆> だなぁ…♪えへへ、ほかほか分けてあげるぞ〜…♪(むぎゅうう)   (2023/3/19 03:06:51)

後藤ひとり> 暖かいです……♪このまましてたいです……♪(抱き合い)   (2023/3/19 03:10:33)

桜花あさひ ◆> ふふ〜……♪ひとり姉ちゃんも暖かいぞ〜♪それにいい匂いだっ♪   (2023/3/19 03:11:23)

後藤ひとり> 普通ですよ？……匂いは……♪(なでなで)   (2023/3/19 03:13:38)

桜花あさひ ◆> なんか〜……ひとり姉ちゃんっ！て匂いだぞ♪あさひひとり姉ちゃん匂いすきだ…♪(すんすん)   (2023/3/19 03:16:29)

後藤ひとり> そう言われると嬉しいですね……♪あさひさんの匂いもやさしくて好きです……♪(こくん)   (2023/3/19 03:18:58)

桜花あさひ ◆> あさひはお日様のにおいだぞ〜♪ん、ふふ…眠たくなってきちゃったなぁ…♪(すりすり)   (2023/3/19 03:22:38)

後藤ひとり> なら寝ますか？……♡もう時間も遅いですからね……♪(おでこにキス)   (2023/3/19 03:23:58)

桜花あさひ ◆> えへへ、今日も一緒に寝てもいいか〜…♪？(ぎゅぅっ)   (2023/3/19 03:26:26)

後藤ひとり> もちろんです♪断る理由なんてないですよ……♪(ぎゅーっ)   (2023/3/19 03:28:13)

桜花あさひ ◆> やったっ♪ふふ、じゃあ今日も一緒だ〜っ♪(ちゅーっとほっぺたに)   (2023/3/19 03:31:11)

後藤ひとり> もちろんですよ……♪(布団を被り体を密着させて)   (2023/3/19 03:36:58)

桜花あさひ ◆> ん…ふふ、ひとり姉ちゃん〜……♪んぅ、お休みだ〜…っ♪(うとうと、瞼を擦り、顔を近づけてほっぺたにちゅーっとキスをして)   (2023/3/19 03:42:26)

後藤ひとり> おやすみなさいです……♪あさひさんっ…////(頬のキスに照れながらもこちらもキスをお返しして眠りにつき)   (2023/3/19 03:46:29)

桜花あさひ ◆> えへへ、またなぁ…♪いっぱいひとり姉ちゃんと寝れて嬉しいぞ…っ♪   (2023/3/19 03:51:02)

後藤ひとり> 私もです……♪ではまた♪   (2023/3/19 03:51:17)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/19 03:51:22)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/3/19 03:52:28)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが入室しました♪  (2023/3/19 09:41:29)

錦木千束 ◆> 千束さんがやって来ました~~♪ 今日は日曜でみんなお休みっぽい…うんうん、しっかり休みの日は体を休めなきゃ… 賑わってるお部屋を見ると相変わらず安心しちゃうなぁ　(ソファに腰掛けて…凭れてて'   (2023/3/19 09:46:23)

おしらせ> アルトリアオルタさんが入室しました♪  (2023/3/19 09:49:24)

アルトリアオルタ> フン。本当に休めるべきは貴様の体だろうに。…少し邪魔をするぞ   (2023/3/19 09:49:57)

錦木千束 ◆> 千束は平気…これでも結構体は頑丈なんだぁ…♪ 少しどころかお邪魔してって…ゆっくりしていきなよー？(座り直して…隣をとんとんして、隣に座るように招いてみて…)   (2023/3/19 09:52:40)

おしらせ> レディ･アヴァロン ◆WY5HuZnICQさんが入室しました♪  (2023/3/19 09:52:45)

レディ･アヴァロン ◆> ん〜〜〜？やぁやぁ…黒く落ちたもう一つの王様に、最強の高校生♪朝の気分はどうだい？それはもちろん、いい気分だろう？   (2023/3/19 09:53:40)

アルトリアオルタ> いや、そうもいかん。30分だけ貴様の時間を寄越せ。部屋はもうある、貴様の疑問とやらにも答えてやる。…まぁ、昔話も混じるしこんなところでするべきではない（真正面に腕を組んで仁王立ちすれば軽く腰を折って顔を覗き込み。）   (2023/3/19
09:55:01)

アルトリアオルタ> ……マーリン、ではないな。あいつは男のハズだ。（ちら…）   (2023/3/19 09:55:25)

錦木千束 ◆> いらっしゃーい…♪ お部屋がどんどん賑わってくなぁ…良いことだぁ…♪ (にんまり笑顔で2人をお出迎えっ♪) って…最強の高校生って私？　いやいや…千束は最強じゃないしなぁ…   (2023/3/19 09:55:58)

レディ･アヴァロン ◆> マーリ…んん"ん"ん"！！誰の事かなあぁ〜〜！私は花の魔術師マーリンの妹だよ〜ッ？   (2023/3/19 09:56:57)

錦木千束 ◆> 王様に指名されたら断れないじゃーん…♪ お部屋もあるなんてやることが早いっ…ちょっち待ってて…   (2023/3/19 09:57:45)

アルトリアオルタ> あいつに妹など居ない。さては貴様、妹を名乗る不審者だな？姉を名乗る不審者もいるのだ、貴様のような妹を語る輩が居てもおかしくはない   (2023/3/19 09:57:51)

アルトリアオルタ> …意識が混濁していない貴様はレアだ。ケリをつけるぞ   (2023/3/19 09:58:09)

アルトリアオルタ> 先に部屋にて待つ。妹を語る不審者はまた今度事情を聞かせてもらおうじゃないか   (2023/3/19 09:58:48)

レディ･アヴァロン ◆> 朝から怖いねぇ…ね〜、キャスパリーぶふぉぁっ？！(手懐けようと手を伸ばせば、勢いよく後ろ蹴りを貰って)   (2023/3/19 09:58:52)

アルトリアオルタ> それではな。   (2023/3/19 09:59:07)

おしらせ> アルトリアオルタさんが退室しました。  (2023/3/19 09:59:15)

錦木千束 ◆> 少しお話して戻ってくるかもだから、千束も色々お話してくるね… 白髪…すっごい綺麗…♪ (軽い背伸びして…前髪を撫でて…) 行ってきますって…ちょいちょい…千束を置いて行くなぁぁ…   (2023/3/19 10:02:33)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが退室しました。  (2023/3/19 10:02:36)

レディ･アヴァロン ◆> んっ…ふふふ…(前髪を撫でられればサラリと風が舞って。)   (2023/3/19 10:03:53)

レディ･アヴァロン ◆> さてさてさてさてさて〜♪1人で過ごすのも寂しいものだからね？3階の方に行こうか♪   (2023/3/19 10:21:19)

おしらせ> レディ･アヴァロン ◆WY5HuZnICQさんが退室しました。  (2023/3/19 10:21:23)

おしらせ> 五十鈴れんさんが入室しました♪  (2023/3/19 10:45:14)

