/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月20日 20時13分 ～ 2023年03月21日 18時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

朝倉可憐> だいたい女の子だから大丈夫かな…そしたら…。   (2023/3/20 20:13:58)

後藤ひとり> リセマラ方法調べてたら虎さん居ましたね   (2023/3/20 20:15:37)

朝倉可憐> 虎さんだけ…うん。リセマラだと当たりらしいよ。   (2023/3/20 20:20:06)

後藤ひとり> 存在感がすごい……   (2023/3/20 20:21:18)

朝倉可憐> わかる……存在感すごいよね。一匹だけ。   (2023/3/20 20:25:41)

後藤ひとり> とりあえず明日リセマラ頑張ります……   (2023/3/20 20:30:33)

朝倉可憐> うん、頑張ろう。私も応援してるよ。   (2023/3/20 20:35:12)

後藤ひとり> 可憐さんは他にソシャゲしてます？   (2023/3/20 20:35:28)

朝倉可憐> FGOを年に一回起動したり……とかかな…。本当にそれくらい。   (2023/3/20 20:37:54)

後藤ひとり> ソシャゲはやる気わかないですよね……私は終わるまではきらファンしてました………   (2023/3/20 20:39:30)

朝倉可憐> そうだよね。私も日課とか周回が強くなると途端にだめかも。   (2023/3/20 20:43:20)

後藤ひとり> ふとやる気無くなることありますよね……   (2023/3/20 20:45:36)

朝倉可憐> 進んでるときは楽しいんだけどね…   (2023/3/20 20:49:18)

後藤ひとり> ソシャゲ自体単純な作業メインですからね…   (2023/3/20 20:53:22)

朝倉可憐> ストーリーとか読もうとすると、邪魔なんだよね…作業部分…   (2023/3/20 20:58:24)

後藤ひとり> ストーリーは……クオリティにもよるかも……   (2023/3/20 21:00:38)

朝倉可憐> えっと…むしろヘブバンというか…ここのソシャゲ、ストーリーはすごく大作かな……。   (2023/3/20 21:02:23)

後藤ひとり> なるほど……楽しみですね…   (2023/3/20 21:02:59)

朝倉可憐> ただ、すごく重いストーリーなんだよね…   (2023/3/20 21:04:12)

後藤ひとり> 重いのですか……少し抵抗がありますね……最後がハッピーエンドならいいですが   (2023/3/20 21:04:51)

朝倉可憐> うん……ハッピーにはしてくれる…かもだけど…。最後の最後で。   (2023/3/20 21:07:46)

後藤ひとり> 最後の最後で…   (2023/3/20 21:09:59)

朝倉可憐> そこに至るまではどん底に突き落とすのが好きだと思う…。   (2023/3/20 21:12:22)

後藤ひとり> あーそういうタイプですか……   (2023/3/20 21:19:19)

朝倉可憐> そういうタイプだと思う……でも普段のノリは銀魂に近いとかピクシブでは言われてるみたい。   (2023/3/20 21:19:53)

後藤ひとり> 何かギャグ寄りなのは見ました   (2023/3/20 21:23:20)

朝倉可憐> ギャグよりかな、日常は。   (2023/3/20 21:25:03)

後藤ひとり> むしろそのイメージしか……   (2023/3/20 21:26:15)

朝倉可憐> そっちもふふってくることは、うん…楽しいよ。フルボイスだし…   (2023/3/20 21:29:02)

後藤ひとり> 平和が1番ですね…   (2023/3/20 21:35:42)

朝倉可憐> ほんとね……   (2023/3/20 21:35:54)

後藤ひとり> その点きららはいいです…   (2023/3/20 21:38:33)

朝倉可憐> あの世界は…たしかに平和だね…。   (2023/3/20 21:38:50)

後藤ひとり> 私日常系とか好きだし…   (2023/3/20 21:45:26)

朝倉可憐> 私もそう言うの好きだよ。   (2023/3/20 21:46:11)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/20 21:46:25)

絹川みちほ> こんばんはー   (2023/3/20 21:46:50)

朝倉可憐> こんばんは…はじめまして。   (2023/3/20 21:47:03)

絹川みちほ> はじめまして、絹川みちほです。よろしくお願いしますね   (2023/3/20 21:47:30)

絹川みちほ> 私の世界もいろんな意味で平和じゃないですね…（ホラーゲーム）   (2023/3/20 21:48:15)

後藤ひとり> あ、好きなんですね……どういう作品がちなみに好きです？   (2023/3/20 21:49:54)

後藤ひとり> あ、こんばんは   (2023/3/20 21:49:58)

