/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月21日 18時22分 ～ 2023年03月24日 01時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> 食べにくいからとか？>ひとりお姉ちゃん   (2023/3/21 18:22:29)

倉田ましろ> ちなみにいまのとこおかずのとこ見に行ったらケンタッキーあったかな…   (2023/3/21 18:24:32)

後藤ひとり> 食べにくいからですね……。ケンタもいいですね   (2023/3/21 18:25:46)

クレー> いいなー♡>ましろお姉ちゃん   (2023/3/21 18:25:55)

倉田ましろ> まだわからないけど…   (2023/3/21 18:26:48)

クレー> (本編の)クレーがカニが苦手な理由と同じだね！>ひとりお姉ちゃん   (2023/3/21 18:27:09)

後藤ひとり> ケンタは近くにないのでマックメインですが……   (2023/3/21 18:27:36)

後藤ひとり> カニもあんまり食べたことないですね……   (2023/3/21 18:27:42)

倉田ましろ> 私も近くにはないよ…   (2023/3/21 18:28:06)

後藤ひとり> そういう話してたらポテト食べたくなってきた……   (2023/3/21 18:29:13)

倉田ましろ> 買いに行く…？   (2023/3/21 18:32:22)

後藤ひとり> さすがに行かないです……   (2023/3/21 18:33:25)

倉田ましろ> いかないか…   (2023/3/21 18:34:18)

後藤ひとり> 外行く気ないので……   (2023/3/21 18:34:42)

倉田ましろ> たまにはでないと…？   (2023/3/21 18:34:59)

後藤ひとり> 今週のいつかは外でます……   (2023/3/21 18:38:05)

倉田ましろ> それならよし…   (2023/3/21 18:40:41)

クレー> クレーおうちついたー(はふー)   (2023/3/21 18:43:02)

倉田ましろ> さてそろそろ夜ご飯だからおちるね…正解はごはんとケンタッキーといろいろでした…お疲れさまぁ   (2023/3/21 18:44:32)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/21 18:44:35)

クレー> またねましろお姉ちゃん～(ふりふりと見送って)   (2023/3/21 18:45:27)

後藤ひとり> あ、お疲れ様でした……(手を振り)   (2023/3/21 18:48:10)

後藤ひとり> クレーちゃんはまだ外ですか？   (2023/3/21 18:51:55)

クレー> もうついてるよー   (2023/3/21 18:52:07)

クレー> それじゃ、クレーもごはんいってくるね…？   (2023/3/21 18:52:30)

クレー> それじゃあご飯にいってきますー！   (2023/3/21 18:54:27)

おしらせ> クレーさんが退室しました。  (2023/3/21 18:54:29)

後藤ひとり> あ、お疲れ様でした   (2023/3/21 18:55:37)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/21 18:55:47)

おしらせ> 桐ヶ谷直葉さんが入室しました♪  (2023/3/21 20:06:59)

桐ヶ谷直葉> こんばんはっ。お邪魔しておきまーす…！   (2023/3/21 20:07:18)

