/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月25日 17時02分 ～ 2023年03月31日 01時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> 私には千束さんみたいな陽キャの塊は出来ませんが……   (2023/3/25 17:02:55)

佐月マリ> 私も…茅森さんのようなキャラは難しいかもしれません…。   (2023/3/25 17:03:28)

中野三玖 ◆> やわらかし…いと…やわらかし   (2023/3/25 17:03:43)

絹川みちほ> 古文みたい、三玖ちゃん   (2023/3/25 17:04:24)

錦木千束> 暗いとか明るいとか、あんまり気にしないけどさぁ。なんとなぁく、波長が合う？って感じ？   (2023/3/25 17:04:47)

後藤ひとり> いとおかし……   (2023/3/25 17:05:07)

十六夜ノノミ> 動かしやすいキャラとか動かしにくいキャラとかいますからねー。やりたいこ、やりやすいこでいいと思います。   (2023/3/25 17:05:10)

後藤ひとり> よく分からないけど楽しいならなんでもいいです   (2023/3/25 17:05:23)

錦木千束> んまぁ、ひそかぁに、私も他の子を寄越したり寄越さなかったりしてたこともあるけどさ〜？（くぁ、ぁ）   (2023/3/25 17:06:44)

佐月マリ> 練習や試運転はとても大事なのでいいと思います♪   (2023/3/25 17:07:29)

後藤ひとり> 千束さんの千束さん以外の子は誰だろ……   (2023/3/25 17:08:10)

中野三玖 ◆> (むぎゅ…ちゅ…)   (2023/3/25 17:09:23)

十六夜ノノミ> ずーっと同じ子でないといけないっていうことは無いですからねー。その時に遊びたい子でいいんですっ   (2023/3/25 17:09:54)

錦木千束> んふ〜。ひ、み、つ。（指先を唇にあてがい、にぃっと、いたずらっぽく。）   (2023/3/25 17:10:21)

後藤ひとり> (むぎゅ……んちゅ……)   (2023/3/25 17:11:23)

佐月マリ> 謎の多い女性は魅力的です♪   (2023/3/25 17:11:32)

後藤ひとり> まあいいけど………私も1度だけたきなさんさしました……   (2023/3/25 17:11:36)

錦木千束> まぁ、ほら。私であっても私じゃないし？あんまり先入観持たれたくないんだよなぁ〜。   (2023/3/25 17:12:58)

後藤ひとり> いやそこまで深堀しないです……   (2023/3/25 17:14:15)

錦木千束> んぇ、ただ思ったこと言っただけ！気にすんなぁ〜？（わた）   (2023/3/25 17:14:58)

十六夜ノノミ> ひとりさんがそうでも人によってはそうでもない方もいますから～。どんな方でも、それぞれで対応していけばいいと思うんですけど…   (2023/3/25 17:16:31)

十六夜ノノミ> 同じ時期に複数の方が同じキャラをやってると、まぎらわしくなっちゃうことはあります…！   (2023/3/25 17:16:52)

後藤ひとり> なるほど……とにかく誰で来ても仲良くしたいです……みんなと   (2023/3/25 17:17:27)

錦木千束> ほらぁ、そこて役に立つのが…フィーリング！（両手で双眼鏡作ってノノミを覗き）   (2023/3/25 17:18:11)

十六夜ノノミ> ふふ♪だからそういうときは私も、なんとなくのフィーリングでやっちゃってますね～♪   (2023/3/25 17:19:12)

佐月マリ> ある程度やれればあとはなんとかなりますからね♪   (2023/3/25 17:20:15)

後藤ひとり> 双眼鏡が役立つんですね！……   (2023/3/25 17:20:16)

錦木千束> そ〜そ〜。話して楽しかったらそれでよしっ！   (2023/3/25 17:20:45)

中野三玖 ◆> (ちゅ…ちゅぅ…)   (2023/3/25 17:22:48)

後藤ひとり> (んっ……ちゅ)   (2023/3/25 17:23:03)

絹川みちほ> φ(..)メモメモ   (2023/3/25 17:23:38)

十六夜ノノミ> 楽しくお話できればそれが一番のことですからね～   (2023/3/25 17:24:49)

絹川みちほ> だねー   (2023/3/25 17:25:12)

錦木千束> なんだかんだ、爛れたことしかしてなかった気がする……（遠目）   (2023/3/25 17:27:08)

十六夜ノノミ> それはそれで、楽しかったらいいと思いますよ♪（くすくす）   (2023/3/25 17:27:33)

後藤ひとり> 千束さんがムラついてる……   (2023/3/25 17:27:57)

錦木千束> んぇ〜、や。楽しいけどさぁー！ほら！私だって乙女じゃん？そーいう風に見られるのはきにするんだかんなぁー？（足バタバタ）   (2023/3/25 17:28:53)

十六夜ノノミ> そういう気持ちもわかりますけど…この部屋にいる時点で、みなさん大なり小なりそういう気持ちはあるわけですから…♡   (2023/3/25 17:29:54)

錦木千束> 雰囲気が大事！なのは言うに及ばず……！（声を大）っても、私から誘うときは大体いつも強引だったりするかも…（ぽわ）   (2023/3/25 17:31:40)

後藤ひとり> 私は自分から誘うことは滅多に……   (2023/3/25 17:32:07)

十六夜ノノミ> 誘われても気分がのらなかったりするときは断るでしょうから、それで来てくれるのはそれだけ千束さんが素敵だからだと思いますよ♪   (2023/3/25 17:32:51)

錦木千束> 全肯定してくれる……ぅわぁぁわわわ。   (2023/3/25 17:33:39)

十六夜ノノミ> 私も、おもったことを言っただけですよ♪（くすっと笑みを見せて）   (2023/3/25 17:34:22)

十六夜ノノミ> さて。そろそろ夜ご飯の準備とかをしてくる時間になりそうなので、私はそろそろ失礼させていただきますね～   (2023/3/25 17:35:09)

錦木千束> んまぁ、誘うのって勇気いるよなー、たしかにさぁ。ん、またねー、お疲れ様ぁ   (2023/3/25 17:35:28)

後藤ひとり> あ、お疲れ様です……   (2023/3/25 17:35:44)

後藤ひとり> はい……なので誘われる方が楽かと…あ…頭痛い……   (2023/3/25 17:35:56)

十六夜ノノミ> それもあってかこのお部屋、自分から誘う人って限られてそうですよね。それではー、またお話とか…時間のあるときにはそれ以外のこととかも、しましょうね～♪お疲れさまでした～（ぺこっとお辞儀をして、とてとてと外へ）   (2023/3/25
17:37:35)

おしらせ> 十六夜ノノミさんが退室しました。  (2023/3/25 17:37:43)

後藤ひとり> お疲れ様でした……また会えたらぜひ……   (2023/3/25 17:38:29)

中野三玖 ◆> (ちゅ……れろ…)   (2023/3/25 17:39:15)

後藤ひとり> (んっ……ちゅ)   (2023/3/25 17:40:14)

おしらせ> 犬走椛さんが入室しました♪  (2023/3/25 17:40:48)

後藤ひとり> あ、こんばんは……   (2023/3/25 17:40:55)

錦木千束> こんちはぁ〜。（ひら。）   (2023/3/25 17:40:59)

中野三玖 ◆> んっ……こんにちは   (2023/3/25 17:41:11)

犬走椛> 久々一階では…？時間が出来たので顔を出してみた淫乱狼ですよ〜、と（B1から出現です）   (2023/3/25 17:42:35)

錦木千束> マンションとかしてる！   (2023/3/25 17:43:52)

後藤ひとり> 満員です……   (2023/3/25 17:44:07)

おしらせ> 無言時間が25分を超えたため、佐月マリさんが自動退室しました。  (2023/3/25 17:45:18)

錦木千束> お疲れ様ぁ。   (2023/3/25 17:45:30)

後藤ひとり> あ、お疲れ様でした   (2023/3/25 17:45:56)

中野三玖 ◆> んっ…(ぎゅ…)   (2023/3/25 17:45:58)

犬走椛> お疲れ様です   (2023/3/25 17:46:19)

後藤ひとり> 三玖さん可愛いです…(むぎゅ)   (2023/3/25 17:46:43)

錦木千束> 一言で大変分かりやすい自己紹介だねぇ…！   (2023/3/25 17:47:19)

おしらせ> アロナさんが入室しました♪  (2023/3/25 17:47:55)

中野三玖 ◆> 淫乱狼…   (2023/3/25 17:48:08)

錦木千束> こんばんはぁ〜   (2023/3/25 17:48:20)

後藤ひとり> あ、こんばんは……淫乱なんですね   (2023/3/25 17:48:25)

アロナ> やっと、定員があいたのでは入れました。   (2023/3/25 17:48:25)

犬走椛> シンプルなのがベストなのです   (2023/3/25 17:48:53)

後藤ひとり> はじめましてです……(ぺこ)   (2023/3/25 17:48:56)

錦木千束> んぁ、定員いっぱいかぁ。んじゃ、私はのこっかな。お疲れ様ぁ   (2023/3/25 17:49:52)

おしらせ> 錦木千束さんが退室しました。  (2023/3/25 17:49:55)

後藤ひとり> お疲れ様です……また会えたらお話を……   (2023/3/25 17:50:10)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/3/25 17:50:16)

アロナ> 初めましてアロナといいます。   (2023/3/25 17:50:30)

犬走椛> 次々と抜けていきますねぇ…   (2023/3/25 17:50:30)

後藤ひとり> 私はひとりです…   (2023/3/25 17:50:45)

アロナ> ひとりさんですかよろしくおねがいします。   (2023/3/25 17:51:18)

中野三玖 ◆> …三玖…   (2023/3/25 17:51:59)

後藤ひとり> はい……(ぺこり)   (2023/3/25 17:52:29)

アロナ> 三玖さんかわいらしい名前ですね。   (2023/3/25 17:52:55)

アロナ> はい（にこっ）   (2023/3/25 17:54:29)

後藤ひとり> まあ今は頭痛で苦しんでるので返事はきついですが……(ぐへ)   (2023/3/25 17:56:13)

