チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年04月14日 19時39分 ～ 2023年04月15日 21時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

羽鳥智世 ◆> ……この、言葉にできない激情みたいなOP好きだなぁ……   (2023/4/14 19:39:04)

おしらせ> 古谷向日葵さんが入室しました♪  (2023/4/14 19:46:37)

古谷向日葵> 戻りましたわ？   (2023/4/14 19:46:41)

おしらせ> シェヘラザードさんが入室しました♪  (2023/4/14 19:48:22)

シェヘラザード> こんばんは、、お邪魔して、よろしいでしょうか   (2023/4/14 19:48:43)

古谷向日葵> ごきげんよう。もちろんよろしいですわ   (2023/4/14 19:49:20)

シェヘラザード> ありがとうございます、、、お名前、伺っても？   (2023/4/14 19:50:31)

古谷向日葵> 古谷向日葵ですわ向日葵でいいですわよ   (2023/4/14 19:51:20)

シェヘラザード> 向日葵さん、、申し遅れましたわたくしはシェヘラザード、と申します。どうぞよしなに   (2023/4/14 19:52:07)

シェヘラザード> 向日葵さんは、こちらには長いのですか？   (2023/4/14 19:52:36)

羽鳥智世 ◆> あ、おかえりなさい。（手を振りかえして）   (2023/4/14 19:52:45)

古谷向日葵> よろしくお願いしますわ。異国の方ぽい見た目ですわね？……私は昨日から入りましたわね……   (2023/4/14 19:52:47)

シェヘラザード> あなたは、、、＞智世。向日葵さんも、昨日からなのですね。少し、ほっとしました＞向日葵   (2023/4/14 19:54:19)

古谷向日葵> シェヘラザードさんはいつ頃から……？   (2023/4/14 19:55:17)

羽鳥智世 ◆> 私…がなにありましたか？（きょとりと首を傾げては）   (2023/4/14 19:55:35)

シェヘラザード> わたくしも、今日が初めてですので＞向日葵。お名前をと、、思いまして＞智世   (2023/4/14 19:56:33)

羽鳥智世 ◆> あ、チセです。チセ・ハトリ。…よろしくお願いします。   (2023/4/14 19:58:54)

シェヘラザード> チセ、、いい、お名前ですね。よろしく、お願いします   (2023/4/14 19:59:37)

古谷向日葵> なるほど初心者という訳ですね…   (2023/4/14 20:01:35)

羽鳥智世 ◆> いい…のかな。お母さんに理由を聞いたりしたことはないけれど……。えっ、と。ありがとうございます。   (2023/4/14 20:02:53)

シェヘラザード> えぇ、、あまりここに来ることは出来ないのですが、、少し気になりまして＞向日葵。   (2023/4/14 20:03:55)

古谷向日葵> 無理して来なくてもいいのですわ。たまに楽しむ感覚で……最近は勢いもなさそうですし…   (2023/4/14 20:04:32)

シェヘラザード> 名前は、、最初に貰う贈り物です。、、お母様は、あなたを愛しているのですね、、(頭を撫でる)＞智世   (2023/4/14 20:05:18)

シェヘラザード> そうさせて、いただきます、ね。＞向日葵   (2023/4/14 20:05:40)

古谷向日葵> はい、その中で私と仲良くして下されば嬉しいですわ♪   (2023/4/14 20:06:19)

羽鳥智世 ◆> ま、まぁ……うん……。そうだったと……思う…よ…？（反応に困りながらも、愛されては…いたんだろうな、と）   (2023/4/14 20:08:01)

シェヘラザード> わかりました、、よろしくお願いします＞向日葵   (2023/4/14 20:08:20)

古谷向日葵> シェヘラザードさんは……随分と大人の方に見えますがお幾つですか？   (2023/4/14 20:09:14)

シェヘラザード> 、、、愛されていれば、殺されることを怯えることは無かったのでしょうかボソッ、、、わたくし、ですか？さぁ、幾つだと、思いますか？＞向日葵   (2023/4/14 20:11:54)

古谷向日葵> ………25とか？   (2023/4/14 20:13:28)

羽鳥智世 ◆> どうだろう……。私、そのお母さんに首を締められて殺されかけたあと私の目の前で自殺したし……。その前も怪異によく噛みちぎられそうになってるから……うん。   (2023/4/14 20:13:57)

古谷向日葵> ……貴女……大丈夫なんですの？児童保護施設とかもありますわよ？   (2023/4/14 20:14:29)

シェヘラザード> ふふふっ、どうでしょう、ね？、、一応、夫と子供はいるんですよ？ふふふっ＞向日葵   (2023/4/14 20:14:48)

シェヘラザード> 、、、チセさん、、あなたも、なのですね   (2023/4/14 20:15:16)

羽鳥智世 ◆> もう終わってることだから平気ですよ。   (2023/4/14 20:15:21)

古谷向日葵> 既婚者の方でここに来るのは中々珍しいですわね……？もしかして割と……というかおふたりとも大丈夫ですの？   (2023/4/14 20:15:57)

羽鳥智世 ◆> ……え、私も既婚者だけど…一応。   (2023/4/14 20:16:13)

古谷向日葵> おふたりともそれは大丈夫なんですの？ここではその……そういうことも致しますが……   (2023/4/14 20:16:55)

羽鳥智世 ◆> まぁ……別に大丈夫…かな…。よくはないんだけど（原作的には）   (2023/4/14 20:17:49)

シェヘラザード> わたくしは、、殺されるかもしれないのを知っていて、嫁ぎましたから、、、、えぇ、大丈夫です今の私の体はエーテル体で出来ているので(本来は死んでいる英霊の分霊なので)   (2023/4/14 20:18:40)

古谷向日葵> なるほど……？確かにここに入ろんな人種が来ると聞きましたが生きてない人が来るとは……   (2023/4/14 20:20:18)

シェヘラザード> マスター、、、魔術師によって召喚された過去の亡霊ですね   (2023/4/14 20:21:39)

古谷向日葵> 使い魔のようなものですのね？ゲームみたいで面白いですわ   (2023/4/14 20:23:28)

シェヘラザード> ふふふっ、、たのしい、だけじゃありませんが、ね   (2023/4/14 20:24:11)

古谷向日葵> 大変なことがあるんですのね……(ふむふむ)   (2023/4/14 20:25:33)

シェヘラザード> あぁ、たのしい時間はすぐに過ぎ去ってしまいますね、、、申し訳ありませんが、ここら辺で失礼させていただきます   (2023/4/14 20:27:24)

古谷向日葵> お疲れ様でしたわ。   (2023/4/14 20:28:30)

シェヘラザード> では、   (2023/4/14 20:28:48)

おしらせ> シェヘラザードさんが退室しました。  (2023/4/14 20:28:51)

羽鳥智世 ◆> お疲れ様です。（手を振り）   (2023/4/14 20:29:57)

古谷向日葵> 智世さんはお時間大丈夫ですの？   (2023/4/14 20:31:04)

羽鳥智世 ◆> 私は今日は暇だから大丈夫…かな。   (2023/4/14 20:33:00)

古谷向日葵> なるほど……私は実は少し眠気が来てまして………   (2023/4/14 20:37:43)

羽鳥智世 ◆> あ、それならもう寝てきてしまっても平気…だよ…？   (2023/4/14 20:38:47)

古谷向日葵> なら少しだけ仮眠いたしますわ……申し訳ありませんの   (2023/4/14 20:45:52)

羽鳥智世 ◆> 仮眠じゃなくてもうしっかり寝てほしいけど…！   (2023/4/14 20:47:54)

古谷向日葵> 分かりましたわ……とりあえずお疲れ様ですわ   (2023/4/14 20:48:33)

おしらせ> 古谷向日葵さんが退室しました。  (2023/4/14 20:48:40)

羽鳥智世 ◆> お疲れ様…ゆっくり寝てきてね。   (2023/4/14 20:48:50)

羽鳥智世 ◆> えっと……もしよかったらアニメ…観てください。（外の人らに向かって小さく宣伝）   (2023/4/14 21:21:58)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/4/14 21:26:45)

桜花あさひ ◆> こんばんはだーっ♪   (2023/4/14 21:26:50)

羽鳥智世 ◆> あ、こんばんは。（手を振って）   (2023/4/14 21:27:51)

羽鳥智世 ◆> はいったけどねちゃったかな。   (2023/4/14 21:42:35)

おしらせ> 無言時間が25分を超えたため、桜花あさひ ◆gAmHDzY8Wcさんが自動退室しました。  (2023/4/14 21:52:06)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/4/14 21:54:35)

桜花あさひ ◆> ただいまだぁ……んぅ、ちょっと離れちゃってたぞ……っ   (2023/4/14 21:54:46)

おしらせ> 無言時間が25分を超えたため、羽鳥智世 ◆TaduQjWkbwさんが自動退室しました。  (2023/4/14 22:08:34)

桜花あさひ ◆> う〜……ごめんなぁ…   (2023/4/14 22:11:24)

おしらせ> クレーさんが入室しました♪  (2023/4/14 22:15:34)

クレー> こんばんはー♪   (2023/4/14 22:15:42)

おしらせ> 無名さんが入室しました♪  (2023/4/14 22:16:45)

無名> こんばんは   (2023/4/14 22:16:55)

クレー> 無名お姉ちゃんこんばんは♪   (2023/4/14 22:17:05)

無名> 夜は外が綺麗だね〜   (2023/4/14 22:17:27)

クレー> え、ホント？どれどれ……(クレーも気になって窓からお外を見てみる……)   (2023/4/14 22:18:52)

おしらせ> ジャックザリッパー ◆i6fJKa45IIさんが入室しました♪  (2023/4/14 22:19:00)

ジャックザリッパー ◆> こんばんはー   (2023/4/14 22:19:04)

桜花あさひ ◆> みんなこんばんはだーっ♪   (2023/4/14 22:19:16)

クレー> あ、リッパーお姉ちゃんこんばんはっ   (2023/4/14 22:19:19)

無名> うんっ！夜景が綺麗〜（一応カバネいるけど夜景に注目していて）   (2023/4/14 22:19:30)

無名> こんばんは〜   (2023/4/14 22:19:35)

ジャックザリッパー ◆> クレーだ！何見てるのー？   (2023/4/14 22:20:32)

クレー> おそらー(窓から夜空を見上げてて…)   (2023/4/14 22:21:35)

無名> 星、星も見えるよ！（数ある星が見えていて）   (2023/4/14 22:21:59)

ジャックザリッパー ◆> 夜空見てるのー？（こちらもまどからみて）   (2023/4/14 22:22:23)

桜花あさひ ◆> 星が見えるのか〜♪？(ちらっ)   (2023/4/14 22:23:03)

クレー> 【テレビみててお空今見れないからなんとなくで書いちゃうけど】……わぁー、あれはさそり座かな？クレーもお空はよくみるよ♪   (2023/4/14 22:25:14)

ジャックザリッパー ◆> 星座とかも見えるんだー、あれはなんだろねー？   (2023/4/14 22:25:44)

無名> 合ってると思う！あれは牡羊座とかってやつだと思うな…私も兄様といた頃から空は見続けてるんだよね。なんていうか…心の隙を埋めてくれる感じがするな〜   (2023/4/14 22:27:02)

桜花あさひ ◆> さそり！ふふ、星座覚えてるのか〜♪星いっぱいだからあさひ覚えらんないぞ〜…   (2023/4/14 22:28:44)

クレー> 星ってたくさんあるからね……！それこそクレーたちの目には見えないものとかとあるよ♪…って騎士団の大人の人がいってた！   (2023/4/14 22:30:06)

ジャックザリッパー ◆> それじゃあ私にも見えないのかな・・・それにしても綺麗だねー   (2023/4/14 22:31:16)

無名> 誰が見ても綺麗に感じるんだし…そういうところもまたいいよね！   (2023/4/14 22:32:05)

ジャックザリッパー ◆> そうだね！   (2023/4/14 22:32:36)

クレー> でも、見える星もたくさんあるよっ(ほら、あれーって指差して)>リッパーお姉ちゃん   (2023/4/14 22:32:44)

桜花あさひ ◆> 見えない星もあるのか〜？ふふ、なんか星って凄いな〜♪キラキラしてて綺麗だしな〜♪   (2023/4/14 22:33:06)

ジャックザリッパー ◆> 何？何か見つかった？（指をさされたところをむいて）＞クレー   (2023/4/14 22:35:27)

クレー> (CM中にお空見に行ったら曇ってた…)   (2023/4/14 22:38:25)

クレー> んー星………だけど、気のせいだったかな？えへへ   (2023/4/14 22:39:02)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/4/14 22:39:19)

ジャックザリッパー ◆> んもークレーったらー（少し頬を膨らませて）   (2023/4/14 22:39:26)

後藤ひとり> 失礼します……   (2023/4/14 22:39:39)

無名> おぉこんばんは〜   (2023/4/14 22:39:51)

桜花あさひ ◆> （あさひのとこは雨だぞ〜……）   (2023/4/14 22:39:54)

桜花あさひ ◆> こんばんはだぁっ♪   (2023/4/14 22:39:58)

ジャックザリッパー ◆> ひとりお姉ちゃんこんばんはー   (2023/4/14 22:40:05)

クレー> あはは、ごめんねリッパーお姉ちゃんっ…(立ちっぱなしもつかれてクレーは座れるところにかけてぽふー)   (2023/4/14 22:40:22)

後藤ひとり> お邪魔します…(いそいそ)   (2023/4/14 22:40:45)

クレー> ひとりお姉ちゃんこんばんはー♪   (2023/4/14 22:41:04)

後藤ひとり> は、はい……！   (2023/4/14 22:41:42)

桜花あさひ ◆> ひとり姉ちゃんも星見るか〜♪？   (2023/4/14 22:43:40)

無名> そうそう。皆で見よ〜   (2023/4/14 22:44:00)

ジャックザリッパー ◆> （お水をグラスに入れてクレーの隣に座って）でもほんっと綺麗だねー   (2023/4/14 22:44:11)

後藤ひとり> 星ですか？少しだけ見ます……   (2023/4/14 22:44:40)

おしらせ> 絹川みちほさんが入室しました♪  (2023/4/14 22:45:42)

桜花あさひ ◆> ふふ、星綺麗だぞ〜♪   (2023/4/14 22:45:48)

桜花あさひ ◆> みちほ姉ちゃんもこんばんはだっ♪   (2023/4/14 22:45:56)

無名> こんばんは   (2023/4/14 22:45:58)

ジャックザリッパー ◆> こんばんはーみちほおねえちゃーん   (2023/4/14 22:46:02)

絹川みちほ> こんばんは   (2023/4/14 22:46:09)

クレー> ひとりお姉ちゃんたちが歌ってる歌にも星にちなわだ歌なかったっけ？   (2023/4/14 22:46:16)

絹川みちほ> （あたしの所も雨〜……）   (2023/4/14 22:46:27)

後藤ひとり> 星座になれたら のことですか？   (2023/4/14 22:46:37)

絹川みちほ> 無名さん、この前はすみません   (2023/4/14 22:46:41)

無名> この前って？   (2023/4/14 22:46:58)

絹川みちほ> あら…   (2023/4/14 22:47:23)

絹川みちほ> まあ、前にちょっとね、揉めてしまって   (2023/4/14 22:47:55)

無名> うぅん…まぁとりあえず済んだ事に入ると思うから…ね？皆いるんだし楽しい話しよ   (2023/4/14 22:48:56)

絹川みちほ> まあ、巻き込んでしまったことを、ということで。…ですね、ここまでに   (2023/4/14 22:49:38)

クレー> 多分それ〜♪>ひとりお姉ちゃん   (2023/4/14 22:49:58)

後藤ひとり> いいですよね……あれ……   (2023/4/14 22:50:20)

絹川みちほ> スイッチもってる人はあたしの出身世界のゲームの体験版が配信されてるから遊んでほしいかな。……Ｚ指定のホラーゲームだけど   (2023/4/14 22:50:45)

ジャックザリッパー ◆> ホラー系はちょっと苦手かな・・・   (2023/4/14 22:51:20)

絹川みちほ> ジャックちゃんは苦手、と。φ(..)メモメモ   (2023/4/14 22:51:45)

無名> ホラーは…うんごめん   (2023/4/14 22:52:01)

桜花あさひ ◆> あさひも苦手だ〜……何回かやった事あるけど凄いびっくりしちゃうぞ……   (2023/4/14 22:52:25)

絹川みちほ> みんな駄目かぁ   (2023/4/14 22:53:30)

絹川みちほ> 背後で遊んでるのはあたしだけかぁ……   (2023/4/14 22:54:03)

クレー> クレーも何か飲み物もってこよー♪(リッパーお姉ちゃんが飲み物持ってるのみてクレーもきっちんにとことこ)   (2023/4/14 22:54:13)

クレー> クレー明日はお出かけ予定で、なんか雨予報も出てるから傘忘れないようにしなきゃ…！(垂れ流しのテレビからお天気予報のお知らせが流れてて)   (2023/4/14 22:58:36)

絹川みちほ> 傘忘れないようにねークレーちゃん   (2023/4/14 22:59:46)

ジャックザリッパー ◆> クレーは何飲むの？（こてん）   (2023/4/14 22:59:59)

クレー> クレーは……サイダー♪(クレーのコップをとりだして、とくとく……しゅわわわ♪)   (2023/4/14 23:00:56)

クレー> 持っていってどこかでおいてこないようにしないとだね！>みちほお姉ちゃん   (2023/4/14 23:01:56)

桜花あさひ ◆> 今日あそびに行こうと思ってたけど、雨降ってたから行けなかったなぁ……んぅ、雨あんまり好きじゃないぞぉ…   (2023/4/14 23:01:59)

ジャックザリッパー ◆> わぁーいい音だね♪   (2023/4/14 23:02:01)

クレー> 雨の日はお出かけする人がいつもより少なくて空いてることもあるから、クレー意外と好きだったりする♪   (2023/4/14 23:04:33)

桜花あさひ ◆> はっ、人が少ない…！そう考えたら雨もいいかもなぁっ♪   (2023/4/14 23:05:00)

ジャックザリッパー ◆> やっぱりお出かけするなら天気よくないとね   (2023/4/14 23:05:23)

絹川みちほ> 忘れてきちゃうのもだめだよね   (2023/4/14 23:05:41)

絹川みちほ> 雨だと予定狂うよね…   (2023/4/14 23:06:00)

ジャックザリッパー ◆> うん・・・家でスイッチとかスマホいじるぐらい・・・   (2023/4/14 23:07:06)

絹川みちほ> あたしもジャックちゃんと同じ   (2023/4/14 23:07:31)

ジャックザリッパー ◆> お母さんも今ポケモンしてるね・・・   (2023/4/14 23:07:56)

クレー> お外歩かなきゃ行けない時は晴れてる方がいいね♪   (2023/4/14 23:08:36)

絹川みちほ> ポケモンしてるんだ   (2023/4/14 23:09:32)

ジャックザリッパー ◆> 今のと昔のとね   (2023/4/14 23:09:44)

桜花あさひ ◆> あさひもポケモン好きだぞぉ♪   (2023/4/14 23:09:59)

絹川みちほ> 結構お母さん好きなんだねー   (2023/4/14 23:11:07)

絹川みちほ> あさひちゃんもなんだねー   (2023/4/14 23:11:17)

