チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年05月21日 23時47分 ～ 2023年05月27日 04時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

琴葉茜> いや祥鳳さん別に全裸やないから。服着とるから。肩出しとるだけやから。   (2023/5/21 23:47:49)

後藤ひとり> それもそうだし……自分が濡れるのも嫌ですね……   (2023/5/21 23:48:06)

小春六花> あの肌脱ぎの仕方って男性の正装だから祥鳳さんふたなり説がいつも私の中でむらむらしてるよね。   (2023/5/21 23:48:35)

桜衣乃> そうでした……今はもう5月、梅雨時なんですよね……。季節の変わり目は風邪に気をつけてくださいね。   (2023/5/21 23:48:59)

桜衣乃> 六花ちゃんが珍しくムラムラしてます……！   (2023/5/21 23:50:06)

響> 夏はたしかに苦手かな…祥鳳さんのあれは……ほう、そういう意味があったのか…(入渠で一緒になったときにでも聞いてみようか…なんて)   (2023/5/21 23:50:14)

後藤ひとり> 調べたら確かにえっちですね……   (2023/5/21 23:51:02)

響> 台風、嵐は怖いね…低気圧は苦手かも…   (2023/5/21 23:51:13)

クレー> クレーは夏生まれで夏の子なの♪(えっへん♪イベントもメインでやった時は海と島のだいぼうけんをやらせてもらえたの！)   (2023/5/21 23:51:51)

後藤ひとり> 土日に来る台風は許されません   (2023/5/21 23:52:14)

クレー> 響ちゃんが低気圧に負けちゃう時はクレーがそばにいてあげる♪(そっと静かによしよししてあげる♡)   (2023/5/21 23:52:51)

響> 服を着ればちゃんと美人さんだよね…もちろんいつでも綺麗な人なんだけれど…   (2023/5/21 23:52:54)

小春六花> 着なくても美人なんですよね   (2023/5/21 23:53:27)

小春六花> なんかこう、祥鳳さん大好きです   (2023/5/21 23:53:38)

桜衣乃> 六花ちゃんにとっての癖……ってことですね！　ふーん…ああいう、男気のある子が好き…って感じです？   (2023/5/21 23:55:58)

響> ん…ありがとうクレー…♪夏の暑さもなんとかなってしまうかもしれない…(撫でて貰うと僅かに輝く響さん)   (2023/5/21 23:56:02)

小春六花> え、うーん……どうだろう。私基本的にギャップ萌えだよ   (2023/5/21 23:56:29)

桜衣乃> 夏の子クレーちゃんは夏の暑さに強そうですね！　ふむ……今年の夏はクレーちゃんと一緒に、海で遊ぶロルみたいなことがしたいです♡　あ、もちろんみなさんもご一緒に♡ここの多くの方は、去年の秋以降の邂逅ですから……   (2023/5/21
23:57:39)

響> 祥鳳さんの戦果上げると喜んで燥いじゃうところいいよね   (2023/5/21 23:58:02)

後藤ひとり> 海……水着……(うっ……)   (2023/5/21 23:58:28)

小春六花> そうそう、あんなにまじめなのになぜか肌脱ぎしてるところとか、あんなに女性らしいのに女の子みたいにはしゃぐところほんと大好き   (2023/5/21 23:58:40)

クレー> ギャップ萌えといえば、衣乃お姉ちゃんだって普段と違うさりげない優しさが一部のメンバーをトリコにしちゃうイケメン衣乃お姉ちゃんな時もあるよね♪   (2023/5/21 23:59:00)

桜衣乃> はしゃぐの漢字、初めて知りました……   (2023/5/21 23:59:16)

後藤ひとり> 燥ぐ……   (2023/5/21 23:59:48)

クレー> (あれ、違ったかも…！)   (2023/5/22 00:00:48)

