/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月19日 23時57分 ～ 2023年06月22日 23時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

零余子> 途中までは見てたけど、ついてけなくなっちゃった(汗)ひとりちゃん   (2023/6/19 23:57:20)

後藤ひとり> 私も見る予定なのでまだ見れてなくて…   (2023/6/19 23:57:59)

無名> 水星面白よね〜。毎回次どうなるの！？ってなるし何より機体がかっこいい！ヴァルヴレイヴの人脚本だし凄い良い   (2023/6/19 23:58:03)

後藤ひとり> ……百合目的のために見ました……機体で覚えてるのはエアリアルくらいしか…   (2023/6/19 23:58:29)

廣井きくり ◆> やだっ…お姉ちゃんなんて言わないでよっ。今だけは…私だってセイカちゃんの恋人なんだって……そう思わせて…？（繋いだ手に力を込めて握り返しながら、必死な声でセイカちゃんに伝えて）大好きだよ……セイカちゃん…♡   (2023/6/19
23:58:33)

無名> そうそう山寺さん。チーズの声ですご！？ってなってたけどあの見た目のキャラも出せたなんて…エンディング見るまで気付かなかったよ…   (2023/6/19 23:58:38)

零余子> あー、魘夢かあ。色々めんどくさい根回ししてたよね。そうそう、堂々とは出てこないかな。夢を見せる術を使うわけだし。……そうだね、過去はやめとこかな(汗)   (2023/6/19 23:58:58)

無名> 確かにそういう見方もあるかも…やるねひとり   (2023/6/19 23:59:25)

零余子> 百合目的……なるほどなるほど   (2023/6/19 23:59:50)

無名> 幸せな夢…私も生駒たちとお米食べる夢見させてほしい…   (2023/6/20 00:00:05)

京町セイカ> …今だけなんて言わないで？きくりちゃんの気持ち、受け止めたいの(こちらも少し震える声で言い返して…)きくりちゃんと一緒にいさせて？   (2023/6/20 00:00:39)

後藤ひとり> というかそもそもガンダムは見ないですからね普通……百合ガンダムって話題になったからみただけで…   (2023/6/20 00:00:39)

零余子> そうそう、スタッフロールで山寺さんだと知ってびっくりした。ツイッターとかでは堀川りょうさんとか予想されてたっぽいけどね   (2023/6/20 00:01:44)

無名> そういうことかぁ。でも一作一作で違うお話になるの多いから気になったのから見れるの良いよね   (2023/6/20 00:02:00)

零余子> 私もロボットアニメはあんまり見ないかなあ   (2023/6/20 00:02:04)

無名> 堀川さんもありかも。アンドロメダ瞬の声凄いし！   (2023/6/20 00:02:26)

後藤ひとり> 祝福は好きです……みんなはアイドルかもしれないけど……   (2023/6/20 00:02:40)

零余子> うーん、同じ十二鬼月のツテでお願いしてもいいけど、魘夢のあの性格があるから中々お勧めは出来ないかなあ   (2023/6/20 00:03:12)

零余子> アイドル？   (2023/6/20 00:03:39)

無名> そ。そうなんだ…   (2023/6/20 00:03:51)

後藤ひとり> 推しの子のopですね   (2023/6/20 00:04:28)

零余子> たしかに堀川さんもありだよね。山寺さんの隠された声もとんでもないけどね   (2023/6/20 00:04:49)

零余子> ああ、ヨアソビの曲ね。   (2023/6/20 00:05:06)

零余子> 推しの子…気になるけど中々ヘビーなイメージあるから迷ってるな   (2023/6/20 00:06:03)

後藤ひとり> 私は百合以外興味無いから見てないですね   (2023/6/20 00:06:28)

零余子> 大丈夫だとは思うけど、無名ちゃんを魘夢の配下なんかにさせたくないし   (2023/6/20 00:06:40)

廣井きくり
◆> 私…こんな酒飲みだし、大人ぶってるけど本当はコンプレックスの塊で……きっと一緒にいたらセイカちゃんに迷惑かけちゃうよ…。……それでも…私と一緒にいてくれる…？（きっと嫌われる…そうわかってても伝えないとだから、セイカちゃんをしっかり見つめてそう言うと、セイカちゃんの声の震えをとろうともう一度唇を近づけて…）
  (2023/6/20 00:07:43)

無名> 零余子の植田さんもはなかっぱのてれてれぼうずとかもやってたりするし凄いよね   (2023/6/20 00:08:33)

無名> 守ってくれるの…？ありがとう〜   (2023/6/20 00:09:02)

後藤ひとり> (宇宙猫の顔)   (2023/6/20 00:09:21)

京町セイカ> えへへ、もちろん。昨日もすごく話もあったしきくりちゃんだって好きって昨日限りじゃなくて今日も言ってくれたじゃない(頭かきながらえへへっとはにかんで)   (2023/6/20 00:10:27)

無名> あぁごめん別々の文章を二つに分けて返したから…〉ひとり   (2023/6/20 00:10:51)

零余子> そっか、ひとりちゃんも見てないのね。　宇宙猫？   (2023/6/20 00:10:55)

後藤ひとり> あ、いやなんも分からなかったので…   (2023/6/20 00:11:36)

零余子> 置いてけぼりにしちゃったね、ごめんねひとりちゃん   (2023/6/20 00:12:20)

無名> ごめんね！ひとり   (2023/6/20 00:12:38)

後藤ひとり> 大丈夫ですよ……そろそろ落ちますし……2人の邪魔になりますからね……   (2023/6/20 00:13:46)

