チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月24日 22時20分 ～ 2023年06月29日 00時21分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> う、うん…じゃ、じゃあ…//   (2023/6/24 22:20:49)

高垣楓 ◆> えぇ、美味しく料理されちゃいましょう、ね(手をぎゅっと)   (2023/6/24 22:22:35)

京町セイカ> りょ、料理って…お話！お話ししにいくだけだから！   (2023/6/24 22:23:49)

高垣楓 ◆> では、行きましょうか(緩く握った手を解いていき、甘くお部屋からいきましょうと)   (2023/6/24 22:26:29)

京町セイカ> う、うん、わかった…(楽しそうに先導する楓さんについていきつつ)   (2023/6/24 22:27:52)

高垣楓 ◆> 【では、向こうででしょうか】   (2023/6/24 22:29:16)

京町セイカ> 【そうね、部屋立てる？】   (2023/6/24 22:29:33)

高垣楓 ◆> 【鍵付きでごよういをしてますね】   (2023/6/24 22:30:21)

京町セイカ> 【あ、もうあるんだ、了解】   (2023/6/24 22:31:34)

京町セイカ> 【はいったわよー】   (2023/6/24 22:32:39)

おしらせ> 高垣楓 ◆346.Rf.llEさんが退室しました。  (2023/6/24 22:32:44)

おしらせ> 京町セイカさんが退室しました。  (2023/6/24 22:34:10)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/6/25 00:35:15)

朝倉可憐> ばくし、した…（ころん   (2023/6/25 00:35:34)

朝倉可憐> うう……来月残りを課金で天井まで走っちゃおうかな……（ぐぬぬ   (2023/6/25 00:37:06)

朝倉可憐> むむむ…   (2023/6/25 00:42:25)

朝倉可憐> 誰かとおしゃべりくらいしたいかも…   (2023/6/25 00:46:28)

朝倉可憐> この時間はどようびでもきびしい…かな…？   (2023/6/25 00:51:27)

おしらせ> 白峯理沙 ◆QkvgbqiYg2さんが入室しました♪  (2023/6/25 01:03:37)

白峯理沙 ◆> んー、やっほー。話だけでもいいかなーなんて思いながらお邪魔しに来ちゃった   (2023/6/25 01:04:16)

朝倉可憐> あ、うん。いらっしゃい。お話だけでも大丈夫。（こくこく   (2023/6/25 01:05:32)

白峯理沙 ◆> 初めまして…かな？   (2023/6/25 01:05:52)

白峯理沙 ◆> そう言ってくれると嬉しいよ〜【ぐふっ、途中送信申し訳ないです】   (2023/6/25 01:06:32)

朝倉可憐> はじめましてだっけ…？　でも覚えもないからそうかも……。（うーん…と首を傾げては。）   (2023/6/25 01:07:13)

白峯理沙 ◆> 私、この部屋来るの初めてだしね〜…   (2023/6/25 01:08:25)

朝倉可憐> えっと……近くのラウンジ…？だっけ。覗いてるときによく見かけていたから…とかかな。   (2023/6/25 01:10:26)

白峯理沙 ◆> あー、うんうん。あっちにはよくいるね〜(ラウンジと言われると、確かに旅館のラウンジにはいるねと頷いて)   (2023/6/25 01:12:01)

朝倉可憐> うん、時々眺めてて見かけてる顔だから、わからなくなったのかも。私は一度も行ったことないけど…（機会がないとか色々。）   (2023/6/25 01:13:41)

白峯理沙 ◆> なるほどねー。私は白峯理沙だよ。よろしくね？(制服姿なために本名で名乗って)   (2023/6/25 01:15:10)

朝倉可憐> あ、うん。ありがと。私は朝倉可憐。FPSが得意なだけのゲーマー。（こく   (2023/6/25 01:16:36)

白峯理沙 ◆> 可憐か、よろしくね〜。へー、可憐もゲーマーなんだ。私もゲーム大好きだよ？最近は幼馴染とVRMMOを一緒にやってるかな？(相手からも名乗られるとニコッと笑みを浮かべて)   (2023/6/25 01:17:53)

朝倉可憐> ふふ…VRMMOもいいな……。流石に私の世界は文明進んでいないけれど……いつかやってみたいかも。   (2023/6/25 01:20:49)

白峯理沙 ◆> めっちゃ楽しいよー？FPSも面白いけどね〜。カレンの世界はそんな感じなんだ…。あっ、隣座ってもいい？   (2023/6/25 01:22:59)

朝倉可憐> あ、うん。大丈夫。広いソファだし好きに使っていよ。（うん）。そんな感じ…ふふ、あと私はカタカナで呼ばれると別の人格が起きちゃうから…かれりん、朝倉さん、とかで呼んだほうがいいかも。   (2023/6/25 01:24:06)

白峯理沙 ◆> んじゃ失礼して…(そういうと横に座り始めて)あっ、そうなの…？ふむふむ。ただ変換間違えただけともだけど…かれりん可愛いしそう呼ぼっかな？   (2023/6/25 01:25:56)

朝倉可憐> うんうん、普段は隊長の人にもそう呼ばれてるし、そのほうがいいかも。（ふふ）   (2023/6/25 01:26:37)

白峯理沙 ◆> 私は結局最近サリーで慣れてたなぁ…そんな感じかぁ…   (2023/6/25 01:27:44)

朝倉可憐> うん、多分そんな感じ？かな。   (2023/6/25 01:28:00)

白峯理沙 ◆> ふむふむ。かれりんは眠くないの…？   (2023/6/25 01:30:39)

朝倉可憐> 少し眠い……かも…   (2023/6/25 01:32:07)

白峯理沙 ◆> そっかー。私は少し前に落ち着いた感じ…(眠いという相手に少しだけ寄り添おうとしてみて)   (2023/6/25 01:33:04)

朝倉可憐> 落ち着いた…って眠気のはなし…？   (2023/6/25 01:34:12)

白峯理沙 ◆> ううん、中の人の仕事とかーかな？   (2023/6/25 01:34:29)

