/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年07月14日 12時57分 ～ 2023年07月17日 00時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

銀狼> オッケー、ピロートークとか、お酒でセイカの心が緩んだ時ね。（らーさ。楽しそうに敬礼しつつ）―――さ、て、と。人と逢う事もできたし、まったりダベる事も出来たし。…私はそろそろお昼ご飯にしようかな。…おなかすいた。（あと土日の仕事に備えて買い物とかもしてこなきゃ。…雨、降ってこないといいなーって、ちらっと窓の外見やりつつ）
  (2023/7/14 12:57:25)

銀狼> こわっ（びくっ！８本！それもう触手では…！？）   (2023/7/14 12:58:26)

京町セイカ> 私もお昼にしよっかなー…何食べようかなぁ   (2023/7/14 13:00:01)

小春六花> セイカさんはほら、そのへんに生えてるちんちんとビールでしょ   (2023/7/14 13:02:34)

銀狼> ラーメン。あとからあげ。（太らないから気楽な子。よいしょって、セイカの方にも身を乗り出して――）　ん…♡（頬に唇寄せて…ふに♡）――じゃ、またね？（リッカにもサービスしたし。セイカにも。楽しかった感情の御裾分け。悪戯っぽく、ふふふー♡）  
(2023/7/14 13:02:39)

銀狼> いや昼からちょっとシモすぎない……！？（その辺にって。びくっ！じゃ、リッカもーって手をひらっ。リッカにはもうサービスしたし。あいさつはこのくらいで！）　　愛してるぜ、二人とも――再見－…♪（まったねー、って気分よさそうに。ジャケットのポケットに手を突っ込んで。てててー♪）
  (2023/7/14 13:04:10)

京町セイカ> ビールのおつまみはもっと美味しいやつがいいです…(肩を落としつつ私のことなんだと思ってんのよーなんて)あー、ラーメンいいわね…ひゃあっ！？(ふにっとほっぺ同士くっつくとドキッとしちゃって)   (2023/7/14 13:04:14)

おしらせ> 銀狼さんが退室しました。  (2023/7/14 13:04:17)

小春六花> まったねー！   (2023/7/14 13:05:20)

小春六花> やっぱり○ーメンじゃないか！   (2023/7/14 13:05:59)

京町セイカ> ラーメンでしょうが！！(ビシッとツッコミいれつつ…はぁ)   (2023/7/14 13:06:43)

京町セイカ> 銀狼ちゃんまたねー！   (2023/7/14 13:07:16)

小春六花> ○ン○ンするかもしれないじゃん？   (2023/7/14 13:14:11)

京町セイカ> えっ…そこまでくるとちょっとわからない…   (2023/7/14 13:14:45)

小春六花> 担担   (2023/7/14 13:17:20)

京町セイカ> あ、あー…わ、わたし辛いのあまり得意じゃないからなぁ…//   (2023/7/14 13:17:53)

小春六花> つらいのは大好きなのに？   (2023/7/14 13:19:05)

京町セイカ> つらいのもやだなぁ…   (2023/7/14 13:19:39)

小春六花> いやなんだっけ？   (2023/7/14 13:23:19)

京町セイカ> そりゃ進んでしんどい思いはしたくないわよ？   (2023/7/14 13:24:19)

小春六花> でもよくいじめられてるじゃん（？）   (2023/7/14 13:25:15)

京町セイカ> そ、それはいじめる人がいるからでしょ！？(むーっと口を尖らせながら)   (2023/7/14 13:26:03)

小春六花> そうかもしれない…（？）   (2023/7/14 13:29:01)

京町セイカ> ま、まぁ私だってそんなにいじめられっぱなしじゃないってことよ！(ふふんっ)   (2023/7/14 13:29:57)

小春六花> 進んで寝取られることで傷をつけてるのはある意味最強のいじめだもんね…（？）   (2023/7/14 13:37:16)

京町セイカ> だからそういうプレイじゃないんだってばー！   (2023/7/14 13:39:10)

小春六花> えー…（？）   (2023/7/14 13:42:04)

京町セイカ> 何よその反応！私だって本格的にそんな事態になったら割と本気で寝込むかもしれないのよ？   (2023/7/14 13:43:19)

小春六花> 寝取られてる側というか、寝取られされてる側なのに……？   (2023/7/14 13:44:45)

京町セイカ> ……言われてみればそうね…というかなんでそんなことになってるのかしら…   (2023/7/14 13:46:15)

小春六花> 廣井さんとこう……爛れてるから……？   (2023/7/14 13:49:27)

京町セイカ> アレもこう…どうしたことでしょうね…まぁこういうとこだしきくりちゃんを独り占めする気はもちろんないけど…   (2023/7/14 13:57:12)

小春六花> がんばれー。（ふれーっ、ふれーっ   (2023/7/14 13:59:41)

京町セイカ> な、なにを！？   (2023/7/14 13:59:57)

小春六花> つなぎとめえっち…（？）   (2023/7/14 14:01:52)

京町セイカ> ……///が、がんばります…(頭から湯気出しつつ小さくなって)   (2023/7/14 14:03:45)

小春六花> 私もそろそろ誰かと遊ばないとなー。   (2023/7/14 14:05:49)

京町セイカ> 六花ちゃんもあまり遊べてないんだ   (2023/7/14 14:06:37)

小春六花> そもそも来てないゆえ   (2023/7/14 14:21:43)

京町セイカ> あー、そういえば最近全然見かけなかったわね…   (2023/7/14 14:23:40)

小春六花> そんな存在になった   (2023/7/14 14:24:12)

京町セイカ> れ、レア枠…   (2023/7/14 14:24:39)

小春六花> はい（はい）   (2023/7/14 14:27:40)

京町セイカ> 六花ちゃんもはぐれメタルみたいな枠になっちゃったのね…   (2023/7/14 14:29:15)

小春六花> はぐれというほどじゃないですけどねー。   (2023/7/14 14:29:58)

京町セイカ> まぁでも今日六花ちゃんに会えたのは私嬉しかったわよ？はじめのころに声かけてくれた1人だしね   (2023/7/14 14:35:51)

小春六花> ふらっと現れたり現れなかったりするから…   (2023/7/14 14:37:49)

おしらせ> 高垣楓 ◆346.Rf.llEさんが入室しました♪  (2023/7/14 14:41:34)

高垣楓 ◆> こんにちわ……暑いです………   (2023/7/14 14:41:47)

小春六花> はーい、やっほやっほー。   (2023/7/14 14:42:48)

京町セイカ> あれ、楓さん。こんにちは   (2023/7/14 14:43:07)

高垣楓 ◆> はい、こんにちわ。この時間ですからまったりしてますね   (2023/7/14 14:44:49)

小春六花> だいぶ待ったりしてるー。   (2023/7/14 14:47:00)

京町セイカ> だらっとおしゃべりしてる感じねー   (2023/7/14 14:48:46)

高垣楓 ◆> 遊ぶ…となると色々としてしまいそうですからね   (2023/7/14 14:50:06)

京町セイカ> そうねー、時間があるといえばそうなんだけど   (2023/7/14 14:54:21)

高垣楓 ◆> 六花ちゃんもスライムになってますしね…？（つついてみましょうか）   (2023/7/14 14:59:47)

小春六花> スライムの形態はまだないなぁ……たぶん。   (2023/7/14 15:02:06)

高垣楓 ◆> そのへんは…ひとりちゃんとかきくりさんなら任せられそうです…   (2023/7/14 15:06:00)

京町セイカ> スライムねぇ…(ノキセイカさん)   (2023/7/14 15:06:20)

小春六花> でもひとりちゃんの姿は「その技、貰うぞぉ！！！」ってラーニングしてるよ。   (2023/7/14 15:08:04)

京町セイカ> メンダコ六花ちゃんとかになったりするのかしら…   (2023/7/14 15:10:21)

小春六花> メンダコ、承認欲求、ツチノコ、人間風、くらいなら私ある。   (2023/7/14 15:14:57)

高垣楓 ◆> こんなところに承認欲求モンスターがいます…ね？   (2023/7/14 15:16:37)

