チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年08月25日 02時16分 ～ 2023年09月01日 04時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

高坂桐乃 ◆> じゃあTOP4になった   (2023/8/25 02:16:32)

伊地知虹夏 ◆> リコリコいいよね～！新作楽しみ～！   (2023/8/25 02:17:18)

高坂桐乃 ◆> ねー新作もすぐ決まって嬉しかった♪   (2023/8/25 02:17:41)

スタートラー・アルマ> どれもよく知らないのでなにもいえないけど、楽しんでね。   (2023/8/25 02:18:43)

伊地知虹夏 ◆> 他に桐乃ちゃんが好きなアニメはー？   (2023/8/25 02:19:08)

高坂桐乃 ◆> 最近だと…何みたかな…   (2023/8/25 02:19:35)

高坂桐乃 ◆> ヒロアカ？   (2023/8/25 02:20:03)

伊地知虹夏 ◆> もう大丈夫！私がきたー！   (2023/8/25 02:20:17)

高坂桐乃 ◆> ダンまち？   (2023/8/25 02:20:30)

伊地知虹夏 ◆> ヘスティアちゃんしか知らない！   (2023/8/25 02:20:53)

高坂桐乃 ◆> 新しいのも古いのもごちゃ混ぜで見てるから、どれが最近なんだかーって感じ。俺妹自体も見たのは最近の話…(目を逸らして)   (2023/8/25 02:21:22)

高坂桐乃 ◆> アイズちゃんって可愛いヒロインがいるよー。あの子がヒロインでいいんだよね…多分…。   (2023/8/25 02:22:19)

伊地知虹夏 ◆> そうなんだねー！私は最近アニメ見てないんだよねぇ～モチベーションが…#！   (2023/8/25 02:22:37)

高坂桐乃 ◆> アニメってめっちゃ見る時は見るけど、見ない時全く見る気になれないから分かる   (2023/8/25 02:23:15)

伊地知虹夏 ◆> 気になってるのは色々あるんだけどね～   (2023/8/25 02:23:39)

高坂桐乃 ◆> 見始めたら一気に見たいからこそ、一歩目が重い…。   (2023/8/25 02:24:04)

スタートラー・アルマ> そんなもの。まとめて見るし、なかなか見ない。（うん   (2023/8/25 02:24:47)

高坂桐乃 ◆> 見るってなったら、やっぱまとめてだよねー(うんうん)   (2023/8/25 02:25:32)

伊地知虹夏 ◆> おにまいとかライザとかわたゆりとか見たいのに……！   (2023/8/25 02:25:51)

スタートラー・アルマ> そして新作が出るともういいや、ってなるの。   (2023/8/25 02:26:53)

高坂桐乃 ◆> わたゆりは、あたしも気になる！   (2023/8/25 02:27:02)

伊地知虹夏 ◆> アニメじゃないけど大室家も楽しみだな～   (2023/8/25 02:27:31)

高坂桐乃 ◆> んー新作が逆にトリガーになる時もあるから…なんともかなー   (2023/8/25 02:27:43)

高坂桐乃 ◆> ゆるゆり？だっけ？みたいな絵の漫画が見つかった(スマホしゅっしゅっ)   (2023/8/25 02:28:45)

伊地知虹夏 ◆> ゆるゆりのスピンオフだね！   (2023/8/25 02:30:29)

高坂桐乃 ◆> 名前はすっごく聞いたことあるけど、ゆるゆりも見たことないんだよねぇ…。   (2023/8/25 02:32:03)

伊地知虹夏 ◆> なるほどね！日常ものは見ないのかな？   (2023/8/25 02:33:44)

高坂桐乃 ◆> 日常ものも見るよ？ジャンル問わずって感じ   (2023/8/25 02:34:17)

伊地知虹夏 ◆> 幅広いねー！   (2023/8/25 02:35:26)

スタートラー・アルマ> 私も眠くなってきたや…そろそろねてくるね、おやすみ。金髪の人たち。   (2023/8/25 02:35:51)

おしらせ> スタートラー・アルマさんが退室しました。  (2023/8/25 02:35:58)

高坂桐乃 ◆> おやすみ〜(手をひらひら)   (2023/8/25 02:36:02)

高坂桐乃 ◆> 面白そうなら見るって感じかなー   (2023/8/25 02:36:17)

伊地知虹夏 ◆> なるほどねぇ～なら私たちの作品も見て欲しいなぁ   (2023/8/25 02:38:07)

高坂桐乃 ◆> ぼっちざろっくは、単純にあたしの中で「この前けいおん見たじゃん」ってストップかかってるだけだから、そのうち見ると思う   (2023/8/25 02:39:26)

伊地知虹夏 ◆> けいおんが最近なの！？   (2023/8/25 02:41:30)

高坂桐乃 ◆> 隣の部屋から面白そうなアニメのBDBOXを物色して、サブスクで見るってしてるから。   (2023/8/25 02:42:59)

高坂桐乃 ◆> 兄の趣味の偏り。   (2023/8/25 02:43:27)

伊地知虹夏 ◆> お兄ちゃんか～私はお姉ちゃんがいるね！   (2023/8/25 02:46:01)

高坂桐乃 ◆> いいじゃん、お姉ちゃんの方が絶対良い！   (2023/8/25 02:47:39)

伊地知虹夏 ◆> お兄ちゃんの事すきなんじゃないのー？(にやにや)   (2023/8/25 02:49:01)

高坂桐乃 ◆> は…はぁ？！うっさい！そんなわけないじゃん！(柔らかいクッションを投げる)   (2023/8/25 02:49:48)

伊地知虹夏 ◆> 照れてる可愛i…ぶへっ！？………(顔に当たって)   (2023/8/25 02:51:56)

高坂桐乃 ◆> てっ…照れてない！(ふん！)   (2023/8/25 02:53:25)

伊地知虹夏 ◆> これがツンデレか～♪(くすくす)   (2023/8/25 02:55:26)

高坂桐乃 ◆> は…はぁ？！ツンデレじゃないわぁ！笑うなぁ！//(投げるクッションがないから、直接軽くポカポカしに行こうとする)   (2023/8/25 02:57:01)

伊地知虹夏 ◆> いたたたた～もー素直になりなよ～♪(抱きしめてわしゃわしゃ)   (2023/8/25 02:58:11)

高坂桐乃 ◆> だ…だから素直にツンデレじゃないって言ってんじゃん！//あ、髪がくしゃくしゃになるじゃん！(抱きしめられて)   (2023/8/25 02:59:54)

伊地知虹夏 ◆> ごめんって～♪じゃあハグだけにしちゃうねー！(ぎゅーっ)   (2023/8/25 03:02:01)

高坂桐乃 ◆> ま…まぁ…ハグだけなら…嫌いじゃないし？//(ちゃっかり膝の上に座ってぎゅーっ)   (2023/8/25 03:02:50)

伊地知虹夏 ◆> はーい♪いやー可愛いね～私お姉ちゃんはいるけど妹はいないんだよね～♪(抱きしめて肩に顔乗せて)   (2023/8/25 03:06:00)

高坂桐乃 ◆> 身長差とか的に、あたしの方がお姉ちゃんって感じだけどね(にやにや)   (2023/8/25 03:06:47)

伊地知虹夏 ◆> 調べたら背高いね！？……(がーん)   (2023/8/25 03:09:23)

高坂桐乃 ◆> 10cmくらい差があると思う♪(ドヤ顔)   (2023/8/25 03:10:32)

