チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年10月17日 11時44分 ～ 2023年10月24日 00時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> ゲームハードは必要になったら買うものだから……（私のPS5とか…PS5とか……。おもにPS5とか。）もう、それを言われると本当に弱い…！（ちゅー…って楽しんでから…ちょっぴりばつがわるそうに）えへへ、いってらっしゃーい。今度はいっぱいいちゃいちゃしようねー♡
  (2023/10/17 11:44:37)

甘雨> ♡（微笑んで、もう一度、ぺこりハート――てててー…）   (2023/10/17 11:46:18)

おしらせ> 甘雨さんが退室しました。  (2023/10/17 11:46:22)

おしらせ> 小春六花さんが退室しました。  (2023/10/17 11:49:56)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/10/17 17:17:43)

後藤ひとり> 少しの間だけお邪魔しますね……(学校の帰りにフラフラと眠そうで)   (2023/10/17 17:18:04)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/10/17 17:43:05)

おしらせ> 雷電将軍さんが入室しました♪  (2023/10/17 21:24:25)

雷電将軍> まだ火曜日…？   (2023/10/17 21:24:31)

おしらせ> 東雲絵名さんが入室しました♪  (2023/10/17 21:38:08)

東雲絵名> そうよ、まだ火曜日なの。ほんと絶望しちゃうわよねー(後ろからひょっこりと現れ、声を掛けてみたり)   (2023/10/17 21:42:08)

おしらせ> パイン ◆WXHQJsLBBPFvさんが入室しました♪  (2023/10/17 21:43:03)

雷電将軍> わっ…そ、そうですねまだまだ週の前半と考えると…(独り言を聞かれていたのが恥ずかしくて少し慌てつつもやってきた客人に手を振って)   (2023/10/17 21:43:20)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/10/17 21:44:29)

結月ゆかり> (すすす～。と上からの階段降りてきて、扉の影から目を向けてみる。!   (2023/10/17 21:44:53)

雷電将軍> わわ、どんどん増え…ますねっ！   (2023/10/17 21:44:59)

パイン ◆> ほんとですにゃ〜、タイムマシンを使って週末までワープしたくなりますにゃねぇ…。それはそうと……こんばんはですにゃ〜♪（さりげなーくお部屋のソファーに座っていたらしく何食わぬ顔で話に混ざろうとして）   (2023/10/17 21:46:54)

東雲絵名> 水曜日を超えたら少しは気が楽になるんだけどねー。今週はまだ過ごしやすいからまだいいけど、これから寒くなるのもちょっと憂鬱だし…。(和服って尚更寒そう、とか考えながら雷電さんの服装を眺めて。)>雷電さん   (2023/10/17 21:48:20)

雷電将軍> …！、いつの間に…？(目を白黒させながらいつの間にかソファーに座っていたお客様に頭を下げて)   (2023/10/17 21:48:27)

おしらせ> 東北きりたんさんが入室しました♪  (2023/10/17 21:49:11)

雷電将軍> そうですね…これから寒さもさらに増して来ますし防寒対策はしっかりしないと…(彼女の視線を感じれば「…この格好も割と涼しいです」と)>絵名   (2023/10/17 21:50:04)

雷電将軍> 扉の影からも気配を感じますしさらに増えました、に、にぎやか…。   (2023/10/17 21:50:23)

東北きりたん> とぉっ。しゅたたた(すたたたと室内に入ってきて)   (2023/10/17 21:50:23)

結月ゆかり> すごい集まり方、ですね(ころん。とソファに腰かけ。そのまま様子を見て   (2023/10/17 21:51:16)

東雲絵名> そんな忍者みたいな現れ方しなくても…。あと視線がちょっと怖いからね？(扉の影なら中を覗いて来るゆかりちゃんをじとーっと見つめ。)>ゆかりちゃん   (2023/10/17 21:51:21)

雷電将軍> (お目目ぐるぐる将軍)   (2023/10/17 21:51:46)

結月ゆかり> 怖かったですかね……？ともあれ、皆さんこんばんは…♪(ふりふりと手を振りつつ。一気に人数増えましたね…って言う同感の眼差し   (2023/10/17 21:53:41)

パイン ◆> うにゃぁ、目が回りますにゃ〜……。ごめんなさいっ、人数が増えてきたのでパイにゃんはこの場をお譲りしますにゃ〜。挨拶できなかった人たちはごめんなさいっ！また会いましょうにゃっ♪   (2023/10/17 21:53:43)

おしらせ> パイン ◆WXHQJsLBBPFvさんが退室しました。  (2023/10/17 21:53:51)

雷電将軍> お、お疲れ様でした！またの機会に…！   (2023/10/17 21:54:52)

雷電将軍> 今夜も賑やかで嬉しいです、こういうのは久しぶりで……。   (2023/10/17 21:55:11)

東雲絵名> ほんとにそう…！金曜日の夜までタイムスリップ出来たらいいのに…あ、お疲れ様。また話そうね？>パインちゃん   (2023/10/17 21:55:47)

東雲絵名> きりたんちゃんは初めまして、だよね。私は東雲絵名です、よろしくね？(人の多さで目を回しつつ自己紹介をしてみたり。)>きりたんちゃん   (2023/10/17 21:58:14)

雷電将軍> ようやく落ち着きました…では私は……(どこから用意したのか毛布を準備。膝にかけてはヌクヌクと体が温まります。)   (2023/10/17 22:01:23)

東北きりたん> はじめましてですね、よろしくお願いします(ぺこり)   (2023/10/17 22:03:11)

東雲絵名> ホラー映画の導入シーンみたいな迫力があったし。(ホラー系は苦手なので少しむむっと。)>ゆかりちゃん   (2023/10/17 22:06:41)

東北きりたん> 2週間くらい前まで暑かったのに、そろそろこたつが欲しいです…(ごろごろごろ   (2023/10/17 22:07:34)

結月ゆかり> そんな迫力ありました、か……？(こて。と首傾げて。そのまま頬をつっついて。   (2023/10/17 22:07:38)

雷電将軍> コタツに入ってしまうと…もう身動きが取れなくなってしまいますねー…(膝掛けのおかげで暖かい、堕落のこたつへの誘惑に抗います)   (2023/10/17 22:09:23)

雷電将軍> ぐう…人が多くて嬉しいですがそろそろ寝なくてはいけないというこの複雑な…(頭を抱えてげんなりと萎えてしまった表情)   (2023/10/17 22:11:27)

東雲絵名> その毛布暖かそう…もう既に防寒対策はバッチリ、だね。私もコタツがあったら動けなくなりそう…(雷電さんの隣に座ると膝掛けをぐいぐい、と。)>雷電さん   (2023/10/17 22:11:43)

雷電将軍> ですね…おかげで朝は布団からなかなか出る事ができません(とほほ。ぐいぐいと毛布が引っ張られてる事に気が付けば彼女の膝に移動させます)>絵名   (2023/10/17 22:13:46)

雷電将軍> 私はそろそろお休みするとします！皆さん寒さに気をつけてくださいね！   (2023/10/17 22:14:02)

おしらせ> 雷電将軍さんが退室しました。  (2023/10/17 22:14:04)

東雲絵名> 今年は夏が長かったもんね。温度差が激しすぎて風邪ひいちゃいそう…(はぁ、とため息)>きりたんちゃん   (2023/10/17 22:14:10)

東北きりたん> 風邪ひかないように気をつけないとですね…(こくこく)   (2023/10/17 22:16:50)

東雲絵名> あったと思う。多分私一人だったら悲鳴上げて逃げてたかも…(頬を突かれると少し照れてしまったり)>ゆかりちゃん   (2023/10/17 22:18:10)

東雲絵名> 雷電さんもおやすみ…！また会ったらよろしくね(膝掛けを貰うと、ご満悦な様子で手を振って見送り)>雷電さん   (2023/10/17 22:20:42)

結月ゆかり> 悲鳴あげて……？そんな、でしたか？(照れる様子もなぜだか可愛らしく写り。そのまま頬を撫でてあげて   (2023/10/17 22:22:00)

東北きりたん> さて、そろそろ眠くなってきましたし私も寝ときましょう…(うとうと)あとはお二人で仲良くです   (2023/10/17 22:22:18)

おしらせ> 東北きりたんさんが退室しました。  (2023/10/17 22:22:21)

結月ゆかり>  おやすみなさい、きりたん。   (2023/10/17 22:24:51)

東雲絵名> 私もそろそろ眠くなって来たし帰ろっかな。…と思ったけど、丁度ゆかりちゃんと二人きりみたいだし。良かったら、添い寝…お願いしたいんだけど(眠気で少し潤んだ目で見つめてみたり。)>ゆかりちゃん   (2023/10/17 22:26:01)

東雲絵名> きりたんちゃんもお疲れ様。ゆっくり休んでね？>きりたんちゃん   (2023/10/17 22:27:00)

東雲絵名> やっぱり私ってレス遅いなぁ…。もうちょっと早く打てるように頑張らないと…！   (2023/10/17 22:28:19)

結月ゆかり> 添い寝…ですか？もちろん、良いですよ？(そのまま首を傾げて。腕を広げてとんとん。   (2023/10/17 22:28:41)

東雲絵名> えっと…ゆかりちゃんが良かったら一緒にお部屋とか行きたいなーって…(少しだけ恥ずかしそうに、ぼそぼそ、と)   (2023/10/17 22:34:07)

結月ゆかり> 非公開でも大丈夫、でしたか…？それで良ければ、お部屋、ご用意したので…(そのまま、頭をなでなで、としつつ。様子を伺い   (2023/10/17 22:35:49)

東雲絵名> 実は、私鍵持ってないの。せっかく作って貰ったのに…ほんとにごめん。今度は私が作るからちょっと待ってて？(言い忘れてた、とわたわた慌てて)   (2023/10/17 22:39:40)

結月ゆかり> あ、それならえなさんが作った部屋に合流させていただきます、ね？(慌てず、とそのままなでなで   (2023/10/17 22:40:37)

東雲絵名> 【ありがと、合流出来たみたいだしこっちは落ちるね？】   (2023/10/17 22:42:35)

おしらせ> 東雲絵名さんが退室しました。  (2023/10/17 22:42:39)

おしらせ> 結月ゆかりさんが退室しました。  (2023/10/17 22:42:48)

おしらせ> 土岐綾乃さんが入室しました♪  (2023/10/17 23:25:31)

土岐綾乃> …よいしょ。疲れ具合は既に金曜日なんだけどさ…カレンダー見てびっくり。……まだ火曜なんだって、ふ…っ……はぁー……。(ソファの端に緩々と着地…ぼふん。勢い崩れる様に座り込んだ為にそれなりの音を立てて吸い込まれる体、跳ね返るスプリング利用してブランケットをささっ…巻き付けて再度、ソファに着地。……ぁー、カレンダー見なきゃ良かったかな〜…寝る前に見なきゃ良かったかな〜…なんて遠い目で膝抱えて。)
  (2023/10/17 23:32:55)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/10/17 23:43:09)

後藤ひとり> 火曜日がなんやかんやでしんどい…というか月曜日が強すぎるって感じがしますよね……水曜日が来ると折り返しで頑張ろうって思えるんですが……(私も実は気持ちは水曜か木曜日位でした……と気だるそうに3階から1階へと……少しお邪魔しますね……とソファに座って会釈)
  (2023/10/17 23:44:41)

土岐綾乃> 月曜日はマジかぁ〜…って感じするよねー。あたしも月曜日の感覚は未だに無理ー、ってか慣れる人居たら秘訣とか聞きたいな。…本当はさ、好不調の波とか曜日毎に気分が上下する癖を治して一定のラインで保てるように出来たら良いんだけどー…それが出来たら苦労してない、ってね。(足取り雰囲気、重々しそうな彼女に手をふらり振って…"いらっしゃーい。"なんて返しつつ…足を下ろして)
  (2023/10/17 23:56:07)

後藤ひとり> これから長い平日が始まる……って思うと憂鬱ですね……慣れるコツ……私もそんなのがあれば教えて欲しいです……私も不安定ですよそれは………金曜日が1番テンション上がります……あ、初めまして……後藤ひとりです……(お辞儀しつつも初めましての人に軽く自己紹介……)
  (2023/10/18 00:00:37)

おしらせ> 後藤きしょさんが入室しました♪  (2023/10/18 00:01:57)

おしらせ> 後藤きしょさんが退室しました。  (2023/10/18 00:02:09)

おしらせ> 無言時間が25分を超えたため、土岐綾乃さんが自動退室しました。  (2023/10/18 00:21:09)

おしらせ> 後藤きしょさんが入室しました♪  (2023/10/18 00:29:31)

おしらせ> 後藤きしょさんが退室しました。  (2023/10/18 00:29:42)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/10/18 00:46:01)

おしらせ> コッコロさんが入室しました♪  (2023/10/18 01:05:55)

コッコロ> 流石に平日のこの時間帯はどなたもいらっしゃらないようですね…少しだけ、お邪魔させて頂きますね？（ぺこりとお辞儀をしてからゆっくりとした足取りで室内へ）   (2023/10/18 01:08:08)

