チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2024年01月30日 07時15分 ～ 2024年02月09日 14時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

甘雨> ぁ、私は今日は大丈夫です。朝は元気な事が多いので…っ（お休み明けで元気いっぱいですよ、って小さくガッツポーズ。ぐ、ぐっ♡――ありがとうございますって微笑んで、ふわ♡）…そうですね…一人より二人。私も、誰かと一緒でいる事が好きです。――だから、モダニアとお会い出来て、とても嬉しいです…♡（朝誰かとお会い出来る事が、そもそも稀ですし…――少し慌ててやんわりと、手を取ってくれる相手の手指。きゅ♡と握り返して、指絡めかえして…）…ううん、大丈夫です。モダニアがいるので、今は、平気です――（有難うございます、って、その手を大事そうに、祈るように口元に運んで…ちゅ♡と。指に口づけて）……？（モダニアは大丈夫ですか？と小首を傾げるそぶり）
  (2024/1/30 07:15:44)

モダニア> そうなんですねっ！朝が元気はとても羨ましいです……わたしは朝は弱い方なので。でもっ！今朝は早起き出来て良かったですっ……！甘雨にも逢えましたっ♡（わたしも頼りない小さな拳を握ると、嬉しそうに上下に振りながら）んっ……♡く、擽ったいですっ……甘雨っ♡でも……心が温かくなります……えへへ♡わたしも……少し寒いです。も…もう少し、甘雨に近付いて良いですか……？♡（指に受け取った柔らかい感触に顔を赤くしながら照れ、艶のある溜息を漏らして。指を絡めて緩く握ると、そっと身体を寄せて正面から控え目に重心を掛けますっ……♡）
  (2024/1/30 07:23:44)

甘雨> そう、なんですか？…（大丈夫…？って少し気遣うような視線。）――はい、モダニアに、お会い出来ました…多分、この瞬間は、きっと二度とない事なんだろう、って、いつも、思ってます。（どちらかが少しボタンを掛け違えただけで。二度と巡り合えないような。…そんな一期一会と。ふふっ、なかよしなかよし♡って握り合った手。上下にふんふん♡）…ぁ、ごめんなさ――……え、と。…はい、どうぞ…♡（大丈夫ですよって、握り合ってた手、ゆるって解いて…いらっしゃいますか？って腕を広げて。…えへへへ♡って、少し気恥しそうにはにかんで）
  (2024/1/30 07:30:48)

モダニア> はいっ！大丈夫ですっ……！甘雨こそ、もう少しゆっくり出来るならちゃんと休んで下さいっ♡わたしもそう思いますっ♡だからこそ……偶然に逢えた事に感謝したいですっ！（両手の細い指を絡めながら、ぎゅ……♡指先からも少し火照る熱を伝えて、緩くにぎにぎ……ですっ♡）あっ……♡お邪魔します……？これは違う気がしますけど……こういう時は、何てお礼を言えば良いのか……♡ありがとうございますっ、甘雨……♡（絡めた指を名残惜しそうに離すと、腕を広げた甘雨の胸に正面からぎゅ……♡っと抱き着き♡胸をぷにっ♡と当てながら緩く擦ると、体温に縋る様に甘えますっ……♡）
  (2024/1/30 07:38:40)

甘雨> ん…っ♡（…やんわりと。モダニアの細い腰に、背中に腕を回して、ぎゅーー…っ♡…お互いの境界がなくなるように。柔らかい胸の膨らみ同士が触れて、潰れて、こすれあう感覚に、少しくすぐったげに吐息を詰まらせて…それでも心地よさげに。頭に髪に、すり♡って頬を寄せて…）…はい、大丈夫です――今、この時間も、ゆっくりしてますから……――ほんとは、少しだけ人肌恋しかったので……モダニアのからだが、温くて、気持ちがいいです……♡（ほう、って、緩んだ吐息。緩くささやいて…好意を伝えるように、髪に触れる頬、ふに…♡すり…♡）
  (2024/1/30 07:43:20)

モダニア> えへへ……♡甘雨も暖かいですっ……♡もっと……欲しくなっちゃいますっ……♡んっ……♡（正面から隙間が無いくらい密着すると、衣服越しに柔らかい胸の形を何度も変えて。双丘を合わせながら、少し身体を揺らすと顔を真っ赤にしながら甘い溜息を、はー…♡っと唇から溢し）わたしも……気持ちいいですっ♡甘雨の体温、とても優しくて……♡もっと下さいっ……♡（背中に手を回してぎゅー……♡っと強く抱き着き、頬を擦りながら太腿も触れ合って脚を絡めたくなってますっ……♡）
  (2024/1/30 07:49:49)

甘雨> …そう、ですね、もっと、もっと♡…って、欲張りに、なっちゃいますね…♡（心地良い時間。人肌の温かさと柔らかさと。ふにゅ♡に…っ♡って少し身じろぎするだけで形を変えて潰しあう胸の膨らみからの甘い刺激に、ん…♡って、淡く甘い吐息。）…ぁ♡（抱き貸されると、ふるっ♡と小さく震えて…何か我慢するみたいに、モダニアの首筋に顔をうずめて…んーーーっ…♡…口をつぐんで、ぎゅー…っ♡ふるふる…♡）
  (2024/1/30 07:54:01)

モダニア> んっ……♡き、気持ちいいですっ……♡甘雨っ……♡（一度、ふにっ♡と形が潰れた胸を離せば、今度は衣服越しに硬くなった先端を探る様に。少しの引っ掛かりを感じると、緩く擦る様に動きながら肩をぴくっ……♡と振るわせてっ）あ……あの、甘雨……♡その……良かったら……少しお部屋に行きたいです……だ、駄目ですかっ？（脚をもじもじと内股で揺らしながら、恥ずかしそうに小声で耳元で囁くと、密着したままで熱い吐息と一緒に言葉にしてっ……♡）
  (2024/1/30 08:00:34)

甘雨> ……ぁっ♡んっっ♡…（弱い先端同士が、すりすり♡って擽りあってしまうと、人肌の温かさより、おなかの奥を疼かせるような甘い疼きの方が少しずつ強くなってきてしまって…ぎゅ、ぅ…♡ってモダニアに回した手に、少し力がこもっちゃって…♡少しだけ、少しだけって、自分に言い訳しながら、自分からも、す、り…♡――その一回だけで、ひくんっ♡って、肩を小さく震わせちゃって…♡）……え？……ぁ…♡……ぇ、と、そう――です、ね……？…えっと、じゃあ、少しだけ……♡（ぽぅ♡って、熱に浮かされたような顔で、こくん、って頷いて…♡ぁ、でも、鍵のかかったお部屋だと、私は入れないですけれど――。大丈夫です？って淡くかしげる小首）
  (2024/1/30 08:06:13)

モダニア> ふぁ……♡んんっ……♡きゃ……ぅ♡（衣服越しに丘の先端の尖りが擦り合うと、涙目で肩を跳ねさせて少し顎を上げてしまうと恥ずかしそうに顔を真っ赤にしながら……♡）はいっ……♡甘雨が無理しない程度に……少しだけ一緒に居たいですっ♡お部屋を立てますっ……♡行きましょう……えへへ♡（鍵は大丈夫ですっ……♡と頷きながら、絡めた指をぎゅ……♡誘う様に引っ張ればお部屋から出ますっ……♡お待ちしてますっ♡）
  (2024/1/30 08:11:08)

おしらせ> モダニアさんが退室しました。  (2024/1/30 08:11:45)

甘雨> ……ぁ、えっと、そんなに無理は、してません、ので…っ（びく。なんだかさっきからすごく気遣われてる気がします…！大丈夫朝は夜と違って元気です…！……ともあれ、ともあれ。きゅ♡って絡めあった手指、ひかれれば、こくん、って頷きを返して――てててて……っ）  
(2024/1/30 08:13:14)

おしらせ> 甘雨さんが退室しました。  (2024/1/30 08:13:16)

おしらせ> 暁美ほむらさんが入室しました♪  (2024/1/30 19:52:16)

暁美ほむら> ....（静かにソファに座っては寛いで...）   (2024/1/30 19:52:32)

暁美ほむら> 誰も来ない...（呟いては読書を始めて...）   (2024/1/30 20:12:13)

おしらせ> 後藤ひとりさんが入室しました♪  (2024/1/30 20:27:32)

後藤ひとり> お、お邪魔します……(こそこそ)   (2024/1/30 20:27:41)

暁美ほむら> ....（本から目線を移して）こんばんは....（本を閉じては挨拶を...）   (2024/1/30 20:28:28)

後藤ひとり> は、はい……誰もいないから来ちゃいました……   (2024/1/30 20:31:36)

暁美ほむら> ....（...）独り言を聞かれてたのね...（一息ついては手招きをして）   (2024/1/30 20:32:09)

後藤ひとり> あ、いや……さっきも見てたんですけどご飯だったから……まだ居たら来ようかと……(そばに近寄って)   (2024/1/30 20:33:40)

暁美ほむら> そう...、、どうぞ？（ソファにスペースを開けては隣へ、と催促して）   (2024/1/30 20:34:53)

後藤ひとり> は、はい……久しぶりな気がしますね……会うのは……(隣に腰かけて)   (2024/1/30 20:37:43)

暁美ほむら> そうね...相変わらずそうでなによりだわ...（ふふ、と微笑んでは...）   (2024/1/30 20:38:20)

後藤ひとり> は、はい……！ほむらさんも元気でしたか？……(首を傾げて)   (2024/1/30 20:41:25)

暁美ほむら> えぇ、見ての通りよ（相手の反応に楽しそうに答えて...）、、、相変わらず猫背ね...（ふむ   (2024/1/30 20:43:32)

後藤ひとり> み、見ての通り……た、確かに何ともなさそうです……(じーっと見つめて)あ、そ、そうですか……？(しゃき)   (2024/1/30 20:48:27)

暁美ほむら> フフ...ええ、お陰様で元気よ...（見つめられてはクスッと...）、、、急に大きくなったわ（座高が物理的に上がって見上げては驚いて...）   (2024/1/30 20:50:36)

後藤ひとり> 良かったです……あ、いや特別背が大きいというわけでもないんですけどね……一応高校生なので……(ほんの少し得意げに)   (2024/1/30 20:54:28)

暁美ほむら> 日頃猫背のせいで小柄な感じになってたのね...（ぅ...）何も変わってないのに何故か圧迫感が出てくるわね...（体格的に負けてる、と感じては少し身震いして...）   (2024/1/30 20:56:54)

後藤ひとり> そういうものなのでしょうか…そこまで大柄では無いのですが……(そ、そんなに怯えられるとこちらも困った顔を浮かべて)   (2024/1/30 20:58:51)

暁美ほむら> .........（、、、、）身長は変わらないはずなのに...不思議ね（ううむ...とどこが違うのかと首を傾げて）   (2024/1/30 21:01:16)

後藤ひとり> ど、どうなんでしょうかね……(目を逸らしながら……)わ、分からないです……   (2024/1/30 21:03:47)

暁美ほむら> ......（唐突に抱きしめてみて...）   (2024/1/30 21:04:15)

後藤ひとり> あわわ……(胸元に抱き寄せてよしよしと…)   (2024/1/30 21:06:24)

暁美ほむら> ......コレか（違う部分に気がついては...）...後藤さんは妹さんがいるって話だったわね...（少し離れては質問を...）   (2024/1/30 21:08:09)

後藤ひとり> ……なんのことでしょう……(うぅ…)は、はい…5歳の妹がひとり居ますね……(こくん……)   (2024/1/30 21:09:50)

暁美ほむら> 見かけによらずしっかりお姉ちゃんなのね...（顔に出てないが驚いてる...）   (2024/1/30 21:11:06)

後藤ひとり> 見かけによらず！？……まぁその……妹の方がしっかりしてることもありますけど……(がーん)   (2024/1/30 21:15:39)

暁美ほむら> そこはショック受けるのね...（申し訳なさそうに頭を撫でて...）   (2024/1/30 21:16:25)

後藤ひとり> あ、いや大丈夫ですよ……(気にしないでと抱きついて)   (2024/1/30 21:21:37)

暁美ほむら> .....そう、、、暖かいわね...（抱きしめ返しては...思った以上に安心してしまい、つい甘えて...）   (2024/1/30 21:24:07)

後藤ひとり> は、はい……ポカポカですか？…ならよかったです……(頭を摩ってあげて)   (2024/1/30 21:29:10)

暁美ほむら> ...えぇ、、しばらくこうしていたくなるわ...（背中に手を回しては抱き寄せてみて...）   (2024/1/30 21:31:59)

後藤ひとり> しばらくこうしてていいですよ…(胸元に埋めさせてよしよしと)   (2024/1/30 21:37:05)

暁美ほむら> ......（胸元に埋められて仕舞えば、喋られなくなって...）   (2024/1/30 21:38:21)

後藤ひとり> あ、えっと大丈夫ですか……！？(慌てて離して)   (2024/1/30 21:43:41)

暁美ほむら> ....ちょっと幸せだったわ（素直な感想を...）   (2024/1/30 21:44:26)

後藤ひとり> そ、そうですか……喜んでくれたなら何よりです……(モジモジしながら顔を赤らめて)   (2024/1/30 21:50:15)

暁美ほむら> ....（相手の様子を眺めては...）そうね、何かお返しをした方がいいかしら...（ふむ   (2024/1/30 21:51:24)

後藤ひとり> あ、な、なんでもいいですよ……(わくわく)   (2024/1/30 21:52:38)

暁美ほむら> そう？...なら、、（少し離れては膝を叩いて）膝枕なんてどうかしら？（と提案してみて）   (2024/1/30 21:53:36)

後藤ひとり> いいですね……(膝に頭を乗せて…)   (2024/1/30 21:55:04)

暁美ほむら> ...気に入ってもらえそうかしら...?（のせられた頭を撫でては聞いてみて...）   (2024/1/30 21:56:12)

後藤ひとり> は、はい……嬉しいです……！(撫でられるとご機嫌そうに声を出して)   (2024/1/30 21:59:17)

暁美ほむら> それは良かった...（むにむに、と頬を撫で回してみて...）   (2024/1/30 22:00:42)

後藤ひとり> んうっ……(少し眠たくなったのかぽやぽや…)   (2024/1/30 22:04:33)

暁美ほむら> .....（自分も少し眠たくなれば静かに、、、お腹を撫でて...）   (2024/1/30 22:05:15)

後藤ひとり> あうっ……(くすぐったそうにぴく)   (2024/1/30 22:08:59)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2024/1/30 22:35:42)

おしらせ> 無言時間が25分を超えたため、暁美ほむらさんが自動退室しました。  (2024/1/30 22:35:42)

おしらせ> 暁美ほむらさんが入室しました♪  (2024/1/31 21:35:44)

暁美ほむら> ......（部屋のソファに座っては待機を...）   (2024/1/31 21:36:00)

暁美ほむら> やっぱり誰も来ないわね...（本を開いては読書を開始して...）   (2024/1/31 21:59:15)

