チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2025年06月02日 01時30分 ～ 2025年07月23日 00時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

マツリ> ん～…なんかもう動くのだるいっす…（目も開けられない状態…）   (6/2 01:30:15)

東風谷早苗 ◆> ここで転がって寝てしまうんです？（毛布でも掛けちゃいましょうかー）   (6/2 01:32:08)

マツリ> そうするッス～…（ふにゃ～）   (6/2 01:33:16)

東風谷早苗 ◆> お休みなさいですねー（毛布かけなでなでなで）   (6/2 01:34:03)

マツリ> おやすみなさいッス～…毛布ありがと～…♡（撫でられてますます眠りに落ちて）   (6/2 01:35:04)

東風谷早苗 ◆> ……しっかり休んでくださいね（ぽんぽんと寝たのを撫でて）   (6/2 01:38:32)

おしらせ> マツリさんが退室しました。  (6/2 01:39:18)

おしらせ> 東風谷早苗 ◆TOHoPro.3Ngmさんが退室しました。  (6/2 01:39:29)

おしらせ> 浦和ハナコさんが入室しました♪  (6/3 13:24:16)

浦和ハナコ> んん……お昼も過ぎましたし、後はシスターフッドのお手伝いをすれば、一先ず落ち着けそうです……♡（両手を組んで背伸びをして、やっと一息つけた様子）   (6/3 13:26:23)

おしらせ> 無言時間が25分を超えたため、浦和ハナコさんが自動退室しました。  (6/3 13:51:29)

おしらせ> 藤原妹紅さんが入室しました♪  (6/3 20:53:57)

藤原妹紅> 誰か来るまでダラダラしてるかな...（ソファでグダダラ...）   (6/3 20:54:30)

藤原妹紅> .....平日だしだらも来ないかな（うむ...)   (6/3 21:22:49)

おしらせ> 無言時間が25分を超えたため、藤原妹紅さんが自動退室しました。  (6/3 21:50:45)

おしらせ> 浦和ハナコさんが入室しました♪  (6/3 23:44:49)

浦和ハナコ> うぅ、急な召集に出てしまいました……もう少し放置すれば良かったです……   (6/3 23:45:45)

おしらせ> 新条アカネさんが入室しました♪  (6/4 00:16:25)

新条アカネ> こんばんは。まだ居るかな？(じーっ)   (6/4 00:16:39)

浦和ハナコ> あら、こんばんはっ♡（手を振り）   (6/4 00:18:10)

新条アカネ> あ、起きてた。なんだか大変そうだね……？お仕事   (6/4 00:18:27)

浦和ハナコ> 今もシャーレの、連邦生徒会のお仕事を手伝っていますからそれなりに♡……アカネさんはこの間ぶりのアカネさんですか？   (6/4 00:19:39)

新条アカネ> しゃーれってのはわかんないけど生徒会って忙しいイメージかな。うん、複数でした時の私。ハナコもこの前のハナコかな？   (6/4 00:21:30)

浦和ハナコ> はい、複数でした時の私です♡   (6/4 00:22:54)

新条アカネ> 良かった。あの時は楽しかったよね♡   (6/4 00:24:48)

浦和ハナコ> まとめて抱かれるという経験はなかなかありませんからね♡   (6/4 00:26:29)

新条アカネ> うん♡ちょっとパンク仕掛けたけど……もっと時間取れてれば沢山出来てたんだけどね♡   (6/4 00:28:32)

浦和ハナコ> あの日は私が急な案件で離脱しちゃったのもありますし…リベンジしたいところですね♡   (6/4 00:29:04)

新条アカネ> やっぱりガッツリ時間をとるってなると休日じゃないと厳しいよね♡   (6/4 00:31:00)

浦和ハナコ> そうですねぇ、私が今は休みがない状態ですので、なかなか難しくなりますが……♡   (6/4 00:33:10)

新条アカネ> え、休みないってヤバくない……？   (6/4 00:33:34)

おしらせ> 星熊勇儀さんが入室しました♪  (6/4 00:33:53)

