/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2022年10月22日 19時30分 ～ 2022年10月28日 15時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クライド♂勇者> 【強かった、勝てると思ってました笑】   (2022/10/22 19:30:47)

メア♀サキュバス> 【途中けっこうヒヤヒヤしたけどなんだかんだで私の勝ちだね♪】   (2022/10/22 19:30:55)

クライド♂勇者> 【後半一気にｗ　お上手で興奮しました。負けたら言うこと聞くとかなんですか？】   (2022/10/22 19:31:30)

メア♀サキュバス> 【まあ一応そうなってるかな？】   (2022/10/22 19:33:04)

クライド♂勇者> 【メアさんがよければこの後もいかがですか？】   (2022/10/22 19:33:33)

メア♀サキュバス> 【2ショットで続きとかやったりとか。でもそろそろご飯時だからまた後ででもいい？】   (2022/10/22 19:33:50)

クライド♂勇者> 【勿論大丈夫です!】   (2022/10/22 19:34:02)

メア♀サキュバス> 【了解。それじゃご飯食べて9時半くらいに。ここの雑談部屋ってとこあるからそっち集合でどう？】   (2022/10/22 19:34:55)

クライド♂勇者> 【わかりました、是非お願いします!】   (2022/10/22 19:36:14)

メア♀サキュバス> 【はーい、それじゃまた後でよろしくね】   (2022/10/22 19:36:46)

クライド♂勇者> 【はい、ありがとうございました!】   (2022/10/22 19:36:59)

おしらせ> メア♀サキュバスさんが退室しました。  (2022/10/22 19:37:26)

おしらせ> クライド♂勇者さんが退室しました。  (2022/10/22 19:37:32)

おしらせ> ウィル♂勇者さんが入室しました♪  (2022/10/22 21:02:39)

ウィル♂勇者> 【こんばんは、お邪魔します。場所説明の待機文…準備してたら長くなりましたが投下しますね。要はダンジョン内部の設定です。NGは猟奇系とスカトロ系になります】   (2022/10/22 21:04:13)

ウィル♂勇者> （異形の大型モンスターが徘徊する辺境に存在するダンション深部を突き進み、凶悪なモンスターとの死闘を終え、魔界からの世界への侵食を阻止したが…だからと言って、即、街に戻れる訳でもない）…ミノタウロスが魔法を使うんなんて反則…悪魔侯とか言ってた気もしますけどね（きっと敵が自分を強く思わせる為の策謀だろうと気にもしなかったが、返り血などでベタベタするのは気持ちが悪い。そんな風にダンション内の浅い階層を地上に向かって進んでいると…ふと違和感を覚え、壁を調べてみた。すると隠し扉が…その扉の奥に足を踏み入れ暫く進むと、新鮮な水場が現れる。これは幸運だと、鞘に収まった剣を兼帯から外し、青い麻のシャツに同色のズボン、ブーツやマントも外す。引き締まった筋肉の上に薄っすらと脂肪が乗った細身、黄色系の肌理の細かな肌を露にし…身に着けるのは体にフィットしている白い肌着だけ。一応は警戒にと剣の鞘だけにしか見えない武器を右手で持ち、壺を持った女性像から新鮮な水が溢れ出し続け、石造りの小さな人工池に流れているが不思議と溢れる事のない、その水場近くでしゃがむ。そしてタオルを濡らし、少し冷たかったが体を拭き身を清めた）
  (2022/10/22 21:05:39)

ウィル♂勇者> 【実際のロルは、もっと短くても大丈夫です】   (2022/10/22 21:06:34)

ウィル♂勇者> 【では、これで…お邪魔しました】   (2022/10/22 22:06:12)

おしらせ> ウィル♂勇者さんが退室しました。  (2022/10/22 22:06:17)

おしらせ> ルナ♀サキュバスさんが入室しました♪  (2022/10/23 10:14:47)

ルナ♀サキュバス> 【誰かしませんか？】   (2022/10/23 10:24:00)

おしらせ> ルナ♀サキュバスさんが退室しました。  (2022/10/23 10:30:54)

おしらせ> クライド♂勇者さんが入室しました♪  (2022/10/23 12:55:00)

クライド♂勇者> 【少し待機してみるな】   (2022/10/23 13:04:41)

おしらせ> 無言時間が25分を超えたため、クライド♂勇者さんが自動退室しました。  (2022/10/23 13:30:15)

おしらせ> ハルク♂勇者さんが入室しました♪  (2022/10/23 13:44:27)

ハルク♂勇者> 【こんにちは、お邪魔します。しばらく待機しています～】   (2022/10/23 13:45:42)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2022/10/23 15:09:06)

おしらせ> スモモ♂勇者さんが入室しました♪  (2022/10/23 20:30:54)

スモモ♂勇者> 【お相手募集、待機ですー】   (2022/10/23 20:31:15)

スモモ♂勇者> 【ちょっと早いけど撤収！】   (2022/10/23 20:38:35)

