/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2023年09月29日 00時36分 ～ 2023年10月14日 09時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ロニエ♀サキュバス> 【こんばんは、お邪魔してもよろしいでしょうか？】   (2023/9/29 00:36:30)

おしらせ> ロニエ♀サキュバスさんが退室しました。  (2023/9/29 00:42:13)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/9/29 00:50:15)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/9/29 00:50:30)

ハルク♂勇者> 【大変失礼しました……】   (2023/9/29 00:50:57)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/9/29 02:23:03)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/9/30 01:19:30)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/9/30 01:59:29)

おしらせ> ソウマ♂勇者さんが入室しました♪  (2023/9/30 08:52:03)

おしらせ> 無言時間が25分を超えたため、ソウマ♂勇者さんが自動退室しました。  (2023/9/30 09:17:35)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/9/30 09:29:20)

おしらせ> ハルク♂勇者さんが退室しました。  (2023/9/30 10:09:27)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/9/30 19:55:31)

おしらせ> あい♀サキュバスさんが入室しました♪  (2023/9/30 20:17:50)

あい♀サキュバス> こんばんは   (2023/9/30 20:18:05)

おしらせ> あい♀サキュバスさんが退室しました。  (2023/9/30 20:19:08)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/9/30 20:20:43)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/9/30 20:28:37)

おしらせ> ソウマ♂勇者さんが入室しました♪  (2023/9/30 21:45:36)

おしらせ> ハルク♂勇者さんが退室しました。  (2023/9/30 21:46:18)

おしらせ> 無言時間が25分を超えたため、ソウマ♂勇者さんが自動退室しました。  (2023/9/30 22:10:45)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/1 00:09:25)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/1 02:44:06)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/3 23:05:54)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/4 00:44:24)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/4 21:53:22)

おしらせ> ロイド♂勇者さんが入室しました♪  (2023/10/4 23:02:15)

おしらせ> 無言時間が25分を超えたため、ロイド♂勇者さんが自動退室しました。  (2023/10/4 23:27:19)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/5 00:27:17)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/5 22:14:26)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/5 23:48:12)

おしらせ> ロイド♂勇者さんが入室しました♪  (2023/10/5 23:52:05)

おしらせ> 無言時間が25分を超えたため、ロイド♂勇者さんが自動退室しました。  (2023/10/6 00:17:12)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/6 22:26:33)

おしらせ> アリア♀サキュバスさんが入室しました♪  (2023/10/6 22:42:19)

アリア♀サキュバス> こんばんは   (2023/10/6 22:45:01)

ハルク♂勇者> 【こんばんは〜】   (2023/10/6 22:45:19)

アリア♀サキュバス> 【こんばんはー】   (2023/10/6 22:45:34)

アリア♀サキュバス> 【不慣れですがよろしくお願いします】   (2023/10/6 22:47:07)

ハルク♂勇者> 【こちらこそよろしくお願いします。シチュエーションはどうしましょうか】   (2023/10/6 22:48:47)

アリア♀サキュバス> 【あんまり分からないので合わせます】   (2023/10/6 22:49:06)

アリア♀サキュバス> 【ごめんなさい、決めづらいですよね】   (2023/10/6 22:55:10)

アリア♀サキュバス> 【一緒に考えましょうか？】   (2023/10/6 22:55:20)

おしらせ> アリア♀サキュバスさんが退室しました。  (2023/10/6 23:02:01)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/6 23:22:14)

おしらせ> ロイド♂勇者さんが入室しました♪  (2023/10/7 00:18:37)

おしらせ> 無言時間が25分を超えたため、ロイド♂勇者さんが自動退室しました。  (2023/10/7 00:44:22)

おしらせ> ロイド♂勇者さんが入室しました♪  (2023/10/7 00:44:43)

おしらせ> 無言時間が25分を超えたため、ロイド♂勇者さんが自動退室しました。  (2023/10/7 01:09:54)

おしらせ> メア♀サキュバスさんが入室しました♪  (2023/10/7 14:34:30)

メア♀サキュバス> 【こっちの設定は背は160cmくらいで胸はC、黒髪のサイドポニーに服装は黒の軍服で。とりあえず待機】   (2023/10/7 14:35:18)

おしらせ> ルーク♂勇者さんが入室しました♪  (2023/10/7 14:44:23)

ルーク♂勇者> 【こんにちは。金髪、癖毛の175cm勇者です。緑のローブを身につけてます。よろしくお願いします。】   (2023/10/7 14:45:02)

メア♀サキュバス> 【こんにちは、よろしくね】   (2023/10/7 14:45:13)

メア♀サキュバス> 【それじゃ書き出しどっちやる？】   (2023/10/7 14:45:54)

ルーク♂勇者> 【よければお願いしてもいいですか？】   (2023/10/7 14:46:23)

メア♀サキュバス> 【ん、了解。場面設定希望ある？】   (2023/10/7 14:46:48)

ルーク♂勇者> 【とくには大丈夫です！】   (2023/10/7 14:47:22)

メア♀サキュバス> 了解、じゃあいい感じにってことで   (2023/10/7 14:47:40)

ルーク♂勇者> 【はい！】   (2023/10/7 14:47:49)

メア♀サキュバス> 【それじゃ書いてくる】   (2023/10/7 14:47:58)

