/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月10日 22時56分 ～ 2024年10月11日 12時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 【おっけーです】   (2024/10/10 22:56:03)

エロガキ♂19b ◆> 千尋ちゃんも、今から気持ちいいことするから楽しみにしてなよ～♡   (2024/10/10 22:56:26)

不二咲千尋> （１９が弄るアンリの糸の引いたオマンコ見て、赤面が深まる）   (2024/10/10 22:56:27)

不二咲千尋> う、うぅ…アンリさんに酷い事しないでー💦   (2024/10/10 22:56:53)

エロガキ♂19b ◆> むしろ今から千尋ちゃんがアンリちゃんに酷い子とするかも～？♡   (2024/10/10 22:57:54)

不二咲千尋> ええ、ぼ、僕が！？（ハラハラ）   (2024/10/10 22:58:13)

帝襟アンリ> ふぅっ…んんっ…！♡（乳首の愛撫と手マンで太ももに愛液が伝って…）千尋ちゃん…寝て…？千尋ちゃん、ごめんね…（仕方なく千尋を横にすると、ショーツをずらしながら、股間に跨って膣口に千尋のチンポをあてがうと、ゆっくりと腰を下ろしていく…）っ…！♡  
(2024/10/10 22:58:25)

エロガキ♂19b ◆> 千尋ちゃん♡童貞卒業おめでとう♡そのまま即イキしちゃえ♡(耳元で囁き息を吹き掛け)   (2024/10/10 22:59:40)

不二咲千尋> ね、寝るの…うん。（不安そうな顔で寝っ転がる。アンリに対してではなく）ん、ああっ♡そ、そんなこと、女性が…んっ♡（アンリのマンコが自分のクリチンポに刺さると、気持ち良さを感じるけど、アンリの事が心配で）   (2024/10/10
23:00:07)

不二咲千尋> ひぁぁんっ♡今それは駄目っんっ♡（嬉しくない卒業言われて何とも言えず、耳への息で股間が破裂しそうになって）   (2024/10/10 23:01:13)

帝襟アンリ> あぁっ♡千尋ちゃん、ごめんねっ…♡千尋ちゃんの初めて…っ…もらっちゃった…っ♡（腰をグリグリ押し付けるように振って…）   (2024/10/10 23:01:43)

エロガキ♂19b ◆> ほら、イケ♡♡中だししちゃえ♡♡アンリちゃんを孕ませろ♡♡(にやにやしながら囁き続けサポートするように乳首をつねり♡)   (2024/10/10 23:01:58)

不二咲千尋> ああっ♡あんっ♡あんっ♡あんりさん、こっちこそ、御免なさいっ♡（アンリが刺さったままで動くと、快感になってしまい）ああ、もう出ちゃうぅっ♡あああんっ♡♡（アンリと繋がったままで達してしまって、オチンポミルクをアンリの中に吐き出してしまう）  
(2024/10/10 23:03:29)

不二咲千尋> いやぁぁ、乳首やめてぇぇ♡（こんな時に抓られると腰が床を跳ねてしまって）   (2024/10/10 23:04:26)

エロガキ♂19b ◆> あは♡その感じからして、中だししちゃったんだぁ♡あーあ、、千尋ちゃんアンリちゃんのこと孕ませちゃったかもねぇ♡♡おっと、、時間もきたしここまでかなぁ♡   (2024/10/10 23:04:51)

帝襟アンリ> あぁっ……！♡（膣内で勢いよく放出されるのを感じて…）   (2024/10/10 23:05:00)

帝襟アンリ> うぅ…ひどい…   (2024/10/10 23:05:38)

不二咲千尋> はぁ…はぁ……（初めての中出しの気持ち良さにぐったりして）あんりさん、御免……   (2024/10/10 23:05:41)

帝襟アンリ> うぅ…千尋ちゃん、こっちもごめんね…   (2024/10/10 23:06:22)

不二咲千尋> （１９の言葉には何も言い返せないぐらいぐったり）   (2024/10/10 23:06:26)

エロガキ♂19b ◆> 2人とも最高だったよ～(2人が繋がっているところの写真をヒラヒラとさせ)これは永久保存だね♡   (2024/10/10 23:06:39)

エロガキ♂15M ◆> にゃはぁ♡いいもの見れて満足だよ♡(しれっと戻ってきて、隠れて見てましたﾃﾍｯ♪)   (2024/10/10 23:06:45)

不二咲千尋> アンリさん、大丈夫…じゃないよね？どうしよう…   (2024/10/10 23:06:53)

帝襟アンリ> ううっ…機会があったら絶対あの2人に復讐するわ…   (2024/10/10 23:07:16)

帝襟アンリ> 私も一旦ここまで…ね。   (2024/10/10 23:07:29)

エロガキ♂19b ◆> でも、アンリちゃんも気持ちよかったでしょー？むしろ感謝して欲しいなぁー♡   (2024/10/10 23:07:40)

不二咲千尋> うん、僕も仕返し…また運悪そうだけど、頑張るから！   (2024/10/10 23:07:45)

帝襟アンリ> じゃあ…。   (2024/10/10 23:08:03)

おしらせ> 帝襟アンリさんが退室しました。  (2024/10/10 23:08:05)

エロガキ♂15M ◆> だよねぇ、この部屋で男の娘の筆下ろしなんてレアイベ引けたんだから感謝してほしいくらい♪   (2024/10/10 23:08:19)

エロガキ♂19b ◆> アンリちゃんお疲れさま～！千尋ちゃんはどうする～？   (2024/10/10 23:08:21)

不二咲千尋> うん、またね。本当に御免ね！   (2024/10/10 23:08:22)

エロガキ♂15M ◆> お疲れさま〜   (2024/10/10 23:08:29)

不二咲千尋> 僕は一回出ようかな？１９と１５はどうするの？（服着ながら）   (2024/10/10 23:08:45)

不二咲千尋> レアイベって…はぁ…   (2024/10/10 23:09:08)

エロガキ♂19b ◆> 千尋ちゃんのこと持って帰っても良いんだけどね～   (2024/10/10 23:09:14)

エロガキ♂15M ◆> まだ離席中の用事が終わってないから…それが終わったらまた行こうかな   (2024/10/10 23:09:21)

不二咲千尋> あ、じゃあ１５を待つ感じで？   (2024/10/10 23:09:37)

エロガキ♂15M ◆> お！お誘いかぁ、いいね♪   (2024/10/10 23:09:38)

不二咲千尋> あれ？あれ？   (2024/10/10 23:09:49)

エロガキ♂15M ◆> ２人でゆっくりするのもいいし、また集まってもいいし！んじゃ、お先に失礼しま〜す   (2024/10/10 23:10:12)

