/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月14日 14時08分 ～ 2024年10月15日 14時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13HL ◆> ふむふむ…新婚…結婚…いいね   (2024/10/14 14:08:10)

エロガキ♂12Ω ◆> 座り仕事は大変だなー。今度オイルマッサージとかするかー。ラミィ姉ちゃん配信お疲れー。(相手労い言葉投げかけつつ逆側も頭傾け肘でごりごり)   (2024/10/14 14:09:40)

愛宕> さて、そろそろお時間ね～♪   (2024/10/14 14:09:53)

エロガキ♂14C ◆> ……前より酔ってなくてもやっぱりそーなるんだね……もー……（がくり、と肩落としつつ一瞬で中身が消えた空き瓶回収しつつ、グラス一杯のお水を差し出し）……せめてこれは飲んで、ね？   (2024/10/14 14:10:09)

エロガキ♂12Ω ◆> 何だかんだで真面目にやってたの俺だけ…？   (2024/10/14 14:10:23)

愛宕> それじゃ、お姉さんは先に行くわね～♪   (2024/10/14 14:10:37)

エロガキ♂14C ◆> 真面目にやろうとした結果がこれだよ！   (2024/10/14 14:10:38)

エロガキ♂12Ω ◆> へーい、んじゃ俺も次の舞台探すわー。みんなまたやろうなー。   (2024/10/14 14:11:05)

エロガキ♂14C ◆> 愛宕おねーさんお疲れ様でしたー。……いやー、あのおねーさん（いい意味で）カオスにしてくよなあ……   (2024/10/14 14:11:12)

おしらせ> 愛宕さんが退室しました。  (2024/10/14 14:11:22)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/14 14:11:29)

エロガキ♂13HL ◆> はーいお疲れ様です〜   (2024/10/14 14:11:34)

雪花ラミィ> ぁい、おつかれさんでしたー…♥……ひっく（ほぼガチ酔い）…お水貰って、部屋撤退するワ…おかしもあんりがとぉ…♥（ひらひら…面目丸潰れエルフは、帰っていきました…）   (2024/10/14 14:11:36)

おしらせ> 雪花ラミィさんが退室しました。  (2024/10/14 14:11:39)

エロガキ♂14C ◆> 12Ωくんありがとねー。折角支援来てくれたのに勝てなくてごめんよー。   (2024/10/14 14:11:43)

エロガキ♂14C ◆> ……それじゃあ僕もこれで。お部屋ありがとうございましたー。   (2024/10/14 14:12:03)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/14 14:12:06)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/14 14:13:13)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが入室しました♪  (2024/10/14 14:23:35)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/14 14:24:13)

おしらせ> クラリスさんが入室しました♪  (2024/10/14 14:24:16)

おしらせ> エロガキ♀13Σさんが入室しました♪  (2024/10/14 14:24:30)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/14 14:25:09)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/14 14:25:18)

エロガキ♀13Σ> １９兄が先だから決めたら……？   (2024/10/14 14:25:40)

エロガキ♂19b ◆> 選んでいいなら今回は胡桃ちゃん～   (2024/10/14 14:26:08)

クラリス> よってたかってもてあそばれるんだ…！   (2024/10/14 14:26:53)

胡桃 ◆> 決まったらサイコロ振っちゃうね〜   (2024/10/14 14:26:58)

エロガキ♂12Ω ◆> 人足りてそうだし俺捌けとくわー。胡桃姉ちゃんの人にお願いあんだけどさー。胡桃姉ちゃんの陰毛ガムテ脱毛で根刮ぎ持ってといてー？   (2024/10/14 14:27:00)

エロガキ♀13Σ> 私……待つ。空いたら入る……   (2024/10/14 14:27:15)

胡桃 ◆> そういうのもいいから！！何言ってるの君は！？   (2024/10/14 14:27:20)

エロガキ♂19b ◆> あ、深夜に行ってたやつね   (2024/10/14 14:27:32)

エロガキ♂12Ω ◆> 昨日の恨みちゃんと覚えてっからなこのやろー。   (2024/10/14 14:27:38)

エロガキ♀13Σ> 陰毛……？   (2024/10/14 14:27:43)

胡桃 ◆> ……私、なにか悪いことしたっけ…？   (2024/10/14 14:27:55)

エロガキ♂12Ω ◆> あいあい、19兄ちゃんよろしこ。俺は天から見物してるわ。   (2024/10/14 14:28:18)

胡桃 ◆> ところで反応のない13HL君はどうしたの？   (2024/10/14 14:29:01)

クラリス> 13くんの霊圧が…   (2024/10/14 14:29:04)

エロガキ♀13Σ> 13HL、クラリスよろしく……（傍で二人見てる）   (2024/10/14 14:29:12)

エロガキ♂19b ◆> 消えた...だと..   (2024/10/14 14:29:24)

エロガキ♀13Σ> 消えた……？   (2024/10/14 14:29:36)

エロガキ♂12Ω ◆> んー？煽っていいのはヤり返される覚悟のやつだけだぜ。何言われたか忘れたけど取り敢えず胡桃姉ちゃんお覚悟。   (2024/10/14 14:29:44)

クラリス> 13ちゃん担当   (2024/10/14 14:29:51)

エロガキ♀13Σ> １　　３　　H　　Lー！   (2024/10/14 14:29:58)

エロガキ♂13HL ◆> 改めて対戦ありがとうございました♪(ぺこり)…いやどうしようかなと…その…んーっ…分かりました…。今回あと入りなんですけど有難く頂きます…(クラリスお姉ちゃんよろしくお願いします…ぺこ)   (2024/10/14 14:30:08)

エロガキ♀13Σ> はい、私担当……   (2024/10/14 14:30:08)

胡桃 ◆> あ、あとでログ見返してくるね…！   (2024/10/14 14:30:14)

エロガキ♀13Σ> まずは、脱いで……クラリス…   (2024/10/14 14:30:31)

クラリス> 復活した！   (2024/10/14 14:30:34)

胡桃 ◆> の、前に！   (2024/10/14 14:30:37)

胡桃 ◆> 振るね！   (2024/10/14 14:30:41)

胡桃 ◆> 10d3+10 → (2 + 2 + 2 + 1 + 1 + 3 + 1 + 1 + 3 + 2) + 10 = 28  (2024/10/14 14:30:44)

エロガキ♂19b ◆> ...下振れ   (2024/10/14 14:30:57)

エロガキ♂13HL ◆> ごめんなさい悩んでました…！   (2024/10/14 14:31:02)

エロガキ♂12Ω ◆> んじゃ皆さん後はごゆっくり。19兄ちゃん、脱毛したのはお土産に頂戴ね   (2024/10/14 14:31:03)

