/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月23日 07時29分 ～ 2024年10月24日 14時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/23 07:29:40)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/23 09:22:20)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/10/23 09:22:29)

エロガキ♂18D ◆> では、時間を振ってください？   (2024/10/23 09:23:13)

シャーロット・レイス ◆> 10d3+10 → (3 + 3 + 1 + 1 + 1 + 2 + 3 + 1 + 2 + 3) + 10 = 30  (2024/10/23 09:23:34)

エロガキ♂18D ◆> 普通でしょうか…53分までですね……   (2024/10/23 09:23:55)

シャーロット・レイス ◆> そうですね。   (2024/10/23 09:24:12)

エロガキ♂18D ◆> では、ちゃちゃっと始めましょうか。下着姿になって貰いましょうか？   (2024/10/23 09:25:10)

シャーロット・レイス ◆> くっ…仕方ないわね。(相手を睨みながら、目の前で服を脱いで下着姿に)これでいいのよね   (2024/10/23 09:26:52)

エロガキ♂18D ◆> えぇ、それでいいですよ？まぁ、ここからスタートみたいなモノですが……(そっと近付き下腹部と胸を優しく揉みながら、耳元に息を吹きかけたりして……)   (2024/10/23 09:28:34)

シャーロット・レイス ◆> 何をする気よ。(少し後退りしするが先に近々れて胸と下腹部を触られて、動きを止めると耳元に息を吹きかけられ)っんん(驚いて跳ねるように)   (2024/10/23 09:30:27)

エロガキ♂18D ◆> そりゃ……勝者に許された事でしょうか……？(下腹部と胸を……特に胸をねっとりと揉みながら、耳にふーっ、ふーっ……と息を吹きかけ)…ここ、ですかね？なんて……   (2024/10/23 09:31:40)

シャーロット・レイス ◆> くっ…(下腹部よりも胸を揉まれて、反応しないようにと思っていると耳にまた吹きかけられて)キャッン…っんん(胸に意識がいってしまっていて、身体を震わせてしまう)   (2024/10/23 09:34:51)

エロガキ♂18D ◆> もしかしてここも弱め、でしょうか…(胸の先っぽをピンピン……と弾きながら、下腹部を触っていた手は胸をまた揉み始め…耳に息を吹きかけたり、かぷっと唇で甘噛みしたりして…)   (2024/10/23 09:36:25)

シャーロット・レイス ◆> 違うわよ。っんん(胸の先端を弾かれて、少し大きな声を荒げてしまって、また下腹部を触られて段々と顔が赤くなってきてしまって)ちょっと…っんん(吹きかけられたり、甘噛されて、思考が段々と追いつかなくなって)   (2024/10/23
09:39:48)

エロガキ♂18D ◆> ほう……では、じっくり聞くことにしましょうか……(乳首をコリコリと弄りながら、下腹部も揉み……耳元で息と甘噛みに加え、水音多めにレロレロ舐め始め……)   (2024/10/23 09:42:19)

シャーロット・レイス ◆> 何を…聞くっんん、っんん(乳首を弄られて、下腹部を揉まれながら身体をよじるように逃げ出そうとするが耳元に息を吹きかけられては、動きは少し止まり)そんな所を舐めるなっん、あっん   (2024/10/23 09:44:17)

