/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月26日 23時14分 ～ 2024年10月28日 14時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

生塩ノア> (誤字ばっかり…ううぅ///!   (2024/10/26 23:14:02)

エロガキ♂14C ◆> さてと、それじゃあ罰も終わったしそろそろ解散だね、……絶対次こそ勝つからね！特に堂主は次こそ泣かせてやるー！！   (2024/10/26 23:14:13)

胡桃 ◆> さて！今日は勝った上にノアさんとも遊べて満足だから…今日は撤退！(誤字してるノアさんの近くによって、頭を軽く撫でて。気にしない気にしない♪)じゃあみんな、また遊んでね〜！   (2024/10/26 23:14:51)

胡桃 ◆> 14C君は本当に…リベンジ頑張ってね……(目逸らし……)   (2024/10/26 23:15:19)

エロガキ♂14C ◆> （手袋投げつけっ）   (2024/10/26 23:15:35)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/26 23:15:40)

生塩ノア> (ちょっと前屈みになって、胡桃さんに頭なでなでされます♪)ではでは…♪私もそろそろ…♪   (2024/10/26 23:15:42)

胡桃 ◆> じゃあみんな、今日はありがと。また会おうね！(お手をぶんぶん振り回して、)   (2024/10/26 23:15:44)

胡桃 ◆> (ひどっ！？)   (2024/10/26 23:15:48)

エロガキ♂17L ◆> では、お先に失礼します。(30°のお辞儀をしてからくるりと踵を返してそのままgameoverの音声とともに消滅して立ち去っていくのであった)   (2024/10/26 23:15:49)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/26 23:15:53)

生塩ノア> ありがとうございました…お邪魔しました♡(みなさんにぺこり)   (2024/10/26 23:16:07)

おしらせ> 生塩ノアさんが退室しました。  (2024/10/26 23:16:15)

胡桃 ◆> はーいっ！皆お疲れさま！(にへ、)   (2024/10/26 23:16:17)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/26 23:16:21)

おしらせ> エロガキ♂15JPさんが入室しました♪  (2024/10/27 07:04:50)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/27 07:05:11)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/10/27 07:05:16)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/27 07:05:26)

エロガキ♂15JP> 最近ずっと負けてる気がするっ！(クッションぽふぽふ)   (2024/10/27 07:05:26)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/27 07:05:41)

キタサンブラック> クラリスさんは、誰に行きたい……とか、何かしたいとかありますか？   (2024/10/27 07:06:03)

エロガキ♂12Ω ◆> 対ありー。くそう、要所要所で貢献したが良い所で決めきれなかった   (2024/10/27 07:06:20)

クラリス ◆> ノープランなんですよね、人数も不揃いですし久々にブラックジャックとか？   (2024/10/27 07:06:46)

エロガキ♂15JP> たいありー。僕も30以上があまり出なかったぁ(むー)   (2024/10/27 07:07:04)

エロガキ♂11T> ブラックジャック？   (2024/10/27 07:07:08)

エロガキ♂12Ω ◆> え、顔ツギハギにせにゃいかんの俺達。   (2024/10/27 07:07:19)

エロガキ♂15JP> トランプゲームだよ〜   (2024/10/27 07:07:36)

クラリス ◆> 2d13ふって擬似トランプ遊びです   (2024/10/27 07:07:37)

キタサンブラック> また、勝ちのアタシたちだけ、追加1～2枚可能ルール～とかですかね？   (2024/10/27 07:08:01)

エロガキ♂12Ω ◆> まぁ雑談部屋でやってたの見たけどね(すっとぼけ)   (2024/10/27 07:08:08)

クラリス ◆> あと先行は2d10とか   (2024/10/27 07:08:26)

エロガキ♂12Ω ◆> ふーむ、それでバーストしたらどうすんの？   (2024/10/27 07:08:42)

エロガキ♂15JP> それでいーとおもう〜！   (2024/10/27 07:08:50)

クラリス ◆> バーストは負けですね   (2024/10/27 07:08:56)

エロガキ♂12Ω ◆> それは分かってんよー。罰の話？   (2024/10/27 07:09:28)

キタサンブラック> ジャパンさんに追加いじめ～もありましたが、まぁ、せっかくですしではハンディキャップブラックジャック……   (2024/10/27 07:09:32)

キタサンブラック> 分かりやすく、アタシたちだけ追加引き1枚でいいかもですね～   (2024/10/27 07:09:48)

