/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月04日 09時25分 ～ 2024年11月04日 17時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

キタサンブラック> 最近、一番最後にオカズにしたのは何？   (2024/11/4 09:25:34)

エロガキ♂１３S ◆> 覚えてません…   (2024/11/4 09:25:57)

キタサンブラック> サイン、コサイン、あと一つは？   (2024/11/4 09:26:00)

エロガキ♂１３S ◆> タンジェント   (2024/11/4 09:26:07)

キタサンブラック> 今何問目？   (2024/11/4 09:26:21)

エロガキ♂１３S ◆> ８問目   (2024/11/4 09:26:43)

キタサンブラック> 一日、何回までならオナニーできる？   (2024/11/4 09:26:44)

エロガキ♂１３S ◆> １回したらお腹いっぱいかな…   (2024/11/4 09:27:10)

キタサンブラック> 一番好きなプレイ体位、どんな体位？   (2024/11/4 09:27:18)

エロガキ♂１３S ◆> やる方としては後乗位ですね…   (2024/11/4 09:28:08)

キタサンブラック> カラオケや歌唱披露、歌うとしたら何を歌う？（タイトルで）   (2024/11/4 09:28:16)

エロガキ♂１３S ◆> 炎のキン肉マンかな…昔のだけど   (2024/11/4 09:29:20)

キタサンブラック> 貴方の趣味はなに？   (2024/11/4 09:29:23)

エロガキ♂１３S ◆> 基本ゲームですね、今はスーパーマリオパーティジャンボリーにはまってます   (2024/11/4 09:29:54)

キタサンブラック> 年下（or同世代）、お姉さん。選ぶならどっち？   (2024/11/4 09:29:59)

エロガキ♂１３S ◆> どちらかというとお姉さんかな   (2024/11/4 09:30:20)

キタサンブラック> ピーチ、デイジー、ロゼッタ、キャサリン　選ぶならだれ？   (2024/11/4 09:30:23)

エロガキ♂１３S ◆> デイジー   (2024/11/4 09:30:32)

キタサンブラック> 選ぶなら、マリオ派？それともそれ以外？   (2024/11/4 09:30:44)

エロガキ♂１３S ◆> 色々ですね、答えになってませんけど   (2024/11/4 09:31:23)

キタサンブラック> 13、14、15……アタシって何歳に見える？   (2024/11/4 09:31:27)

エロガキ♂１３S ◆> １４かな   (2024/11/4 09:31:54)

キタサンブラック> 植物と動物　光合成するのはどっち？   (2024/11/4 09:31:58)

エロガキ♂１３S ◆> 植物かな   (2024/11/4 09:32:19)

キタサンブラック> フェラ、手コキ、パイズリ　受けるならどれ？   (2024/11/4 09:32:23)

エロガキ♂１３S ◆> フェラ   (2024/11/4 09:32:33)

キタサンブラック> 日本の初代総理大臣は誰？   (2024/11/4 09:32:48)

エロガキ♂１３S ◆> 知りません   (2024/11/4 09:33:01)

キタサンブラック> アニメキャラ、Vチューバ―、アイドル　選ぶならだれ？   (2024/11/4 09:33:16)

エロガキ♂１３S ◆> アニメキャラですね   (2024/11/4 09:33:27)

キタサンブラック> ツインテール、ポニーテール、ストレート、ショート　このみな髪型は？   (2024/11/4 09:33:50)

エロガキ♂１３S ◆> ツインテール   (2024/11/4 09:33:58)

キタサンブラック> 金髪、黒髪、茶髪、そのほか　髪の色を選ぶなら？   (2024/11/4 09:34:19)

エロガキ♂１３S ◆> 紫髪   (2024/11/4 09:34:33)

キタサンブラック> RPG　剣で戦う？　魔法で戦う？　守りを固める？   (2024/11/4 09:34:52)

エロガキ♂１３S ◆> 剣です   (2024/11/4 09:35:08)

キタサンブラック> 選ぶなら　RPG？　アクション？　シミュレーション？   (2024/11/4 09:35:27)

エロガキ♂１３S ◆> アクション   (2024/11/4 09:35:35)

キタサンブラック> 即ハメ、前戯、とりあえずトーク　最初の女性にアプローチするなら？   (2024/11/4 09:36:05)

エロガキ♂１３S ◆> とりあえずトークも挟んでますかね   (2024/11/4 09:36:25)

キタサンブラック> 三角形の公式は？   (2024/11/4 09:36:57)

エロガキ♂１３S ◆> 分かりません   (2024/11/4 09:37:14)

キタサンブラック> 円周率っていくつ？   (2024/11/4 09:37:17)

エロガキ♂１３S ◆> 分かりません   (2024/11/4 09:37:48)

キタサンブラック> 勝てていたら、アタシに何するつもりだった？   (2024/11/4 09:37:54)

