/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月06日 23時20分 ～ 2024年11月09日 09時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15M ◆> うっ……うぅ……(横になったまま涙して) こ、今度こそ…今度こそ、勝つからなぁ……！   (2024/11/6 23:20:15)

エロガキ♂15M ◆> 【てなわけでお時間！負けたのは悔しいけど、お相手ありがとう、徐倫お姉さん！】   (2024/11/6 23:20:59)

空条徐倫> それじゃ今度こそまたね…おやすみなさい   (2024/11/6 23:21:12)

おしらせ> 空条徐倫さんが退室しました。  (2024/11/6 23:21:21)

エロガキ♂15M ◆> 【おやすみ〜】   (2024/11/6 23:21:37)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/6 23:21:41)

おしらせ> キョン子さんが入室しました♪  (2024/11/7 00:02:53)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/7 00:02:57)

エロガキ♂19H> 時間お願いします   (2024/11/7 00:03:07)

キョン子> 時間を振るのは勝ったほうですよ   (2024/11/7 00:04:13)

エロガキ♂19H> 3d10+10 → (4 + 2 + 10) + 10 = 26  (2024/11/7 00:04:51)

エロガキ♂19H> 10d3+10 → (3 + 2 + 2 + 2 + 3 + 3 + 1 + 2 + 3 + 1) + 10 = 32  (2024/11/7 00:05:07)

エロガキ♂19H> 37分までですね   (2024/11/7 00:05:28)

キョン子> 【はい】   (2024/11/7 00:06:01)

エロガキ♂19H> それじゃそこに座って脚拡げてください   (2024/11/7 00:06:26)

キョン子> エロガキ……って年上なのはそっちじゃないか(悔しそうにバニースーツ姿で座り足を開く)   (2024/11/7 00:07:22)

エロガキ♂19H> ん……すぅーー…(バニースーツ越しに股間に鼻を着けて嗅ぐ)   (2024/11/7 00:08:32)

キョン子> や、やめろ……そんなとこの匂いなんか嗅ぐな……(恥ずかしさに顔を赤らめ、腰が引けてしまう)   (2024/11/7 00:09:53)

エロガキ♂19H> 少し…汗臭い…れろれろぉ…(顔を埋めるようにすると舌でスーツごと舐める)   (2024/11/7 00:10:43)

キョン子> ひっ……！　そんなとこ……汚い……ぞ(突然の下の動きに驚き背筋がビクンと大きく震える)   (2024/11/7 00:12:30)

エロガキ♂19H> 汚くないよ…レロレロォ…(股の部分の布をずらして)   (2024/11/7 00:13:17)

キョン子> (ハイレグのバニースーツの期間をずらされると、ストッキングに包まれたキョン子の股間が見える。愛撫されたことによって、ほんの少し内側からの湿り気が感じられる)   (2024/11/7 00:15:42)

キョン子> み、見るな……は、恥ずかしぃ……   (2024/11/7 00:16:14)

エロガキ♂19H> んちゅ…ちゅぱ…れろれろ…(ストッキングの上から激しく舐めて)   (2024/11/7 00:16:29)

キョン子> んっ……あっ！　はぁんっ！　(エロガキの舌使いに興奮した声を上げるキョン子。ストッキングの湿り気は面積と粘度を増してくる)   (2024/11/7 00:18:42)

エロガキ♂19H> ちゅぱちゅぱ……んっ…ぬちゃぬちゃ…(ストッキングを破ってとろとろまんこを直で舐める)   (2024/11/7 00:19:39)

キョン子> ビリっ……(ストッキングが繊維の筋に沿って破かれていく。露わになったキョン子の秘部が直に空気に触れるとその感覚にブルッと震える。)あ……熱い……   (2024/11/7 00:21:29)

エロガキ♂19H> クパァ……(キョン子の割れ目を拡げると) ちゅるっちゅるっ   (2024/11/7 00:22:26)

エロガキ♂19H> (陰核を吸いながら割れ目に指を入れて)ｸﾞﾁｭｸﾞﾁｭｸﾞﾁｭ   (2024/11/7 00:22:56)

キョン子> や、やめろ……拡げるなぁ……！(秘部を拡げられ、さらに休みなく愛撫が続く。キョン子にとって経験したことのない快感が身体をかけ巡る)   (2024/11/7 00:24:19)

エロガキ♂19H> レロレロ……じゅるるっ、ｸﾞﾁｭｸﾞﾁｭｸﾞﾁｭ   (2024/11/7 00:24:49)

キョン子> いっ……ひっ！　ダメ、だめになるぅ……(普段のぶっきらぼうな口調から艶のある女の声に変わってポニーテールを振り回し抵抗をする)   (2024/11/7 00:27:00)

エロガキ♂19H> (顔を愛液まみれにしながら)ちゅぱ、ちゅぱちゅぱ…じゅるるっ ｸﾞﾁｭｸﾞﾁｭｸﾞﾁｭ (激しくシャブリながら指も2本にして)   (2024/11/7 00:28:06)

キョン子> あ……、だ、ダメっ！　やめ……やだっ！　イキたくない！　やだっやだぁ！(体を大きく震わせるとキョン子は絶頂を迎えてしまう。体の力が帰還してぐったりと、息荒く倒れた上半身の胸が荒い呼吸に合わせ上下する。)   (2024/11/7 00:31:40)

キョン子> 【帰還して✕→弛緩して】   (2024/11/7 00:32:10)

エロガキ♂19H> じゅるるるっ…ｸﾞﾁｭｸﾞﾁｭｸﾞﾁｭ ちゅぱちゅぱ (キョン子を絶頂に導くように激しく責め立てる)   (2024/11/7 00:32:53)

キョン子> あ……う……(絶頂を迎えたキョン子の身体はエロガキの愛撫に対し鈍く反応するだけで、時折ビクンと身体を細かく震わせる)   (2024/11/7 00:35:17)

