/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月11日 00時56分 ～ 2024年11月12日 23時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> うし、てな訳で俺はサラダバー。寝るかは分からんが。   (2024/11/11 00:56:18)

エロガキ♂19H> 自分も人数次第って言ってるので誰か来なければ落ちますね   (2024/11/11 00:56:30)

エロガキ♂12Ω ◆> ではお楽しみくだされ。   (2024/11/11 00:56:33)

エレオノール> 勝者なのにってところが余計に面白いですよねw   (2024/11/11 00:56:36)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/11 00:56:37)

エレオノール> 風邪ひかないようにちゃんとパンツ履いて寝てくださいねー。   (2024/11/11 00:57:15)

エロガキ♂19b ◆> 人数次第で？君が先にいたんだから好きにやってこいよー(ベシベシ！)   (2024/11/11 00:57:18)

エロガキ♂19H> 譲り合うのは来てくれたのに失礼ですよね…   (2024/11/11 00:59:05)

エロガキ♂19b ◆> そいで...19Hはどうするんだい？いま決めな！！ここで決めるんだ！俺はへそマゾエレオノールちゃんとヤるきは満々だよ～...へそってどうやって攻めればいいんだろう？   (2024/11/11 01:00:02)

エレオノール> いえ、お気になさらず需要がないんですよね…(ｼｸｼｸ   (2024/11/11 01:00:02)

エレオノール> いや、まあ，それは冗談として   (2024/11/11 01:00:10)

エレオノール> 私としては、特に罰までやらなくてもー。なら眠くなるまで別部屋で全然雑談だけとかでもいいですし   (2024/11/11 01:01:04)

エロガキ♂19H> へそマゾってことは一度、本家の方でお相手頂きましたっけ？個室移動した記憶があります   (2024/11/11 01:01:17)

エレオノール> おや、ありますねw   (2024/11/11 01:01:45)

エロガキ♂19H> お臍の中にまで出した気が、   (2024/11/11 01:02:28)

エロガキ♂19b ◆> 全てを理解したお兄さん。ばれない内に撤退よ～！！   (2024/11/11 01:02:35)

エロガキ♂19H> 別に撤退しなくても…   (2024/11/11 01:03:06)

エロガキ♂19b ◆> いいこと教えてあげる！！中のいいところに入る男は極刑って決まってるの！！それに君は遠慮しすぎ！！もっとガツガツいきなー？   (2024/11/11 01:03:59)

エレオノール> 仲が良いというほど私頻繁にイン出来てないですがw   (2024/11/11 01:04:51)

エロガキ♂19H> 一度お相手したことあるだけですしね   (2024/11/11 01:05:03)

エロガキ♂19H> bさんが撤退する気ならありがたくお相手させてもらいますけど…   (2024/11/11 01:05:58)

エロガキ♂19H> 別に2人でも構いませんよ？エレオノールさんが可能なら   (2024/11/11 01:06:44)

エロガキ♂19b ◆> あ、、そうなの？やだやだお兄さんの勘違いね....恥ずかしいわぁ...わかった！！ここまでグダクダするなら、お兄さんから打開案を....それでこそ男よぉ！！任せるね！いいハメハメライフを！チャオ！   (2024/11/11
01:06:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 01:06:52)

エレオノール> 今、ふと思った事として、プロフに書いてるだけならともかく発言でログに残ってしまうと私がヘソが弱い事がエロガキサイドに筒抜けになってしまいますねw   (2024/11/11 01:07:05)

エレオノール> 強引な立ち去り方ww   (2024/11/11 01:07:34)

エロガキ♂19H> 手刀の人以外でも見逃さなさそうw   (2024/11/11 01:08:12)

エレオノール> 手刀の人wwww   (2024/11/11 01:08:42)

エロガキ♂19H> それじゃあ、よろしくお願いします   (2024/11/11 01:09:00)

エレオノール> よろしくお願いしますー   (2024/11/11 01:09:33)

エロガキ♂19H> 時間決めますか？   (2024/11/11 01:09:43)

エレオノール> はーい   (2024/11/11 01:09:51)

エレオノール> では、サイコロどうぞー   (2024/11/11 01:10:06)

エロガキ♂19H> 10d3+10 → (1 + 2 + 3 + 2 + 1 + 1 + 2 + 2 + 3 + 2) + 10 = 29  (2024/11/11 01:10:23)

エロガキ♂19H> 低めですね   (2024/11/11 01:10:40)

エロガキ♂19H> 39までで   (2024/11/11 01:11:05)

エレオノール> 分かりました   (2024/11/11 01:11:23)

エロガキ♂19H> それじゃあお臍だしてもらえますか？   (2024/11/11 01:11:48)

エレオノール> う、うう、はい(服をたくしあげながら、少しだけ白のスキニーパンツをずりさげて晒す)   (2024/11/11 01:14:05)

エロガキ♂19H> さっきまで鑑賞会とか言ってたのに(お腹に顔を近づけると臍に鼻を当てて、匂いを嗅ぐ) …すぅー、お臍の中って洗うの大変ですよね… (遠回しな感想を言って)   (2024/11/11 01:16:13)

エレオノール> なっ！！そ、そんなはずは毎日欠かさず掃除してます！！(遠回しに匂うと言われた事にショックを受けたのと恥ずかしさとで強く反論する)   (2024/11/11 01:18:56)

エロガキ♂19H> 毎日欠かさずお臍で弄ってるんだ？(悪戯が成功した子供ような笑みを見せると臍の中に舌を伸ばす)れろぉ   (2024/11/11 01:20:48)

エレオノール> はっ！？(しまったと気付くのには遅く、まんまとヘソを弄っていることを自白させられ取り繕う間も与えられず) はうううう！！(臍を舌に這わされれば、ぞくりとした感覚が走る)   (2024/11/11 01:24:55)

エロガキ♂19H> ヘソオナは気持ちいいの？…(舌を臍の中で這わせて)やっぱりすごいかわいいね反応するね…   (2024/11/11 01:27:10)

エレオノール> な、何でそんな事言わないと…。んああ！(ムズムズゾワゾワする感覚がヘソの中で渦巻くように広がる)   (2024/11/11 01:28:45)

エロガキ♂19H> 教えて欲しいなぁ… (臍の中を舌でほじりながら)   (2024/11/11 01:29:43)

エレオノール> き、気持ちいい…わ。　んっくうう！　私がイメプし始めた頃から感じやすい事に気が付いて、他の部屋で色んな責め方、調教の仕方でいじめられて感度が上がっちゃってて   (2024/11/11 01:33:03)

エロガキ♂19H> もう、すっかり臍まんこなんだね？…ここにちんぽ入れたらどうなるだろうね… 前より気持ちいいかな？ (一度きりではあるがその時ことを思い出しながら)   (2024/11/11 01:34:53)

エレオノール> あ、ああ…やめてそんな言い方… だ、だめ、そんな入るわけ…(臍まんこ。その言葉に体が反応してしまいお腹をピクンと震わせ、股の間がジワっと湿るのを感じる)   (2024/11/11 01:38:09)

エロガキ♂19H> でも、時間になっちゃうね… どうしよっか？ (寂しそうかつ、物足りなさそうに股間を湿らした相手に聞く)   (2024/11/11 01:40:09)

エレオノール> う、うう…。なんという生殺し…。 でも、流石に寝ないと…。   (2024/11/11 01:41:28)

エロガキ♂19H> 無理にとは言わないけど…、俺は臍まんことセックスしたいなぁ…。   (2024/11/11 01:42:23)

エロガキ♂19H> 【ホントに無理は為さらないでください】   (2024/11/11 01:42:46)

エレオノール> 【臍まんことセックスとか私に対しては効果てきめんのキラーワードですが…。さすがにそろそろ寝ないとなので、口惜しいですが…。】   (2024/11/11 01:44:33)

エロガキ♂19H> 【またの機会にお願いしますね…。あまりうまくないのが相手で申し訳なかったです。お付き合いありがとうございました。おやすみなさい】   (2024/11/11 01:46:17)

エレオノール> 【いえいえ、私の弱点にスポット当てて責めて頂けるだけでも嬉しい限りですw またお相手頂ける日を楽しみにしてます！おやすみなさい！】   (2024/11/11 01:47:46)

おしらせ> エレオノールさんが退室しました。  (2024/11/11 01:48:04)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/11 01:48:18)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/11 02:58:04)

おしらせ> 宝鐘マリンさんが入室しました♪  (2024/11/11 02:58:06)

宝鐘マリン> 10d3 → (2 + 3 + 2 + 2 + 3 + 3 + 2 + 2 + 1 + 2) = 22  (2024/11/11 02:58:28)

エロガキ♂19b ◆> 勝って犯して寝ようと思ったのになぁ...   (2024/11/11 02:58:32)

宝鐘マリン> 甘かったですねー   (2024/11/11 02:58:41)

エロガキ♂19b ◆> 20分まで～！！すきにしろー！！   (2024/11/11 02:59:00)

宝鐘マリン> さーて何からしましょうか   (2024/11/11 02:59:10)

エロガキ♂19b ◆> ほんと、、甘すぎた....砂糖たっぷりかもしれない...   (2024/11/11 02:59:15)

宝鐘マリン> まーやっぱりこの船長を舐めた罰として辱めを受けてもらいたいですね   (2024/11/11 03:00:17)

エロガキ♂19b ◆> ほうほう....お手柔らかにおねがいしたいなぁ...   (2024/11/11 03:00:39)

